,AHI,ahi_4_percent,ahi_central,ahi_central_during_nrem,ahi_central_during_rem,ahi_during_left,ahi_during_non_supine,ahi_during_nrem,ahi_during_prone,ahi_during_rem,ahi_during_right,ahi_during_supine,ahi_obstructive,ahi_obstructive_during_nrem,ahi_obstructive_during_rem,desaturations_mean_nadir,desaturations_of_10_20,desaturations_of_4_9,number_of_4_percent_desaturation_apnea_hypopnea_events,number_of_all_respiratory_events,number_of_apnea_hypopnea_events,number_of_central_apnea_hypopnea_events,number_of_desaturation_events,number_of_obstructive_apnea_hypopnea_events,number_of_transitions_nrem_to_rem,number_of_transitions_nrem_to_wake,number_of_transitions_rem_to_nrem,number_of_transitions_rem_to_wake,number_of_transitions_wake_to_nrem,number_of_transitions_wake_to_rem,number_of_wakes,odi,odi_during_left,odi_during_non_supine,odi_during_nrem,odi_during_prone,odi_during_rem,odi_during_right,odi_during_supine,percent_of_deep_sleep_time,percent_of_left_sleep,percent_of_light_sleep_time,percent_of_non_supine_sleep,percent_of_prone_sleep,percent_of_rem_sleep_time,percent_of_right_sleep,percent_of_sleep_time,percent_of_supine_sleep,percent_of_wake_time,rdi,rdi_during_left,rdi_during_non_supine,rdi_during_nrem,rdi_during_prone,rdi_during_rem,rdi_during_right,rdi_during_supine,rem_latency,saturation_below_80,saturation_below_85,saturation_below_90,saturation_below_or_equal_88,saturation_max_value,saturation_mean,saturation_min_value,sleep_efficiency,sleep_latency,snore_above_40db,snore_above_45db,snore_above_50db,snore_above_60db,snore_db_mean,time_to_transition_nrem_to_rem,time_to_transition_nrem_to_wake,time_to_transition_rem_to_nrem,time_to_transition_rem_to_wake,time_to_transition_wake_to_nrem,time_to_transition_wake_to_rem,total_arousal_sleep_time,total_deep_sleep_time,total_left_sleep_time,total_light_sleep_time,total_non_supine_sleep_time,total_prone_sleep_time,total_rem_sleep_time,total_right_sleep_time,total_sleep_time,total_supine_sleep_time,total_time_in_bed,total_valid_apnea_central_sleep_time,total_valid_apnea_sleep_time,total_wake_time,total_wake_time_after_sleep_onset,variability_between_sleep_stage_percents
22,0.47275070323232526,0.46009205655959784,0.16059744037950816,0.1166376258763217,0.14321187069378646,0.31710029749803714,0.3873507909355166,0.41758847896416623,0.3514275413763045,0.4607887272099232,0.33102185867200107,0.4668949509420131,0.4773375723237222,0.44260875756280305,0.4752930653269512,0.29157551707136153,0.19433651047226289,0.45485273075022237,0.43639274840736875,0.3251647932906028,0.4427769718550885,0.16920346098299843,0.4384018300579482,0.4495492231011998,0.028471586955079446,0.09942918510973077,0.025873547874730594,0.01919779120897091,0.11049574107349737,0.015430127140713698,0.0900929512079875,0.46095242904884065,0.381198529079996,0.4176057517734444,0.4000338869483767,0.3757189531938755,0.4752641435556306,0.3650707040883709,0.4411917231167715,0.169297234826338,0.004377335104194966,0.15972118535499072,0.08294273531338645,0.07404808033622692,0.07426235093822948,0.0904491896255194,0.03725531899920147,0.0829427352653584,0.03725532008455259,0.3731674274737326,0.2118122746497848,0.2532153863276559,0.3196252754161726,0.2255542274238729,0.362128002426307,0.2126326974442134,0.38945089334611377,0.02368013433245515,0.11652570099162725,0.1822301458615059,0.2865806792651763,0.28887604277514056,0.08577730299006765,0.4265358305391226,0.34248188844173255,-0.010022083999127837,0.06573160816423168,0.13386852229695634,0.30619649883604366,0.20619342495547155,0.09117173514566809,0.2942721719036263,0.03002194329275464,0.06291325842216579,0.12432525847107183,-0.0044423804262411545,0.0966750470808678,0.01805863094071744,0.008160351625804635,0.17772294222151255,0.015185688130154489,0.09271681755944136,0.1095903710896802,0.07997173134934624,0.053117135030365345,0.11257153995327505,0.010987398218256051,0.055288184080737976,0.020739792718883324,0.014928636646890285,0.015393118056961303,0.0015416827635497848,0.048149643135481486,0.1672346082634738
23,0.4519101182853078,0.4362463173516084,0.15838534530582554,0.12966001948955544,0.1226877853901711,0.324848918932383,0.38914103159280594,0.428594345475191,0.32397411225801,0.475802559265175,0.3332896696488381,0.47580270339413877,0.4780512968325205,0.44179098629115926,0.47829488198757797,0.30171908525712565,0.20468918397090252,0.4438927636273572,0.42349654431519657,0.3238295777857023,0.42796491227761646,0.16392930257065616,0.42776565799458904,0.45301397875515753,0.03249027459223362,0.07988855722147394,0.025691408296750692,0.023958577092715403,0.09376208312818149,-0.008676150981642764,0.09300185790314594,0.44000413507153613,0.38833637667788046,0.4230828762962344,0.402298499640748,0.3446268380268248,0.4874292338590923,0.36414904111393603,0.4613665446324084,0.18887387109373685,0.005312031342018033,0.1683911243209738,0.11601709319806619,0.060707691666671955,0.08670832201437148,0.08977549954933635,0.03635484896489127,0.1160170932692453,0.036354845237655524,0.3567302533866171,0.21185708919904755,0.26765746981879923,0.32252546242881236,0.19500592083105267,0.3810654224275438,0.21482250691427202,0.39283460584740343,0.046076948976095315,0.12281538709169922,0.18498840194266497,0.2777787017503814,0.28128961353113857,0.10448223555119938,0.4147290401722235,0.33924756494142244,-0.0045463420578659595,0.03666779526941245,0.11338914537873321,0.2775786914089878,0.19672876398852737,0.0996803731105829,0.25997983004938313,0.03215017133466741,0.07688078306755847,0.14514346780941872,0.006583364202197959,0.10092357748794843,0.023024206782906717,0.010864258389833546,0.17886480831501905,0.0278106636950529,0.08730589891807977,0.13617574722277187,0.05703133790793069,0.06956555715547753,0.10542520172837266,0.01186747048984992,0.09371482966126525,0.03344554281394822,0.0048119135741569305,0.03456169169653819,0.005986624541312252,0.05367138973157476,0.17488862330762212
24,0.4599189178729931,0.4480065648053335,0.16934951701486978,0.12958686510537243,0.15958716796114195,0.30382412126099395,0.38236575755670593,0.43302692379914864,0.36017042056532905,0.4774579653236216,0.3378395205870045,0.47342131432838885,0.4734111944508222,0.45079984574394766,0.48276041638813566,0.30938707653705233,0.19887907887328157,0.450791652679548,0.4313552888286298,0.330027436955391,0.4337586051936132,0.16986916454076545,0.43384472521835465,0.4470085613945421,0.047290078407501206,0.09788413002324643,0.0424530454677149,0.028866507066804867,0.1144931284430592,0.017702862603135583,0.11247588215755944,0.4511604917585721,0.3670733746952533,0.40924318915559627,0.4078454119519414,0.3490896047611651,0.48340590147142826,0.3706032264713304,0.4544592990446891,0.2026840878760109,-0.01686470322458364,0.1697210068766153,0.07515501740341028,0.04980629595345619,0.11084689074124193,0.07912681976020157,0.042887447135072,0.07515501644608198,0.04288744478724193,0.36919674358348636,0.19662060970481485,0.25188868665894154,0.33471679831140033,0.22793554968102578,0.38187063693750867,0.21648414194707377,0.38949486848557524,0.03891017914835775,0.10262723246229313,0.1688969944949938,0.28348489582893954,0.2784502445117718,0.09376388737564184,0.427624943960717,0.32205770833954905,0.0075131184563566366,0.014130515402174944,0.1265929343063561,0.28799406224015484,0.21959262861432435,0.11621857438693844,0.2743459287545886,0.027082107431438945,0.07133509643915863,0.10780831873270763,0.014545001762760657,0.09939006579042968,0.025018722490594534,0.019369221857602127,0.1985403409538577,-0.0005449037689719679,0.10381364532529971,0.10579253334259807,0.04841772067104031,0.08144017590376229,0.10498871353543453,0.020978352215179356,0.05534525674754907,0.03601173579274863,-0.007311166086600464,0.027642490256118344,0.015971208986801568,0.052733574090312,0.1753843779588656
25,0.46376938904953696,0.45577963385121906,0.15940191283297517,0.11206371056285647,0.13130129921364855,0.3285494728628509,0.3794474531220055,0.4182834606637725,0.34053939108689013,0.47119385763646826,0.32974705417131356,0.47331392617303664,0.4820334741790147,0.4264690046583959,0.4714377251170439,0.3117237726446992,0.2191605265120085,0.4488847832921019,0.43559585550544366,0.3274314485270972,0.4360199865300538,0.17388232996053993,0.4391675545369103,0.4587116104930218,0.05097079955838421,0.10399725551743276,0.04442945606308045,0.05384926574302461,0.11618528617533097,0.006651517599464036,0.09775031350669604,0.4569405265383539,0.3921895960101297,0.41208743265866526,0.38244404124346987,0.37101625244419584,0.47174128637869206,0.3667162954203331,0.4611485467758249,0.17468241172849006,0.005383750868808201,0.17343400317962504,0.10771162805844736,0.04502476281266607,0.09917626466026046,0.0890272380628994,0.0018554659363069596,0.10771162788329249,0.0018554660828794855,0.3738039315292383,0.22181242995248535,0.24697554674658517,0.316621848040554,0.19353664246021132,0.3769791745924519,0.22210435158332886,0.39065129316466324,0.04602316344338871,0.08160619499173266,0.16724575257230526,0.2874087593770932,0.2815593030151733,0.09997075625038222,0.42555710702151783,0.34610450741541243,-0.016958808992563152,0.024464313253187046,0.10076873353542068,0.28479755016598496,0.20975170165677381,0.10515686117857288,0.26619602862846814,0.03322341479805504,0.05878963984114942,0.14643721591888148,0.006452179752520395,0.09404816357565546,0.019486693163249087,-0.011527744220001785,0.18228000087291932,0.018104392100370216,0.08787259698691366,0.13439766525606847,0.04358760808421491,0.07508345106964236,0.11779239158572583,-0.009869099892712433,0.06766365715654729,0.012337500067809324,-0.00928524893505607,-0.009829928006804267,-0.013922480212756801,0.035631359595668405,0.1764930310099869
26,0.4693588460189776,0.4542458156871268,0.1610761877584198,0.11995457278633116,0.1408557834660798,0.31631930983301604,0.3870998001222371,0.4222668355238497,0.33121810955885206,0.4751019609788172,0.3148460650711343,0.4788668063162315,0.4733190947257694,0.43005530081278065,0.4744722215823939,0.3044884841316078,0.21408648252990078,0.4553381133959164,0.43479173858817927,0.32593184780152135,0.43981783479128667,0.16677390207795267,0.4396417059793871,0.4457170454419688,0.031340341571292625,0.0987165074823618,0.02829092712652763,0.03534090930479657,0.11266121735244845,-0.006297213708096358,0.10597879027664725,0.4583904358385101,0.3882567161402628,0.424093075700317,0.4077269485975561,0.3623127823915117,0.48100865178371804,0.3563090653414097,0.45704815404229404,0.154301710085725,0.007198151831294271,0.16703148401590268,0.11146789706617317,0.06703227884758398,0.1056234364758473,0.09046006961115079,0.030099202698789164,0.11146789667910628,0.030099206063391632,0.37309450183502385,0.19732590255937876,0.2635875354983511,0.32033652203722013,0.2037694687261278,0.37719123472779975,0.1978036486313056,0.39236433805927984,0.04028040817393927,0.10953190222891739,0.17871915785980014,0.2627978992509179,0.2681696659572451,0.0806978949533294,0.416508255539433,0.34964034668576266,0.0004384879602822869,0.05482903270963103,0.11850556916966681,0.28164372447957986,0.2124012761058858,0.10977455162104242,0.2709102038986103,0.025320442179880692,0.051762466917283034,0.1364970227544709,0.023213800966577974,0.12074681518313214,0.004955988203180379,0.001745639124392882,0.1726505642930179,0.03951867114240511,0.09507705547979314,0.1513426569769446,0.07043409329568048,0.05983218117214178,0.122210657654383,0.004476962723143436,0.07958640781484755,0.015804385737939148,0.001127597139112717,0.024882333790187273,0.014987919501359767,0.04087526244269662,0.17350643023749468
27,0.4589332386141411,0.4450491115238814,0.14930098332890174,0.09888714755200985,0.13462002702493886,0.3128894518371054,0.3883813171523269,0.4149896101238886,0.3293308192280108,0.4680672812394573,0.31527803632533935,0.47554608344150096,0.48622667456835966,0.4393952693517402,0.4725360490995858,0.28824611280428325,0.2047661803954422,0.44722299381594527,0.4250115082817119,0.31931557813122363,0.43142389172940254,0.16132683870224357,0.4298422872239653,0.4624737998156697,0.04359871088025408,0.10775315537172314,0.05897837857668116,0.03440941335590566,0.11832878324874604,-0.002068679248802672,0.1002647679626314,0.4490451713407714,0.39411441827835386,0.4264900922613873,0.3952370673767754,0.34677272948204585,0.4782461944943831,0.3504200496736795,0.45624847506515,0.17198119684561672,0.027089873981252538,0.1697895179528136,0.09656262630112061,0.05721047309040907,0.09984953843606685,0.06799088413732991,0.0027188280312646315,0.09656262695718369,0.002718827361883044,0.36123048431578303,0.18787644402383508,0.2562392579192286,0.3147081414191068,0.1885399064899131,0.37425077275451485,0.19028652314892613,0.3908183807994208,0.013059002877818344,0.10620329968081799,0.17892275841183827,0.2713543186956702,0.27473498507072736,0.09976037913128194,0.42331018006630483,0.33944372506784165,0.016264237284729893,0.005641506183661611,0.12192224238590013,0.28372257502865167,0.24069272460571775,0.12494239686430228,0.26564499907273403,0.019783692382551017,0.06816770895508155,0.1206078577160963,0.03448111542025379,0.10415069725442731,0.03337339498557333,0.017092423895914817,0.16279648618626144,0.04007181507458054,0.08084151053640018,0.12812344759104452,0.06413484837660023,0.05932469804666024,0.09975535707183313,0.016361383571026577,0.07961430335889441,0.0015558892263578252,0.006081855949530864,0.026456547614583173,0.024270785207962255,0.016319428012475524,0.17491958254088866
28,0.4672842901278123,0.4539579546078819,0.15998930315923313,0.10639067104208784,0.11356302077835885,0.3169237494261719,0.3836750582434525,0.4203263317461013,0.33685425524372964,0.47305062149941474,0.3103202994460614,0.482313038847126,0.48421266001554164,0.4332327065548901,0.47188815819693647,0.3109634131995181,0.20931374368177197,0.45224510801441553,0.43129621891644476,0.32221065010214095,0.4349674274058754,0.16514362871873886,0.43631427409651224,0.45704366748076686,0.03266130012810129,0.11414270046935274,0.027656702233585573,0.0324560842840799,0.1228294447926489,0.010711142016134071,0.08435609242643126,0.4567041352585962,0.3828896399553553,0.4195520029693828,0.4086341371833982,0.3834323836834844,0.47658499272095645,0.3423229749098649,0.46495469620246455,0.2009573093784045,0.0017305787711780994,0.1907917013667418,0.09714877507303098,0.06747509366095063,0.12511445384619288,0.07841519437708788,0.006295307781839557,0.097148775618905,0.006295308246201657,0.3681623215112356,0.2094428324014619,0.26530422342699816,0.3238064856984767,0.1949862237694672,0.38633798294436184,0.1918412279365739,0.3986106984905682,0.047527307997124436,0.11796483851721899,0.18381138390218812,0.280860986576907,0.29446170901932206,0.1098148306055009,0.4255015494983884,0.33789667571261905,-0.014459744218959564,0.0015694655981566366,0.1306635577311498,0.2882425742533773,0.20587617823527943,0.1210685368730117,0.2771742101341896,0.03702982739142992,0.04999436392815568,0.12895420000112168,0.05043131173537231,0.09750470602742285,0.03218714412956871,0.00961232280277735,0.18326802439297668,0.03753212429699837,0.10729433248084085,0.13345080499879164,0.06798327032269275,0.06906079759468761,0.1009270202620597,0.011964540603994146,0.06398426909927023,0.017649004552495254,-0.011997069739091745,0.02472289191866349,-0.0035291965971665368,0.015074309230856377,0.19604549990563236
29,0.4681416182756936,0.45488859364759526,0.1496618691856983,0.1313578122510723,0.14584936585827707,0.3185219161069979,0.4017876945114125,0.4220107249704901,0.34211845804452895,0.469218233484651,0.3283245488283196,0.4782636756424372,0.47714230118648515,0.4306904639464318,0.4754377039865881,0.3034624756712919,0.20078115212420683,0.45049156793119804,0.43205278678743325,0.3293252248305134,0.4399674902472479,0.1608966129105401,0.43320371533574337,0.45610250140386316,0.02792694935891892,0.11095432310027203,0.030013270164180976,0.01647002742331865,0.1274141247597969,0.010077241417733415,0.0865427933353992,0.454718940611093,0.38398267351542675,0.4312764620918025,0.4027013346478068,0.36794384404846636,0.4812284419508576,0.3633120322084688,0.46315734337131054,0.17708867088775865,0.004863498214347991,0.15662082894335078,0.08256364312519524,0.059026369250411506,0.0869077698364795,0.08574323092565135,-0.0031560626304581265,0.08256364496642636,-0.0031560599417688397,0.3728482394405524,0.19765375952767747,0.27791008141324103,0.3270311747200139,0.2066789259312574,0.3825588820833412,0.20345353158305154,0.39520510296484845,0.03698627001902992,0.09805334811099443,0.18165092214837142,0.2759601089532629,0.28670207127513186,0.10580174655145569,0.4163419061574408,0.3339691030346678,-0.03001701478131515,0.0242905909892211,0.13714445074850015,0.2773968060552967,0.216186863304644,0.09997148164733342,0.26837874858288624,0.0021773468448382342,0.05766290400763302,0.13159279595269543,0.014026865081210137,0.0922047115785389,0.006733425291459339,0.00034006219769523694,0.18432022093867245,0.03941988500475373,0.09089382603694279,0.11368281785787251,0.056663148421312766,0.052489703617829855,0.09943325528980439,0.0003820781601087058,0.060405415250293006,0.061110405669129175,-0.017553996455294704,0.003068114881414344,-0.017825606626960974,0.011671007718191358,0.16274709196232848
30,0.46431541015485,0.45448908954659545,0.16876891341257003,0.12384799586681627,0.15625391415559559,0.33394872486051974,0.38866022030495395,0.4245835614454279,0.3471859506222216,0.46229543341910634,0.32721454803224964,0.4758447309432397,0.47384967011430723,0.43407974472858163,0.4754100215594151,0.29545220390141064,0.22208843748506948,0.4605799668638378,0.44132368008895556,0.3336196333181102,0.44192397296106034,0.17926559019108423,0.4458935665340299,0.44602689853462707,0.03221362903452086,0.1256738811734238,0.044296385200692664,0.04114111395022081,0.12917137932016537,0.022434712887572487,0.08258806832783246,0.45770373814961685,0.3850651380244956,0.42031459491788487,0.4019013261344272,0.3658137621803324,0.4713408346802401,0.35746738385256716,0.453516200961989,0.18281206921504747,-0.005461029399665592,0.19122980947575824,0.09171043231392992,0.06438091472582509,0.13435783172348661,0.09117091750843767,0.011686168523975665,0.09171043278800449,0.011794288176928173,0.36600604956908955,0.23130388475852828,0.24642586365184443,0.33014777156404823,0.20762643750145995,0.3716707414569031,0.21582069809061505,0.39443337538957324,0.038319933683716306,0.10594861575354525,0.18602464393765608,0.2873416372455021,0.2845402298988908,0.13792406443439,0.4206178761804969,0.338727636295431,0.004340614289047954,0.02969264023632989,0.12280108698360435,0.2969838756175395,0.1979947598003845,0.08287222587677355,0.2796796609464981,0.006082070111329759,0.05566631497410856,0.1320339967994713,0.03907530216698022,0.10629354939356485,0.013592413099396928,0.04957406306202666,0.18555049556784095,0.02304010602575466,0.09657743327286654,0.1363104899684501,0.07751007426587335,0.08656772718881708,0.10633349133721638,0.0507483066526678,0.052815197869970444,0.0210065300705452,0.029220874221531492,0.0466000967801673,-0.0030844450099776475,0.03538729719966558,0.19343388377656578
31,0.46207482596353755,0.44905586420731913,0.1643008412542189,0.1260520580288724,0.1427569968964914,0.31107014997096305,0.38743533593865603,0.42103896311507605,0.34561776522521853,0.464536271505419,0.3212988365743067,0.4758425972649195,0.47844807328293737,0.4348887345081216,0.48052134536042745,0.314725650551941,0.20457971821497864,0.4440044618773526,0.4263133293222149,0.31662001586169924,0.4288436131969407,0.1737437824382818,0.42945074172546466,0.45144647299350765,0.055418207908455315,0.11970809147308754,0.04786818344175958,0.028790585448387807,0.1337817081960605,0.010091375087236117,0.1118091936035621,0.4488080568761527,0.3775926659657711,0.4300411950394767,0.40512048485035057,0.3713171466704722,0.47719279169936124,0.3553083069486032,0.4609793986772591,0.18102272425561053,-0.01736337113896966,0.1587583903513226,0.10034297099962308,0.05687366730542353,0.0872384615921665,0.07051057353989171,0.010653836752076448,0.10034297166382936,0.010653831503324643,0.367088493239702,0.2017434670430722,0.2584618615239803,0.32093451794673467,0.2121385501668726,0.3736610997455944,0.1966630530994896,0.39177476741688033,0.03406402149403669,0.1138710952957185,0.17214521960695955,0.2606728346222438,0.2622756232218505,0.09418648448101287,0.4264799807334749,0.34365534799440767,0.012533518919610399,0.02293030559798693,0.12741637432380645,0.2893672436308897,0.2068079137104316,0.08640813140927135,0.2845458059810712,0.045555926999579895,0.040337545440544485,0.12131847924606785,0.05828541658294391,0.10479976985811007,0.04351816760924288,-4.02550174748366e-05,0.1791987972883236,0.015876062062745326,0.1146912406794902,0.12203866426179737,0.055253776576114674,0.05328455712674216,0.09317689768415784,0.004380453200233238,0.06547354025837629,0.012715579205343577,-0.0074790738317952205,0.00465136656253829,0.01517442563636215,0.012975556547124581,0.1635471757197687
