,"Age, BMI & VAT",Gut MB families
AHI,0.0040655451849256384,0.007203630027852659
ahi_4_percent,0.004346035320735609,0.006485382559348445
ahi_central,0.009513577374702252,0.012842030131920147
ahi_central_during_nrem,0.007637952728042957,0.011169397854890415
ahi_central_during_rem,0.008274831707100543,0.010477849773648245
ahi_during_left,0.005885489594133121,0.009150763810024068
ahi_during_non_supine,0.005304832198815238,0.008905202783858392
ahi_during_nrem,0.004595925936859378,0.007840725555184763
ahi_during_prone,0.007690334497324065,0.01273988784982964
ahi_during_rem,0.003295543511445138,0.005650901274131646
ahi_during_right,0.00664540630337422,0.00947894142553042
ahi_during_supine,0.0033712498894006935,0.007685047894923355
ahi_obstructive,0.0035843197930512222,0.006721532489138229
ahi_obstructive_during_nrem,0.004136145935942897,0.007088737736419823
ahi_obstructive_during_rem,0.004127966483101724,0.008208975858533321
desaturations_above_20,0.011446241370830891,0.01265498003704595
desaturations_mean_nadir,0.004765843456217507,0.008576693987442955
desaturations_of_10_20,0.006381140258997242,0.011147931023412503
desaturations_of_4_9,0.004931037623013865,0.006743775865963987
number_of_4_percent_desaturation_apnea_hypopnea_events,0.005040428539775534,0.006576016784403762
number_of_all_respiratory_events,0.005890520730609864,0.007142796904294187
number_of_apnea_hypopnea_events,0.0048882519534963285,0.006627656606987658
number_of_central_apnea_hypopnea_events,0.009217857344412909,0.012931919897335657
number_of_desaturation_events,0.005134865332622754,0.006275520049506223
number_of_obstructive_apnea_hypopnea_events,0.003703867208786211,0.007532364507360379
number_of_transitions_nrem_to_rem,0.011700189831845583,0.014673172999504484
number_of_transitions_nrem_to_wake,0.009044399836577887,0.010640950893839773
number_of_transitions_rem_to_nrem,0.009753727587392149,0.011425406798037718
number_of_transitions_rem_to_wake,0.012332221516999973,0.014679851270387125
number_of_transitions_wake_to_nrem,0.00842135386972773,0.011448781393909096
number_of_transitions_wake_to_rem,0.010816699468951571,0.014744476925708178
number_of_wakes,0.00914572104842723,0.012768878270587787
odi,0.0043207552112770635,0.0060733576454661915
odi_during_left,0.005534249526157485,0.009804519441895034
odi_during_non_supine,0.006180143535939575,0.008436699815806045
odi_during_nrem,0.00464192701242947,0.00875322539269578
odi_during_prone,0.009968838795695732,0.012638184365138586
odi_during_rem,0.003633081825513165,0.006835025975029208
odi_during_right,0.007204728458636254,0.008877228103581172
odi_during_supine,0.004023533442007959,0.00820676824623251
percent_of_deep_sleep_time,0.007317471089897583,0.012286632300529125
percent_of_left_sleep,0.010556933968502191,0.014220608209569911
percent_of_light_sleep_time,0.008248283572947367,0.012158372409395664
percent_of_non_supine_sleep,0.011290243218387178,0.0119592085735421
percent_of_prone_sleep,0.01142933968886315,0.013141185454289024
percent_of_rem_sleep_time,0.010996096153236956,0.01043355537607424
percent_of_right_sleep,0.011744842842511427,0.013366963689883472
percent_of_sleep_time,0.010399389881125036,0.011679618794351745
percent_of_supine_sleep,0.011291217540719078,0.011959208549291485
percent_of_wake_time,0.010418549631300782,0.011687782367684323
rdi,0.00501483772422896,0.00826264807569825
rdi_during_left,0.007574682606818335,0.00974883628179866
rdi_during_non_supine,0.006066791674590453,0.01028227138187408
rdi_during_nrem,0.005714956151401243,0.00843447867439601
rdi_during_prone,0.009925551641508306,0.013295914665923194
rdi_during_rem,0.0043211473789682075,0.008663790102838482
rdi_during_right,0.008039719229260547,0.01149326197140528
rdi_during_supine,0.004581622931517606,0.007875087280951812
rem_latency,0.011396681942761874,0.014055681853751454
saturation_below_80,0.019189416293827807,0.013548460403874956
saturation_below_85,0.012541329504261213,0.013563384601552554
saturation_below_90,0.020145044709274022,0.01338108661210292
saturation_below_or_equal_88,0.021232238864675245,0.014453926396430042
saturation_max_value,0.009030899683966597,0.008569149735204583
saturation_mean,0.0034377138347062033,0.007169605635598493
saturation_min_value,0.004283647186904124,0.009467963043489699
sleep_efficiency,0.011173972991743658,0.01425963013021334
sleep_latency,0.009852824751083733,0.013682584732036276
snore_above_40db,0.00980375787381338,0.013471946901427665
snore_above_45db,0.005962514818289931,0.011653344699953513
snore_above_50db,0.007532701724225209,0.01187508923365188
snore_above_60db,0.010217009197357782,0.011935205119561362
snore_db_mean,0.0060902104818210566,0.009652659072298675
time_to_transition_nrem_to_rem,0.012229599728349366,0.013568765409259321
time_to_transition_nrem_to_wake,0.01086469433009093,0.011988416535098089
time_to_transition_rem_to_nrem,0.009532630210614297,0.01070296836018019
time_to_transition_rem_to_wake,0.011402746415642451,0.014673804591763605
time_to_transition_wake_to_nrem,0.00770963525679252,0.012054567729661384
time_to_transition_wake_to_rem,0.012116230225466311,0.01236335813172811
total_arousal_sleep_time,0.012394511183514586,0.009741045241462715
total_deep_sleep_time,0.007461105870559831,0.01288461379395708
total_left_sleep_time,0.010681233936875612,0.011411955371821911
total_light_sleep_time,0.008455121799012207,0.013166502590180703
total_non_supine_sleep_time,0.010984513042623417,0.011665531521161055
total_prone_sleep_time,0.011754706054235788,0.012392892966904932
total_rem_sleep_time,0.011840326879743318,0.011803823720643574
total_right_sleep_time,0.01203432706079749,0.013367804809462668
total_sleep_time,0.012180846390363124,0.010798038841199214
total_supine_sleep_time,0.012772455162483114,0.013238933369020031
total_time_in_bed,0.00964012343019016,0.010577808966001403
total_valid_apnea_central_sleep_time,0.010744758305294328,0.011935555844268508
total_valid_apnea_sleep_time,0.012434314568783732,0.013772137379621048
total_wake_time,0.010784127517899365,0.01246925219050706
total_wake_time_after_sleep_onset,0.011112973475326367,0.011915105987543317
variability_between_sleep_stage_percents,0.0077911566589349505,0.013828831510049298
