,"Age, BMI & VAT","Sleep Quality
(average of nights)"
body_comp_arms_diff_tissue_mass,0.012184440342313611,0.012509062885429956
body_comp_arm_left_lean_mass,0.004094058427080967,0.007840356083086707
body_comp_total_left_total_mass,0.0013732754539721903,0.0023289757275448313
body_comp_trunk_right_bone_mass,0.00440513123554239,0.006244206512142242
body_comp_trunk_left_tissue_mass,0.0011250324335179763,0.0014469797513382188
body_comp_total_left_lean_mass,0.002626533033397415,0.005751877473356594
body_comp_legs_diff_fat_free_mass,0.011326716242554135,0.012925458985395526
body_comp_legs_fat_free_mass,0.0023765511541202315,0.005246384388949337
body_comp_total_bone_mass,0.0050637038278957686,0.00958119475614461
body_comp_total_left_fat_free_mass,0.0027138040386671318,0.005129239180200443
body_comp_leg_left_bone_mass,0.006570921871124647,0.011456327544594913
body_comp_gynoid_bone_mass,0.006230007391109614,0.008357584448139327
body_comp_trunk_right_lean_mass,0.004067852925194396,0.007571064570797666
body_comp_total_right_total_mass,0.001415403896031856,0.0020258039981413713
body_comp_leg_right_fat_free_mass,0.0024923095480590927,0.0049067471933058986
body_comp_arms_total_mass,0.0030635020605713713,0.004713862195155207
body_comp_legs_fat_mass,0.0020260924667320174,0.0038066345275348376
body_comp_trunk_diff_fat_mass,0.009354869306180716,0.01220347595708257
body_comp_legs_diff_total_mass,0.012075691463840086,0.012645992191402056
body_comp_trunk_diff_bone_mass,0.010034678412434026,0.01024787482734428
body_comp_legs_diff_bone_mass,0.012480994773680712,0.012092022696426912
body_comp_legs_diff_tissue_mass,0.012031577327139333,0.013222676191397017
bmi,8.830329851694742e-05,0.00022624534634617976
waist,0.0008151136493802852,0.0017899353137720304
height,0.009315317183355556,0.013740451507803054
weight,0.0012873609170377552,0.0018720144209127217
hips,0.0021554492409725555,0.004106575347297573
