,Age & BMI,"Sleep Quality
(average of nights)"
body_comp_total_left_total_mass,0.8514866192668158,0.8312899979585093
body_comp_trunk_right_bone_mass,0.5034631784968775,0.43965499019883647
body_comp_trunk_left_tissue_mass,0.8489808740721432,0.8287181588519081
body_comp_total_left_lean_mass,0.5669112750884472,0.5223930536814829
body_comp_legs_diff_fat_free_mass,0.01187319697364115,0.0104049818375403
body_comp_legs_fat_free_mass,0.6209240299038064,0.5777354686469643
body_comp_total_bone_mass,0.3106569761253045,0.2446209534222581
body_comp_total_left_fat_free_mass,0.5600192100209699,0.5153158906106132
body_comp_leg_left_bone_mass,0.21231572183697967,0.17656295309883197
body_comp_gynoid_bone_mass,0.2524725378017925,0.1887953245173811
body_comp_trunk_right_lean_mass,0.4696757216212337,0.4034740532183133
body_comp_total_right_total_mass,0.8555377320123085,0.8356271651025611
body_comp_leg_right_fat_free_mass,0.619534044527654,0.578679138215595
body_comp_arms_total_mass,0.627841349749277,0.5880848529191032
body_comp_legs_fat_mass,0.7359632842154659,0.6995487500859512
body_comp_trunk_diff_fat_mass,0.1493478563133286,0.1151281662853665
body_comp_legs_diff_total_mass,0.01454419314380975,0.00247664591199155
body_comp_trunk_diff_bone_mass,0.06118306994535595,0.037954987333364346
body_comp_legs_diff_bone_mass,-0.00211818347266295,-0.00037758292848626395
body_comp_legs_diff_tissue_mass,0.0172019715306909,0.0046865159994573
bmi,0.9965474129195504,0.9943324763310288
waist,0.8364743642223927,0.8206656973397858
height,0.13563785454185096,0.07536504944863875
weight,0.8636945200447638,0.8440630034273322
hips,0.7260777188327787,0.6876654265879119
