,"Age, BMI & VAT",Gut MB metabolic pathways
sleep_latency,0.02377136652978065,0.044782268967688346
sleep_efficiency,0.08839409923998125,0.10810112207107306
percent_of_wake_time,0.10027890647134804,0.1117052765358093
percent_of_sleep_time,0.1002789064713491,0.11170527653580956
number_of_transitions_nrem_to_wake,0.1643422106481408,0.17084014907968303
total_right_sleep_time,0.07784272658538774,0.0822065167844159
number_of_transitions_wake_to_nrem,0.17845402444688296,0.1808906722851102
saturation_mean,0.4626396019725111,0.46268704728617943
desaturations_above_20,0.15822846331275334,0.15822846331275345
