,Age & BMI,Gut MB metabolic pathways
desaturations_of_10_20,0.0729678085309558,0.10206560600263065
number_of_transitions_wake_to_rem,0.01691163834408245,0.0431383366368395
desaturations_above_20,0.01566555110971895,0.0416545243722666
sleep_latency,0.02098748109006735,0.04488049233319495
total_arousal_sleep_time,0.0201782845874043,0.041082703527814304
saturation_below_85,0.063017760002541,0.0784731387548269
