,Age & BMI,Gut MB metabolic pathways
total_rem_sleep_time,0.00468375389308745,0.04833321673941495
time_to_transition_rem_to_wake,0.021798741277349848,0.04939960165198585
total_valid_apnea_sleep_time,0.0222367623810375,0.0465986803136103
total_valid_apnea_central_sleep_time,0.01803343447480015,0.041246228734408044
percent_of_left_sleep,0.0269356619979855,0.0476960443220618
total_left_sleep_time,0.02270045517332535,0.0385181619654321
total_non_supine_sleep_time,0.0456679235289518,0.05836262104947665
total_right_sleep_time,0.05442918439417125,0.06397231923775135
percent_of_right_sleep,0.0479547127774058,0.05546864060344875
