,"Age, BMI & VAT",Gut MB metabolic pathways
AHI,0.003071830838759832,0.006445241377160385
ahi_4_percent,0.004006943192407401,0.006841658854592043
ahi_central,0.009997814498206558,0.011581943813615029
ahi_central_during_nrem,0.012509686329323384,0.010942046152100223
ahi_central_during_rem,0.008031736286094236,0.010058373999327574
ahi_during_left,0.005856315423236668,0.009669779840174683
ahi_during_non_supine,0.0036931334838403024,0.009740343350997561
ahi_during_nrem,0.004007703522071244,0.006565723060827218
ahi_during_prone,0.005672019300418605,0.012146447567052361
ahi_during_rem,0.0025837359060117463,0.005583378429829813
ahi_during_right,0.004690458407744681,0.010555409799731854
ahi_during_supine,0.003243813424866788,0.006793763939210713
ahi_obstructive,0.0030214530448518942,0.004898816727301727
ahi_obstructive_during_nrem,0.003196382588710806,0.0056359102612520764
ahi_obstructive_during_rem,0.0030272987844740702,0.005868488088465853
desaturations_above_20,0.005667111570884016,0.020842407359550674
desaturations_mean_nadir,0.007620812525379711,0.011329762724260364
desaturations_of_10_20,0.007161823821863796,0.021069804386449707
desaturations_of_4_9,0.003720534424526046,0.007403375931383347
number_of_4_percent_desaturation_apnea_hypopnea_events,0.00524655951442179,0.007357471486868355
number_of_all_respiratory_events,0.0047584591960823696,0.007445645029648317
number_of_apnea_hypopnea_events,0.003780229716457627,0.005471653214684237
number_of_central_apnea_hypopnea_events,0.011602152107152399,0.01326339764232352
number_of_desaturation_events,0.004754881266521703,0.006991408328776385
number_of_obstructive_apnea_hypopnea_events,0.0034726353557243514,0.005387248810065983
number_of_transitions_nrem_to_rem,0.010576836283856979,0.012752669194950838
number_of_transitions_nrem_to_wake,0.007293682529072589,0.011380244547792248
number_of_transitions_rem_to_nrem,0.010596251660026482,0.013736343465386077
number_of_transitions_rem_to_wake,0.010494362175632231,0.011040002391057945
number_of_transitions_wake_to_nrem,0.007319483109548506,0.010334025035668075
number_of_transitions_wake_to_rem,0.012825488437117649,0.011152242616516438
number_of_wakes,0.00857966325437343,0.01083995905242489
odi,0.0038484198739403433,0.006948472988819749
odi_during_left,0.007570437408474961,0.011110567193449473
odi_during_non_supine,0.006127901687056293,0.008528334964000012
odi_during_nrem,0.006208017288026956,0.008269031241978779
odi_during_prone,0.010899306584525663,0.012039274260264396
odi_during_rem,0.0039057610785693695,0.008214548462140413
odi_during_right,0.006213451440802083,0.012204469130339176
odi_during_supine,0.005072757284384335,0.009204157576512394
percent_of_deep_sleep_time,0.008483142436637543,0.010471691981386755
percent_of_left_sleep,0.008803183371841558,0.010471152754442554
percent_of_light_sleep_time,0.007752677669588378,0.012561561675845432
