,clinical_OSA
0,0.5
1,0.5
2,0.5
3,0.5
4,0.5
5,0.49932614555256066
6,0.5
7,0.5
8,0.5
9,0.49932614555256066
10,0.5
11,0.5
12,0.49932614555256066
13,0.5
14,0.5
15,0.5
16,0.5
17,0.49932614555256066
18,0.5
19,0.49932614555256066
20,0.49932614555256066
21,0.5
22,0.5
23,0.5
24,0.5
25,0.5
26,0.49932614555256066
27,0.5
28,0.5
29,0.5
30,0.5
31,0.5
32,0.5
33,0.49932614555256066
34,0.5
35,0.5
36,0.5
37,0.49932614555256066
38,0.49932614555256066
39,0.5
40,0.5
41,0.5
42,0.5
43,0.5
44,0.5
45,0.5
46,0.5
47,0.5
48,0.49932614555256066
49,0.5
