,clinical_OSA
0,0.4997593840230991
1,0.4997593840230991
2,0.4997593840230991
3,0.4997593840230991
4,0.4997593840230991
5,0.4997593840230991
6,0.4997593840230991
7,0.49951876804619827
8,0.4997593840230991
9,0.4997593840230991
10,0.4997593840230991
11,0.4997593840230991
12,0.4997593840230991
13,0.49951876804619827
14,0.4997593840230991
15,0.4997593840230991
16,0.4997593840230991
17,0.49951876804619827
18,0.4997593840230991
19,0.4997593840230991
20,0.4997593840230991
21,0.49951876804619827
22,0.5
23,0.49951876804619827
24,0.4997593840230991
25,0.4997593840230991
26,0.4997593840230991
27,0.4997593840230991
28,0.4997593840230991
29,0.4997593840230991
30,0.4997593840230991
31,0.49951876804619827
32,0.4997593840230991
33,0.4997593840230991
34,0.4997593840230991
35,0.49951876804619827
36,0.4997593840230991
37,0.4997593840230991
38,0.4997593840230991
39,0.4997593840230991
40,0.4997593840230991
41,0.49951876804619827
42,0.49951876804619827
43,0.5
44,0.4997593840230991
45,0.4997593840230991
46,0.4997593840230991
47,0.4997593840230991
48,0.4997593840230991
49,0.4997593840230991
