,clinical_OSA
0,0.5035332606324973
1,0.5061177753544166
2,0.5001308615049074
3,0.5001308615049074
4,0.49985823336968377
5,0.5061177753544166
6,0.5006761177753544
7,0.5038058887677208
8,0.5001308615049074
9,0.5006761177753544
10,0.5035332606324973
11,0.49985823336968377
12,0.5084296619411123
13,0.5061177753544166
14,0.5087022900763358
15,0.5035332606324973
16,0.5029880043620502
17,0.5035332606324973
18,0.4995856052344602
19,0.49985823336968377
20,0.49985823336968377
21,0.4995856052344602
22,0.5001308615049074
23,0.5035332606324973
24,0.5058451472191929
25,0.5004034896401309
26,0.5066630316248637
27,0.5035332606324973
28,0.5066630316248637
29,0.49985823336968377
30,0.5089749182115595
31,0.4990403489640131
32,0.5055725190839694
33,0.5032606324972736
34,0.5006761177753544
35,0.49985823336968377
36,0.4995856052344602
37,0.5058451472191929
38,0.49985823336968377
39,0.5027153762268265
40,0.5032606324972736
41,0.5006761177753544
42,0.5001308615049074
43,0.5024427480916029
44,0.5012213740458016
45,0.5100654307524537
46,0.5001308615049074
47,0.5004034896401309
48,0.5038058887677208
49,0.5032606324972736
