,Age & BMI,Diet
total_arousal_sleep_time,0.010081425860720951,0.0384045836744443
total_sleep_time,0.01059554568088625,0.03709907197750775
total_time_in_bed,0.02402978010036025,0.05016959287685905
sleep_efficiency,0.07503115443052169,0.09069916898162235
number_of_transitions_rem_to_nrem,0.01336882061690005,0.022369032177885252
saturation_max_value,0.1877505056025715,0.19410912426848959
