,"Age, BMI & VAT",Hematopoietic system
AHI,0.003662984442057357,0.0049337421752908865
ahi_4_percent,0.005000691809577828,0.00563743914806952
ahi_central,0.009440026069583161,0.009437264936866897
ahi_central_during_nrem,0.010580679395528049,0.00977877104814944
ahi_central_during_rem,0.009847742625626849,0.01034834448567661
ahi_during_left,0.006163560537049886,0.006943496274655713
ahi_during_non_supine,0.004751372778998962,0.008104131291413932
ahi_during_nrem,0.004771791805579602,0.005325566326819793
ahi_during_prone,0.007544181695103833,0.010507369620234958
ahi_during_rem,0.0035231069586860253,0.0038885007977158144
ahi_during_right,0.005577083549594182,0.009550816761955653
ahi_during_supine,0.003716349242045894,0.005121772626492589
ahi_obstructive,0.003764725969210703,0.0059922709196956105
ahi_obstructive_during_nrem,0.004395937665879054,0.005482807378902705
ahi_obstructive_during_rem,0.003872875533919491,0.004273689884808892
desaturations_above_20,0.010412534646163764,0.009821273332102731
desaturations_mean_nadir,0.008833333721018475,0.00969996430473467
desaturations_of_10_20,0.011574649481982944,0.011964864940780947
desaturations_of_4_9,0.005205980104803678,0.005123575614231704
number_of_4_percent_desaturation_apnea_hypopnea_events,0.004703599498534266,0.005048183875288017
number_of_all_respiratory_events,0.005023731710857733,0.007391811723925958
number_of_apnea_hypopnea_events,0.0037797839434267266,0.005894504892486051
number_of_central_apnea_hypopnea_events,0.008975019725608898,0.009208635074742951
number_of_desaturation_events,0.005664703831034559,0.005316349538487681
number_of_obstructive_apnea_hypopnea_events,0.004238379901712368,0.005412421609744875
number_of_transitions_nrem_to_rem,0.01718407940027419,0.013435994112055448
number_of_transitions_nrem_to_wake,0.008735043385940982,0.009700777891474693
number_of_transitions_rem_to_nrem,0.015210500602976644,0.013091828185293683
number_of_transitions_rem_to_wake,0.011311100716914445,0.011345407861103043
number_of_transitions_wake_to_nrem,0.00918199874728092,0.010101891523649766
number_of_transitions_wake_to_rem,0.011762758902958147,0.009065710886594823
number_of_wakes,0.009906112980066183,0.011515016228410686
odi,0.0058694487348965535,0.00547946444338327
odi_during_left,0.007918681335262712,0.00739591857153122
odi_during_non_supine,0.006964559098422457,0.0066945146838593705
odi_during_nrem,0.0071375376980277565,0.007113786570840361
odi_during_prone,0.007942815637902449,0.009973078074479617
odi_during_rem,0.00511171116023824,0.005249274320452418
odi_during_right,0.007154160992961033,0.010324662203356252
odi_during_supine,0.005385635088126028,0.006712768580772209
percent_of_deep_sleep_time,0.009565685436862273,0.010648506024800615
percent_of_left_sleep,0.011111689892044948,0.012348701984283058
percent_of_light_sleep_time,0.009586735106857222,0.009568228649715873
percent_of_non_supine_sleep,0.01321666707374109,0.010630070322220433
percent_of_prone_sleep,0.017029468331124103,0.013941587082443007
percent_of_rem_sleep_time,0.010697714755242945,0.01006815136940771
percent_of_right_sleep,0.01371599802277216,0.012805773805929954
percent_of_sleep_time,0.011565215732767333,0.015061366402634845
percent_of_supine_sleep,0.013216666942424552,0.010630070350810648
percent_of_wake_time,0.011557231761599592,0.015054999991644745
rdi,0.005014242013168707,0.008147201869443408
rdi_during_left,0.008214562977405249,0.01050280995545182
rdi_during_non_supine,0.006886406824316994,0.010295724568717973
rdi_during_nrem,0.006315006983140226,0.006262692963202592
rdi_during_prone,0.010102202252381636,0.01232226451512237
rdi_during_rem,0.005260366855784094,0.005594201952995677
rdi_during_right,0.009013418317037275,0.01181101422746044
rdi_during_supine,0.004369708996006617,0.00714769771514529
rem_latency,0.01226231547937877,0.012966119375608025
saturation_below_80,0.013976712201792323,0.011716692614766553
saturation_below_85,0.011932658619841436,0.011209433192963652
saturation_below_90,0.011483077147794495,0.013059431533939254
saturation_below_or_equal_88,0.010186683525956558,0.011532203328798996
saturation_max_value,0.008770741829698907,0.00971029213371807
saturation_mean,0.003429353619871514,0.004270248273535013
saturation_min_value,0.005688424392192075,0.007727776133153828
sleep_efficiency,0.013342670084826723,0.012292703594834559
sleep_latency,0.014797504687835363,0.014663232400977826
snore_above_40db,0.008845068116537739,0.010284222817609835
snore_above_45db,0.005494470867875719,0.007839899476443936
snore_above_50db,0.007856121245077492,0.008784152942925337
snore_above_60db,0.011362465838689679,0.012302996903686863
snore_db_mean,0.006432315485191137,0.008207622914295672
time_to_transition_nrem_to_rem,0.015131203176501748,0.013586844967751064
time_to_transition_nrem_to_wake,0.011010963009810793,0.011395374923964405
time_to_transition_rem_to_nrem,0.008702551271011364,0.011528668009747188
time_to_transition_rem_to_wake,0.015294451148625357,0.012660916190346382
time_to_transition_wake_to_nrem,0.012097898489143546,0.014062360804019227
time_to_transition_wake_to_rem,0.01756269413067548,0.016190232165054746
total_arousal_sleep_time,0.010661103549730136,0.011388284615073043
total_deep_sleep_time,0.011863533167579734,0.012093846858820746
total_left_sleep_time,0.011977536963300407,0.01211320181100637
total_light_sleep_time,0.009509210368228497,0.010225948858114925
total_non_supine_sleep_time,0.01312253250127314,0.01268835114636767
total_prone_sleep_time,0.016330312357768256,0.014388235188381908
total_rem_sleep_time,0.014453879649612452,0.012331685494878293
total_right_sleep_time,0.011192520188554399,0.01180396824971084
total_sleep_time,0.010744711137505327,0.011712821941784947
total_supine_sleep_time,0.012758431464703315,0.011873082794695317
total_time_in_bed,0.013823271657326329,0.011596548302773423
total_valid_apnea_central_sleep_time,0.010526625254247109,0.012413933269723398
total_valid_apnea_sleep_time,0.011659192640300754,0.010172365055792547
total_wake_time,0.012677181810935962,0.012493474398005685
total_wake_time_after_sleep_onset,0.013900515154824893,0.015822065735380572
variability_between_sleep_stage_percents,0.009478530557581535,0.010419780774346727
