,"Age, BMI & VAT",Hematopoietic system
AHI,0.005112855939278363,0.006544076962588576
ahi_4_percent,0.0069314777446461895,0.00739008648192979
ahi_central,0.009805569913530831,0.011155420730338029
ahi_central_during_nrem,0.010090767776829426,0.012990612481897548
ahi_central_during_rem,0.011721272721191138,0.010673225876510782
ahi_during_left,0.007311813917564215,0.008880464917629059
ahi_during_non_supine,0.006369823235878791,0.006579118997752251
ahi_during_nrem,0.005268148872761232,0.00578734042541816
ahi_during_prone,0.009495523328104731,0.010827385035815013
ahi_during_rem,0.004737402120180193,0.0055306509759434205
ahi_during_right,0.008144043265427949,0.009444939065916334
ahi_during_supine,0.0048207805492107535,0.005609864647614713
ahi_obstructive,0.003953479475834861,0.004579498949806936
ahi_obstructive_during_nrem,0.0047805577285762796,0.0053524100386615975
ahi_obstructive_during_rem,0.004562156364147367,0.005965792040160829
desaturations_above_20,0.01443972406560594,0.016035810135008238
desaturations_mean_nadir,0.00690006196341851,0.008202887094635423
desaturations_of_10_20,0.009891857529389255,0.010829903046508911
desaturations_of_4_9,0.006698875247771762,0.007056648102466355
number_of_4_percent_desaturation_apnea_hypopnea_events,0.007424025545730935,0.00744783813739788
number_of_all_respiratory_events,0.007150152372253705,0.009031447651057336
number_of_apnea_hypopnea_events,0.00689800083297549,0.007026996863469261
number_of_central_apnea_hypopnea_events,0.010667062184595885,0.011586080851700742
number_of_desaturation_events,0.006971323658406605,0.006992725223402645
number_of_obstructive_apnea_hypopnea_events,0.004534046498359204,0.005298425278246523
number_of_transitions_nrem_to_rem,0.012632832572345515,0.013831583795829898
number_of_transitions_nrem_to_wake,0.009125427185884582,0.01187470631542939
number_of_transitions_rem_to_nrem,0.013347062781564289,0.011374533078813302
number_of_transitions_rem_to_wake,0.012545624205055079,0.01329378536384947
number_of_transitions_wake_to_nrem,0.00944052838155911,0.010871525306313959
number_of_transitions_wake_to_rem,0.013719960268330068,0.013433376041925961
number_of_wakes,0.009784934088569532,0.01297940085727929
odi,0.006387590183510002,0.007087557108266998
odi_during_left,0.006897620817753453,0.008079535293024204
odi_during_non_supine,0.00665850054735601,0.007505479136790326
odi_during_nrem,0.006460421695279951,0.006746354572300389
odi_during_prone,0.00807117987325826,0.009846713444110998
odi_during_rem,0.005467906080615828,0.005508747174576548
odi_during_right,0.008156599485407064,0.007948827822114955
odi_during_supine,0.005197932235093209,0.006817089318244939
percent_of_deep_sleep_time,0.010079316128920103,0.010522117184746207
percent_of_left_sleep,0.01255690209726776,0.011852092422689916
percent_of_light_sleep_time,0.01020982780930303,0.009997318847184841
percent_of_non_supine_sleep,0.01267288915335264,0.010819771996061888
percent_of_prone_sleep,0.012271061709156112,0.012588206192205645
percent_of_rem_sleep_time,0.011045193753448026,0.013256579235781647
percent_of_right_sleep,0.0124996849171868,0.012321232015676975
percent_of_sleep_time,0.014195743129377573,0.011885787548744609
percent_of_supine_sleep,0.012677290366180505,0.010815451360242145
percent_of_wake_time,0.014180909411250253,0.011888591623043053
rdi,0.006197958091250306,0.008057772246243478
rdi_during_left,0.009193871869543263,0.010880152824658576
rdi_during_non_supine,0.00696497094663576,0.007498268275642402
rdi_during_nrem,0.0060353684181008805,0.007548601604197791
rdi_during_prone,0.01308409040352465,0.013683414024235922
rdi_during_rem,0.005618349819060972,0.006192251347175257
rdi_during_right,0.01000644822368978,0.01048146186485628
rdi_during_supine,0.005835283422324748,0.006830075906783768
rem_latency,0.014779213286653891,0.015095338841959176
saturation_below_80,0.01786867310030613,0.016864875523365373
saturation_below_85,0.01260641897528744,0.016741899611970607
saturation_below_90,0.027667694825039696,0.02403153343055771
saturation_below_or_equal_88,0.01061716736367664,0.018936837934431048
saturation_max_value,0.011246293601530484,0.009203098690020839
saturation_mean,0.004521059855639985,0.006232561586017008
saturation_min_value,0.007676556465818962,0.007803206602537212
sleep_efficiency,0.012280917607300415,0.01355367081668185
sleep_latency,0.01340565900414615,0.012634406530001486
snore_above_40db,0.012291504235618726,0.011073814282672675
snore_above_45db,0.009679713527764148,0.01126162417631779
snore_above_50db,0.011378512671839142,0.0180873776105145
snore_above_60db,0.012874261578748155,0.010909470618354867
snore_db_mean,0.008592931964368992,0.011275013202421934
time_to_transition_nrem_to_rem,0.014701948803564902,0.013445419356278514
time_to_transition_nrem_to_wake,0.013326327413802208,0.011001290132523723
time_to_transition_rem_to_nrem,0.011830159064204033,0.0099548380321141
time_to_transition_rem_to_wake,0.016137391145121683,0.013519683199213081
time_to_transition_wake_to_nrem,0.009544389758888905,0.012088228586927173
time_to_transition_wake_to_rem,0.012082172477821606,0.015422341793128434
total_arousal_sleep_time,0.016946480396576154,0.015562307308455271
total_deep_sleep_time,0.009392390354336972,0.00974272725463479
total_left_sleep_time,0.01247596226337531,0.01091451339172463
total_light_sleep_time,0.01304601695384747,0.010970766833995314
total_non_supine_sleep_time,0.012607048391292527,0.012192663463328741
total_prone_sleep_time,0.011716513905455845,0.011565179474828631
total_rem_sleep_time,0.013125198333643041,0.014236685560063767
total_right_sleep_time,0.011593793442579645,0.013451435184798355
total_sleep_time,0.017095000109681468,0.015497399906036751
total_supine_sleep_time,0.012814039004499308,0.010844369322249634
total_time_in_bed,0.010745377564332413,0.01305031289060867
total_valid_apnea_central_sleep_time,0.018439259284084505,0.015626256508098853
total_valid_apnea_sleep_time,0.017307255278193434,0.014502345549657486
total_wake_time,0.012438719919532819,0.014400613092685652
total_wake_time_after_sleep_onset,0.014205672962043399,0.013708770183897493
variability_between_sleep_stage_percents,0.010252167418413477,0.010155774777594717
