,clinical_OSA
0,0.5369397369626382
1,0.5342014002486422
2,0.5493783942943139
3,0.5345547340181901
4,0.5299025060524767
5,0.550575803180004
6,0.5293888634430413
7,0.54425505463587
8,0.5336026958057973
9,0.5491428384479488
10,0.5361054766734279
11,0.5274422561015507
12,0.5478701825557809
13,0.5502551855002291
14,0.5568540208074331
15,0.5233887325786822
16,0.5229503369757247
17,0.5509291369495517
18,0.5603088398874567
19,0.5463194399005431
20,0.5417097428515344
21,0.5371000458025257
22,0.5305012104953216
23,0.536982267879343
24,0.5344369560950075
25,0.5392069619839036
26,0.5487044428449912
27,0.5303834325721389
28,0.5518059281554668
29,0.5543087090230976
30,0.5317738663874894
31,0.5468756134266831
32,0.5331643002028398
33,0.5442125237191651
34,0.5470359222665707
35,0.5536347575737748
36,0.5417097428515344
37,0.5380520840149184
38,0.5319341752273768
39,0.5636884119610024
40,0.5359876987502453
41,0.512340509062357
42,0.5354315252241052
43,0.5459235752142905
44,0.5218379899234443
45,0.5313780017012366
46,0.5559772296015181
47,0.526169600209383
48,0.5362657855133154
49,0.5316135575476019
