,"Age, BMI & VAT",Medications
AHI,0.0009958289898853508,0.000995828989885321
ahi_4_percent,0.0013689296036855168,0.0013689296036855138
ahi_central,0.0037758217622609947,0.0037758217622609926
ahi_central_during_nrem,0.0036195684019984012,0.0036195684019984012
ahi_central_during_rem,0.0036806403806560134,0.0036806403806560134
ahi_during_left,0.0015151019847927615,0.0015151019847927615
ahi_during_non_supine,0.001555762879102506,0.001555762879102506
ahi_during_nrem,0.0014029333083873518,0.0014029333083873518
ahi_during_prone,0.0019301218203326238,0.0019301218203326208
ahi_during_rem,0.0009978754813354596,0.0009978754813354499
ahi_during_right,0.0019935877383065585,0.001993587738306564
ahi_during_supine,0.0010833831726824003,0.0010833831726824105
ahi_obstructive,0.0010536161659958838,0.0010536161659958927
ahi_obstructive_during_nrem,0.0010101544031159734,0.0010101544031159734
ahi_obstructive_during_rem,0.0007931224848350889,0.0007931224848350889
desaturations_above_20,0.013220661694778226,0.013220661694778226
desaturations_mean_nadir,0.0021239877319412107,0.0021239877319412107
desaturations_of_10_20,0.004758646673227207,0.00475864667322721
desaturations_of_4_9,0.0014608495352711219,0.0014608495352711219
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0015178064280944677,0.0015178064280944677
number_of_all_respiratory_events,0.0015372215958852757,0.0015372215958852757
number_of_apnea_hypopnea_events,0.0011580124446375518,0.0011580124446375518
number_of_central_apnea_hypopnea_events,0.003244955243613807,0.003244955243613807
number_of_desaturation_events,0.0017139370686632136,0.0017139370686632136
number_of_obstructive_apnea_hypopnea_events,0.0012612320815881563,0.0012612320815881563
number_of_transitions_nrem_to_rem,0.019073877618809465,0.01907387761880949
number_of_transitions_nrem_to_wake,0.004189991648210143,0.004189991648210131
number_of_transitions_rem_to_nrem,0.018020474402270708,0.01802047440227069
number_of_transitions_rem_to_wake,0.012539438927874878,0.012539438927874878
number_of_transitions_wake_to_nrem,0.003737871188904438,0.0037378711889044544
number_of_transitions_wake_to_rem,0.012082264126945201,0.012082264126945207
number_of_wakes,0.004598342936732908,0.004598342936732908
odi,0.0015616289201033017,0.0015616289201032876
odi_during_left,0.0022224384500261324,0.0022224384500261194
odi_during_non_supine,0.0018042665306267074,0.001804266530626717
odi_during_nrem,0.0020312732739612717,0.0020312732739612926
odi_during_prone,0.0025051201126760863,0.0025051201126760863
odi_during_rem,0.0012878291400782644,0.0012878291400782644
odi_during_right,0.0030022445841396523,0.0030022445841396523
odi_during_supine,0.00134695360767672,0.00134695360767672
percent_of_deep_sleep_time,0.0019603534744067974,0.001960353474406807
percent_of_left_sleep,0.006075588038968512,0.006075588038968512
percent_of_light_sleep_time,0.0023778686213659656,0.0023778686213659656
percent_of_non_supine_sleep,0.0045566576518275516,0.0045566576518275516
percent_of_prone_sleep,0.012235061294835894,0.012235061294835902
percent_of_rem_sleep_time,0.0036425448217928757,0.0036425448217928757
percent_of_right_sleep,0.0043196808130109635,0.00431968081301097
percent_of_sleep_time,0.006165408061828795,0.006165408061828803
