,"Age, BMI & VAT",Mental health
AHI,0.004686245127502051,0.006290542319667458
ahi_4_percent,0.005347171401504228,0.0077427160523240255
ahi_central,0.009556334905111314,0.01055374025856305
ahi_central_during_nrem,0.011022964576375084,0.01131939456875942
ahi_central_during_rem,0.010693352545122882,0.011065620026047314
ahi_during_left,0.006139551979403754,0.009041352071691825
ahi_during_non_supine,0.006219611211150775,0.009074827489545816
ahi_during_nrem,0.005617848733636901,0.007462628647840024
ahi_during_prone,0.00832986883572892,0.011383332180975286
ahi_during_rem,0.004565674812149969,0.00590037017720792
ahi_during_right,0.007996605229315596,0.009744696688036588
ahi_during_supine,0.0051504084663728635,0.005654342315908695
ahi_obstructive,0.0037859335005761504,0.005612819977563304
ahi_obstructive_during_nrem,0.005641570289544875,0.007661106256503153
ahi_obstructive_during_rem,0.004472443098521601,0.005411976607354071
desaturations_above_20,0.010856024218852805,0.01948090724319395
desaturations_mean_nadir,0.009834931670906422,0.012018937755129038
desaturations_of_10_20,0.009453332555593984,0.017073269368038515
desaturations_of_4_9,0.005256879966223705,0.007332246561649797
number_of_4_percent_desaturation_apnea_hypopnea_events,0.005842801793096784,0.007429072867568512
number_of_all_respiratory_events,0.0061447571492996705,0.00895063813444442
number_of_apnea_hypopnea_events,0.0047460597450474885,0.0068575649441054405
number_of_central_apnea_hypopnea_events,0.009397588396887445,0.012024729415808651
number_of_desaturation_events,0.005435527027405103,0.007418220461647746
number_of_obstructive_apnea_hypopnea_events,0.00429160363969666,0.0061718994965626476
number_of_transitions_nrem_to_rem,0.013330859917916646,0.01194511696709335
number_of_transitions_nrem_to_wake,0.010012646753563335,0.012325057794869948
number_of_transitions_rem_to_nrem,0.014118900111923308,0.013810726512520284
number_of_transitions_rem_to_wake,0.013784703427634902,0.011405284999626255
number_of_transitions_wake_to_nrem,0.009699635497877862,0.01202904921785582
number_of_transitions_wake_to_rem,0.013129952185224654,0.013308838536974468
number_of_wakes,0.011737425234314909,0.012882115867484509
odi,0.005420882977830612,0.007977154823949876
odi_during_left,0.00829143318277557,0.009636281582065536
odi_during_non_supine,0.008916154621583796,0.011417127717786623
odi_during_nrem,0.007232826522347495,0.009307479498515974
odi_during_prone,0.011503512695451003,0.014064162194495428
odi_during_rem,0.0049828808785907985,0.007155594021865768
odi_during_right,0.007172039608286234,0.011735322611070203
odi_during_supine,0.006161094949560236,0.008188769077536307
percent_of_deep_sleep_time,0.009952734061730655,0.010905019913665012
percent_of_left_sleep,0.013726803335054815,0.012185347553599088
percent_of_light_sleep_time,0.011311107701698766,0.011991640960615646
percent_of_non_supine_sleep,0.012779209164403347,0.013256849880182343
percent_of_prone_sleep,0.015983705678912517,0.01388337247412048
percent_of_rem_sleep_time,0.012970065458308326,0.012412865997453669
percent_of_right_sleep,0.01321204782743633,0.01062720618867445
percent_of_sleep_time,0.012123804260998246,0.012817634982470766
percent_of_supine_sleep,0.012779209252184998,0.013256849954443308
percent_of_wake_time,0.012119842984685932,0.0128007637505879
rdi,0.005641070666062182,0.00838240481147705
rdi_during_left,0.008964262814203082,0.011140620052073898
rdi_during_non_supine,0.008574008632743145,0.010887636939707904
rdi_during_nrem,0.008846560203733677,0.009205252359603034
rdi_during_prone,0.011658405642305093,0.013920316004524924
rdi_during_rem,0.00639751028387577,0.008840935658160354
rdi_during_right,0.010324767821201482,0.01232375939086929
rdi_during_supine,0.0063682522059496476,0.006650573151764278
rem_latency,0.013324075329451535,0.014944894438995793
saturation_below_80,0.011968859673254964,0.020646206024812527
saturation_below_85,0.011809808954429346,0.025157549913647936
saturation_below_90,0.013129122003266009,0.016202251120893563
saturation_below_or_equal_88,0.013237451531768623,0.015591415661098524
saturation_max_value,0.009486686553476726,0.01033342054825979
saturation_mean,0.004153305961888216,0.005979930591976572
saturation_min_value,0.006313433539822188,0.009503549304629698
sleep_efficiency,0.014516794814358651,0.012009563243592898
sleep_latency,0.014742420192394886,0.013894721950178157
snore_above_40db,0.010129134847840967,0.010632580347839394
snore_above_45db,0.008983686857416554,0.00959819112787083
snore_above_50db,0.011978206958008754,0.012484747105026102
snore_above_60db,0.019215553615659516,0.015189138652794148
snore_db_mean,0.009301432412155424,0.01107500386740177
time_to_transition_nrem_to_rem,0.011089742098486722,0.013997187211406583
time_to_transition_nrem_to_wake,0.013785542991078963,0.011295733560574065
time_to_transition_rem_to_nrem,0.009754028040745238,0.014156604194280515
time_to_transition_rem_to_wake,0.016719112556601856,0.01575001534407868
time_to_transition_wake_to_nrem,0.01584199180443874,0.014931498640311985
time_to_transition_wake_to_rem,0.019773973150516704,0.014551764634285527
total_arousal_sleep_time,0.012934880287444267,0.014277067878630229
total_deep_sleep_time,0.012517631690444012,0.014716726617960316
total_left_sleep_time,0.013154588311395167,0.012693176772270007
total_light_sleep_time,0.012029682509384314,0.010938138906597922
total_non_supine_sleep_time,0.013041664708125436,0.012829185588728857
total_prone_sleep_time,0.01749174185957834,0.014779428165808853
total_rem_sleep_time,0.01388843673110247,0.014468738131343228
total_right_sleep_time,0.013231671620086502,0.010499962856284874
total_sleep_time,0.012996781647611276,0.014132625547818817
total_supine_sleep_time,0.012033468981146942,0.014089599549137952
total_time_in_bed,0.014920338091867043,0.015308636679143431
total_valid_apnea_central_sleep_time,0.013945076996021395,0.013900850452329026
total_valid_apnea_sleep_time,0.009890760749079073,0.012929765213527976
total_wake_time,0.015572972770553773,0.011715532897707574
total_wake_time_after_sleep_onset,0.011220059113805842,0.014152378694566682
variability_between_sleep_stage_percents,0.01083501380461298,0.011829198264262241
