,Age & BMI,"HRV
(average of nights)"
bt__platelets,0.15064771978974106,0.16603251477683134
liver_sound_speed,0.5057305932477434,0.5086256982248332
bt__alkaline_phosphatase,0.36878729973884294,0.3712543719984782
