,index,adrr,COGI,cv,ea1c,gmi,grade,grade_eugly,grade_hyper,grade_hypo,hbgi,lbgi,hyper_index,hypo_index,igc,iqr,j_index,m_value,MAD,mage,above_140,above_180,below_54,below_70,in_range_63_140,in_range_70_180,range,sd,Min,1stQu,Median,Mean,3rdQu,Max,Conga,GVP,MODD,SDRoc,CV_Measures_Mean,CV_Measures_SD,AUC,MAG,SdW,SdHHMM,SdWSH,SdDM,SdB,SdBDM,bt__hba1c,bt__glucose
21,0.03312901255531713,0.13937500546488918,0.1338294219450498,0.1264318936728727,0.20918423246224474,0.20918423243215536,0.007037745305687859,0.06942697966925893,0.12741639712599495,0.17738122873923184,0.059452937174359455,0.2078635475086636,0.03701035814833641,0.08110289912050303,0.06788465674579525,0.14498183359283165,0.19520783926511218,0.03715751276410552,0.14164310739376476,0.023062006601552734,0.13197282899767537,0.0607910441534302,-0.001163925960975596,0.07706927176796002,0.0086838818669369,0.07629195038007976,0.03996998767741295,0.11536388604753701,0.18005356155246433,0.24545597104874808,0.20813163474319668,0.20918423349311216,0.22857227043576003,0.0695132404237828,0.06706995472741073,0.0810637005066125,0.13035007505153337,0.08026621801164566,0.20232687254240042,0.016436669320621385,0.21078034164716586,0.13297886655397323,0.17998147812605403,0.20487629904015162,0.076173767086977,0.018790856461410353,0.05599752536326451,0.10235055719008856,0.2624487152011908,0.23711493695972877
22,0.05764372681795584,0.14888054153987768,0.1504277014638648,0.0846262811086219,0.2011970184761993,0.20097606703321036,0.027475136170706464,0.08298697367416476,0.11844422970084775,0.18121918553122554,0.058185834844698435,0.19987299405575623,0.030875354987040093,0.10201706957398018,0.10274282048541637,0.13096826799306893,0.15057580980247093,0.02364398485190073,0.11795257018591407,-0.007424369565387683,0.13199544368622176,0.06033045186195331,0.006746478731094388,0.09551385723728911,0.044120558462275264,0.1073850424944887,0.00840174454547124,0.057574012606659876,0.1460209245227578,0.23993041227232398,0.20676045198671833,0.20119702021216995,0.20305866880079287,0.030293057718665254,0.026668830406814344,0.09203577059440989,0.08920949991008162,0.0665194811725406,0.18076249353413124,0.013763008651651686,0.22274025720144675,0.1255960178395529,0.15022015219593612,0.18911541265816767,0.08044727064251123,-0.02648895528338571,0.016526689560268506,0.08585933595793513,0.3036492717150909,0.2485740400167135
23,0.03071220847324202,0.18500811275278578,0.15899884016569044,0.09509428351252383,0.2449728639728778,0.24497286113683558,0.05322251168611377,0.09884177978861133,0.1556218702103198,0.21042918140135333,0.05414367456617722,0.2329718264059673,0.011513240077955542,0.14168336560754463,0.13242549505673307,0.16213282563855583,0.17881332162755734,0.012293303377712696,0.13637461636100778,-0.017516233736716135,0.1658590042332505,0.026781692089431326,0.024536564120538364,0.14297436763824084,0.04590030608576639,0.12848863459828136,0.03284433373308586,0.05709262858154668,0.16443939481521286,0.2632679773282452,0.23632793796957577,0.24916137939326266,0.24388450665910957,0.049752379580789714,0.05110631219870495,0.11538884215439052,0.12285550883893985,0.10648729533501725,0.2124390958886784,0.028789968317214636,0.23182182075502283,0.15692265525211924,0.1772503165566373,0.19169080802899596,0.12104722669818008,-0.020888556487761226,0.023018291418214012,0.11261333022831053,0.24271694054316356,0.22790416744908776
24,0.056247761242599094,0.17650035452668508,0.16304395995090562,0.0980573578447305,0.22764994393378643,0.22595479840672575,0.03157759079595833,0.10632676278290976,0.13670580805290206,0.1964335816360831,0.046167381036454645,0.20998041519558774,0.024486600268221765,0.10171392872905707,0.10353498523327846,0.14019660745436457,0.1726490258063515,0.034282136580168925,0.13335808122953066,-0.014505094560266132,0.1333034162908615,0.02981002558178043,0.01457462701341621,0.10928488314831473,0.042694758744875744,0.09567562046851275,0.014202978139211541,0.08001993887599722,0.1858126028819623,0.2616798544934413,0.23818774440464424,0.2276499443998684,0.2238294638021303,0.029073362490966426,0.045250760639977246,0.08249024836359478,0.09384464855168531,0.08415918471591574,0.17260070941755648,0.010512472691775857,0.2286707325697408,0.1172948275143591,0.1436323775494493,0.19915446731373543,0.07022463317109727,-0.013326926089952713,0.056098664442072795,0.07892048462430071,0.2800715331411683,0.22577557420399594
25,0.028306713320516964,0.1817340646936419,0.16556121085095993,0.1064390529866067,0.23302873738945204,0.23302873879736866,-0.0005749774462024762,0.0984165765917382,0.1471848321271001,0.2213188260069808,0.06834795892496359,0.2432689258123028,0.03543087193765951,0.10680659059865084,0.10710240599093496,0.15191881430910126,0.18952709133244586,0.016947922489393225,0.13649234608761568,0.019955628934852684,0.1415272903441207,0.023715896584829366,0.0016589154069049832,0.10141601750091486,0.006267496537371333,0.10144843440053807,0.030224319087851878,0.09186664865057177,0.2092272870504302,0.27968730312004053,0.2372775760700742,0.23302872985370282,0.23229284078154863,0.04825991971459895,0.05257958229025522,0.08742890921667498,0.10723771145707614,0.07597391436970119,0.19766091362778043,0.0230475517624649,0.23454344752642695,0.11033589756172067,0.14907866097775926,0.20211527625761175,0.07568192891918024,0.026218487011376822,0.0445525695586978,0.09454350571892305,0.23814408889267283,0.2422150109253567
26,0.006454467433573709,0.19265502973260631,0.1746267574358846,0.09656209700692577,0.23064865991212416,0.2306486691130585,0.014104808275129093,0.0961240569624602,0.12948468202994365,0.18817158416312832,0.06549651302611983,0.21757694933626873,0.024848518457974825,0.11321013531006396,0.10454143779918279,0.1463967514081561,0.16046656332773646,0.03129628319169903,0.1170418971883828,-0.016888990824270814,0.15276616983619,0.034882095650899954,0.02738715670430454,0.11923478842967015,0.018804409061658704,0.11602474590448503,0.03705409691384044,0.05198239550756608,0.17579861264246563,0.26272365326649416,0.22476345020869182,0.2306486570985271,0.22725502870662712,0.06387813278787303,0.03631096409237013,0.09339750786185254,0.10524348976111736,0.06978061729850002,0.20911638076393393,0.039088973490740815,0.21424173074912117,0.10535747579835643,0.1451320490043769,0.19955262463060644,0.07987650791740154,-0.027615428142211865,0.0297342785246144,0.06909485653106635,0.29108202391599264,0.2534634830543584
27,0.024740647974923452,0.15345892982566636,0.12749147869031136,0.08086227984632045,0.20001982537224633,0.20001983036113835,0.0001039385219870593,0.0777264559633447,0.10723988992774916,0.19369486493544955,0.024465631184353423,0.20945798273696836,-0.015091155613243978,0.1076171609572846,0.10360961804366012,0.1321733307480374,0.153447270000577,0.0002404284634066141,0.12812282168038405,-0.014707861431040461,0.11977573407177033,0.008476983036098364,0.02500189047599762,0.10425022840800513,0.03152048381579775,0.0879906284077154,0.013613600804360275,0.049774094835276755,0.17791592431363293,0.24757858603626887,0.2099558567792416,0.20001982262502951,0.2028984614240441,0.03660894537536352,0.034947507112841926,0.08490415350195837,0.08973750886666572,0.07725478216563653,0.17235382741331254,0.008764420477435194,0.18789280395540459,0.11196449760889966,0.13256295605134827,0.1784945253337681,0.07479018896770445,0.003577139938917942,0.03677497055768612,0.06290155309283135,0.21923930691626206,0.2619821345122077
28,0.01698978620832373,0.1521818750683855,0.12911981134887052,0.08785966130995468,0.24505787353469663,0.24505787790423383,0.004934548701473027,0.07837239016848559,0.12904651198919706,0.20053409767842895,0.061167153018719014,0.21037206527697633,0.014315878746457135,0.10004726687975664,0.08603397038879505,0.18681461789971268,0.19477225560169809,0.03332729888910562,0.1679243681618794,-0.029547221413085415,0.18116210508550606,0.04488221407747762,0.01488369851213828,0.08826998203143643,0.021880714442713223,0.08256901308365622,0.0161805901109233,0.05470456119300998,0.16766212415024828,0.2660831506088052,0.25756453090361425,0.24505787384410677,0.2466771946082995,0.02943687429565015,0.04045623825488214,0.09708394895230822,0.14196662278974517,0.08977804009887984,0.2067547405259951,0.01674614961422456,0.22916906624362587,0.12511038019455456,0.16717782557633767,0.20016303728699264,0.09567265068182355,-0.03635287594961388,0.05535670357494152,0.1059902426853795,0.2782299417888238,0.24507597016197666
29,0.031185924380858935,0.16173551147710513,0.12887959432725477,0.07877473514288678,0.20325121190997372,0.20325121576758215,-0.018020501358983625,0.06578795427246566,0.11553399358998004,0.18405912001094718,0.05792638995855456,0.19581784958908327,0.03257970508933816,0.08058561086796102,0.07072388036487443,0.14788415739694613,0.15633071692092976,0.011174303222727845,0.12495531715976373,-0.026469706137559442,0.12558534780885205,0.04595740346955256,0.0005407611413824525,0.07181918110793756,0.004117332743355866,0.07107319321598347,0.016507769481022973,0.03019257121283509,0.17414480196997817,0.24438485797206402,0.23166966322419053,0.20325120846718187,0.2074003897465185,0.03311026460976068,0.02474129862802442,0.08595656619000164,0.09702689629936409,0.08547821101952432,0.21536272794457223,-0.0021296478824717724,0.2065894813967108,0.12239740111678747,0.1601377474768822,0.20091617069972761,0.08616960594037906,-0.0029054884616113376,0.01644659406947518,0.05692402028374129,0.2698278162210004,0.2614139322602498
30,0.05612367983471127,0.16870788589510888,0.16431691806077212,0.11598449762778706,0.20782755327280583,0.2078275609127937,0.01847575840539155,0.11560781553626434,0.14849387225528016,0.1828590440236411,0.052450509385209815,0.21410407338112625,0.01726963317578143,0.11463711854742457,0.11655575615491807,0.15786038215588727,0.1638112254345618,0.028336648081952694,0.1234139436508359,-0.010927963094415228,0.1442707186166856,0.037775626493596046,0.0013719882629508265,0.12659493621464893,0.03361800363019139,0.13036055084928116,0.025410964121650077,0.06715497887870242,0.1777706654583363,0.2542170606539043,0.22641932593803715,0.20782755038180548,0.204581978499219,0.05998976912951902,0.06310613106145384,0.12835336298287642,0.12074070386343691,0.1081411721975653,0.21855977483116446,0.046357254999827846,0.20130264829622027,0.14610668837326446,0.18547545542314198,0.20434039881097063,0.10582131768796695,-0.012156280827046497,0.037851515083485984,0.10730604497959362,0.2874705609224342,0.23861635404289802
