,"Age, BMI & VAT",Renal function
AHI,0.002080771255951315,0.0023401611751309287
ahi_4_percent,0.0024969271508649095,0.0027888806199500094
ahi_central,0.006347833451578873,0.006858339389416529
ahi_central_during_nrem,0.007705838633616216,0.007599225415813303
ahi_central_during_rem,0.0086449921073924,0.008754480511320422
ahi_during_left,0.0031101996682016807,0.0034148903022983334
ahi_during_non_supine,0.0018761889989341927,0.0024256362404122176
ahi_during_nrem,0.00187940584027919,0.001979567626336695
ahi_during_prone,0.0032967902298084023,0.0038299948168194257
ahi_during_rem,0.0012093228352145807,0.0013783126702170323
ahi_during_right,0.0031054726113171494,0.0034421352741430063
ahi_during_supine,0.0014169999689709546,0.0016514857300673872
ahi_obstructive,0.0012680388483628958,0.001569015695201644
ahi_obstructive_during_nrem,0.0016176648420129862,0.0018269247816234484
ahi_obstructive_during_rem,0.001201327387421882,0.0013384172753200792
desaturations_mean_nadir,0.0031199540324678967,0.0031199540324679254
desaturations_of_10_20,0.013275546080102592,0.013275546080102592
desaturations_of_4_9,0.002766359037096587,0.0030329372407927966
number_of_4_percent_desaturation_apnea_hypopnea_events,0.003189880613519728,0.003261798996437916
number_of_all_respiratory_events,0.0032015134802992613,0.003611684377808222
number_of_apnea_hypopnea_events,0.00255208441584535,0.0027629213972750065
number_of_central_apnea_hypopnea_events,0.004879048505085427,0.005689626910873235
number_of_desaturation_events,0.0032305893872855646,0.003275450912472099
number_of_obstructive_apnea_hypopnea_events,0.0015387432308675614,0.001989860043142214
number_of_transitions_nrem_to_rem,0.02258705862345915,0.02258705862345915
number_of_transitions_nrem_to_wake,0.006163205657178002,0.0066002791580319214
number_of_transitions_rem_to_nrem,0.020937110688113523,0.020937110688113523
number_of_transitions_rem_to_wake,0.013167273171765007,0.013167273171765007
number_of_transitions_wake_to_nrem,0.005780985618310934,0.006177458074365995
number_of_transitions_wake_to_rem,0.017185330816585097,0.01718533081658509
number_of_wakes,0.007284304502784771,0.0075941897096156305
odi,0.0025319495416832893,0.0027802240168414635
odi_during_left,0.0046759708636863765,0.004616791772322779
odi_during_non_supine,0.003252820715680216,0.00336252144031524
odi_during_nrem,0.003303348302045486,0.0034566217267910987
odi_during_prone,0.0060323417207520805,0.006390605580193891
odi_during_rem,0.0017710275088597713,0.001903593050497155
odi_during_right,0.004766014127765872,0.004724116154257908
odi_during_supine,0.0015495861011413827,0.0018094311149808345
percent_of_deep_sleep_time,0.0031066398073863162,0.0037056103172090453
percent_of_left_sleep,0.008037182898401905,0.016780890823271288
percent_of_light_sleep_time,0.0042077487659421525,0.005084317812980975
percent_of_non_supine_sleep,0.006698309112343099,0.007927472492671296
percent_of_prone_sleep,0.013819128572128973,0.014392082894098338
percent_of_rem_sleep_time,0.00515579283251271,0.0058298551651652175
percent_of_right_sleep,0.0068347141484036205,0.007171666517322194
percent_of_sleep_time,0.008006068726076747,0.009576852524525423
percent_of_supine_sleep,0.006698309112343092,0.00792747249267129
percent_of_wake_time,0.00800606872607674,0.009576852524525397
rdi,0.0024352072049656204,0.002923471337702745
rdi_during_left,0.002493936128843568,0.003333401188885216
rdi_during_non_supine,0.0023952843368798223,0.0028654126905323105
rdi_during_nrem,0.0020718444537618044,0.0024152515808620162
rdi_during_prone,0.0045391083061397785,0.005076605379236699
rdi_during_rem,0.001350881920085921,0.0016317620580618005
rdi_during_right,0.003563705727818104,0.004028986085617678
rdi_during_supine,0.001631560485455809,0.002273759447488063
rem_latency,0.008352113106301455,0.00968116578621293
saturation_below_80,0.01355677779819415,0.020933937568711616
saturation_below_85,0.01381979346461763,0.014037845542877715
saturation_below_90,0.006326213721179762,0.006596125144982715
saturation_below_or_equal_88,0.008200899993090097,0.008275313825018732
saturation_max_value,0.024690076193724746,0.024690076193724774
saturation_mean,0.002121621490171995,0.002121621490172017
saturation_min_value,0.0031210325904701152,0.003143153928040606
sleep_efficiency,0.010818005935150105,0.01078556544566132
sleep_latency,0.017540181428741083,0.01754018142874108
snore_above_40db,0.004134413998602522,0.0049896078725800855
snore_above_45db,0.002842264371720476,0.003209666720091483
snore_above_50db,0.004336062982975989,0.004445631181265646
snore_above_60db,0.021085402336411527,0.021085402336411516
snore_db_mean,0.004405867917628887,0.004405867917628887
time_to_transition_nrem_to_rem,0.013769105485385437,0.013878936189767757
time_to_transition_nrem_to_wake,0.005756916265721716,0.007924445055337848
time_to_transition_rem_to_nrem,0.00538193036814914,0.006352399337425158
time_to_transition_rem_to_wake,0.015845475876376258,0.016994304699351467
time_to_transition_wake_to_nrem,0.004740288717884528,0.005678665447525976
time_to_transition_wake_to_rem,0.008291831644179808,0.010264783796289204
