,"Age, BMI & VAT",Renal function
total_arousal_sleep_time,0.010085992348216513,0.009889281662693466
total_deep_sleep_time,0.003792487288100685,0.0043823848517103945
total_left_sleep_time,0.006437968921442205,0.00992554932403439
total_light_sleep_time,0.006288313054075092,0.0069268464599255685
total_non_supine_sleep_time,0.006091317260686689,0.008199044618153488
total_prone_sleep_time,0.013599148921213278,0.014072240545199085
total_rem_sleep_time,0.005121389961371345,0.006082528479605888
total_right_sleep_time,0.006131067929124747,0.006592976544404361
total_sleep_time,0.010138896316437156,0.009799213821369283
total_supine_sleep_time,0.006108610637693744,0.008359737576360741
total_time_in_bed,0.010093566554327596,0.011838130500564583
total_valid_apnea_central_sleep_time,0.008003138267242138,0.010124093529793573
total_valid_apnea_sleep_time,0.009239309387439915,0.010193362618797164
total_wake_time,0.007525394172479605,0.009633058498369812
total_wake_time_after_sleep_onset,0.0070995152741382735,0.009772312365452063
variability_between_sleep_stage_percents,0.00418219586504521,0.004767473589736442
