,Age & BMI,Renal function
AHI,0.0010057631205963678,0.0012230932415774381
ahi_4_percent,0.0014297872883125694,0.001642168072420311
ahi_central,0.005165746107254982,0.005165746938032488
ahi_central_during_nrem,0.0033401818020028407,0.003340180172963126
ahi_central_during_rem,0.0033336562238201516,0.003333658431349926
ahi_during_left,0.0014832301652289758,0.0017445924504115931
ahi_during_non_supine,0.0012478450098110925,0.0015200482980099275
ahi_during_nrem,0.0009972921581476364,0.0012137103992035795
ahi_during_prone,0.002461556306012149,0.0027668319365681663
ahi_during_rem,0.0006262880104091217,0.0008964585939459876
ahi_during_right,0.001593799643025089,0.0019111568184222868
ahi_during_supine,0.0008141938386720184,0.0009430686628356499
ahi_obstructive,0.000599956934187511,0.0008611918660250472
ahi_obstructive_during_nrem,0.001001690048023509,0.0012444460818874141
ahi_obstructive_during_rem,0.0007154210594163474,0.0010028621802416016
desaturations_above_20,0.00879654587515747,0.00879654587515747
desaturations_mean_nadir,0.003433137608267057,0.0034141389213139936
desaturations_of_10_20,0.003702483802301483,0.0037603354111800384
desaturations_of_4_9,0.0013916975527106037,0.0015787965163341483
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0014107926484502444,0.00170683606652411
number_of_all_respiratory_events,0.0015324537776326224,0.001944302759826773
number_of_apnea_hypopnea_events,0.0011010274653093337,0.0014699734635932485
number_of_central_apnea_hypopnea_events,0.0033420253815312885,0.00355180906166449
number_of_desaturation_events,0.0014429820981276533,0.0016679368791940772
number_of_obstructive_apnea_hypopnea_events,0.0007306689992088356,0.0010932687280856307
number_of_transitions_nrem_to_rem,0.012946243237289694,0.012946243227681118
number_of_transitions_nrem_to_wake,0.002756542020587133,0.003077273565414906
number_of_transitions_rem_to_nrem,0.011895621147839597,0.011895621147839597
number_of_transitions_rem_to_wake,0.014265034496383,0.014265034496382993
number_of_transitions_wake_to_nrem,0.002664943723238466,0.002938470434262084
number_of_transitions_wake_to_rem,0.01300565612960859,0.01300565612960859
number_of_wakes,0.0028493324558406634,0.002895033939618197
odi,0.001499321026573765,0.0016836962253581535
odi_during_left,0.00204945881693955,0.0020695685151116694
odi_during_non_supine,0.0018122587061558033,0.0018042318390587995
odi_during_nrem,0.0014148833984447965,0.0015289384529278394
odi_during_prone,0.0031160074709381622,0.003468363948315124
odi_during_rem,0.0009246723097938281,0.0010764831987945523
odi_during_right,0.0024820636895192512,0.00261326032385714
odi_during_supine,0.0010529378463657653,0.0012776556370666776
percent_of_deep_sleep_time,0.0026138834916140385,0.003176782468417824
percent_of_left_sleep,0.004320887331026797,0.004986442731810211
percent_of_light_sleep_time,0.00219807898435489,0.0028626669258477937
percent_of_non_supine_sleep,0.0045122777375915845,0.005350963327959439
percent_of_prone_sleep,0.012875645476616949,0.012875645476616949
