,"Age, BMI & VAT",Immune system
AHI,0.0007366230836306919,0.0009669292021042347
ahi_4_percent,0.001365218324866964,0.0013618423450290505
ahi_central,0.003813336645778304,0.0038133366503605376
ahi_central_during_nrem,0.0044228605008783724,0.004422860500878372
ahi_central_during_rem,0.0035275907382977334,0.0035275907261581676
ahi_during_left,0.002049915576908253,0.0024002705012153122
ahi_during_non_supine,0.0014138070077828813,0.0016718417118815872
ahi_during_nrem,0.0012466143033396005,0.001480595698263316
ahi_during_prone,0.0023047690051276226,0.0029725778144033335
ahi_during_rem,0.0009331046273186028,0.0010392506441611045
ahi_during_right,0.0016842317857762481,0.0019288058277138764
ahi_during_supine,0.0009534690694657502,0.0011191044034440296
ahi_obstructive,0.0010195511373523767,0.0011422360703611403
ahi_obstructive_during_nrem,0.0011441372079288952,0.0011966212480117987
ahi_obstructive_during_rem,0.0007621767505732914,0.0010116788690494249
desaturations_above_20,0.01254863380768257,0.012548633807682567
desaturations_mean_nadir,0.003485776543757585,0.003600094471313601
desaturations_of_10_20,0.005909314289221554,0.0059799138119307664
desaturations_of_4_9,0.0014098594612740934,0.0015194316969728485
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0013515835492005654,0.0014727604999387192
number_of_all_respiratory_events,0.0013002818450487043,0.0016159780983538432
number_of_apnea_hypopnea_events,0.000826193069705464,0.0010029650700709711
number_of_central_apnea_hypopnea_events,0.0026219341866676625,0.002878183502840689
number_of_desaturation_events,0.0015079132962474745,0.0016748168775926886
number_of_obstructive_apnea_hypopnea_events,0.0011592487332504288,0.001237334529735929
number_of_transitions_nrem_to_rem,0.015085276528214286,0.015085276528214285
number_of_transitions_nrem_to_wake,0.0030264989202833706,0.003719835896797101
number_of_transitions_rem_to_nrem,0.013497354602862317,0.013497354602862317
number_of_transitions_rem_to_wake,0.011464379786478856,0.011464379786478856
number_of_transitions_wake_to_nrem,0.0031143354607103277,0.0038389048798528015
number_of_transitions_wake_to_rem,0.012885932597679922,0.012885932597679922
number_of_wakes,0.0034247526204127595,0.004331250986049455
odi,0.0015790801561118544,0.0015488852618236037
odi_during_left,0.0031317585287503136,0.0030919222487206083
odi_during_non_supine,0.002114505691549325,0.0022662024902881887
odi_during_nrem,0.0016828624026395398,0.0017713775665805305
odi_during_prone,0.003271647834125429,0.0034070248469129866
odi_during_rem,0.0013626275059176937,0.001426502780867353
odi_during_right,0.0024104281611735563,0.002602247107978923
odi_during_supine,0.0012271865394406147,0.001393022468749143
percent_of_deep_sleep_time,0.0029982105770839703,0.003390892186500157
percent_of_left_sleep,0.006306686702628312,0.013654572835828263
percent_of_light_sleep_time,0.003401788963431691,0.004377797249949174
percent_of_non_supine_sleep,0.003811878173418496,0.006416365475401437
percent_of_prone_sleep,0.016289697472670634,0.016201173101285878
percent_of_rem_sleep_time,0.0043387721413058015,0.006070283314039231
percent_of_right_sleep,0.0058117954598316405,0.007671370951469903
percent_of_sleep_time,0.0046517199924011295,0.006110889793040358
percent_of_supine_sleep,0.003811878173418501,0.0064163654754014355
percent_of_wake_time,0.004651719992401229,0.00611088979304043
rdi,0.0010591469807433459,0.0015310798316563517
rdi_during_left,0.0029459272328738553,0.003187127016639773
rdi_during_non_supine,0.0021311384369654615,0.002955358505413436
rdi_during_nrem,0.001700730333660162,0.0019102719290014854
rdi_during_prone,0.003373680754762308,0.0041856850749977526
rdi_during_rem,0.001153037527187199,0.0013329940160114713
rdi_during_right,0.0025785211763988463,0.003211693842342369
rdi_during_supine,0.00126193956206897,0.0014279853982675957
rem_latency,0.01216302291158207,0.012413752070705502
saturation_below_80,0.018954621677184633,0.018954621677184605
saturation_below_85,0.021113613973703114,0.02111361397370315
saturation_below_90,0.00425177427525723,0.004168655756383993
saturation_below_or_equal_88,0.006382062097748659,0.0063820807372635775
saturation_max_value,0.009723938251398388,0.010773709853698823
saturation_mean,0.0008967796258834825,0.000920538770111532
saturation_min_value,0.0015340545932673866,0.0016661606810079905
sleep_efficiency,0.008099855302388471,0.0092239195286968
sleep_latency,0.011734105139947973,0.008836448857678328
snore_above_40db,0.003201946598412186,0.004199552567311673
snore_above_45db,0.002887758328429071,0.0031726035009853755
snore_above_50db,0.004075897647956808,0.004873051840194126
snore_above_60db,0.011714617367407209,0.01392359285435557
snore_db_mean,0.005553549226298694,0.0055535544082393525
time_to_transition_nrem_to_rem,0.007930551487325951,0.009977470715970358
time_to_transition_nrem_to_wake,0.0039952366998410324,0.006136006448602186
time_to_transition_rem_to_nrem,0.004656317134879814,0.005842314430116186
time_to_transition_rem_to_wake,0.005908794834103589,0.00789332899262453
time_to_transition_wake_to_nrem,0.012048258491654045,0.01307200640300957
time_to_transition_wake_to_rem,0.01733076226948343,0.015559364295747254
total_arousal_sleep_time,0.01439290694010533,0.01200316876974177
total_deep_sleep_time,0.004058376571053052,0.005158150744510034
total_left_sleep_time,0.005368990927094978,0.007852037753733781
total_light_sleep_time,0.004120763768835601,0.005009969306054232
total_non_supine_sleep_time,0.0037457995955007886,0.005468735627746036
total_prone_sleep_time,0.015587596970469372,0.01491395788894606
total_rem_sleep_time,0.00507978939624037,0.00813029408612788
total_right_sleep_time,0.005074612560159814,0.007097645253450627
total_sleep_time,0.01424933130082322,0.01227828832736119
total_supine_sleep_time,0.0047886720549798496,0.007118696565013067
total_time_in_bed,0.005476738166467595,0.00664974022907452
total_valid_apnea_central_sleep_time,0.010751122416328892,0.010824128946663642
total_valid_apnea_sleep_time,0.014077733401596883,0.014020130094282188
total_wake_time,0.0039907278193821215,0.00579312447480204
total_wake_time_after_sleep_onset,0.003528316077046203,0.005210985799811025
variability_between_sleep_stage_percents,0.003579246238686933,0.004421206811395307
