,Age & BMI,Immune system
AHI,0.0009430279718293299,0.0012924814376432385
ahi_4_percent,0.0011338730973327327,0.0014443346902607687
ahi_central,0.004286103666113088,0.004169985142820116
ahi_central_during_nrem,0.005367863693052802,0.0054870731976841645
ahi_central_during_rem,0.003898293918816038,0.004153068794862762
ahi_during_left,0.0018164802674850444,0.0022554720159876814
ahi_during_non_supine,0.0014878709868415753,0.0016469980482180491
ahi_during_nrem,0.0011594623089724095,0.0016849015346752153
ahi_during_prone,0.0022775025912017983,0.0033025972971702637
ahi_during_rem,0.0007520499216589575,0.0010033949149607592
ahi_during_right,0.0018221142627064743,0.0024315522782809144
ahi_during_supine,0.0009628917253926906,0.0013701961893079595
ahi_obstructive,0.0009861219890572954,0.0013312527775044248
ahi_obstructive_during_nrem,0.0018845250983063253,0.0023733752097760763
ahi_obstructive_during_rem,0.0010831691579925886,0.0016972027959846685
desaturations_above_20,0.015335929282836964,0.015335929282836959
desaturations_mean_nadir,0.0017057878489714466,0.0018543095927314997
desaturations_of_10_20,0.003618793386085897,0.00429600847664859
desaturations_of_4_9,0.0012078137549515328,0.001648755369095136
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0014135241896036498,0.001982628908958435
number_of_all_respiratory_events,0.001513148956005201,0.0023167222710475943
number_of_apnea_hypopnea_events,0.0011490561739064058,0.0017745882268782043
number_of_central_apnea_hypopnea_events,0.0033376898919524546,0.0038950981115342008
number_of_desaturation_events,0.0015626558701887434,0.0020563687763660967
number_of_obstructive_apnea_hypopnea_events,0.0012286956840007117,0.0017199187476244218
number_of_transitions_nrem_to_rem,0.017029742104369257,0.017029742104369257
number_of_transitions_nrem_to_wake,0.0038115298302978983,0.004843540085010949
number_of_transitions_rem_to_nrem,0.01838599868367814,0.0183859988331033
number_of_transitions_rem_to_wake,0.011907701414443663,0.011907701414443663
number_of_transitions_wake_to_nrem,0.00351961743031554,0.0043524652075922765
number_of_transitions_wake_to_rem,0.012996218380854395,0.012996218380854388
number_of_wakes,0.00455261690527759,0.00469669193145212
odi,0.001235271479641062,0.001483216909344401
odi_during_left,0.002352243693344895,0.002413636192242026
odi_during_non_supine,0.001994628703908887,0.00218898283353718
odi_during_nrem,0.001892017449997658,0.0022541779640228667
odi_during_prone,0.0031208270666416515,0.004136563827953782
odi_during_rem,0.0010838795912647785,0.001231572903157395
odi_during_right,0.0027318513202694737,0.0031071853012634124
odi_during_supine,0.0010185252037313893,0.001394625255381575
percent_of_deep_sleep_time,0.0018975284462454127,0.0027758464942971893
percent_of_left_sleep,0.005780986514736655,0.00903172050391421
percent_of_light_sleep_time,0.002494267925691052,0.003080424028020067
percent_of_non_supine_sleep,0.004465931406943339,0.008231596015261897
percent_of_prone_sleep,0.013254389335905213,0.013254389335905213
percent_of_rem_sleep_time,0.004446238887521361,0.004951041971350409
percent_of_right_sleep,0.004820071079134477,0.01510474566728582
percent_of_sleep_time,0.005204186238767586,0.00570145474899538
percent_of_supine_sleep,0.004465931406943321,0.008231596015261867
percent_of_wake_time,0.005204186238767657,0.005701454748995389
rdi,0.001206597845920688,0.001597100495082874
rdi_during_left,0.00204389857282069,0.0028438356494654825
rdi_during_non_supine,0.0020854048472568085,0.0025484827621658347
rdi_during_nrem,0.0014172546114764174,0.0022108645993043395
rdi_during_prone,0.0024794804808126636,0.003723008844758287
rdi_during_rem,0.0009645230964060078,0.0014191550727017438
rdi_during_right,0.0027141189575191405,0.0036002234098442745
rdi_during_supine,0.0012317471978869076,0.001637581278093121
rem_latency,0.012625266762989888,0.010748744824032232
saturation_below_80,0.01008066432300788,0.009734955986635225
saturation_below_85,0.004644168176918387,0.004503825078723558
saturation_below_90,0.003935316748952075,0.0039731095404884524
saturation_below_or_equal_88,0.0038883774451750016,0.003941423905254553
saturation_max_value,0.013348163636713949,0.017790999277738563
saturation_mean,0.0011241753778991588,0.0011387725139547233
saturation_min_value,0.0013470721920003682,0.0016076442469097946
sleep_efficiency,0.0072238234255473785,0.008229778759075343
sleep_latency,0.013162434008253399,0.011988589154480783
snore_above_40db,0.003426154396411126,0.004947755491641022
snore_above_45db,0.0018454815461552557,0.002252464641216858
snore_above_50db,0.0021232623375868533,0.0024851131039514162
snore_above_60db,0.005588433176030344,0.006382195451021564
snore_db_mean,0.0029389523824069185,0.0029378795933598825
time_to_transition_nrem_to_rem,0.00964026970895522,0.008636871674045265
time_to_transition_nrem_to_wake,0.00271544132487681,0.003717510389691052
time_to_transition_rem_to_nrem,0.004028184377963065,0.006501893452744399
time_to_transition_rem_to_wake,0.011230628145719068,0.011568806926934782
time_to_transition_wake_to_nrem,0.0035969379958524224,0.004349047522176419
time_to_transition_wake_to_rem,0.006026966245554732,0.008980387441052394
total_arousal_sleep_time,0.005738800416954513,0.006126928627310838
total_deep_sleep_time,0.002095427047753543,0.0027644561778456924
total_left_sleep_time,0.005732103115184334,0.009142477514226064
total_light_sleep_time,0.0023669325334035084,0.003043670129934995
total_non_supine_sleep_time,0.004861086104189227,0.007515146804482839
total_prone_sleep_time,0.012678469984779655,0.01228996880688805
total_rem_sleep_time,0.005397880389261695,0.007437471501658438
total_right_sleep_time,0.004541527135921535,0.006456968224832486
total_sleep_time,0.005796661139349101,0.006187927195536768
