,Age & BMI,"Sleep Quality
(average of nights)"
Grapes,-0.029826214664250998,-0.02982621466425105
Green Salad,-0.03163891234754705,-0.03163891234754705
Green Tea,0.013910309460372649,-0.0350057953776367
Green beans,-0.0388214006779769,-0.0368349699174903
Green cabbage,-0.0344598717221066,-0.0344598717221066
Green onions,-0.03155579498867925,-0.03155579498867925
Grilled vegetables,-0.03096902769312985,-0.030146488077335
Guacamole,-0.0325057294616563,-0.03250572946165635
Halva,-0.0316567471633018,-0.0328849529337922
Hamburger,0.15776599009764564,0.15531954347123225
Hazelnuts,-0.033543945294062,-0.033543945294062
Heavy cream,-0.0317540409613689,-0.03175404096136885
Honey,-0.03574107402896745,-0.03574107402896755
Hummus,-0.0069075722437115,-0.0338198066933659
Hummus Salad,0.0672766558219676,0.0347284382957426
Ice cream,-0.03474270442210635,-0.03474270442210635
Ice cream bar,0.00755738856823725,-0.03435745944653665
Israeli couscous,-0.032726089991482354,-0.032726089991482354
Jachnun,0.073826012183389,0.060791695286705444
Jam,-0.0317842129465195,-0.0317842129465196
Jewish donut,-0.03636412456933545,-0.036364124569335604
Kebab,0.02758137685132345,-0.03311032415760365
Ketchup,0.036839363986022555,-0.0316195747646493
Kiwi,0.032567607176673646,0.03969338455780365
Knafeh,-0.037468418332619796,-0.037468418332619755
Kohlrabi,-0.0285461154965523,-0.0285461154965523
Labneh Cheese,-0.0347816631352945,-0.0347816631352945
Lasagna,0.0008376192992204,-0.04270757971607925
Lemon,-0.02965148791513815,-0.02965148791513815
Lemon juice,0.0284669239461788,-0.03238552934826215
Lemonade,-0.0391327433383461,-0.0391327433383461
Lentil Soup,-0.03317216523196215,-0.0125904235924672
Lentils,-0.00427895591911915,-0.03233472070832755
Lettuce,-0.0329048274609406,-0.03290482746094055
Lettuce Salad,0.01416427166378955,0.0494923768065669
Light Beer,-0.03423599322254885,-0.034235993222548805
Light Bread,0.00963845255916815,-0.032911877802116754
Light Cream Cheese,-0.0190332511555468,-0.03587481458562875
Light Yellow Cheese,0.045899475362643105,0.0330755088989926
Low fat Milk,-0.03992203999384315,-0.03992203999384315
Majadra,0.01371913391410955,-0.0324333921776006
Mandarin,0.0822851906485267,0.09372277170221165
Mango,-0.03074526192017285,-0.03074526192017285
Maple syrup,-0.03606202221933015,-0.03606202221933015
Matbucha,-0.0366721004811572,-0.0347692638445988
Mayonnaise,0.051613137124996905,0.047319339838405
Meatballs,0.03084147419152685,-0.033668400381938746
Melon,0.07085475565884086,0.0421778424168061
Milk,0.0169401715666333,-0.02974911936016745
Mixed nuts,0.016316407500433498,-0.0324645287664659
Mozzarella Cheese,-0.032473217330586196,-0.03247321733058635
Mushrooms,0.03781836852577235,0.036936553876023195
Mustard,-0.03238037169358775,-0.03238037169358775
Natural Yogurt,-0.03196169571357235,-0.03196169571357235
Nectarine,-0.03246558310726245,0.01226169534639965
Noodles,-0.03220147181178725,-0.03220147181178725
Oatmeal,0.0334167517510137,-0.027758107537639902
Oatmeal Cereal,0.02328168297631785,-0.033322371698130196
Olive oil,0.03150980426002855,0.021247317528317898
Olives,0.05524838018417275,0.05107882968118915
Omelette,-0.03279237043241545,-0.03279237043241545
Onion,0.009640042541027901,-0.0341295846528767
Onion Pie,-0.0313317564318598,0.0399241604204036
Orange,-0.037079791237412396,0.00694050892875785
Orange juice,-0.0323047987522967,-0.0323047987522967
Pancake,0.06608707560305671,-0.03097837720792665
Parmesan cheese,-0.029120841347066148,-0.029120841347066252
Parsley,-0.033778097633391596,-0.033778097633391596
Pasta,0.05763805962663025,0.04201534329574935
Pasta Bolognese,0.015605076825379198,-0.032577136615857746
Pasta with tomato sauce,-0.03441392964099475,-0.034413929640994795
Pastrami,0.0804508727597766,0.052661908252220696
Pea soup,0.03225181432222585,-0.030948707829769502
Peach,0.065106331471858,0.1003715428137934
Peanut Butter,0.0917442597613054,0.09137495063015616
Peanuts,0.07058060352810169,0.06436560060255715
Pear,0.06559117927216346,0.0420647450747764
Peas,0.01462781285156005,0.046164391216808154
Pecan,0.04159000267801315,0.02896962750874975
Pepper,-0.03558055490718415,-0.03558055490718415
Persimmon,0.07212266364797029,0.029503864327961198
Pesto,-0.03308657537077265,-0.03308657537077265
Pickled cucumber,0.0012754081437096,-0.03018066665139365
Pickled vegetables,-0.03638026329098035,0.00300001644988095
Pineapple,-0.0345093251420941,-0.03450932514209405
Pistachio,-0.032872325106029845,-0.032872325106029845
Pita,0.052577295294178,0.056448023848862494
Pizza,0.2010943432724519,0.20114791889152966
Plum,0.036821275703429954,0.06961967991668866
Pomegranate,0.033066553495515405,0.022329813910073548
Pomelo,-0.0051041134951487505,-0.0329647938951986
Popcorn,0.013954996059872,0.013954996059871948
Popsicle,-0.027819116364213997,-0.039541668372198455
Potato chips,0.0225350631061745,0.035463038598235505
Potato salad,-0.0383381405002582,-0.0383381405002582
Potatoes,-0.0335130671737835,-0.0335130671737835
Pretzels,-0.0349070545918469,-0.0156326516857814
Prune,-0.034984126212990296,-0.03498412621299035
Pullet,0.0366000805289161,-0.03850168889063365
Pumpkin,-0.03601825921541045,-0.03601825921541045
Pumpkin seeds,-0.03029420814571735,-0.03029420814571735
Quinoa,0.02077930643896895,-0.034919719033602054
Raisins,-0.032106308854875254,-0.03202309986046645
Ravioli,-0.0370806939153147,-0.033267337817422304
Red Cabbage Salad,0.0186750742600126,-0.03087696381299875
Rice,-0.033470462013652946,-0.033470462013652946
Rice Noodles,-0.039194566308266995,-0.039194566308266995
Rice crackers,-0.03560752515500295,0.04009605546973595
Roasted eggplant,-0.025497435683847103,-0.033286720320551105
Roll,0.09783525527109285,0.08725680587515411
Rugelach,-0.033157856936324004,0.006821922049960899
Rye Bread,-0.0352386924970962,-0.0352386924970961
Salmon,-0.032609185819879996,-0.032609185819879996
Salt,-0.04008877417966235,-0.04008877417966235
Salty Cheese,-0.0319879551705635,-0.0319879551705635
Salty Cookies,-0.01305056983609475,0.031562101921776706
Sauerkraut,-0.0363878729030829,-0.0363878729030829
Sausages,0.1057605867523281,0.11480196090216074
Sauteed vegetables,-0.03595825151370735,-0.0359582515137073
Schnitzel,0.12432601864776041,0.11133805074059636
Schug,-0.03435478854138385,-0.03435478854138395
Seabass Fish,-0.03381912158013005,-0.03381912158012995
Shakshouka,0.04412694412681285,-0.0333405451747047
Shrimp,-0.03393468433078835,-0.0339346843307884
Small radish,-0.0307040503688464,-0.0307040503688464
Smoked Salmon,0.0312447204583293,0.018239272692192603
Smoothies,0.04870632766970005,-0.018639557425299103
Soda water,0.04869949483217145,0.02862755502192595
Soup mandels,-0.03627345321476795,-0.035464505062860446
Soy sauce,-0.034937681150843294,-0.034937681150843294
Soymilk,0.0400533672272049,-0.03215161395200705
Spelled,-0.0304953934771358,-0.0304953934771358
Spinach,-0.03519024404468065,-0.03253856533526665
Spinach Quiche,-0.037801613193927996,-0.037801613193927996
Sprouts,0.036262703688503595,-0.03668765128065755
Steak,0.06052587720900465,-0.0330511439138636
Strawberry,-0.033439276465423454,-0.033439276465423454
Stuffed Cabbage,0.032920571671267496,-0.031453401383364
Stuffed Vine leaves,-0.03079925157796875,-0.03079925157796875
Sugar,-0.034847848260681005,-0.034847848260681005
Sugar Free Gum,-0.03977167468871565,-0.03977167468871565
Sugar substitute,-0.03697772675118685,-0.03697772675118685
Sunflower seeds,0.00894397485702635,-0.0347240602205833
Sushi,0.07610329248073346,0.04037574317787555
Sweet Challah,-0.0319149601211563,-0.0319149601211563
Sweet Potato Soup,-0.0166428575882961,-0.032848865505609004
Sweet Roll,-0.038202349724226106,-0.038202349724226106
Sweet potato,0.06728910550150866,-0.031032908219430798
Tabbouleh Salad,-0.03003775308354465,-0.03003775308354465
Tahini,0.08130428133178995,0.0521402761789468
Tea,0.06628841848551795,0.07295532280181186
Teriyaki Sauce,-0.03722906972139115,-0.03722906972139115
Tilapia,-0.030748746596316,-0.030748746596316
Tofu,0.0491702436360567,-0.02935707597157785
Tomato paste,0.0149916856183247,-0.0314686627393595
Tomato sauce,0.035103328273169296,0.0268558242594261
Tomatoes,-0.02903199503634995,-0.029031995036349997
Tomatoes Salad,-0.0309748220998942,-0.0309748220998942
Tortilla,-0.03159285114896545,-0.03159285114896545
Tuna Salad,0.027250473286436698,-0.0306197612564319
Tuna Sandwich,-0.034548461208522646,-0.034548461208522646
Turkey Shawarma,0.1012034081007286,0.091864322861122
Tzfatit Cheese,0.012747706289490651,-0.03276231400569045
Vegetable Salad,0.0502324790547194,0.0151019586324797
Vegetable Soup,0.07662979198459491,0.06589045905809565
Vodka or Arak,-0.0315012981169707,-0.0315012981169707
Wafers,0.019126343689121902,-0.0329451405661888
Walnuts,0.12615322256338074,0.10898691393645435
Water,-0.032918932589118696,-0.032918932589118696
Watermelon,-0.0298714012547356,0.0896630464595632
Whipped cream,-0.009643778194792351,-0.031830685523296195
Whiskey,-0.04381776777092215,-0.038352326537012094
White Cheese,0.08742486655381734,0.0744747132411107
White beans,-0.036464885523985247,-0.036464885523985247
Wholemeal Bread,0.022973964586869948,-0.032655115151244
Wholemeal Crackers,-0.030759258460492,-0.01507436600434495
Wholemeal Roll,0.0167080269486777,-0.02984098652982635
Wine,0.07120164710143245,0.0528959601524101
Yellow Cheese,0.042316724737403597,-0.0328357168729836
Yellow pepper,-0.03283276812601345,-0.03283276812601345
Yogurt,0.0812432749300128,0.0716173488357979
Zucchini,-0.033598532187935154,-0.033598532187935154
emmer wheat bread,0.01161630401424635,-0.0293981557182921
ginger,-0.03868723914895955,-0.03868723914895935
