,Age & BMI,"Sleep Quality
(average of nights)"
Green Salad,0.0073715603229340555,0.009795548837369737
Green Tea,0.007875700767259375,0.011209552096283923
Green beans,0.0143306724489943,0.0143306724489943
Green cabbage,0.012323953223474444,0.012323953223474444
Green onions,0.01317584086097351,0.01317584086097351
Grilled vegetables,0.012926578353974776,0.012926578353974776
Guacamole,0.012377417138766616,0.012589161907850008
Halva,0.01301274276359527,0.01301274276359527
Hamburger,0.00430349159105841,0.0072131988996421426
Hazelnuts,0.011331905534651755,0.011331905534651758
Heavy cream,0.007696842687185106,0.010645968317654395
Honey,0.013562982562761382,0.013418186727262938
Hummus,0.011725377309817011,0.011725377309817011
Hummus Salad,0.009129131589063984,0.011938490466321628
Ice cream,0.009916027660330593,0.013011098109984498
Ice cream bar,0.013751207380174582,0.013756049619254387
Israeli couscous,0.004608455488540769,0.0173025139531438
Jachnun,0.015603527889538515,0.01214948824374309
Jam,0.011077295763694818,0.011077295763694817
Jewish donut,0.012967534527791995,0.011765269630215194
Kebab,0.006793990467335368,0.008384348207870578
Ketchup,0.016710774768889818,0.016710774768889863
Kiwi,0.011608487104841246,0.011761735159440146
Knafeh,0.015253212966018117,0.015253212966018117
Kohlrabi,0.014567701543268806,0.011044931592223348
Labneh Cheese,0.012068109556697074,0.012068109556697074
Lasagna,0.014153386373208354,0.014153386373208319
Lemon,0.012470826367763225,0.012748985634261738
Lemon juice,0.007435975807932843,0.011028714093889298
Lemonade,0.008407989589550795,0.013881344675293597
Lentil Soup,0.008947006914060264,0.011298523150162451
Lentils,0.006362888717288176,0.010005230024544832
Lettuce,0.011600237811111535,0.011722387367284565
Lettuce Salad,0.012376530267123398,0.012376530267123398
Light Beer,0.01289394221007387,0.01251770287899747
Light Bread,0.012678472536180872,0.012678472536180886
Light Cream Cheese,0.011653162073944023,0.014307481914506695
Light Yellow Cheese,0.011872754101315818,0.011872754101315818
Low fat Milk,0.011348736673929279,0.011348736673929287
Majadra,0.011644300589598425,0.011644300589598425
Mandarin,0.0036702719905692257,0.013998199719408277
Mango,0.012470703638291742,0.012470703638291718
Maple syrup,0.01159440097202479,0.011594400972024814
Matbucha,0.010512413455649313,0.010512413455649338
Mayonnaise,0.014043889233491836,0.014102915882969492
Meatballs,0.0066233472821735605,0.011161439388197638
Melon,0.004685288804291735,0.012331257061174165
Milk,0.003833232395876015,0.008900809494904885
Mixed nuts,0.009859181113176208,0.009869532310384444
Mozzarella Cheese,0.010325888092593409,0.010325888092593409
Mushroom Pie,0.009869202670280353,0.010117733631611356
Mushrooms,0.009334681182580276,0.009334681182580271
Mustard,0.01086867337320122,0.0108686733732012
Natural Yogurt,0.013355099313834343,0.013355099313834341
Nectarine,0.012427211297259466,0.012427211297259466
Noodles,0.00991946608485764,0.00991946608485764
Oat Drink,0.011105865977027155,0.01152986540227094
Oatmeal,0.007239687017188005,0.008988002386707961
Oatmeal Cereal,0.010307917677807688,0.010427479235952072
Olive oil,0.006246995845120762,0.01118471574966749
Olives,0.011935759049694574,0.01193575904969457
Omelette,0.004367726048791654,0.0076311244229083156
Onion,0.010999734971803034,0.010227294437938565
Onion Pie,0.014698819696293474,0.011474274838135989
Orange,0.006939965342716273,0.010752557199977097
Orange juice,0.010568351016619952,0.010568351016619952
Pancake,0.0037855047680245618,0.004683730599876627
Parmesan cheese,0.01232088123132491,0.01232088123132491
Parsley,0.012338174875173712,0.010368427349392974
Pasta,0.0035033846281263764,0.005378399580929141
Pasta Bolognese,0.004116652054426937,0.008534011820025313
Pasta with tomato sauce,0.010909440119223061,0.010909440119223072
Pastrami,0.007657657297614925,0.010178718946507565
Peach,0.004515840331221347,0.01044023868642433
Peanut Butter,0.013225863135036566,0.011940696431198087
Peanuts,0.007510400538068155,0.010146447602780497
Pear,0.007586038950296206,0.010416482812360564
Peas,0.013534896187326803,0.013494793971148493
Pecan,0.01341009157618156,0.010729847289413823
Pepper,0.00913501745002611,0.011139726430949072
Persimmon,0.007054994411413078,0.011605209726317903
Pesto,0.014474171517120759,0.014487395707174824
Pickled cucumber,0.010217250265402326,0.012223920016004423
Pickled vegetables,0.011092488600936565,0.011092488600936581
Pineapple,0.013063318347938334,0.013063318347938334
Pistachio,0.010157681280244624,0.010157681280244624
Pita,0.004789020960159799,0.014442327753628512
Pizza,0.0018121168533076241,0.005261604067390064
Plum,0.01125897998855442,0.008551299597270018
Pomegranate,0.007801471125357177,0.011508825251060912
Pomelo,0.01039139320676982,0.01042915218931917
Popcorn,0.012080315167387235,0.013327268062236625
Popsicle,0.013241163162876475,0.013279612882333348
