,bt__hct,bt__rbc,bt__ferritin,bt__rdw,bt__mcv,bt__mchc,bt__hemoglobin,bt__mch
0,0.1049814832471286,0.12443770653931846,0.057703600893875294,0.028080540819153024,0.10267467462784576,0.03295138772961098,0.09267826254332902,0.09827139480209819
1,0.06521982804605922,0.10416632507102294,0.09227896782491482,0.05162480538177375,0.06469890679482097,0.014016129537568095,0.09692019400992732,0.05564714484567801
2,0.09511246562466817,0.12043504305852237,0.09252838621705836,0.03779486667268531,0.08593421926232833,0.017558227047925284,0.08519548826347931,0.05971259842355075
3,0.10047764365132855,0.12586245394766596,0.06847987128454744,0.04280928046641299,0.07904695057429874,0.02018599560494524,0.07782774803022688,0.05934244164144552
4,0.10408849688979836,0.11172377699943892,0.04189245659316535,0.05071230929738023,0.1009068236290452,0.042889581615548844,0.09129158328241428,0.07355923170232584
5,0.11503861922558553,0.1088116926326241,0.10056842608756264,0.05109128333342879,0.08249811744479661,0.018423614216382896,0.08665100829955695,0.07908912737872859
6,0.06819442175515585,0.136152258794768,0.06187565746158317,0.020449840952881153,0.07251784264852508,0.057584837800326596,0.1214873013869284,0.08077454470405857
7,0.10675318272020039,0.10604659378734085,0.07992554084507258,0.05053296453528813,0.09049732805791438,0.023654014848110326,0.09185007431805724,0.09887212613967702
8,0.08614530263354558,0.12913605118319824,0.08092527832782148,0.05261820601508451,0.07031911593064588,0.018911704265225347,0.08378316093830962,0.09844255666686166
9,0.11132576625871171,0.11148773024759126,0.07467034041192398,0.04969970805445711,0.08797432021232805,0.0018064108851106387,0.10667272344046408,0.0824418548248484
10,0.07237876070299061,0.11138114101729811,0.10697035965467544,0.022014958636280772,0.08341056850306401,0.02402778173855231,0.08024301365484222,0.08102992370218622
11,0.10957629756976933,0.10277503985017007,0.041652798790001846,0.04584969652131141,0.08274169600407473,0.03765015197152367,0.08895179778048881,0.0712151163776766
12,0.08776375239587697,0.13273901752376685,0.08380561337200167,0.0430103709269165,0.09037382089374932,0.03123081589476645,0.09446702955051933,0.09186173241319827
13,0.09955685468441713,0.13735365993307053,0.07080044274747879,0.04964435118636686,0.08011935453413886,0.003866055222290641,0.08134816465583312,0.0504493381458751
14,0.1086450598917394,0.12452209784641942,0.09411742328218502,0.03202961027275215,0.08490949147789124,0.031420348915665385,0.08914755431147502,0.0676391409848983
15,0.1125955169203465,0.13228407804028103,0.09025263731385913,0.03563078003569657,0.07652029658928673,0.03073182071510679,0.08489983040113097,0.10078962397766782
16,0.0677158698218579,0.13923209636494363,0.08190506322727788,0.061239820580641875,0.07153868587430193,0.056448655824010534,0.07623209269865046,0.09001344315453064
17,0.12773116780527186,0.12732999445886764,0.08228406935580357,0.05078112950322743,0.10653277963347367,0.04464883723466826,0.06895623835192827,0.07784045309795448
18,0.0886714572514693,0.1319381104202827,0.06901575744444953,0.04793797823399596,0.08167244212356099,0.04438434441271147,0.08495545871602316,0.08936463932464553
19,0.09758997297187506,0.12167462550630918,0.08961829467270582,0.07373259666528721,0.08272318761262014,0.01523725087986185,0.0867270070589089,0.06536308917639184
20,0.10740345011348297,0.13467801878334668,0.09149420995817811,0.05472379776355274,0.10791138855770181,0.03647815786744124,0.09429821108425794,0.06521818819644377
