,Age & BMI,"Sleep Quality
(average of nights)"
femur_total_diff_area,-0.00895087841413945,0.0091978649225986
femur_total_diff_bmc,0.028280783584942203,0.0215697660381598
femur_total_diff_bmd,0.012575810852306451,0.04726979568027795
femur_total_mean_area,0.17413127594686476,0.15176922362119366
femur_total_mean_bmc,0.42257031452080474,0.35964320029417285
femur_total_mean_bmd,0.4554956071924374,0.40298511345416366
femur_troch_diff_area,0.02537920185725935,-0.0044744985560395
femur_troch_diff_bmc,0.048431048516321545,0.0073023789139954
femur_troch_diff_bmd,0.0228460161417033,0.01502613723053105
femur_troch_mean_area,0.15934299448447087,0.13264449979958104
femur_troch_mean_bmc,0.32375568508441516,0.2635440068263169
femur_troch_mean_bmd,0.42597765396292475,0.3654820706230699
femur_upper_neck_diff_area,0.048895801688022406,0.0029310994345605502
femur_upper_neck_diff_bmc,0.06515100628212225,0.0548081115921843
femur_upper_neck_diff_bmd,0.0123909677057128,0.01857271815991815
femur_upper_neck_mean_area,0.07951880603014219,0.02162406098618795
femur_upper_neck_mean_bmc,0.41097036190790104,0.34711402531449065
femur_upper_neck_mean_bmd,0.43989787931593116,0.38194839252982615
femur_wards_diff_area,0.05603167386765705,-0.00154799122598555
femur_wards_diff_bmc,0.086748764381401,0.02374794443372525
femur_wards_diff_bmd,-0.041443507207626754,0.039675240439526346
femur_wards_mean_area,0.1107904265283147,0.03771195545846715
femur_wards_mean_bmc,0.3453255536613816,0.2589554382672199
femur_wards_mean_bmd,0.43485631122214174,0.3712705425760434
spine_l1_area,0.07349363006232865,0.0418990126966686
spine_l1_average_height,0.09851575778721999,0.061106878184365554
spine_l1_average_width,0.2753371735410245,0.195924462669644
spine_l1_bmc,0.327608424010695,0.264630880642177
spine_l1_bmd,0.4125488860553588,0.36316279109927296
spine_l1_l2_area,0.0628199916530318,0.02128800360509175
spine_l1_l2_average_height,0.09797318630015489,0.0475351975610407
spine_l1_l2_average_width,0.2463279176477297,0.16909046087412843
spine_l1_l2_bmc,0.33091117856920005,0.26263383146763397
spine_l1_l2_bmd,0.41987044999893425,0.3690935740293422
spine_l1_l3_area,0.0374499478479692,0.00200245299197165
spine_l1_l3_average_height,0.11098621786045976,0.0430660465306333
spine_l1_l3_average_width,0.20394540677388465,0.12853436480587266
spine_l1_l3_bmc,0.31500649141101394,0.2468495779926872
spine_l1_l3_bmd,0.40791393546472277,0.35491747222961034
spine_l1_l4_area,0.03515765733074125,0.00559064622392025
spine_l1_l4_average_height,0.1646714856249809,0.09171334456160525
spine_l1_l4_average_width,0.16888579784785573,0.09289044628077181
spine_l1_l4_bmc,0.29251617896781085,0.22014034828872037
spine_l1_l4_bmd,0.37905234457406856,0.318190478490071
spine_l2_area,0.0436257470404776,0.0106079970939113
spine_l2_average_height,0.092125890127759,0.04704525807467365
spine_l2_average_width,0.19933352828823891,0.13538640379159
spine_l2_bmc,0.31076422752585003,0.24463655305854248
spine_l2_bmd,0.4022381737436954,0.3430005017315464
spine_l2_l3_area,0.0151643945888532,-0.0019164036177005
spine_l2_l3_average_height,0.10161878845835984,0.05370354322280885
spine_l2_l3_average_width,0.16083305291595673,0.08901523039885434
spine_l2_l3_bmc,0.29698421606520997,0.2273674606026388
spine_l2_l3_bmd,0.3909547531656905,0.3338262879596444
spine_l2_l4_area,0.02077110503548355,0.00882625141318345
spine_l2_l4_average_height,0.16768565522313605,0.10717325854788659
spine_l2_l4_average_width,0.1274572244567329,0.06981952221783755
spine_l2_l4_bmc,0.27204381964926394,0.20837493722874584
spine_l2_l4_bmd,0.358260130311547,0.2991951330365187
spine_l3_area,-0.00158279765049555,-0.00160245868639615
spine_l3_average_height,0.07616794380670786,0.0475119643413663
spine_l3_average_width,0.11242435244739316,0.05494918689749595
spine_l3_bmc,0.2670508008904367,0.19954717894652296
spine_l3_bmd,0.36545901846804096,0.30733375747537545
spine_l3_l4_area,0.019738448383444,0.014949746795377049
spine_l3_l4_average_height,0.1731322065847564,0.11275013643220524
spine_l3_l4_average_width,0.09050454129832344,0.04261200110677445
spine_l3_l4_bmc,0.2439351201535651,0.18467706836698494
spine_l3_l4_bmd,0.32652855005732107,0.2615760533589392
spine_l4_area,0.02651445216117115,0.014777300064228002
spine_l4_average_height,0.16003273069766272,0.10187777199851064
spine_l4_average_width,0.0706753720781389,0.038191270070752445
spine_l4_bmc,0.19999189762150493,0.15170400261275468
spine_l4_bmd,0.275452363855073,0.21427186863674746
