,"Age, BMI & VAT",Frailty
AHI,0.004030956206948008,0.004335966456966032
ahi_4_percent,0.006059631618221049,0.006030431690996042
ahi_central,0.007870241341792511,0.009473214118844716
ahi_central_during_nrem,0.008464909650223403,0.010531642501672161
ahi_central_during_rem,0.006878282189688263,0.008402800601774863
ahi_during_left,0.00477687757848121,0.006789740123574175
ahi_during_non_supine,0.004643736677137923,0.005082667898823911
ahi_during_nrem,0.004529411567144714,0.005214775933881695
ahi_during_prone,0.008519421106535792,0.008741144446541898
ahi_during_rem,0.003540177001889473,0.0046836125862990486
ahi_during_right,0.006872567368900716,0.007871068027266379
ahi_during_supine,0.0033700161623026735,0.003881798392778604
ahi_obstructive,0.003507996189947471,0.003881553105558665
ahi_obstructive_during_nrem,0.00388544068663851,0.004627796321565109
ahi_obstructive_during_rem,0.00360485262156534,0.0038003642074065517
desaturations_above_20,0.00859512980606588,0.008719498815736096
desaturations_mean_nadir,0.007320834818608942,0.009265949782773135
desaturations_of_10_20,0.010437071548650867,0.011749436406412333
desaturations_of_4_9,0.005580196695679965,0.005028884430709612
number_of_4_percent_desaturation_apnea_hypopnea_events,0.007185825603661076,0.005968284151757281
number_of_all_respiratory_events,0.006356805409284568,0.007850777933661453
number_of_apnea_hypopnea_events,0.0048099588079111655,0.004562226100372324
number_of_central_apnea_hypopnea_events,0.008537884177261026,0.009581651434114349
number_of_desaturation_events,0.006699523097257035,0.006093167794929595
number_of_obstructive_apnea_hypopnea_events,0.00352823141287728,0.004123944467149758
number_of_transitions_nrem_to_rem,0.010372558776365816,0.012409884094506034
number_of_transitions_nrem_to_wake,0.00842586005720844,0.010561617559984773
number_of_transitions_rem_to_nrem,0.012148334563445889,0.012208782856386225
number_of_transitions_rem_to_wake,0.013090480790017109,0.012982574567689108
number_of_transitions_wake_to_nrem,0.0089022012233672,0.010915695171256096
number_of_transitions_wake_to_rem,0.010306828946955303,0.013237364451252547
number_of_wakes,0.008595921480997712,0.009121036589793045
odi,0.006091257736951987,0.006146544233918408
odi_during_left,0.007603995558283885,0.007694310887969353
odi_during_non_supine,0.00622399049539489,0.006873420003310001
odi_during_nrem,0.005190345093377647,0.00677738040599568
odi_during_prone,0.008540035599902435,0.01029025712594633
odi_during_rem,0.0038967062686742315,0.0050918566472836265
odi_during_right,0.008076711521099617,0.01042422802264602
odi_during_supine,0.004706519174304737,0.0061136080496148465
percent_of_deep_sleep_time,0.00898986457592786,0.009992944252998487
percent_of_left_sleep,0.010033028091684,0.012086754265445079
percent_of_light_sleep_time,0.009534750117048473,0.011238511402498543
percent_of_non_supine_sleep,0.01218608042169404,0.010639666292878098
percent_of_prone_sleep,0.011415878892125022,0.013303564103605715
percent_of_rem_sleep_time,0.010199161305382015,0.008445257497495822
percent_of_right_sleep,0.010337606668482298,0.010056557837626105
percent_of_sleep_time,0.01141639811024797,0.011803111236016435
percent_of_supine_sleep,0.012180815909927357,0.010639666228535948
percent_of_wake_time,0.011419372496801779,0.011797333180122866
rdi,0.005072127666338243,0.006433382344316887
rdi_during_left,0.006288350254260045,0.00987592537035863
rdi_during_non_supine,0.0062555983859282575,0.006541383694377567
rdi_during_nrem,0.006517560978961779,0.008122206703168275
rdi_during_prone,0.00923720406064265,0.011002912626333041
rdi_during_rem,0.004872985364084737,0.006281642365605255
rdi_during_right,0.008796967735083854,0.01076933827591059
rdi_during_supine,0.005008856902553503,0.006496412095935374
rem_latency,0.010645594026700171,0.012985303889997293
saturation_below_80,0.0105401090278387,0.027654982137573985
saturation_below_85,0.01056472718307357,0.022188863972204823
saturation_below_90,0.012425466833545363,0.011979669625879558
saturation_below_or_equal_88,0.01221566171876712,0.015850547670371327
saturation_max_value,0.006598597877445112,0.009535795908850194
saturation_mean,0.0022763015064042867,0.0033342404952220474
saturation_min_value,0.005609131766656615,0.007085947910885202
sleep_efficiency,0.010109540801448791,0.011872157771208461
sleep_latency,0.011426331779799997,0.011405298862727415
snore_above_40db,0.007077929674270211,0.00926848522132353
snore_above_45db,0.007756200927198848,0.009507387497967345
snore_above_50db,0.009959790715990721,0.011703508475736164
snore_above_60db,0.01390166120740349,0.014540174164734871
snore_db_mean,0.007504367032943332,0.00864035116025514
time_to_transition_nrem_to_rem,0.009392966662595495,0.010862160893836353
time_to_transition_nrem_to_wake,0.011572523625239231,0.01137208779074708
time_to_transition_rem_to_nrem,0.010340562131788788,0.012137412749386463
time_to_transition_rem_to_wake,0.011589038033100074,0.009903887820562342
time_to_transition_wake_to_nrem,0.014435738341214395,0.01421445457388395
time_to_transition_wake_to_rem,0.014431516781132353,0.01727847190325562
total_arousal_sleep_time,0.010310049248830798,0.013778427665838129
total_deep_sleep_time,0.009992728685129527,0.012516540655622773
total_left_sleep_time,0.00971235737793861,0.012119775848642196
total_light_sleep_time,0.010462672790492795,0.013030722605091036
total_non_supine_sleep_time,0.010974282618783845,0.009634164514198823
total_prone_sleep_time,0.011370757091377718,0.012682018229514987
total_rem_sleep_time,0.011077480928589756,0.011912079845113612
total_right_sleep_time,0.010083003987398186,0.011312178491392294
total_sleep_time,0.010437403088377708,0.013580387906482838
total_supine_sleep_time,0.010154049911194365,0.009589155205362493
total_time_in_bed,0.00955253228017118,0.00863208764142463
total_valid_apnea_central_sleep_time,0.014135355205656437,0.012270214246420615
total_valid_apnea_sleep_time,0.007093918733418882,0.01206317632596343
total_wake_time,0.008024972102430937,0.010172835893036648
total_wake_time_after_sleep_onset,0.011201762017054749,0.011368465592318536
variability_between_sleep_stage_percents,0.009230046682763681,0.011400090838740249
