,"Age, BMI & VAT","Sleep Quality
(average of nights)"
femur_shaft_mean_area,-0.03423955152436395,-0.03423955152436395
femur_shaft_mean_bmc,0.4698364383679726,0.4702254518714044
femur_shaft_mean_bmd,-0.03639025623291685,-0.0363902562329169
femur_total_diff_area,-0.038052265295595356,-0.0380522652955953
femur_total_diff_bmc,-0.03236408931412825,-0.03236408931412825
femur_total_diff_bmd,-0.034809900966015,-0.034809900966015
femur_total_mean_area,0.21115126318384658,0.21031128079706335
femur_total_mean_bmc,0.44251473642588435,0.44504684065892325
femur_total_mean_bmd,-0.034280862079258345,-0.034280862079258345
femur_troch_diff_area,-0.03270830458218945,-0.0327083045821894
femur_troch_diff_bmc,-0.031610036703100045,-0.0316100367031
femur_troch_diff_bmd,-0.032637585062445754,-0.032637585062445754
femur_troch_mean_area,0.2007831108245002,0.20071511785791155
femur_troch_mean_bmc,0.33992184381640755,0.3413271927922643
femur_troch_mean_bmd,-0.03116300863847115,-0.03116300863847115
femur_upper_neck_diff_area,-0.036912999398394,-0.036912999398394
femur_upper_neck_diff_bmc,-0.030336644482214098,-0.030336644482214098
femur_upper_neck_diff_bmd,-0.035967499618416304,-0.035967499618416304
femur_upper_neck_mean_area,-0.03726011378764025,-0.03726011378764025
femur_upper_neck_mean_bmc,0.3188756724799623,0.3188756724799623
femur_upper_neck_mean_bmd,-0.03179213367781735,-0.03179213367781735
femur_wards_diff_area,-0.03247695133801965,-0.03247695133801965
femur_wards_diff_bmc,-0.03454951473221225,-0.03454951473221225
femur_wards_diff_bmd,-0.03722259159204945,-0.03722259159204945
femur_wards_mean_area,-0.037684544451674545,-0.0376845444516746
femur_wards_mean_bmc,0.2832824353862165,0.2832824353862165
femur_wards_mean_bmd,-0.03244157165607995,-0.03244157165607995
spine_l1_area,0.0894930838127122,0.08949308381271215
spine_l1_average_height,-0.034554615551511,-0.03455461555151105
spine_l1_average_width,-0.0351775612553536,-0.035177561255353595
spine_l1_bmc,0.33292548229829716,0.33299936995499035
spine_l1_bmd,-0.03413587243242845,-0.03413587243242845
spine_l1_l2_area,0.08819517408939885,0.0887713575463171
spine_l1_l2_average_height,-0.033240936973190346,-0.033240936973190346
spine_l1_l2_average_width,-0.03396742339453705,-0.03396742339453705
spine_l1_l2_bmc,0.33916525692133515,0.33870128354111617
spine_l1_l2_bmd,-0.03643762672298025,-0.0364376267229803
spine_l1_l3_area,0.06588089947249505,0.0567556591783953
spine_l1_l3_average_height,-0.0343657993366884,-0.0343657993366884
spine_l1_l3_average_width,-0.0345301020257911,-0.0345301020257911
spine_l1_l3_bmc,0.32031023207854603,0.3184960872449098
spine_l1_l3_bmd,-0.03706994577475455,-0.03706994577475455
spine_l1_l4_area,0.05923128187281135,0.061284887303956107
spine_l1_l4_average_height,0.17873148299073477,0.17873148299073477
spine_l1_l4_average_width,-0.035144825988928347,-0.0351448259889284
spine_l1_l4_bmc,0.2995960445579222,0.2970175775442614
spine_l1_l4_bmd,-0.036137211538708594,-0.03613721153870865
spine_l2_area,0.0226214565550724,0.0226214565550724
spine_l2_average_height,-0.038267229632976754,-0.038267229632976754
spine_l2_average_width,-0.033416450418083596,-0.03341645041808365
spine_l2_bmc,0.32275957317923715,0.32219548052766456
spine_l2_bmd,-0.03409623000379565,-0.03409623000379565
spine_l2_l3_area,0.035573565789581,0.0267899029524383
spine_l2_l3_average_height,-0.03316877222215795,-0.0331687722221579
spine_l2_l3_average_width,-0.0302949441490031,-0.0302949441490031
spine_l2_l3_bmc,0.3030639079010931,0.3013631017484544
spine_l2_l3_bmd,-0.03449431462066975,-0.03449431462066975
spine_l2_l4_area,0.0322843442233445,0.038646956757982145
spine_l2_l4_average_height,0.16581653799685858,0.16581653799685858
spine_l2_l4_average_width,-0.03162902332584295,-0.03162902332584295
spine_l2_l4_bmc,0.28254631759735066,0.2785463204299039
spine_l2_l4_bmd,-0.03504011961720235,-0.03504011961720235
spine_l3_area,-0.033887331290950756,-0.03423487543475595
spine_l3_average_height,-0.03196574699290155,-0.0319657469929015
spine_l3_average_width,-0.031203672559833202,-0.031203672559833202
spine_l3_bmc,0.2681049149283758,0.26910150517698095
spine_l3_bmd,-0.0348080067556266,-0.0348080067556266
spine_l3_l4_area,0.033670246115393654,-0.0325802977697445
spine_l3_l4_average_height,-0.03084842374670195,-0.03084842374670195
spine_l3_l4_average_width,-0.03033182916240945,-0.03033182916240945
spine_l3_l4_bmc,0.2539740351947559,0.25234744888769445
spine_l3_l4_bmd,-0.036088339038540654,-0.036088339038540654
spine_l4_area,0.0431182029788721,0.03791790602290415
spine_l4_average_height,-0.02859474307535855,-0.028594743075358503
spine_l4_average_width,-0.028849071407158748,-0.0288490714071588
spine_l4_bmc,0.2195254128032354,0.2218319760714219
spine_l4_bmd,-0.03778300726445035,-0.03778300726445035
