,Thyroidhormones
0,0.006831540118190118
1,0.0034717123235368597
2,0.013808262772155354
3,-0.0036852110382879673
4,0.0005035409749366641
5,-0.006787312618092335
6,0.020222006013120984
7,0.008235156041671876
8,0.018989318833914273
9,0.004292118124005029
10,-0.004308836778946094
11,0.023728081622421432
12,0.015137874469634419
13,0.03135851815379078
14,0.0003081854554397368
15,0.022849597506643008
16,0.008259039427140753
17,0.004678507190742114
18,0.009694254733776803
19,0.003051150864780414
20,0.028298420288501516
21,0.02414192155774449
22,-0.012313810620075865
23,0.011244653834522559
24,0.003547407910537768
25,0.031565834096999874
26,0.006840549361835131
27,-0.002244210529354866
28,0.012574393739465249
29,-0.013498907533355593
30,0.01011192023920134
31,0.006795629325582391
32,0.011314001063251174
33,-0.0020808581716511543
34,0.011556993015220443
35,0.00644580173516138
36,0.019664038973254284
37,0.01875297155648394
38,0.019544148877502266
39,0.013857180588614506
40,0.021123342157189206
41,0.013567946456535567
42,-0.003629508377442085
43,0.0032899087253753768
44,-0.007760900983948717
45,0.014060387573129527
46,0.006304845715180235
47,0.008194873117339393
48,-0.010570522882634794
49,0.0010493020776977699
