,Thyroidhormones
0,0.014646415323682686
1,0.012046049341358932
2,0.002561182442243368
3,-0.010618438714141424
4,0.007648627920158578
5,-0.01815128823185432
6,-0.015533626173794063
7,0.0038244980130855396
8,-0.0040656974407490805
9,-0.009255652426223317
10,0.009609608825039495
11,0.0007420830468392735
12,0.009948130390016824
13,0.0006109002016396487
14,-0.011748015400949278
15,-0.009817358419329807
16,0.01770945006876377
17,0.004727453685648101
18,0.01768639325925481
19,0.004111778669683507
20,0.0006583536489659384
21,0.0008578876131502323
22,0.007577888341878771
23,0.0026604487755465906
24,-0.00024438945938431826
25,-0.00896978298855249
26,0.0060948246050768545
27,0.0159285609378352
28,-0.0012163582448234084
29,0.004282693106404934
30,0.00453413877724574
31,0.0011913437482951035
32,0.008773412354966453
33,-0.0035378651728325333
34,0.006788029282292311
35,-0.009059717468215907
36,0.018755222972909626
37,-0.003981860277195784
38,0.013137638033130521
39,0.00526395426251124
40,0.009771515417868595
41,0.0057444683777722605
42,0.008769523776879062
43,0.018573561049101253
44,-0.0025601627258408166
45,0.0033246152647831533
46,0.005929415829588259
47,0.00170055170585977
48,-0.019483515155214074
49,-0.003615955648851166
