,Thyroidhormones
0,0.0053322263227174975
1,0.0052243540960361665
2,0.018377519170205622
3,-0.004014965184288792
4,-0.012122085970462411
5,0.0015788493659171178
6,0.013282471592754388
7,0.01451461710372555
8,0.029114577221581384
9,-0.009311531040059716
10,-0.003526877607316073
11,0.011428652935343503
12,0.01999236560709787
13,0.026729609805053896
14,-0.0043693287198196765
15,0.013308815689934446
16,0.007181000617444095
17,0.01286380060000593
18,0.021585904995169956
19,0.01209186943095415
20,0.01296730514932972
21,0.012159063302820272
22,-0.020312786627712902
23,0.01067671874693278
24,0.01949897262743323
25,0.007071038151997733
26,-0.007229796806573497
27,-0.015091944367033039
28,0.015400350476320395
29,-0.019121142195067112
30,-0.0025061470232713903
31,0.00029431046624105894
32,0.005506969165757258
33,-0.0017015822712561966
34,0.002140329997603489
35,-0.006493608236806875
36,0.01651557192963797
37,0.010202873438154372
38,0.005079991334375655
39,0.021490527234713782
40,0.015037672124891897
41,0.018877402475109592
42,-0.009997925134662975
43,0.005352700100886595
44,0.004785777030445232
45,0.007493010936906803
46,0.01238488230499945
47,-0.00768461327586612
48,0.0131859372473916
49,0.0018946592617961632
