,"Age, BMI & VAT",Cardiovascular system
AHI,0.0025371030479172585,0.006171405458402466
ahi_4_percent,0.003047005519635792,0.007644737252864349
ahi_central,0.009912774022093607,0.01426034759771147
ahi_central_during_nrem,0.0093787883739988,0.010896975896595735
ahi_central_during_rem,0.008552251805473102,0.011668171839458204
ahi_during_left,0.00465662171423111,0.006732366347587268
ahi_during_non_supine,0.003888851223633354,0.00755236093620142
ahi_during_nrem,0.0032567529167547684,0.006058012072608263
ahi_during_prone,0.006216970279658793,0.009222685338879934
ahi_during_rem,0.0024791902068176143,0.005964078860694147
ahi_during_right,0.004740789755129348,0.009111273088199862
ahi_during_supine,0.0024739892797317887,0.004889063769114313
ahi_obstructive,0.003191756574200884,0.0050786794624131425
ahi_obstructive_during_nrem,0.0036558878881462454,0.0056615717507527245
ahi_obstructive_during_rem,0.002368225948111065,0.005211654823058941
desaturations_above_20,0.0058504492345437,0.03839737886770235
desaturations_mean_nadir,0.006701906467147,0.011292751441356406
desaturations_of_10_20,0.006798809088354084,0.03472720569493932
desaturations_of_4_9,0.0031287308921310944,0.007199781958714984
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0048833022576835515,0.008289783117774637
number_of_all_respiratory_events,0.003909473734001388,0.006687858802907233
number_of_apnea_hypopnea_events,0.0024970371665415047,0.006238454926942522
number_of_central_apnea_hypopnea_events,0.011326354204387157,0.012533959634094703
number_of_desaturation_events,0.004841584191491591,0.007797112710068133
number_of_obstructive_apnea_hypopnea_events,0.0031870941035962537,0.00559846628166602
number_of_transitions_nrem_to_rem,0.009220616710161715,0.012332257308095887
number_of_transitions_nrem_to_wake,0.008029829109403837,0.010256120236271161
number_of_transitions_rem_to_nrem,0.011298805396610203,0.01190915998768129
number_of_transitions_rem_to_wake,0.009057653753007289,0.01133077301541886
number_of_transitions_wake_to_nrem,0.008427238548824522,0.010832502164446546
number_of_transitions_wake_to_rem,0.0104555280938602,0.012930388016551666
number_of_wakes,0.006839906940671244,0.012140580153333387
odi,0.00419604528519766,0.006317505430012046
odi_during_left,0.006564145835776301,0.009113833449193087
odi_during_non_supine,0.005999634749677401,0.00932730083161854
odi_during_nrem,0.004357023909607717,0.008764081487293626
odi_during_prone,0.007768877420710583,0.013442585510218485
odi_during_rem,0.0034983850539386276,0.005297860377781347
odi_during_right,0.007451007906898974,0.011332218798732668
odi_during_supine,0.003978113697819792,0.006604906516120493
percent_of_deep_sleep_time,0.006601090282808937,0.013973286384983132
percent_of_left_sleep,0.009483998276488433,0.010944273833009329
percent_of_light_sleep_time,0.006271372595615501,0.01034990610569286
percent_of_non_supine_sleep,0.00942569803507613,0.010697107795242087
percent_of_prone_sleep,0.012815071753582485,0.013366851505276531
percent_of_rem_sleep_time,0.00859029112057864,0.010557367930530246
percent_of_right_sleep,0.008024654743630918,0.009930229461955738
percent_of_sleep_time,0.006540877979705424,0.011838690039065722
percent_of_supine_sleep,0.009431305775987253,0.010695844398511057
percent_of_wake_time,0.006549340229027429,0.011962668549314073
rdi,0.0037088233814751774,0.006748474773247031
rdi_during_left,0.006063819977144734,0.010169021512345363
rdi_during_non_supine,0.005862766255686897,0.008230234741162268
rdi_during_nrem,0.0049562069134765,0.00659318136497344
rdi_during_prone,0.007946395562406262,0.009958779844578802
rdi_during_rem,0.002784890630332564,0.006056727587289772
rdi_during_right,0.0059280486970188515,0.009748776500926636
rdi_during_supine,0.003605140129502911,0.006251827963850633
rem_latency,0.0086970905823114,0.010078679183515286
saturation_below_80,0.010533011308137868,0.014092706594961854
saturation_below_85,0.009036608367832209,0.03169106154613548
saturation_below_90,0.008828156074370192,0.01657041865011315
saturation_below_or_equal_88,0.00764603658818008,0.021628552482173147
saturation_max_value,0.005495045529006112,0.00870963175330727
saturation_mean,0.0018106431793248814,0.004322268015906464
saturation_min_value,0.004036665654021789,0.006665991661765896
sleep_efficiency,0.007826179639703027,0.011424209977609744
sleep_latency,0.011045511149922343,0.01229993429555806
snore_above_40db,0.007871156220673447,0.011055042348067382
snore_above_45db,0.006189985835693289,0.009485014912776918
snore_above_50db,0.009979572009934115,0.012406895116681414
snore_above_60db,0.015108729330261559,0.015520984806011578
snore_db_mean,0.007219566886355695,0.00964928781967286
time_to_transition_nrem_to_rem,0.010735270863066372,0.010330704168755502
time_to_transition_nrem_to_wake,0.010972799355312613,0.012768792366362492
time_to_transition_rem_to_nrem,0.008395478476728401,0.012203766929702743
time_to_transition_rem_to_wake,0.010316939145360037,0.012431497180025411
time_to_transition_wake_to_nrem,0.01047990402829166,0.011456841670018085
time_to_transition_wake_to_rem,0.014137777654668308,0.015428196088687667
total_arousal_sleep_time,0.010149822669125478,0.012491384647630686
total_deep_sleep_time,0.007641332842528184,0.012343156535171726
total_left_sleep_time,0.009886946678301443,0.01231229378270069
total_light_sleep_time,0.006759692773063902,0.009330683686990445
total_non_supine_sleep_time,0.009146360844604079,0.010132624169466732
total_prone_sleep_time,0.012945229969466647,0.013401256149535256
total_rem_sleep_time,0.012430056871382754,0.009549722844295517
total_right_sleep_time,0.009201128140863117,0.01278496432056405
total_sleep_time,0.010218036273180901,0.00962103162579182
total_supine_sleep_time,0.009709728409616996,0.009958099481493997
total_time_in_bed,0.011149661321591555,0.012244673697453023
total_valid_apnea_central_sleep_time,0.010417687162578222,0.01044418648000311
total_valid_apnea_sleep_time,0.01027772318224232,0.011069385030513497
total_wake_time,0.007713364257928165,0.012809560047845394
total_wake_time_after_sleep_onset,0.00728947564146495,0.01248624222102139
variability_between_sleep_stage_percents,0.00607428154894982,0.010678456228636146
