,fBin__100,fBin__102,fBin__103,fBin__104,fBin__108,fBin__121,fBin__14,fBin__145,fBin__149,fBin__159,fBin__17,fBin__181,fBin__187,fBin__188,fBin__189,fBin__205,fBin__207,fBin__217,fBin__219,fBin__220,fBin__223,fBin__247,fBin__249,fBin__257,fBin__262,fBin__263,fBin__27,fBin__270,fBin__273,fBin__274,fBin__275,fBin__28,fBin__281,fBin__283,fBin__296,fBin__305,fBin__307,fBin__309,fBin__310,fBin__311,fBin__312,fBin__314,fBin__318,fBin__319,fBin__320,fBin__321,fBin__323,fBin__325,fBin__328,fBin__332,fBin__334,fBin__337,fBin__338,fBin__339,fBin__34,fBin__340,fBin__345,fBin__35,fBin__351,fBin__356,fBin__357,fBin__359,fBin__36,fBin__364,fBin__366,fBin__367,fBin__369,fBin__37,fBin__371,fBin__373,fBin__374,fBin__375,fBin__376,fBin__379,fBin__381,fBin__382,fBin__383,fBin__384,fBin__386,fBin__387,fBin__388,fBin__393,fBin__395,fBin__418,fBin__423,fBin__424,fBin__43,fBin__441,fBin__45,fBin__451,fBin__452,fBin__454,fBin__455,fBin__456,fBin__457,fBin__461,fBin__466,fBin__468,fBin__469,fBin__470,fBin__477,fBin__480,fBin__482,fBin__483,fBin__485,fBin__486,fBin__487,fBin__489,fBin__490,fBin__491,fBin__497,fBin__503,fBin__504,fBin__508,fBin__513,fBin__515,fBin__517,fBin__518,fBin__519,fBin__520,fBin__521,fBin__524,fBin__525,fBin__526,fBin__527,fBin__528,fBin__529,fBin__53,fBin__530,fBin__531,fBin__532,fBin__533,fBin__534,fBin__535,fBin__536,fBin__537,fBin__538,fBin__539,fBin__541,fBin__549,fBin__555,fBin__56,fBin__565,fBin__566,fBin__569,fBin__571,fBin__573,fBin__577,fBin__579,fBin__583,fBin__584,fBin__588,fBin__589,fBin__59,fBin__590,fBin__592,fBin__594,fBin__595,fBin__597,fBin__598,fBin__600,fBin__601,fBin__602,fBin__605,fBin__606,fBin__611,fBin__613,fBin__614,fBin__616,fBin__619,fBin__625,fBin__627,fBin__69,fBin__70,fBin__71,fBin__72,fBin__73,fBin__76,fBin__83,fBin__84,fBin__86,fBin__88,fBin__94,fBin__95,fBin__96,fBin__97,fBin__99
0,-0.02735928408205233,0.020071052317204546,-0.021378085046386577,-0.03872426529524276,-0.019819198619947437,-0.022621152259002034,-0.02591282180806028,-0.07056489832831038,-0.01714215229474321,-0.0277284067894749,-0.027532408895257512,-0.05133310959505912,-0.04321513895900008,-0.046789461749864446,-0.02792054994272528,-0.011945952791130027,-0.04009089983727473,-0.05287125034671051,-0.042349764577824765,-0.013778361805992453,-0.04465071995906038,-0.03631049781784777,-0.021422086357095194,0.17187952382813004,0.15364978529155796,0.1618726342159534,-0.05251947282305465,0.13016698875069876,-0.05157473811093917,0.09921804217615458,-0.028183863144773932,-0.03537655596563512,-0.032780610429926416,-0.029879406043686083,-0.05648752857745783,-0.015489521089606521,-0.045333991051516635,-0.042238725408570335,-0.028073674205422807,-0.028630958835714506,-0.027040255098967538,-0.05919116385712733,-0.05622573868346076,-0.03896543364066723,-0.0365719209027758,-0.04552694315288611,-0.03809706891138749,-0.03900349219630786,-0.021343569840708905,-0.04764001451276827,-0.028105665919339266,-0.04205822382926768,-0.042523703106805796,-0.021603457781886472,-0.015280583484741914,-0.01967062761569028,-0.03415644776669131,-0.06269955539430475,-0.009281467107840493,-0.054290164387111546,-0.039733226988469594,-0.024476808974579038,-0.02566015031019296,-0.04845415244894436,-0.007639073083914204,-0.03687521359940464,-0.027289523912181413,-0.06037198964281975,-0.012617815543640887,-0.030817941328383284,-0.04519892846734028,-0.0284033635774812,-0.02707953543535252,-0.0372031727051324,-0.048992301762847225,-0.041154635117190454,-0.05377985057165408,-0.030898790092210086,-0.03261880030253452,-0.033171763613198214,-0.018508826417801494,-0.03686047923301477,-0.03281511501829105,-0.03780148866512676,-0.024819088944971195,-0.03392149458818839,-0.03506700125030986,-0.029856027207407564,-0.037221498611964866,-0.01981959347917018,-0.023929842709674815,-0.03397855749131533,-0.03676553225899612,-0.030014733502544702,-0.05512172148618651,-0.028791441023696525,-0.030553877454184183,-0.03814244414933599,-0.021136961601671753,-0.028293144776251798,0.06529092640130131,-0.03868544514817379,-0.03041843631595907,-0.05763325249393336,-0.03518960170105487,-0.049732242053532064,-0.04795237666678105,-0.042398525517590005,-0.06359177873715814,-0.03671972408438783,-0.028830318625878548,-0.03976862750248833,0.07751753190331571,-0.044091627376646764,-0.04570412695491475,-0.055739708621346404,-0.020832753279014925,-0.05824186006461584,-0.04540178622349765,-0.036655305465030506,-0.040445421045299634,-0.04119305730903445,-0.012236151358328727,-0.06367217456653317,-0.03244302797169346,-0.01958371028361643,-0.01727743816485218,-0.03827914613186558,0.13887044758354458,-0.03921673344276041,-0.03288365898343113,-0.04163924071077412,-0.048028211305841895,-0.044960737453307094,-0.025815959656295715,0.051391616476393044,-0.043484776570727364,-0.07405437828484446,-0.03353728289354479,-0.007853585807425555,-0.03314289876009569,-0.050285626031034446,-0.03794816109247265,-0.041581506322020866,-0.029837349621885095,-0.012550685713160594,-0.0407748595609187,-0.04290540500108615,-0.042624652008082575,-0.04373313063251974,-0.03337091383548542,-0.016270174085748622,-0.04167590902170034,-0.034710445553460534,-0.034241114600353756,-0.03629329221144545,-0.032650255665939966,-0.030018895080859056,-0.018790977910846343,-0.028538921171133505,-0.04247578553561348,-0.02665064642770937,-0.029964578641728547,0.09132999023399394,-0.040810440385125435,-0.015705508842430264,-0.06095042376577955,-0.01697592169857539,-0.02825418041996294,-0.03893146547363882,-0.027250520787374412,-0.03360633632457296,-0.045568925661081026,-0.031017388717378015,-0.061548418874148365,-0.03633170608893347,-0.040546286494594144,-0.029826825410327596,-0.027139500300544156,-0.02265449562936471,-0.04568897655196382,-0.037935725492522575,-0.02815273548203092,-0.049321276342227306,-0.042689017848304825,-0.04929379612854945,-0.033411523585450784
1,-0.0531724417718791,-0.010309326773194457,-0.016185918385737418,-0.03837655017048067,-0.05977039616796439,-0.029174403601694317,-0.04154201890448231,-0.033568325960518494,-0.0235519856437934,-0.045886612678631505,-0.036060343630897475,-0.03759335787256597,-0.03620558788643785,-0.03746413157640923,-0.01942477139626154,-0.024689473716542756,-0.05873195041837182,-0.037707271408897354,-0.04624122269491194,-0.04128556525568827,-0.03296026053450606,-0.02833924247938873,-0.03456316199165016,0.1746097507925026,0.13995957493154015,0.16905568436280138,-0.015613295288611703,0.15081975442416104,-0.035920102521097286,0.08692991974497946,-0.022898239045082897,-0.036619593274349174,-0.04538420633800316,-0.024882138327093906,-0.0515174983758135,-0.04672612058740779,-0.026266954659252818,-0.04784170638084622,-0.0281201310719292,-0.03365469054546329,-0.018228193041252044,-0.04287662680006867,-0.018915980523179516,-0.04473164676946928,-0.016708026032243663,-0.026219333273808113,-0.018965853885972803,-0.019663127757777076,-0.04414107638956279,-0.05247655995153183,-0.024762031731561926,-0.05215071250313928,-0.04568310055573603,-0.027220967483094508,-0.05672020542426841,-0.02671868868623641,-0.03287140836034798,-0.044706816048502344,-0.045040653463307656,-0.024886348960835282,-0.02751566423617715,-0.02984800490210064,-0.04528697979902247,-0.037194186164640736,-0.04093474422979776,-0.03947229945723384,-0.06124045085126269,-0.04437911019433468,-0.0565101536211553,-0.05410611058637041,-0.03265311620036002,-0.03153857340286814,-0.02838229836491546,-0.03210736208482378,-0.05098863284397424,-0.028698797601402135,-0.06220266807742121,-0.027444351092403247,-0.05934050503735457,-0.029265052091072323,-0.03893932232423576,-0.03383178195844576,-0.031279263445497064,-0.03250171823162916,-0.0199147753494231,-0.060410083294108664,-0.0414452554493824,-0.015324872160482865,-0.05796566371229527,-0.06294115127716231,-0.04294116170984101,-0.032197960569710714,-0.024850009633729526,-0.06515051775547245,-0.03046479318834128,-0.042008585448830585,-0.027638674198003033,-0.0484506841948544,-0.04309485906552513,-0.023624455200863075,0.09939436842832966,-0.038471332051180425,-0.028602115486021443,-0.021931466114976348,-0.037355147338416404,-0.028921867777263587,-0.02459925622571452,-0.030461657031526743,-0.03245042219074332,-0.042464716247715924,-0.027305441054995026,-0.05459192146609921,0.08221288996887366,-0.031898861341994086,-0.03134652061726752,-0.026395331400038673,-0.020811292452865317,-0.02020560042030295,-0.040836413342895866,-0.033502493887408454,-0.028690140178061947,-0.05539580946537705,-0.025938884355827085,-0.03827946201536401,-0.025946383089453618,-0.02689218996754457,-0.04146359567533161,-0.026247336745569946,0.12124095722947072,-0.06389005908821653,-0.040819985979986,-0.05268147929129745,-0.03364364552825301,-0.0380618575579986,-0.04661910593424832,0.046053263081549514,-0.03785695955479132,-0.029138127004095397,-0.02274149747593385,-0.04169802217657299,-0.02624243541879871,-0.03176159317477007,-0.04570980164807583,-0.034159385422365,-0.053423251562528314,-0.02596580685913303,-0.03393243228770704,-0.08381343557769788,-0.02904846266878278,-0.009666938032474563,-0.03565921265231467,-0.02188837028501325,-0.045534304037393315,-0.06474534369142237,-0.03116361850067999,-0.02339384832574255,-0.041049762773968275,-0.038540065967062435,-0.07573183274173007,-0.03090003319700333,-0.048669927620004716,-0.015535548283008538,-0.03219222230343084,0.07997132808984413,-0.02923626435252981,0.04115221965068309,-0.03648760552252291,-0.029419339182171447,-0.026871711476738204,-0.027312580859943154,-0.03368653425034857,-0.059267263993871715,-0.07266682512504007,-0.06242869021224785,-0.02402946323120671,-0.03561282251460181,-0.03298853812746063,-0.028468400040869445,-0.04650519689006572,-0.025023251944154327,-0.011516656997330692,-0.029731878759666937,-0.05512330074379431,-0.046791052693031944,-0.038319771725443055,-0.022161229092583536,-0.0238307659894746
2,-0.05335785256978704,-0.02452388345289129,-0.01916904512125174,-0.0491185683236277,-0.050159669482295076,-0.06167339614299373,-0.03752111865750353,-0.026781985453689518,-0.031512115481146886,-0.06387568807782697,-0.0676527390979458,-0.04703955572612074,-0.04168817641023373,-0.026131546124768135,-0.007675938173805992,-0.05395924022101259,-0.005633798618807475,-0.06283328369224848,-0.04934983983626179,-0.019913964438850816,-0.012665726012783127,-0.04546752856250501,-0.055460443278315646,0.17802614406571418,0.15740573960363027,0.16406442868642207,-0.040566847087640814,0.12513599011102128,-0.022487372261370285,0.10770122917839413,-0.03364867375962603,-0.04008194682580892,-0.05585004645604024,-0.01777106471397715,-0.02486836674553536,-0.017186502903332096,-0.020306431911481265,-0.006372911609352589,-0.05351707588797793,-0.07450305697532728,-0.019881683628605314,-0.031566926495350485,-0.026288985344139027,-0.0636155984406942,-0.05280526561954971,-0.051602150426063746,-0.01593464570101803,-0.014496880237315504,-0.06262068142126938,-0.03453183948826404,-0.0333941577446849,-0.05557591245102969,-0.03788485591197712,-0.041225669461173405,-0.060587453320835906,-0.04038230858516553,-0.03686607606484635,-0.06250900884495361,-0.016331364829712886,-0.04097871033453652,-0.02424430183547537,-0.04375211637407854,-0.034712719264176746,-0.04192755112577597,-0.014097625458626162,-0.028065935458257578,-0.03058856062533889,-0.07867709197148043,-0.026610229420420087,-0.04053926443585646,-0.029747304361469842,-0.0493161854714865,-0.02752356504456094,-0.03544525707009512,-0.0357125431585837,-0.04573026962862479,-0.0421609229734556,-0.027826219220751548,-0.04018922082229077,-0.03825292561746761,-0.009419863242004603,-0.019106692608802538,-0.02501412266392228,-0.03662726730614806,-0.025723256310742362,-0.05898261949657704,-0.029420222202762945,-0.033374132828769845,-0.03822634431407871,-0.07397849259225335,-0.08332437132427677,-0.03274933565573137,-0.03913778022307664,-0.032040432360076955,-0.043758416769775654,-0.03575657429259308,-0.06767164190239641,-0.07031512545284023,-0.03443483204857338,-0.042676381729759814,0.08861343217070378,-0.051271297962301954,-0.0560842272384044,-0.06187974970508042,-0.03423389066416401,-0.04063357773812226,-0.03921607160527594,-0.023884673252694236,-0.04958067205515253,-0.04098876081336006,-0.048293607687153614,-0.04655219459192646,0.10697089571969724,-0.028703025095703022,-0.034008359434554374,-0.043653600199161674,-0.03762348758240659,-0.024773245727376714,-0.03646500786450906,-0.04565850612137155,-0.02862952542657134,-0.024040285631860035,-0.019903708355838916,-0.08078234731353069,-0.03530508411682699,-0.05064685349720207,-0.041989700343009854,-0.02393838636075796,0.11301509017077344,-0.05937409075222175,-0.040876907304445334,-0.024810601212084605,-0.03892846413548142,-0.04555432592433672,-0.03773799979154732,0.07848427103635233,-0.02879975443110467,-0.029383512823143658,-0.056401981014205155,-0.06454570937389334,-0.06005970278702383,-0.012525582745430605,-0.041380800798004116,-0.07034439547806237,-0.05230672297343193,-0.035158792106274615,-0.052663283468456196,-0.04729310775463285,-0.040075101917620294,-0.03525927070893912,-0.04015722260200752,-0.04404251066305003,-0.029743077597104574,-0.057806507094666615,-0.020838774234993526,-0.052714254549794254,-0.030354978432527505,-0.05596165678547712,-0.022701068810977394,-0.028855401981560804,-0.038495037996433265,-0.06565996598931353,-0.05410627411582515,0.10323734844469927,-0.05197924514301961,0.0255180536332259,-0.03278943156415456,-0.04380994305012892,-0.046494973322938137,-0.0250782866116661,-0.00675020442772078,-0.03696519745571219,-0.025873172339323774,-0.018473049061000855,-0.05029598598479027,-0.028208244379291966,-0.032825664203033865,-0.02127360895532839,-0.029708625255863794,-0.0432828737651023,-0.06111265120691916,-0.007792223812162469,-0.04024696680588503,-0.04141090293886824,-0.04527768215850558,-0.06405364419906778,-0.05182606130114302
3,-0.03902193598818018,-0.012730281425671794,-0.04932523245212356,-0.045829683538860105,-0.03224837995174765,-0.04488517789042501,-0.05200628955721913,-0.05418696537472252,-0.025115322699566584,-0.027946397313450604,-0.04402685348252611,-0.04666611463918274,-0.030053133317766174,-0.04848984127176867,-0.023370701843560174,-0.06191849847525574,-0.02995395777230983,-0.03573621116213105,-0.03606232293873402,-0.04785519361389276,-0.03628100345054426,-0.030895178136751016,-0.04060256210587597,0.17160092245746883,0.1560878311381875,0.1653305366722581,-0.028806540869263618,0.12328142653544724,-0.03444211704979348,0.116562330483296,-0.060025648539791324,-0.024890779563004,-0.04284413698223235,-0.021461231209131893,-0.05513850900687138,-0.03574646648827335,-0.03981338545389946,-0.0258391637992455,-0.02145736070074057,-0.04252269623708744,-0.004165657664314658,-0.043238283933464454,-0.051936385272068515,-0.03494056708950363,-0.012970002944370963,-0.04051518662452875,-0.03124288890505696,-0.024178667461466505,-0.02066399532616952,-0.04506349196779057,-0.05529850309770862,-0.04331633911674625,-0.00794462491075853,-0.031913099488698006,-0.04503934513555195,-0.02256950857208303,-0.019188121356314838,-0.044211483247317,-0.053191879528306535,-0.03211728973663932,-0.009661458642713073,-0.05301008634122879,-0.043961380415216876,-0.04075894714883429,-0.014018794310147001,-0.05633046307352175,-0.02553658459611282,-0.022134879547003005,-0.030544207914539812,-0.03080891682449199,-0.03543862318418367,-0.056377502302994285,-0.055455476475429956,-0.0414656604469344,-0.06135823561695567,-0.021009111948908046,-0.03532394100410544,-0.05443300676283024,-0.03203381855729131,-0.03868988814572612,-0.05614983689743646,-0.05874291455419868,-0.02101192851319598,-0.07106323640015792,-0.01616229898447816,-0.03856561889793783,-0.028124556623938084,-0.03841645974897477,-0.06609001686082383,-0.044980999446267766,-0.023727401579032237,-0.035078522773572006,-0.06907462209426532,-0.017222423185091474,-0.01466191668125706,-0.019209721103289744,-0.041995247580490024,-0.06437481230011805,-0.022027105302657085,-0.02798950262500922,0.046133027988771176,-0.01682099213354488,-0.02353833983119527,-0.042311402132924704,-0.035916341469769915,-0.027998671309557705,-0.027151706580186376,-0.014625832259228295,-0.027639377578508952,-0.020736706626353695,-0.04400767514521313,-0.03811471427242257,0.02504452053584797,-0.042455621320622826,-0.03887038117144763,-0.03259573959956633,-0.013638365220236176,-0.03594291637148175,-0.023965319213520162,-0.023946259031110567,-0.023766688089763302,-0.050413864515376695,-0.07166060482905953,-0.02655370097084325,-0.05922520567294442,-0.04327999444112497,-0.055552578534537864,-0.01611579397697829,0.0979983912844047,-0.03340839590206096,-0.029112625070505698,-0.04350710190039331,-0.05479239616592962,-0.03175357504702879,-0.03057224909145943,0.09127498683623221,-0.01830395812730482,-0.025532432610646576,-0.020987848790712756,-0.03004621549042997,-0.018615791282959676,-0.027690895614298758,-0.03377844446273623,-0.04501621144707303,-0.0405520328028731,-0.03444523408487503,-0.0418938024999841,-0.035638616423053375,-0.02239499598229338,-0.052463604787781504,-0.020427164456128456,-0.026799015047462474,-0.02850559882690878,-0.0234200652563047,-0.020808075209755778,-0.03407287125119648,-0.03364016562759518,-0.030094028274845887,-0.029262722576283467,-0.03077964834359146,-0.04621233520766568,-0.05524101031890286,-0.03236155985894919,0.10546616922787404,-0.03446455052386441,0.019885532536543196,-0.019244437982245493,-0.009202226955329098,-0.025160776727864306,-0.03377329601479215,-0.056435075708888977,-0.045160251734228045,-0.07233777493175063,-0.03313353419345053,-0.01798765727989331,-0.03466390033102558,-0.05497399663537977,-0.05405189906934409,-0.03293460177710072,-0.04483877135349667,-0.024612697367159736,-0.04054898386762821,-0.02712994883634299,-0.0664958487308116,-0.034977709050759836,-0.027099060270660225,-0.023017577810450045
4,-0.02363720439836264,-0.04024875736098796,-0.00929587592814636,-0.06955395252877913,-0.01781110822967466,-0.0372378556507358,-0.054658258815508495,-0.02046269761878887,-0.011463158311365093,-0.037816015917576516,-0.04277783127776407,-0.03745125502196909,-0.03202315384316467,-0.04511057445277777,-0.03698381359849669,-0.05640809334564288,-0.04209070628863738,-0.03224887585774169,-0.024854087029579003,-0.03409510075333727,-0.03782950145365565,-0.020853696014570208,-0.022676283893416395,0.16083905503452495,0.12270928153203907,0.15758669331083078,-0.04092573888048824,0.12884953936803886,-0.019237106899438357,0.12371639795159126,-0.04140478245793319,-0.011215119953443993,-0.04452091673048989,-0.03182265710497176,-0.039050522619262264,-0.03853690146440463,-0.030574656169985812,-0.03584866908270587,-0.028706964272404923,-0.05767443653854613,-0.03646590622999738,-0.019635874045593305,-0.038018508095689865,-0.020796359588729097,-0.024304265640448946,-0.021095722730253962,-0.049022176987569596,-0.05546423805638445,-0.036556895388881995,-0.04670694433035904,-0.042750083153381524,-0.06360704008363124,-0.021616587283441083,-0.047829820961695656,-0.06164425966061166,-0.00944123941668234,-0.08045767771919396,-0.018462247815268756,-0.020387190224677675,-0.05377537896473973,-0.04105392185235208,-0.05814953592652784,-0.031870544374278026,-0.0471497843685186,-0.07639533810137136,-0.03001951837789571,-0.036750229849434844,-0.012455656568166572,-0.04368177683304987,-0.048382362384269885,-0.02657748378170402,-0.04439195974169956,-0.04424209801652006,-0.04068977733842956,-0.04091760680224201,-0.04647813169801177,-0.033405719948312096,-0.043705270416903974,-0.017494532544321897,-0.03945790920286722,-0.03387351686622547,-0.05324292888655667,-0.04683265781834408,-0.03579425842869337,-0.050376258180953405,-0.04465988277281658,-0.0433720446690279,-0.028353837992473332,-0.040982583315126116,-0.037473691032852904,-0.024145619920613075,-0.06504973252513938,-0.02521589123471447,-0.04832278775051009,-0.0741138453361281,-0.020957294922071712,-0.04076234570846015,-0.051426330860135046,-0.05800977787752275,-0.0636922741069649,0.060368208712247885,-0.06482503736427231,-0.05976990239884186,-0.06445646774566338,-0.054512068792694116,-0.04302359565330962,-0.0717037248486918,-0.025272361539267284,-0.06565752371001368,-0.03219645323623664,-0.04930359868493781,-0.05853407118305877,0.04283850136997791,-0.017115845358784312,-0.016668589433212925,-0.029310732999891693,-0.010866691582635594,-0.028362307224288442,-0.008020275205011666,-0.03283291637456581,-0.03258378957118303,-0.033078344749067484,-0.052222943064192354,-0.05407340743658439,-0.04051134163312176,-0.021008989298585086,-0.05924121368894012,-0.033062045289677475,0.1177023696910556,-0.047664825060673335,-0.05105743204395715,-0.04780260702793186,-0.03700351381680764,-0.024154509327578066,-0.0528936703870861,0.07063813784329241,-0.044574237383346274,-0.03282071454245333,-0.04713103534835144,-0.03509634695321425,-0.035536348928792524,-0.022340507277716023,-0.05382782513468409,-0.030625965641901787,-0.021631257178428523,-0.03751866767239917,-0.042103922573426864,-0.047232290134020374,-0.027241604105292985,-0.036925628891099,-0.03997112928866407,-0.03387970268529019,-0.046968178555929226,-0.04780935026556781,-0.030552557252161855,-0.019809031163694066,-0.052249040869426326,-0.04141991485800665,-0.037509986297835266,-0.034996285281765765,-0.026823701483957515,-0.02956230779511447,-0.03751180542678426,0.11091843865882753,-0.051804927996387674,-0.026821981464908887,-0.038024491763509645,-0.04683606840500768,-0.032722930174461214,-0.04100871374521987,-0.04942296271250658,-0.025683896785923588,-0.022359034406487732,-0.016575574831621226,-0.05012275397313136,-0.03144790845855889,-0.04425679092537303,-0.04480662221379336,-0.02783556592387779,-0.04951039534076222,-0.039536971603392174,-0.062486965976701996,-0.028852679513182548,-0.02864812169081582,-0.029419233916470913,-0.05143678837971609,-0.02056434579962566
5,-0.047171916359593516,-0.0065833570360624965,-0.03257134169423459,-0.05280378171333606,-0.02522598329154692,-0.03524515097075427,-0.03133162858770466,-0.03232315426110578,-0.036750841306960436,-0.031396263762692465,-0.03456501180036928,-0.028557650116658926,-0.03472276410473504,-0.02780833101217071,-0.031195452840276885,-0.0188863359924621,-0.043216550750496914,-0.015724007172838814,-0.022865472512414272,-0.045316422200694796,-0.016386695368904622,-0.03297835471403742,-0.02421425145220118,0.164981316574158,0.14980469724068138,0.16781900265907287,-0.025610905328527344,0.15326865625321423,-0.03925406459558327,0.12378281102613743,-0.013132368246201637,-0.031866228961262795,-0.035915273904576245,-0.03225922348740394,-0.037890407310265425,-0.040172253024348625,-0.033260298385748455,-0.03819722549932013,-0.058495099526650544,-0.043418922745362215,-0.03315576645485468,-0.03974616792135691,-0.05163991844798969,-0.02289097116263238,-0.04596876202818987,-0.020349936720007508,-0.03414822623997452,-0.027489564588270714,-0.018193974216892048,-0.03781053115014593,-0.03411550836048872,-0.01634892941626783,-0.02494609665600744,-0.03800452584071768,-0.03948145225941988,-0.020063279781238025,-0.020131837336119156,-0.016532335196369558,-0.031118849198600623,-0.04996036073793841,-0.02976623276787998,-0.023192442744658332,-0.0349468248715247,-0.06143022969810592,-0.08660390981159685,-0.04151141561400937,-0.02764293424868132,-0.032170322127443626,-0.05097570570107377,-0.048948255211412876,-0.04889965323815259,-0.05080698128633173,-0.04343159908424643,-0.035052034505538385,-0.01708442284961498,-0.08674643427221601,-0.04361384993994879,-0.052922135497585614,-0.05539832465277948,-0.05448086440598845,-0.06204545220220452,-0.053255587696677084,-0.03971214263175917,-0.04544733182471035,-0.021359512330099955,-0.03842407110448356,-0.03945193963241989,-0.015203461661876475,-0.017538560215326852,-0.034950557748217675,-0.04867218808671442,-0.03414271316257855,-0.025653683102339273,-0.016844811311037888,-0.015334659657864218,-0.03846512290138765,-0.02243858905267384,-0.055970929201864944,-0.03133235341917404,-0.02579226823405438,0.09686766453661536,-0.0657146749528075,-0.046448763525311444,-0.01378496192242561,-0.01937702326072877,-0.04648380152277524,-0.027502472987865453,-0.04047248562119765,-0.019302627279852175,-0.05417361468263858,-0.028906593105078413,-0.036972061552171906,0.11088299690353189,-0.050420921493430755,-0.03332073384176273,-0.03554447304933474,-0.020855784440951916,-0.027804886099715508,-0.04849880491996121,-0.036226455014284446,-0.01720721829592026,-0.02468822443829347,-0.028383997152366433,-0.06289172057751151,-0.03868587074428762,-0.013677952246210883,-0.011802520403201287,-0.056279977347237116,0.095261768647498,-0.024908031129552713,-0.026340708192677482,-0.07162758362300452,-0.05433078506199842,-0.03287770845908967,-0.025463551952343188,0.06381768318786184,-0.02983826713562471,-0.0242320456994052,-0.046060352775568095,-0.02377149265357625,-0.026502095187355638,-0.03733586258828021,-0.0903063890591728,-0.04896336175392644,-0.021440356346217142,-0.025344167399172588,-0.06326215709620413,-0.013580538560798439,-0.018622452273852667,-0.04231055577576841,-0.02714583009038267,-0.013550161749287288,-0.06257691880075669,-0.026832284677572635,-0.048240831936108196,-0.03349685943527539,-0.041237565940947414,-0.06438074110400205,-0.03592725164561357,-0.045780093838200406,-0.04328793040483315,-0.05943278634492941,-0.0411058345307653,0.08482006255165979,-0.04823007201449244,0.04540469855483412,-0.014922569412803788,-0.025687311158686346,-0.05645089493293004,-0.01434345203052518,-0.04111507840283563,-0.045147947452545786,-0.05445141423378933,-0.04420359254634556,-0.03547594999688022,-0.04123582117352649,-0.024131866248522323,-0.02196328523090061,-0.03385878837450754,-0.05255248697210136,-0.03050752847660734,-0.03720635349273896,-0.06380716061990022,-0.04790442402766469,-0.028459884460540045,-0.03137115673276836,-0.04461696093379282
