,"Age, BMI & VAT","Sleep Quality
(average of nights)"
bt__monocytes_abs,True,True
bt__wbc,False,True
bt__lymphocytes_abs,False,True
bt__monocytes_,False,True
bt__neutrophils_abs,False,True
bt__basophils_,True,True
bt__lymphocytes_,False,True
bt__basophils_abs,True,True
bt__eosinophils_,True,True
bt__eosinophils_abs,True,True
bt__neutrophils_,False,False
