,body_comp_leg_right_lean_mass,body_comp_arm_right_lean_mass,body_comp_arm_left_lean_mass,body_comp_leg_left_lean_mass,height,hand_grip_left,hand_grip_right
3,0.5907494579993574,0.42352433714072396,0.45197918325172826,0.5866272957200473,0.12728356937301138,0.0805153841757148,0.20371087314184436
4,0.5950803212080227,0.428462463156825,0.45534233808644625,0.5909388723102885,0.10646566310059884,0.07989637601864769,0.2051102004158464
5,0.5939543685617645,0.41634499130824254,0.4504559962872125,0.590596348088547,0.11901233057528421,0.10721750424021818,0.1843387026235393
6,0.594958884593611,0.41673272617289747,0.4368687922208306,0.5905872222328858,0.10666962206627717,0.11345450814339633,0.1723699990588993
7,0.6001858598282539,0.42203402099005516,0.45342661409154,0.5938781725212425,0.10817649337873513,0.10515230966212477,0.1843231758646546
8,0.594653904299318,0.41939750724323754,0.4486758385156174,0.5933765580060352,0.11484173981604008,0.09046062181285018,0.19551157874907146
9,0.5975512822921665,0.4198698647580255,0.4448491428859641,0.594799921459495,0.11941323247280085,0.08433682487465906,0.17797067550582707
10,0.596959797248769,0.41918635441738417,0.4423721723404621,0.5897958382512947,0.1304938092436612,0.11321739349824049,0.17412943835303693
11,0.5933354204038037,0.4163320090196974,0.4504348384692957,0.5870513052012891,0.12358430437881661,0.09413509987710117,0.1718372743113262
12,0.5993690702972646,0.4200348513704731,0.44292357729934634,0.5950176613149258,0.11639428405714815,0.09708902836247625,0.19088948941744957
13,0.5950591899087981,0.41890129664295467,0.4507082050062962,0.5903049215634859,0.1322711380215496,0.08239601090681896,0.18877961185908193
14,0.5930703514999749,0.3984016646316444,0.4388378898023588,0.5897758843273178,0.11689618222186056,0.08771206830708575,0.18586097570602278
15,0.5972121783825887,0.41289975994421635,0.44586534162209907,0.5913143169813552,0.11489581329192258,0.09785884550325279,0.18157294930977994
16,0.5935425255640383,0.42606781982026554,0.44473802634780707,0.5913676979371006,0.11449372545193234,0.11013537088546285,0.1940905217034843
17,0.5945640625403574,0.4128433665673796,0.44407249992377035,0.5900944463247201,0.1113887970603762,0.09687476345618247,0.18974712747849903
18,0.6004248913930361,0.4190928216405518,0.444356551019126,0.5946869510902177,0.11629128557414592,0.08805325366010262,0.1758992890260737
19,0.5989310864270484,0.42271152592033645,0.44447876175442574,0.5942477112025559,0.11812466692766933,0.08815405458139741,0.165573080606959
20,0.5987721936594715,0.41794121695356123,0.4356436013953604,0.5928329526448732,0.11431264250841969,0.06946361002937525,0.17598048554891738
21,0.5928010194332662,0.412944136491755,0.44423473665301083,0.5889561710539112,0.1227440731239381,0.10002843612023583,0.1770047832919203
22,0.5991092514011265,0.41572856375760503,0.4500136565474817,0.5944805701908052,0.1211288293430507,0.08818469491710175,0.16937028344985094
23,0.5953542754913802,0.4181928139574292,0.44442539835049527,0.5896023189630033,0.10271977608029853,0.10535639241288203,0.18263290096110188
24,0.5965418099111992,0.4165860590137609,0.43992444442875966,0.5924327332216567,0.13014136330736167,0.09101565311886436,0.17888148685505223
