,"Age, BMI & VAT",Renal function
AHI,0.00415682210356505,0.004758248728161418
ahi_4_percent,0.0052024573389908785,0.0053090607200412575
ahi_central,0.011382953207852695,0.01035546026388905
ahi_central_during_nrem,0.013052295614964047,0.012223791491620553
ahi_central_during_rem,0.010910467703826799,0.011737467581090788
ahi_during_left,0.00799955898191313,0.00945954129114962
ahi_during_non_supine,0.00602091948043816,0.007175243524839768
ahi_during_nrem,0.004602309676529716,0.006006063797052167
ahi_during_prone,0.008577598223237294,0.01023610665194271
ahi_during_rem,0.003679595972949105,0.004435519872044718
ahi_during_right,0.007996697753740371,0.008201024343867701
ahi_during_supine,0.004560602077598655,0.005530149177869965
ahi_obstructive,0.0046498316485568585,0.005375094586421598
ahi_obstructive_during_nrem,0.005291079565857873,0.005650621284903748
ahi_obstructive_during_rem,0.003842204386510063,0.004947700441532555
desaturations_above_20,0.01222871174339202,0.01503189125171735
desaturations_mean_nadir,0.010111800126167891,0.011057898666257306
desaturations_of_10_20,0.0096473206458744,0.011130169515393492
desaturations_of_4_9,0.005676234870202844,0.00593321241875975
number_of_4_percent_desaturation_apnea_hypopnea_events,0.005668340403304423,0.0057695209542899875
number_of_all_respiratory_events,0.005948196035969035,0.007925517000702485
number_of_apnea_hypopnea_events,0.004403191991709667,0.005322031603685597
number_of_central_apnea_hypopnea_events,0.011096439627224617,0.009814192529463401
number_of_desaturation_events,0.006100084722768877,0.006188574656377025
number_of_obstructive_apnea_hypopnea_events,0.005034259672271715,0.0060917219616727514
number_of_transitions_nrem_to_rem,0.014854575535318867,0.01643737531884901
number_of_transitions_nrem_to_wake,0.009555606022249724,0.009667447241559046
number_of_transitions_rem_to_nrem,0.018177321520086435,0.01581181325044004
number_of_transitions_rem_to_wake,0.01210580310159611,0.012397315924557851
number_of_transitions_wake_to_nrem,0.008652784956072149,0.009459942795948093
number_of_transitions_wake_to_rem,0.013289764405406305,0.010828155997037622
number_of_wakes,0.01064291449549606,0.012199358361366291
odi,0.005556699949958278,0.006282279137624973
odi_during_left,0.007819330327028204,0.008315873926968885
odi_during_non_supine,0.00769213891877011,0.007527882509501355
odi_during_nrem,0.006624382440441054,0.007193791397506108
odi_during_prone,0.010571438689941181,0.011683788300480984
odi_during_rem,0.006672832131687809,0.005327229833415638
odi_during_right,0.009118816731548393,0.009711722761289308
odi_during_supine,0.005676797770832711,0.005850055777611916
percent_of_deep_sleep_time,0.009173550833440914,0.012834926116868435
percent_of_left_sleep,0.015082367268569903,0.014538215620467792
percent_of_light_sleep_time,0.010867218578076166,0.01127176669745667
percent_of_non_supine_sleep,0.014867084994582773,0.014232743908093226
percent_of_prone_sleep,0.012677458895855696,0.013127963230977223
percent_of_rem_sleep_time,0.012252257636545204,0.013830817690234887
percent_of_right_sleep,0.015374714941951303,0.014269572236145818
percent_of_sleep_time,0.01163703736703621,0.014056092120441784
percent_of_supine_sleep,0.014872984229898549,0.014231119088973882
percent_of_wake_time,0.011643733843495346,0.014060454785844301
rdi,0.005771701275598958,0.007186261031442567
rdi_during_left,0.010817500170807902,0.010740400092167183
rdi_during_non_supine,0.006526029196096913,0.009080180829291651
rdi_during_nrem,0.007236865257932745,0.007551490323618593
rdi_during_prone,0.01077682156543253,0.014149013833653919
rdi_during_rem,0.004385966786196215,0.005628262913953516
rdi_during_right,0.009622661622703471,0.009614360099601343
rdi_during_supine,0.0070572318493860925,0.007191405549773721
rem_latency,0.015504022092744655,0.013870656497711064
saturation_below_80,0.016379560257838124,0.011556085905877282
saturation_below_85,0.015703709809690554,0.013939794622392409
saturation_below_90,0.01573505920230981,0.012805201581487416
saturation_below_or_equal_88,0.015540653523567337,0.01428063210237113
saturation_max_value,0.011097609710399376,0.011994080681117642
saturation_mean,0.00406783515382156,0.005367874029627265
saturation_min_value,0.005686613666826162,0.007413106717093031
sleep_efficiency,0.012039047943721045,0.01298095900765064
sleep_latency,0.015189964968829418,0.013045509372535293
snore_above_40db,0.009612544167798592,0.011713170395791188
snore_above_45db,0.010324807982116208,0.011489263970373937
snore_above_50db,0.013151607142082506,0.014039419866021181
snore_above_60db,0.014982480007463342,0.013820861356772709
snore_db_mean,0.008750496266496018,0.011921538928771331
time_to_transition_nrem_to_rem,0.01410804768166573,0.012823687594971045
time_to_transition_nrem_to_wake,0.01176363612127218,0.013704364076649694
time_to_transition_rem_to_nrem,0.011992228509012435,0.012244394210770414
time_to_transition_rem_to_wake,0.01172078525585122,0.013628636262723244
time_to_transition_wake_to_nrem,0.017018548524878944,0.016799343646828953
time_to_transition_wake_to_rem,0.01833227252488375,0.018523299665392384
total_arousal_sleep_time,0.013182028223302972,0.012809425911524027
total_deep_sleep_time,0.011502776729441154,0.011980004080522614
total_left_sleep_time,0.014285312331587122,0.01438048108489735
total_light_sleep_time,0.012980728198821656,0.012851483612992931
total_non_supine_sleep_time,0.012038581916015777,0.01145142360714856
total_prone_sleep_time,0.01435364478935695,0.013347866445659641
total_rem_sleep_time,0.0141842431939178,0.014157619175941466
total_right_sleep_time,0.014372818061047002,0.01387026354371108
total_sleep_time,0.013371904918906757,0.01283703835433065
total_supine_sleep_time,0.013391220914306962,0.01237825520300274
total_time_in_bed,0.012914465799471489,0.013833692423536142
total_valid_apnea_central_sleep_time,0.012571296708129802,0.014501646173305325
total_valid_apnea_sleep_time,0.01403558515335478,0.013593469388989378
total_wake_time,0.012517434051583514,0.01149610101296085
total_wake_time_after_sleep_onset,0.0109512367692337,0.01228880234401107
variability_between_sleep_stage_percents,0.010555503435934062,0.011332070394612117
