,AHI,ahi_4_percent,ahi_central,ahi_central_during_nrem,ahi_central_during_rem,ahi_during_left,ahi_during_non_supine,ahi_during_nrem,ahi_during_prone,ahi_during_rem,ahi_during_right,ahi_during_supine,ahi_obstructive,ahi_obstructive_during_nrem,ahi_obstructive_during_rem,desaturations_above_20,desaturations_mean_nadir,desaturations_of_10_20,desaturations_of_4_9,number_of_4_percent_desaturation_apnea_hypopnea_events,number_of_all_respiratory_events,number_of_apnea_hypopnea_events,number_of_central_apnea_hypopnea_events,number_of_desaturation_events,number_of_obstructive_apnea_hypopnea_events,number_of_transitions_nrem_to_rem,number_of_transitions_nrem_to_wake,number_of_transitions_rem_to_nrem,number_of_transitions_rem_to_wake,number_of_transitions_wake_to_nrem,number_of_transitions_wake_to_rem,number_of_wakes,odi,odi_during_left,odi_during_non_supine,odi_during_nrem,odi_during_prone,odi_during_rem,odi_during_right,odi_during_supine,percent_of_deep_sleep_time,percent_of_left_sleep,percent_of_light_sleep_time,percent_of_non_supine_sleep,percent_of_prone_sleep,percent_of_rem_sleep_time,percent_of_right_sleep,percent_of_sleep_time,percent_of_supine_sleep,percent_of_wake_time,rdi,rdi_during_left,rdi_during_non_supine,rdi_during_nrem,rdi_during_prone,rdi_during_rem,rdi_during_right,rdi_during_supine,rem_latency,saturation_below_80,saturation_below_85,saturation_below_90,saturation_below_or_equal_88,saturation_max_value,saturation_mean,saturation_min_value,sleep_efficiency,sleep_latency,snore_above_40db,snore_above_45db,snore_above_50db,snore_above_60db,snore_db_mean,time_to_transition_nrem_to_rem,time_to_transition_nrem_to_wake,time_to_transition_rem_to_nrem,time_to_transition_rem_to_wake,time_to_transition_wake_to_nrem,time_to_transition_wake_to_rem,total_arousal_sleep_time,total_deep_sleep_time,total_left_sleep_time,total_light_sleep_time,total_non_supine_sleep_time,total_prone_sleep_time,total_rem_sleep_time,total_right_sleep_time,total_sleep_time,total_supine_sleep_time,total_time_in_bed,total_valid_apnea_central_sleep_time,total_valid_apnea_sleep_time,total_wake_time,total_wake_time_after_sleep_onset,variability_between_sleep_stage_percents
34,0.42945366041299154,0.4107099263989134,0.1369340808703823,0.09874468966978782,0.12654957739350234,0.32024203591828054,0.3654009709052124,0.3943588159044795,0.3065729099304094,0.43485634540469287,0.2942695980976092,0.4303020049453224,0.4428695037690793,0.39674700437637,0.440378206923921,0.17758023807387135,0.30343831078206085,0.18601286174240927,0.396676401469826,0.3854179836604752,0.2695147176422873,0.3942314229988518,0.13435442725608748,0.391491661294998,0.4136432029208502,0.02012332858761964,0.08435583173940903,0.03384070413420886,0.008231095239069546,0.09860180891905522,0.02886403305015503,0.05892263069732596,0.4163011867921705,0.3593588620281374,0.39566900473251193,0.35838549200752357,0.3195765633512492,0.44257110273232014,0.3225860652590721,0.40809469477278393,0.13889092163373243,0.011590003097397154,0.09338621288367388,0.05200595382014991,0.027489269694714595,0.0032384551663707604,0.014783620903684729,0.022165888526164152,0.05200596035496235,0.023475405059808885,0.322257659428148,0.21600657859779557,0.2389014541326335,0.27763070042260707,0.16204784898976857,0.3437858461262226,0.16747833249375624,0.33819140996536534,-0.001235786021922568,0.27244182500804104,0.23633488055625246,0.2850990579517521,0.27021582318321036,0.0380898996016819,0.4153985230771013,0.33163602202871856,0.016284662330598762,0.02207149822179907,0.06128393211936929,0.2512759198061043,0.180400612067821,0.07610104603589823,0.2168000935740087,0.03009833822893921,0.06280303201243677,0.04613418085712166,0.011459984063343207,0.09469908778886066,0.02503045581954661,-0.028291684399183694,0.11638959084566436,0.008067256001816498,0.030234335323790103,0.04870731220097626,0.021422236956566004,-0.0290680502167511,0.015922205294012927,-0.02662401529997326,0.03436552078559691,-0.04602510247225497,-0.0014369819187651537,-0.002945295649326848,0.020269136970058256,0.04141107398446345,0.10747186933377358
35,0.42501364436462596,0.40567445240133854,0.11575098561514656,0.09548794557795069,0.11759507804315675,0.30223450416089037,0.3786330613893035,0.4067012617458614,0.32265570800913324,0.4574966812119812,0.28310801868974517,0.4258260658295528,0.4313555603497458,0.41026267806794425,0.4380429624106208,0.1549472547911952,0.3187677687263971,0.17739240104473813,0.3936556183684769,0.3812370973377458,0.26943081330462026,0.3915192036377597,0.11329862180324954,0.390091859889919,0.3947111382868987,0.01633333445383541,0.08098450243372028,0.040361768389332225,0.0014355730857673655,0.0891809039523594,0.040203469754454005,0.07126447562984438,0.4189490199553662,0.3452969197749973,0.4156783631485952,0.37210356707604586,0.33168362839715565,0.47282116969287746,0.3373859156755146,0.39985079060663664,0.15705659569683011,0.03387975185278045,0.09231001353565424,0.07024321699435927,0.021178026552592506,0.018964657145076606,0.03479166974292708,0.01889052001251007,0.07024318770280519,0.0186686781478289,0.3204779596323449,0.20278000251907197,0.26061928258765377,0.2929742478665565,0.17490398389224407,0.36742545408622196,0.1499645518437837,0.3290170166199957,0.010190481733318102,0.22164708645738962,0.21455389608843597,0.247526480104345,0.2435357787056408,0.025460153827071855,0.4126850459693481,0.331383877883515,0.036725815679618405,0.017613957646304305,0.06446357956536133,0.2367247171835053,0.17594423219386476,0.07691156622903686,0.2178262979559869,0.01884792717026485,0.09346576775544209,0.07019110019347238,0.022740859937745127,0.08434736140975521,0.047690905360812996,-0.027359791840887614,0.1335914675368607,0.029960666889027782,0.030542788221121737,0.05987447360815029,0.013093218260066378,-0.011305969840347072,0.035751470825099066,-0.02791455607278427,0.05770717777445227,-0.030840265074203788,-0.009616644038857456,-0.004292758565262751,0.040024614191563584,0.030182150491511583,0.10557781329200033
36,0.43507557136036046,0.42347591351120023,0.1377122096316147,0.0905796418939206,0.10935714217069124,0.3107625666820673,0.36515651632397655,0.3917511474234533,0.32045343528124043,0.4374642399935205,0.276798211918737,0.4215615105715132,0.4455460563039397,0.39582657812275546,0.4414297267044075,0.07929322992261886,0.3043127676544687,0.19274315486812646,0.4070728775136925,0.3957367468840137,0.27266985441124936,0.3973832342218888,0.13107092327070546,0.4022298659428613,0.40507521467600655,0.018967970838018176,0.09529999459670367,0.038714032403701026,-0.004288687070235441,0.10876469080837219,0.031728418218191105,0.058074835459470266,0.42963203099601516,0.34967569800017806,0.41169157616316593,0.36063521730467185,0.3350726553872517,0.45458151872468266,0.3065095449652459,0.3898062857185008,0.1623703462869373,0.015611670559306512,0.10963273550887903,0.05874882995584081,0.0338729856432237,0.025688656521371436,0.036581983753791104,0.015958464085985828,0.058748843696693934,0.016653790356756598,0.3288795571081777,0.20613972459955487,0.24497566425347186,0.2762305095433294,0.18012233461246366,0.34700169865700925,0.15005619567709935,0.33445847721230404,0.010890779285676933,0.13659345827304187,0.21482159277824284,0.30257035816749805,0.2881362071720119,0.040028629215059834,0.41568483502503645,0.3197501110732932,0.03045868597436971,0.021430680022841746,0.05181103255616683,0.2385288113709989,0.1949299095650449,0.10336523069290825,0.22676802697220144,0.054524001449602545,0.05443459824071761,0.041859715581480494,-0.0036663790968143794,0.1024593894368432,0.02683136637447552,-0.007473867595765696,0.13184441545658473,0.012880191379922362,0.03243437631425881,0.04179909736264655,0.022662704321033688,-0.0032498296544936885,0.02801557358094337,-0.005871982216402344,0.05285052152936092,-0.03796635311985983,-0.024820886364700832,0.01111662520851682,0.03620291057121404,0.026791833169614587,0.11869791825569084
37,0.4290617783410201,0.40978698949983683,0.10885739624479375,0.11432212367216264,0.10952626825650366,0.321372077887442,0.3625652650590296,0.40669644323889986,0.30305732796642226,0.4469283597586178,0.2847900005522439,0.41612103282039775,0.43342978168332397,0.40110617321453873,0.44456815269025984,0.14269236206683988,0.31100231186228955,0.18272449936309215,0.40653807319409097,0.39062667181587374,0.28295110218063857,0.398527770319325,0.10773862188542857,0.39480383294906163,0.39601260334911853,0.02887026313921804,0.0780664367073565,0.04191378870141273,-0.0027433936941432704,0.08633498387070104,0.024571714185261107,0.062429752944336905,0.41488706919917057,0.36439047587076423,0.3899474868958678,0.3724685531863887,0.3261990623360006,0.46429869295502246,0.32819725766646474,0.39295435030596215,0.14746705322278802,0.023321125948259462,0.09290363420555195,0.059152537145249824,0.01382879514551895,0.018855498903051115,0.040048711626288404,0.02848117942999764,0.059152502868486105,0.029682823909244718,0.3323958487618333,0.20410122852093487,0.24533252191244578,0.2941589259803168,0.1802111645615557,0.34989844672226794,0.1479818374310292,0.3277518113307501,0.012135597196675325,0.18232514201903036,0.1904706410458145,0.2635989799040067,0.2551631122490153,0.04637341677089977,0.42132435878175173,0.32824998481036005,0.02122194977350666,0.00916518793991932,0.07212124850567307,0.23718940372098613,0.18243132352335006,0.07765943561937264,0.2327418244393096,0.013186859040098552,0.0905146838589494,0.0456673256618029,-0.00039128851988947945,0.07307272070507713,0.021420297527848815,-0.030696438614771622,0.13375261663947643,0.02317213194761079,0.03003544984329265,0.04903081150615837,0.002237419023202409,-0.012701727084238494,0.03761531825594685,-0.02722342116807884,0.04420975836918441,-0.027545573735302715,0.0062294705346916165,0.0030011716354782776,0.018130224130963657,0.025428075893455075,0.1041186460824623
38,0.4238990927629744,0.40588550574200866,0.1411080232155707,0.09784584242556839,0.12325509662316333,0.30717556854748795,0.37127553351423087,0.4001032376419876,0.30896787913177437,0.44533761610658495,0.29254677517947714,0.3992276435308489,0.4367334899156299,0.4078783421568492,0.4509448810984118,0.1689777274987457,0.3169328048262068,0.1712533683908177,0.38778716845683764,0.37320023751584036,0.2580133927613665,0.3814014889801379,0.1379513790777851,0.380071151576003,0.40038285237755394,0.027914816180301037,0.08396680257509835,0.023052131916721074,0.00885138451357861,0.09697229449259967,0.03887439711604767,0.053314256112028946,0.41058093766593395,0.3530440912881656,0.4100269751952888,0.35707594752578464,0.32954697746959843,0.45900173052280635,0.3175632716394677,0.37598237178656163,0.15189338364702745,0.036676185321690036,0.0847128544256635,0.06869627155217051,0.021333401970832375,0.012665201849820715,0.028074876857236163,0.029127688058506712,0.0684145050894118,0.028501913871171188,0.3212393473730656,0.2037253888086303,0.24433968885608587,0.2860395736870116,0.1672608318872785,0.35449380816548237,0.1638248997679958,0.3081324055839988,9.207131186495683e-05,0.2805708200067644,0.24810211561348386,0.24179168232435616,0.23505884292047735,0.042465590698876114,0.41292290226797346,0.3301641467490068,0.026732554030478275,0.01614536205546283,0.05703453469286539,0.23754684543690707,0.17193222381342377,0.08619747236299524,0.23618835271212565,0.01391958662770786,0.0732016680020885,0.04464793234265995,-0.002806661011004765,0.07668112263796953,-0.009933337039473477,-0.04739249811910023,0.11566723042535287,0.03665583215981996,0.032918339969940626,0.0656289224055343,0.02247534411011409,-0.007634516914700307,0.02976877825709373,-0.046724161352827545,0.0623821666864188,-0.05005647563060895,0.003208325308515651,-0.006840229639836987,0.028553055725316263,0.02884576734371812,0.0894895318532635
39,0.4363073685847801,0.4184249784171788,0.12341514173250863,0.10656975859728274,0.12038072099358275,0.32399835235563557,0.36488638582315064,0.3914159368539175,0.3245062927170386,0.4352813370697675,0.2782063073119893,0.4334352680697476,0.45063560135104885,0.4138410213685759,0.4422501220645288,0.20468093267315518,0.31294272539499496,0.19671811043106582,0.40213006488801895,0.38910994672079297,0.2682083938999227,0.39881993033359325,0.11901727236457801,0.39974420214909534,0.4110519231301443,0.011780011999936679,0.049664289352025416,0.03950273018584086,0.004063437643317125,0.06299710598742463,0.04171221894346143,0.05437317397339856,0.42914548602057345,0.35132383809296175,0.41693418349909095,0.3734250048867827,0.32387133159573206,0.461976768329203,0.3177883088007725,0.410309092233244,0.14755848023070534,0.026982052969261153,0.07894444283917215,0.05523571260148514,0.014678386617543688,-0.008203910429786276,0.029500686816305466,0.05015325767091375,0.05523573239013825,0.04900903987548673,0.3252395534451725,0.21999789617488974,0.2544144210880108,0.276317438166174,0.18674693521032337,0.34595170543223613,0.1586451248509756,0.3380073190317468,0.0245956981943094,0.27258532869436347,0.26570737382715653,0.2991760616393574,0.29003522880880533,0.05315009036933959,0.42432684050946207,0.3370222591448733,0.011660260455121148,0.00821648070820277,0.06660129879379832,0.24629048294556316,0.17591428325066671,0.09726559842240093,0.24243467418204423,0.0168963537007053,0.06423976672471869,0.03533277865890221,-0.0009802419987386545,0.07477537300740984,0.04336521361999237,-0.027004874526428628,0.13492260444465823,0.018695505082628495,0.029152189927814192,0.04300333301718439,0.009775386419720294,-0.02019454636916245,0.028051311110194176,-0.03069281199449111,0.05391424459702931,-0.018215280332139386,-0.010918804074133022,-0.009522702013209195,0.020843848113504117,0.04834878897677303,0.09090892341905041
40,0.4353331045164638,0.42015762777627663,0.1270543132098217,0.09748321162246164,0.1117662395716794,0.303533226110623,0.3710497072504194,0.3769695710199929,0.3036810682490466,0.4262782223054864,0.26928662754056143,0.41720157248274886,0.45389555278731075,0.40467530007771807,0.4419562984123475,0.1592067415706338,0.2934370033809322,0.18435899401252712,0.39841892568691767,0.387879774459316,0.27344381277113444,0.39251407766524327,0.1185843944995585,0.39142512971278975,0.41838358238579726,0.024967677918255198,0.07584917884921463,0.053979696836049695,0.008148637618029435,0.09053631486513228,0.037037251370520524,0.05633056072928974,0.42553690660186266,0.34139654844768486,0.4041375234619923,0.35598886960241305,0.32687544366622595,0.453756142676787,0.3058620154554294,0.390288726998673,0.12827718644363859,0.005025713990174179,0.08778451637915691,0.046279233450914434,0.020472725401045482,0.027786476329140008,0.00843652007765468,0.003763248265028653,0.04603018951699825,0.0026238325773551775,0.3282103940244756,0.18665784062659604,0.2507283225735411,0.26289362025782514,0.17232704690758915,0.3339214916738165,0.15054907475396942,0.3232908421780423,0.03589975601638417,0.23627873127912535,0.21460253253803344,0.2758185138563251,0.2617929634872514,0.0535991528207194,0.4260259774027735,0.34035746188930993,0.015529861692153197,0.01188522089354545,0.06365578275957305,0.24850893609454286,0.16587436834952768,0.10108881120098989,0.23401241027372888,0.010094648585400441,0.07356523081043836,0.030369171668089404,-0.006815658557796679,0.09332337999287306,0.03340778420351753,-0.026602851262633113,0.10982415181549551,0.004088241377276128,0.01230952404474777,0.03159651860749073,0.006224848085678429,-0.009986955913859176,0.010107697825800132,-0.025180791762025544,0.036449997804129566,-0.003563128546545391,-0.026999609799591418,0.002911963661693866,0.01165380154920167,0.01923442201323404,0.09231115813513478
41,0.4275018679182129,0.41376703217669725,0.12665189922145545,0.10013471883180898,0.119795435008354,0.3069339666648363,0.36877696930851933,0.391052425168676,0.3046275576999263,0.44004866214641286,0.2697097482321378,0.42258797863913267,0.44444297303015873,0.40955309966748515,0.43319657022174074,0.20146062644448964,0.3120519913067209,0.19159547611735347,0.3985304587323608,0.38313417579019116,0.26210445739239957,0.38663802832198974,0.11848109319180211,0.39171811310775745,0.41049518358654047,0.018032240708935353,0.0957850115274482,0.018507427564019734,0.007993925850160294,0.10255041577298339,0.007599204431472455,0.06459312608909089,0.423116929761178,0.35411473863559867,0.4077411255222524,0.35438152407164386,0.32634169264220597,0.45511347451186795,0.3173044074339452,0.38942872859657435,0.1631377139388336,0.019040617478470225,0.1099924078441391,0.07543218668327988,0.0302457711959464,0.025827782546904297,0.054285356715417794,0.031011373745859314,0.07543223857178395,0.03153584328689249,0.32144020251370703,0.20460460439869782,0.24505255935680798,0.2697457656948663,0.1665709511296949,0.34488263980709627,0.14297405265205215,0.3339386539123741,0.028208978042188908,0.2670322720787173,0.27351814183952294,0.27956668967531134,0.2857009089076787,0.053160332615542955,0.41997561829221103,0.3367148075496724,0.034778264957578915,0.03900566092497629,0.06052728493172831,0.22841574062568012,0.1550950681344317,0.08655567150086041,0.23489609427253935,0.015159782894602283,0.06664927392563617,0.05764447843037877,0.007323087138401163,0.07808497378556588,0.048309825779103886,-0.03503312440060213,0.14376755782289813,0.016253003964583818,0.05944897260553712,0.05258079912336224,0.022816775701717154,-0.005705806313526324,0.05328981966856829,-0.03740736355175166,0.06509992390150741,-0.04099615083520935,-0.012021878241961973,-0.011626444779788971,0.04412288051945677,0.0371009237380152,0.1209228262837743
42,0.431801933262767,0.41045858069533475,0.1310247039218848,0.10633589609897795,0.1171943298728562,0.3143347453372779,0.3471281424249613,0.3984633973463157,0.3221779253622837,0.43807628785193464,0.2784991504646252,0.4190086804478572,0.45073532744207984,0.39875960898006746,0.4463330871909275,0.1300918004318182,0.31639687884537343,0.17098651010684285,0.40858769949193463,0.39068931519805217,0.2836726347722393,0.4017261839606895,0.12834287937786257,0.3980059341273754,0.4160490873986371,0.042839259913370765,0.07952464874152834,0.04508365057081403,-0.0070452417002066425,0.0926835328526008,0.026167610884727282,0.054884636740640175,0.4158108985600115,0.3489793930236263,0.3792434324625595,0.3677890211861711,0.33444820528490204,0.4638935778944776,0.3264028674056447,0.3909701570532189,0.16063403025781714,0.024007120409096496,0.10241441153483885,0.0495996871325121,0.026125829267955727,0.013416952543638769,0.023638299907454387,0.04253984403253133,0.04839173935313502,0.04372802885452484,0.3312342223180857,0.20301548264792516,0.23335600150130315,0.28751674549397255,0.18035504719560108,0.34695156709068753,0.16063781291534168,0.3242896747384554,-0.002118696417260737,0.17687446063211312,0.19093821800683422,0.2635866882677518,0.23433659884078673,0.07700757579257408,0.42863374572188584,0.33326895613777296,0.028830869624322325,0.017254904215239567,0.06085691310806062,0.2434409035595023,0.1759638838685085,0.08002379416025338,0.23440433216936257,0.02167615440796298,0.06471220753953051,0.05046951510562926,0.013496806387818378,0.06793360841540189,0.020372718380261078,-0.018740479066418726,0.1353250604343884,0.0069416860209941195,0.03717562048939808,0.04881566546056133,0.025737739669193148,-0.023028049465930265,0.029967207261162945,-0.01977534927429604,0.04292013901693672,-0.052500008401008734,0.006252307252150931,0.010479272178440706,0.013050793338101632,0.046270292406157716,0.1131270463757715
43,0.4242915343490678,0.40119908031330215,0.12981960608334173,0.0928598616205063,0.10812854516964447,0.2952977445929033,0.3723299050710111,0.40340982599326314,0.298175423600911,0.4383959998044745,0.29073152881870035,0.4188998317374527,0.44110300640207417,0.4027194590982274,0.4329984043594995,0.14382891894412528,0.3177180182935529,0.17370522434936267,0.3901260553418976,0.37367957664577695,0.26572619185367374,0.3897264984807948,0.12782337748781378,0.38008010953979376,0.4065324640320548,0.0579481583606165,0.07064148674643013,0.058619917109667845,-0.007180885187287719,0.08757997903326403,0.03237426606098766,0.0480554951905285,0.4094405098151514,0.33508726255089866,0.40802110289113236,0.36901507789265797,0.3224426973096847,0.46039437829090973,0.3231023016153025,0.3955800083418924,0.15115769257264874,0.028794703598333707,0.1137779097563566,0.0570135938870028,0.01810351354862293,0.03590389147886509,0.016308779161263536,0.015067990630980925,0.05701354161975905,0.015062965563605785,0.3189485080844685,0.19533519634872507,0.2502764848940001,0.28924991582279713,0.15596178764230362,0.3473565453255913,0.16388111100863642,0.3364257004719631,0.007508618066839422,0.1982424814665918,0.20159830971706444,0.28034922665697415,0.25396492256541775,0.02964646189048691,0.4201559966825413,0.31851650817456717,0.0386432468860262,0.013844885314626501,0.0701568237709492,0.23632388314206232,0.1752110793766799,0.09356711853044059,0.22847630224130938,0.029524861523144697,0.07922768789388787,0.07020025113376337,0.01885172975530072,0.09299736028806323,0.057740211169545634,-0.012696893340972513,0.13071321415339116,0.014764414351915472,0.04375321717954134,0.051533304325080076,0.01124193966227644,0.012135940821491324,0.024118436387128125,-0.010203051995701606,0.05255061804619041,-0.018348321185486006,-0.02877945265089148,0.012510103756538464,0.014868654979868607,0.02199631340028281,0.12240370389342793
