,Age & BMI,Bone Density
AHI,0.0008661118692325477,0.0018946930209804169
ahi_4_percent,0.001022658905725846,0.0017573651051418122
ahi_central,0.0028278728754760935,0.0028278786843075744
ahi_central_during_nrem,0.0032040139531375636,0.0032040158301811735
ahi_central_during_rem,0.0031296827738840826,0.0031296871850622406
ahi_during_left,0.0014860726532681492,0.003315892843247287
ahi_during_non_supine,0.0010847981111034913,0.002109137728643175
ahi_during_nrem,0.0008209711277603827,0.0017339585627825158
ahi_during_prone,0.0017714470593300303,0.005194195202518104
ahi_during_rem,0.0004613980496280823,0.0015821796062908454
ahi_during_right,0.0015823601526606798,0.0026928919790735447
ahi_during_supine,0.0006550677190965834,0.0018219444970526747
ahi_obstructive,0.0006216487509991754,0.0013571152172901664
ahi_obstructive_during_nrem,0.0008715424779830776,0.0016473909284891182
ahi_obstructive_during_rem,0.0006207775037869653,0.002168003910148283
desaturations_above_20,0.006791167710830931,0.006791167710830909
desaturations_mean_nadir,0.002330997287021645,0.002395339208851821
desaturations_of_10_20,0.0033299906577938473,0.0044751212829799375
desaturations_of_4_9,0.0012318309482533983,0.0014616356906286651
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0010939352614883044,0.0015181906459734516
number_of_all_respiratory_events,0.0011138664645216516,0.002354913051820481
number_of_apnea_hypopnea_events,0.0008904678512623279,0.0017060484555770597
number_of_central_apnea_hypopnea_events,0.002100277492034822,0.0032259492693151796
number_of_desaturation_events,0.0011664033120850625,0.0013888939243075849
number_of_obstructive_apnea_hypopnea_events,0.0007024584828183664,0.001172725539430809
number_of_transitions_nrem_to_rem,0.01188883516521755,0.01218085587887197
number_of_transitions_nrem_to_wake,0.0022804472633943416,0.0037523077903691498
number_of_transitions_rem_to_nrem,0.013318347724010192,0.014194086913026921
number_of_transitions_rem_to_wake,0.011204151109021648,0.011196668749333434
number_of_transitions_wake_to_nrem,0.002164951829897981,0.0036949547807545663
number_of_transitions_wake_to_rem,0.011923696460759923,0.011923696460759914
number_of_wakes,0.002920311666501738,0.003694747644894077
odi,0.0010798652745465929,0.0014859913628184377
odi_during_left,0.0018435495137609768,0.0027972418023500647
odi_during_non_supine,0.0022049788886369594,0.0028798538460178625
odi_during_nrem,0.0014706116905756218,0.0018883361437977393
odi_during_prone,0.0028521699732650912,0.005056199778470307
odi_during_rem,0.0007542272684944288,0.0014739799651853497
odi_during_right,0.0023643584866074956,0.003306899356927071
odi_during_supine,0.0010094741856620459,0.0019042771685985314
percent_of_deep_sleep_time,0.00218496622802674,0.004006720724351127
percent_of_left_sleep,0.004051730949501793,0.00827187426896687
percent_of_light_sleep_time,0.00234250939764424,0.005498870695220372
percent_of_non_supine_sleep,0.0034748263241518333,0.008473617745579004
percent_of_prone_sleep,0.01320298014369379,0.01320298014369379
percent_of_rem_sleep_time,0.0035416809226494228,0.005693794634798491
percent_of_right_sleep,0.003363087899094739,0.008237408388393203
percent_of_sleep_time,0.0037815492802045804,0.007064756182584987
percent_of_supine_sleep,0.0034748263241518346,0.008473617745578997
percent_of_wake_time,0.0037815492802045643,0.007064756182584976
rdi,0.0011891304794093163,0.0026143318654529126
rdi_during_left,0.0020116725989037386,0.0037837329861779034
rdi_during_non_supine,0.0013493807609644222,0.0027992091449064874
rdi_during_nrem,0.0011178664654901515,0.0025287558893894936
rdi_during_prone,0.0026151499399407834,0.006775749499360928
rdi_during_rem,0.0006384942771705413,0.0022325813844196953
rdi_during_right,0.0023167123602984728,0.003950643525920639
rdi_during_supine,0.0009100140164435668,0.002636513479906474
rem_latency,0.005551497299763095,0.008717499743618663
saturation_below_80,0.015182712347754954,0.008634679421779949
saturation_below_85,0.013020082434922947,0.012237955490782937
saturation_below_90,0.0034408373978951938,0.004431195836868902
saturation_below_or_equal_88,0.005180687700562699,0.005277634241966461
saturation_max_value,0.011130661240204034,0.01112415646724477
saturation_mean,0.000807619716188322,0.000861312788876713
saturation_min_value,0.0009643517986925249,0.001436789189419811
sleep_efficiency,0.0063321523974126685,0.008055060702758063
sleep_latency,0.014754205573464787,0.014754205573464782
snore_above_40db,0.0020524318914688353,0.0045228702440379825
snore_above_45db,0.0025443537554984083,0.0030941480115805158
snore_above_50db,0.004082316967259663,0.005226881647167017
snore_above_60db,0.0054808500450732635,0.00784641351438277
snore_db_mean,0.002868393526261899,0.002882004766128342
time_to_transition_nrem_to_rem,0.004787794202987564,0.01435322905148711
time_to_transition_nrem_to_wake,0.0034348707119052566,0.0072408581861795615
time_to_transition_rem_to_nrem,0.002900379620877649,0.005546359432825006
time_to_transition_rem_to_wake,0.004108442596364244,0.008448958461898947
time_to_transition_wake_to_nrem,0.009796860294804042,0.01766833485231623
time_to_transition_wake_to_rem,0.016843871987632392,0.017024222090459618
total_arousal_sleep_time,0.009975495117494314,0.010213569463899638
total_deep_sleep_time,0.0025121129435899557,0.003534795435710837
total_left_sleep_time,0.003796482521605647,0.00843007676847648
total_light_sleep_time,0.0021236728889825547,0.0049112362903276155
total_non_supine_sleep_time,0.003163190384682093,0.008248992420754378
total_prone_sleep_time,0.014701137298470142,0.012181122539544766
total_rem_sleep_time,0.003866664969672701,0.007191381892803925
total_right_sleep_time,0.0033839672508985965,0.0073400911967723866
total_sleep_time,0.009811586893912327,0.01010732693833733
total_supine_sleep_time,0.003998646088377074,0.007686544814853736
total_time_in_bed,0.0034052194349761295,0.007752380443546939
total_valid_apnea_central_sleep_time,0.010186261958954064,0.012307640545411901
total_valid_apnea_sleep_time,0.010091436968261373,0.010673021723431316
total_wake_time,0.0034253016049638095,0.006027191034876095
total_wake_time_after_sleep_onset,0.0028426676885079105,0.004757225458175292
variability_between_sleep_stage_percents,0.0024769519088126304,0.004598375078777653
