,liver_viscosity,liver_elasticity,liver_attenuation,liver_sound_speed,bt__albumin,bt__bilirubin_total,bt__protein_total,bt__alkaline_phosphatase,bt__alt_gpt,bt__platelets,bt__ast_got
0,-0.029536892034417818,-0.020134802812805618,-0.03631532739744704,0.5048732047739228,-0.03819699148212974,-0.06399488531457363,-0.03989564938054931,0.36970717905158823,0.24621042057126016,0.1519235304723506,0.21451936924259268
1,-0.048444144674226995,-0.04344381042654735,-0.04242766885069006,0.5058790950671613,-0.019713113296676705,-0.028106382730110978,-0.0729909319164694,0.3699857538902372,0.2460903382171752,0.15295137825762575,0.21318172406398028
2,-0.03506871597466023,-0.047049820354842814,-0.036904383557950435,0.5058416389373832,-0.04650440763990153,-0.0437746534796562,-0.04454067978102141,0.36430646391914906,0.233784540953776,0.14774823353992908,0.2153521641030823
3,-0.0234605981801276,-0.013170898303894481,-0.035235570969940594,0.5057404704379025,-0.03515793303522065,-0.08466432129987866,-0.049771490921941185,0.3661472246448699,0.24803129453587155,0.14674034123256208,0.21993776174843985
4,-0.04616677627508377,-0.04166336115322121,-0.049465441895005895,0.5064718359340096,-0.02821718769496939,-0.04182165553522433,-0.07245677116310453,0.3711575800940699,0.2460399925082074,0.15372310451326285,0.22020153466773743
5,-0.04953664620272525,-0.03380812876377069,-0.02229514251326541,0.5041333609203151,-0.037894394793605866,-0.06053528726830866,-0.08541318734302089,0.3698910199240906,0.24459289736719952,0.15311776360087415,0.21674763284070253
6,-0.021954571317516422,-0.02498663104080014,-0.01436514736174759,0.5061388974464038,-0.062237369782898434,-0.0458769023096947,-0.02244336403023514,0.36707026422879463,0.2481635238782852,0.15264736876388244,0.21670232904269526
7,-0.021196079305611324,-0.01685660864524595,-0.026835233080214203,0.5055768192008789,-0.03259450590547702,-0.04788977101601011,-0.053085419395261874,0.3692209669135499,0.24585777950325038,0.15340399796325832,0.2115132369243274
8,-0.028702246166428556,-0.03833060062108718,-0.02680510695194343,0.5064396821710159,-0.07552596057180078,-0.10039355230044288,-0.04414783018233994,0.3695202615743286,0.24531262016008898,0.1543161966732402,0.21663730178147614
9,-0.07106282099609482,-0.015914718153625756,-0.025819357279519253,0.5060692418053915,-0.04766586750717378,-0.06169242473706109,-0.04956034063187374,0.36871794055017415,0.24559740516715353,0.15567846515333483,0.21764153459987623
10,-0.034183931049278825,-0.04523696650034111,-0.0257160850407451,0.5033318499141389,-0.04000372151298372,-0.01770761505442154,-0.0764229049323385,0.3654674157692959,0.24344870869817317,0.1482805937227314,0.21519469776383837
