,"Age, BMI & VAT",Liver health
AHI,0.0008823754060173275,0.001200169372512365
ahi_4_percent,0.0013062490713224282,0.0014228820300853087
ahi_central,0.004747006492213953,0.004766750945588451
ahi_central_during_nrem,0.005917440902501207,0.005968120410908797
ahi_central_during_rem,0.0048912366657671005,0.004848411477312154
ahi_during_left,0.002171102105078282,0.002883278962474715
ahi_during_non_supine,0.0013303005356758556,0.0014714699706852637
ahi_during_nrem,0.0013819845596011377,0.001676658873639823
ahi_during_prone,0.0025096328379470537,0.0028050421312481063
ahi_during_rem,0.0006627130695645371,0.0009597437541155395
ahi_during_right,0.0015251686864423076,0.002094462341901051
ahi_during_supine,0.0008976947534362622,0.0015742407238335027
ahi_obstructive,0.0007604284904196542,0.0010762462576658666
ahi_obstructive_during_nrem,0.0013145518623618464,0.001455700225166076
ahi_obstructive_during_rem,0.0008805161342597662,0.0010115523499497014
desaturations_above_20,0.006376949743465163,0.007855436384527008
desaturations_mean_nadir,0.0034020898263402307,0.0034005836750752036
desaturations_of_10_20,0.004930034965474801,0.004434285880828516
desaturations_of_4_9,0.0010843500135488534,0.0012188695302022816
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0012200580636706289,0.001312129159444807
number_of_all_respiratory_events,0.0011641867956698833,0.0012865881599334677
number_of_apnea_hypopnea_events,0.0008596059114351248,0.0009884105528944539
number_of_central_apnea_hypopnea_events,0.003050146901362497,0.003318547787571113
number_of_desaturation_events,0.001215660827380941,0.0013404484889419943
number_of_obstructive_apnea_hypopnea_events,0.0008624553054546066,0.0010051967198327545
number_of_transitions_nrem_to_rem,0.011123584403035005,0.011272979782948682
number_of_transitions_nrem_to_wake,0.0030660286394022618,0.0041143593754488315
number_of_transitions_rem_to_nrem,0.01326176772264126,0.01326176772264126
number_of_transitions_rem_to_wake,0.012290384830020842,0.012290384830020842
number_of_transitions_wake_to_nrem,0.0034756273000223067,0.004438348095895584
number_of_transitions_wake_to_rem,0.0119352791902628,0.0119352791902628
number_of_wakes,0.003485990263933425,0.005311699701230517
odi,0.0013848631290417932,0.0014505577436089514
odi_during_left,0.0038874285661039377,0.003910404251444823
odi_during_non_supine,0.0017584969643739889,0.0017608319178182125
odi_during_nrem,0.002088581482962366,0.0021556300793895192
odi_during_prone,0.0036797126583594433,0.0036091206560758685
odi_during_rem,0.0011848769777258951,0.00123865690059875
odi_during_right,0.0028411896278122783,0.002793250877071234
odi_during_supine,0.0012524282186129226,0.0018638125065204817
percent_of_deep_sleep_time,0.0019583597949905996,0.0029177100405757585
percent_of_left_sleep,0.004288692653761299,0.0053721579046219865
percent_of_light_sleep_time,0.0027569807503557762,0.0038368717417733476
percent_of_non_supine_sleep,0.0037962791951344716,0.00677419439733086
percent_of_prone_sleep,0.011946069719414634,0.011740313322376445
percent_of_rem_sleep_time,0.004254648032533226,0.005014258221837503
percent_of_right_sleep,0.00571335693092347,0.009040556131592357
percent_of_sleep_time,0.00663179190179399,0.006742139535796864
percent_of_supine_sleep,0.003796279195134466,0.006774194397330869
percent_of_wake_time,0.0066317919017939335,0.006742139535796896
rdi,0.0012973403295633845,0.0014705154125301976
rdi_during_left,0.0031075951655465815,0.003679961160713947
rdi_during_non_supine,0.002074343855824471,0.0023855453235501773
rdi_during_nrem,0.0017898676585119495,0.0022041280458584027
rdi_during_prone,0.003640701766775034,0.003967809830317107
rdi_during_rem,0.0008771010334555184,0.0012112841068756682
rdi_during_right,0.002062885231633216,0.003282391121067537
rdi_during_supine,0.0014159319464372932,0.002114063337246144
rem_latency,0.0067885951548960965,0.009623344519792796
saturation_below_80,0.010398900152745461,0.010398900152745461
saturation_below_85,0.01810398374740228,0.015981915049836766
saturation_below_90,0.005700482375812014,0.005667440308331493
saturation_below_or_equal_88,0.00812997621868185,0.008067671237724913
saturation_max_value,0.008735423849796293,0.008735428500231684
saturation_mean,0.0007530282863018682,0.0007770420672094214
saturation_min_value,0.0014351156332015117,0.001392390991341884
sleep_efficiency,0.007488342449655209,0.008371861505843932
sleep_latency,0.008050236786624894,0.011684202430658028
snore_above_40db,0.0030219611790551475,0.004171262129233057
snore_above_45db,0.0025883411469180837,0.0028538358964276286
snore_above_50db,0.0040639884963230965,0.0040654174578255734
snore_above_60db,0.005775759098103208,0.007308723350558456
snore_db_mean,0.002793031294900324,0.002809909266444351
time_to_transition_nrem_to_rem,0.008281147370075653,0.00933325150527451
time_to_transition_nrem_to_wake,0.0038853212760502367,0.006629921142779427
time_to_transition_rem_to_nrem,0.004560479405984918,0.0049703541043334696
time_to_transition_rem_to_wake,0.005808484546778895,0.009404030046989824
time_to_transition_wake_to_nrem,0.01142857885869407,0.013330888905796989
time_to_transition_wake_to_rem,0.019013659730414915,0.019698899350431513
total_arousal_sleep_time,0.009549880562301908,0.010145778124706543
total_deep_sleep_time,0.0026728876841694282,0.0040276941400984164
total_left_sleep_time,0.004397010809700265,0.0053192452163064105
total_light_sleep_time,0.0030070588377495754,0.0041626697219418
total_non_supine_sleep_time,0.0038187282174567865,0.005457361196988286
total_prone_sleep_time,0.012945645814934834,0.009332056963935784
total_rem_sleep_time,0.0049915274070554145,0.006465148444186146
total_right_sleep_time,0.005169290673445755,0.00798569659091602
total_sleep_time,0.009297793246732166,0.009860421993506056
total_supine_sleep_time,0.004518785394699371,0.007568146926748566
total_time_in_bed,0.006531734664876058,0.007680801821557347
total_valid_apnea_central_sleep_time,0.010306387641115394,0.013404814681653016
total_valid_apnea_sleep_time,0.011259829204854223,0.0102214977980383
total_wake_time,0.003806509643306986,0.0063647270612304085
total_wake_time_after_sleep_onset,0.004371195521496053,0.0058020833341224385
variability_between_sleep_stage_percents,0.002727050810737137,0.0035627306204773484
