,total_scan_sat_area,total_scan_sat_mass,total_scan_sat_volume,total_scan_vat_area,total_scan_vat_mass,total_scan_vat_volume,body_comp_leg_left_fat_free_mass,body_comp_trunk_fat_free_mass,body_comp_total_right_tissue_mass,body_comp_gynoid_total_mass,body_comp_trunk_left_bone_mass,body_comp_leg_right_lean_mass,body_comp_android_tissue_mass,body_comp_trunk_lean_mass,body_comp_total_lean_mass,body_comp_trunk_right_fat_mass,body_comp_arms_lean_mass,body_comp_legs_total_mass,body_comp_total_right_fat_mass,body_comp_arms_fat_free_mass,body_comp_trunk_tissue_mass,body_comp_android_bone_mass,body_comp_total_total_mass,body_comp_leg_right_bone_mass,body_comp_arms_diff_total_mass,body_comp_arm_right_tissue_mass,body_comp_leg_left_total_mass,body_comp_legs_bone_mass,body_comp_total_diff_total_mass,body_comp_arm_right_total_mass,body_comp_total_diff_bone_mass,body_comp_arms_diff_bone_mass,body_comp_trunk_diff_lean_mass,body_comp_arm_left_fat_mass,body_comp_trunk_left_fat_mass,body_comp_leg_left_lean_mass,body_comp_leg_left_tissue_mass,body_comp_trunk_right_fat_free_mass,body_comp_arms_bone_mass,body_comp_arm_right_fat_mass,body_comp_trunk_fat_mass,body_comp_arms_diff_fat_free_mass,body_comp_arms_tissue_mass,body_comp_total_left_fat_mass,body_comp_legs_tissue_mass,body_comp_android_fat_free_mass,body_comp_total_fat_mass,body_comp_trunk_diff_tissue_mass,body_comp_total_tissue_mass,body_comp_total_left_bone_mass,body_comp_legs_diff_lean_mass,body_comp_trunk_right_tissue_mass,body_comp_arm_left_total_mass,body_comp_leg_right_fat_mass,body_comp_total_diff_lean_mass,body_comp_arms_fat_mass,body_comp_total_diff_tissue_mass,body_comp_trunk_diff_total_mass,body_comp_trunk_left_total_mass,body_comp_total_diff_fat_free_mass,body_comp_gynoid_fat_mass,body_comp_leg_left_fat_mass,body_comp_total_right_lean_mass,body_comp_arms_diff_fat_mass,body_comp_total_right_bone_mass,body_comp_arm_right_bone_mass,body_comp_total_right_fat_free_mass,body_comp_arm_left_fat_free_mass,body_comp_android_total_mass,body_comp_arm_right_fat_free_mass,body_comp_arm_left_tissue_mass,body_comp_total_diff_fat_mass,body_comp_arm_left_bone_mass,body_comp_trunk_left_lean_mass,body_comp_trunk_right_total_mass,body_comp_arms_diff_lean_mass,body_comp_arm_right_lean_mass,body_comp_gynoid_lean_mass,body_comp_trunk_diff_fat_free_mass,body_comp_android_fat_mass,body_comp_total_fat_free_mass,body_comp_trunk_left_fat_free_mass,body_comp_legs_diff_fat_mass,body_comp_leg_right_total_mass,body_comp_legs_lean_mass,body_comp_trunk_total_mass,body_comp_gynoid_tissue_mass,body_comp_leg_right_tissue_mass,body_comp_android_lean_mass,body_comp_total_left_tissue_mass,body_comp_trunk_bone_mass,body_comp_gynoid_fat_free_mass,body_comp_arms_diff_tissue_mass,body_comp_arm_left_lean_mass,body_comp_total_left_total_mass,body_comp_trunk_right_bone_mass,body_comp_trunk_left_tissue_mass,body_comp_total_left_lean_mass,body_comp_legs_diff_fat_free_mass,body_comp_legs_fat_free_mass,body_comp_total_bone_mass,body_comp_total_left_fat_free_mass,body_comp_leg_left_bone_mass,body_comp_gynoid_bone_mass,body_comp_trunk_right_lean_mass,body_comp_total_right_total_mass,body_comp_leg_right_fat_free_mass,body_comp_arms_total_mass,body_comp_legs_fat_mass,body_comp_trunk_diff_fat_mass,body_comp_legs_diff_total_mass,body_comp_trunk_diff_bone_mass,body_comp_legs_diff_bone_mass,body_comp_legs_diff_tissue_mass,bmi,waist,height,weight,hips
23,0.7625981007733714,0.7516142350110472,0.7516142351563473,0.7807736481162333,0.769059809437598,0.769059809461471,0.6069646740694175,0.47623970668920257,0.8449341405844868,0.7635804207919717,0.42995248511124134,0.6220252094979967,0.8458632461515926,0.4795831697606058,0.5865445263192772,0.8424762129780217,0.37053308628962367,0.748098219611989,0.8470191704672879,0.3618881562513899,0.8392579861549095,0.17598717996255062,0.8411992169634974,0.24491712058294765,0.02889330627557077,0.5607135348466031,0.7402395933965482,0.2448146836590206,0.02505859419882643,0.5483560221447997,0.03848930337803562,0.021536958656595377,-0.04756143662101606,0.7070254531034874,0.8448428053641168,0.6155324538291257,0.7490229672011741,0.4822417283013648,0.1662923627796933,0.7107751647692445,0.8481715668024243,0.04893230118483196,0.5941480129373485,0.8459551094389041,0.7585078376484755,0.49397517957833326,0.8502145012740052,-0.03415630173320555,0.8476488785615227,0.2902367611641258,-0.022270294416631524,0.8291335872553312,0.555203541133587,0.7145224112416348,0.03199718257599078,0.7218576536463157,0.034478140149731384,-0.01999208614859201,0.8245638270878368,0.046801199056579,0.7527559844917213,0.7066765572685568,0.596306961290163,0.009056491930383924,0.30147327584731676,0.1630072649391188,0.5832122404819646,0.3518316367680967,0.8478311937810147,0.3414693826722203,0.5706831149277078,0.03935356727850858,0.15937107246066298,0.44804921775483864,0.8267193137792147,0.025550740661382052,0.3473392921347535,0.5578024107438588,-0.051688347908026795,0.8488651741113689,0.5740215637882723,0.44384757700401967,0.002663253762566087,0.750061019734537,0.6231988788535933,0.8355899380796706,0.7667587358579805,0.7591306165103813,0.4928163034251871,0.8384710043184057,0.46251038453258336,0.5411765076596358,0.032096447089890685,0.36548367284610256,0.8329968359883602,0.44409933258355566,0.8218320740749121,0.5632748643139744,-0.03032361355703264,0.6115679841138406,0.300859447724783,0.5605862702830067,0.23428975419468764,0.2567529812874194,0.4647153652777793,0.8409056315516816,0.602497768620841,0.5852399395263583,0.7120212820958459,0.06698977152043226,-0.030881577088106182,0.050801989788159134,0.0018734406390576855,-0.03637485397075004,0.9922505722937838,0.8220715350909098,0.13570991333101978,0.8486265545961698,0.6888108089238524
24,0.7561629156292689,0.7496041645514343,0.7496041650694567,0.7816835299514089,0.7689675456005636,0.768967545579137,0.5953133710070893,0.4634653480844636,0.8446676995566005,0.759127959761238,0.43014480421115747,0.6108834337915129,0.8487254317626132,0.46928058677701084,0.5762760945576534,0.8457404581468626,0.3708459688547052,0.7485300029987088,0.8471553115625906,0.34564263160507414,0.8379883279404543,0.17297272632147387,0.8409102435229282,0.23809214110414248,0.025005629553373914,0.5760253084323613,0.737516532645568,0.24496993866456926,-0.0005975738972328372,0.5553891335735714,0.018951162209386748,0.03836250863730347,-0.06647415399511396,0.716847051712726,0.8471478980816824,0.6029262071229435,0.7477982551953789,0.47280139142588573,0.1644952327865294,0.7200579954514148,0.8498056434298238,0.043597989479015935,0.5954942712310294,0.8488157286381157,0.7598821125494448,0.47210481106128954,0.8511006630950516,-0.039149764235746363,0.8479532852995288,0.2715778849578062,-0.02273138809272602,0.8275640128146466,0.5563754748108104,0.7142311262357152,-0.005600463564746163,0.7342999899356117,0.013077546118998945,-0.022778173831964132,0.821858568475072,0.008323927499599858,0.7548260915708758,0.7154315802448677,0.5726576398549208,-0.02291457157560055,0.30100487855145247,0.1598181359231669,0.5670263064918336,0.35113804409417526,0.8489929807780787,0.32799624072115535,0.5683632476501246,0.02477212977390205,0.12592382474930044,0.4312175879318593,0.8241766834389634,0.038450942152415346,0.35109538074063623,0.5570953021780506,-0.05097668134603896,0.8497543189319868,0.5699912314807041,0.4462308902797199,0.02079771707583403,0.7508541639405723,0.6066435036326805,0.8350652516820859,0.766560029419136,0.7557031293784109,0.4718906635676587,0.8400224024089185,0.45254339037119884,0.5392949118594691,0.03715144678805317,0.356372177266783,0.8285978062468301,0.43992872297924807,0.8205756399810168,0.5539660380253696,-0.011095181939846044,0.6038864368593174,0.29794415869284413,0.551704968402513,0.2193605492988835,0.22915267944331097,0.4595342498864992,0.8349834434207831,0.5962093691727404,0.580739203387689,0.7178617438514133,0.060370030535583576,-0.026395558631683396,0.08690975036412238,0.00653744698898788,-0.01665002523552269,0.9923725536206384,0.8198948923360001,0.10632074991346727,0.8451429240058427,0.6821951641949316
25,0.7504207101042576,0.7433866316355695,0.7433866320243486,0.7812338375843701,0.7731330623155487,0.7731330624833841,0.5935560004335522,0.4740086613924925,0.8442115937874863,0.7589515786935493,0.42951965646835477,0.6105001033599581,0.8486700425277894,0.4759233096881141,0.5774156465206418,0.8442504063341727,0.37757310565495267,0.7421978153743125,0.8502293286352043,0.3639740822074552,0.8393566742492908,0.17852925772649925,0.8405116456388484,0.22308215171772394,0.019650230221343115,0.5633601527084515,0.7336010252888744,0.23832329004221992,0.0292571825936336,0.5551173172518438,0.07504233915852997,0.0031066646399930957,-0.06927266356096021,0.7087759090049989,0.8483730614345967,0.6047401520723674,0.7442960927219343,0.4821610976800792,0.15981405611756483,0.720186394901863,0.8490549340597453,0.04618211380722325,0.5900760710925911,0.8492700219448848,0.7533549636511669,0.49048239283292533,0.8523259316329572,-0.050666652432056876,0.847365690227822,0.2846357210434011,-0.009163596134697109,0.8313777039659054,0.560736352029705,0.709187430064181,0.03155334284006698,0.7253420378720877,0.03298458883945841,-0.03998427465012756,0.8258047885254463,0.04047186205501767,0.7505719827732164,0.7111114487442252,0.5879828344345014,0.008604108399260797,0.3081299715093927,0.16220808345681811,0.5792488194748214,0.35766884107801644,0.8475878402932948,0.34116129270413087,0.5719270854989158,0.0051081851095256935,0.14311161534385347,0.4442850617974593,0.8305967571440153,0.01623774720835567,0.3539319781513079,0.5525658895391037,-0.060839791193026585,0.8470822834152492,0.5753574293113193,0.4492937256838283,0.009857705529017241,0.7475061607878021,0.6107671749879912,0.8376240262905534,0.7624817298309676,0.7538924173845472,0.48288525184250825,0.840670723649917,0.4547879999592658,0.5364345742419261,0.0289224482739185,0.3658209369873031,0.8307215190964037,0.4519741176023248,0.8251331819676501,0.5598232447688366,-0.000585949367475048,0.6057717570459152,0.2970910418328959,0.5550399533539172,0.231805420481185,0.24920142645943894,0.46437966898915584,0.8390805112595022,0.5938911671801641,0.5844771228221866,0.7158522838711724,0.05451231258600004,-0.01790524824190267,0.03776143086535845,-0.011566061658671677,-0.010309841112913979,0.9924923265365221,0.818029658900252,0.12715615290130433,0.8496529118863477,0.6847413664528711
26,0.7553920142069714,0.7463338774177358,0.746333878310136,0.7825835790090142,0.7669637602662858,0.7669637604531223,0.60034220853634,0.4746463413345996,0.8442852574910267,0.763012191966553,0.4423115359580892,0.6180219062734142,0.8489124058522761,0.4615403449202884,0.5752355222556088,0.8453920967588002,0.36313789816322417,0.7472991000379285,0.8531866566475419,0.358338804055479,0.8390602689293672,0.16074836277579388,0.8404515636963314,0.22951099681005757,0.004872025404779748,0.5618322924754129,0.7355451445251203,0.2389765303495946,0.016433877636511822,0.5539706347157264,0.04583810894998303,0.01709564018772498,-0.05225494983191942,0.7102604401979443,0.8483371058033273,0.61171839003575,0.7500052809608136,0.47600540287139076,0.15678735744125566,0.7130824492855471,0.8530971356720395,0.05008996856851495,0.581556004973747,0.8486407402549637,0.7555634826115987,0.4820408626876652,0.853453581395477,-0.04849045977345702,0.8485238933893472,0.2975664655222397,0.0014619416487503857,0.8306908135243941,0.5488681891746485,0.7108887938813024,0.023020443566148907,0.725999921108699,0.026145922820398092,-0.05205666760309541,0.8244928462161216,0.03619270010441307,0.7550107556587508,0.707557266580865,0.5776746746806558,0.02859632421702746,0.29888854950925337,0.14003180620987002,0.5692733834007966,0.34594548386756113,0.8480282187361978,0.3296147465725333,0.5556716290764767,0.03524786271199791,0.11545935120720012,0.4249172140289353,0.8245286071809005,0.0433378910555108,0.3453726865706638,0.5521364778018355,-0.06003144461427885,0.850948919651027,0.5601833058114118,0.4401998052098792,-0.0018206809320871794,0.7474100402369626,0.6121473080780894,0.8358829253501746,0.76580077887179,0.7571269987017205,0.4750290714638326,0.8403584650625643,0.4650697741504095,0.5400483993452277,0.01251058215631504,0.3491870460316505,0.8310109885843535,0.45240673731436554,0.8208707239145345,0.5534208176574209,-0.007455071298581957,0.6096115438896922,0.29788281565758135,0.5549071910712015,0.24088069971506407,0.24890932514772335,0.4616108361193287,0.8394463861156618,0.596418843847037,0.5675893871044151,0.7151140078929776,0.042282231517762066,-0.05022098357760236,0.045243242543628964,0.02687340096113974,-0.04238359401652133,0.9921515996171283,0.8262538274541017,0.13950271315094104,0.8454158662396487,0.6899781933664286
27,0.7576420849667818,0.7460208318963537,0.7460208324255655,0.7808866273267556,0.7727682039449653,0.772768204221594,0.6084386966829862,0.4819977733585315,0.8440608746753827,0.7646480571189987,0.4267265716360568,0.6246992443142649,0.8508585430897752,0.48383167958750783,0.5904077470010844,0.8479633843225993,0.3745110242613831,0.7535806457364489,0.847472083401058,0.3649470210318594,0.8416939068542328,0.1634451560729394,0.8418029575803351,0.22647696371913745,0.03861048163583084,0.5699945049423092,0.7397548079729322,0.2369030182815033,0.03153329945117666,0.5559074295848557,0.06319293042515028,0.0050930442634799416,-0.01446523775954523,0.7100808736300259,0.8498360738065199,0.619155557538652,0.7505231451792693,0.48694031153889666,0.15202951897867523,0.7158913668668688,0.8509254886989581,0.02765962283755551,0.5955921459859564,0.8506889997807711,0.7598885733422583,0.49274585232527685,0.8511060195126434,-0.003749169621771151,0.8488234425414858,0.26484604414690305,0.007175259242827761,0.8304399867987826,0.5555681946596038,0.7100053022191448,0.031273977782428235,0.7252743057786903,0.03581777367533285,0.012167212465530442,0.827106448853477,0.051688963789154815,0.7492548854970552,0.7131892506299341,0.5847444267778918,0.03376087011757863,0.2957353476964734,0.15756286119630702,0.582774685520239,0.3639102449452714,0.8499679276288425,0.33019386335672984,0.5711620022105441,0.01965064937181565,0.15540550339435277,0.4423902981686567,0.8268078065716524,0.03748993560915591,0.34461414670133045,0.5612094252518621,-0.02358700988626622,0.848725588090411,0.5798822489556099,0.45318597766630225,0.03007706292331388,0.751895399268511,0.6218133702766726,0.8394518925474367,0.767323744433676,0.7577971316882643,0.49066486268097287,0.8396934855845548,0.4493698525650592,0.550022058745672,0.032780220982400736,0.3812229974251139,0.8328725797655486,0.44615166864500794,0.8269035689997396,0.5642803116039108,-0.013899124063587958,0.6202893118562466,0.2757335788199464,0.5601425155914603,0.2331593523288178,0.24732345914686074,0.4670699079666944,0.8386200102743501,0.6008054028137773,0.5903366662253676,0.7155269109678104,0.07231850648520037,-0.006089598641258309,0.06514872128451658,0.012434952224742675,-0.010051916243330638,0.992201566549799,0.8184485731764892,0.1291805990231904,0.8468935753039085,0.6908280698645681
28,0.7588735310155906,0.7521871780547568,0.7521871782612217,0.7806141497591884,0.7727597264847201,0.7727597263316581,0.6036869326846925,0.4617246410655979,0.8435925755128718,0.7607472831950969,0.42230818966482814,0.6273226461461947,0.8451871099280474,0.45946564773077775,0.581008340766582,0.8428353791183177,0.36927477288258875,0.7472021942050691,0.8472634330044386,0.3525760046900972,0.8358136372136793,0.19089247939093792,0.8395074076405138,0.23327728772642384,0.03112400026080196,0.5663857556401802,0.7375701282594975,0.24994741211123503,0.04162575449863877,0.5484086796917715,0.03779725786303563,0.008771568058257361,-0.04153166802261887,0.7072966643364554,0.8428085552749124,0.6173740468348412,0.750134312256923,0.4635910992392442,0.13892250333442233,0.7135508910234982,0.8455642578364337,0.03339395521169363,0.5869333000395937,0.8430287899296051,0.7603075080057021,0.4685250201577486,0.847112007060204,-0.017608331795153996,0.844983144690997,0.2829126625100683,-0.02747234547783727,0.8285738287916626,0.5499284764409763,0.6978571505862343,0.028734710599836375,0.7191609153657675,0.03136619456079293,-0.004838846287216385,0.8255513556788687,0.04038497573466591,0.749307872872223,0.7027230438254194,0.5792214009942459,0.014017429220038359,0.293919521529734,0.15538363882655223,0.5747191575401829,0.32763166787981,0.8460084894840764,0.33636676059704806,0.5637748002685653,0.04033740791374613,0.12637630315336634,0.43472432380886994,0.8236664052183023,0.03163888243966089,0.34934096648676627,0.5604996409942214,-0.03701042703021988,0.8460247740813734,0.5702021356441996,0.43109472715544866,0.03398641974215933,0.7506363728979734,0.6228470826555293,0.836130789894662,0.7647381740028507,0.7572512875262786,0.469555942029416,0.8379288202585117,0.4438256726938562,0.5398541693146922,0.040389746112824115,0.34837337179997224,0.8273369487562541,0.4421307030612069,0.8268402594715033,0.5641480460826631,-0.0008662493131752013,0.612557762549734,0.2983924092660953,0.5600570126796086,0.23050501079354163,0.2516872712993821,0.44754669070347175,0.8369788531670416,0.6091079687272668,0.580666170110156,0.7037754282401878,0.10010509335100068,-0.0034047655484195365,0.05566568928233268,0.014325968052887154,-0.009256252634070157,0.9924947203339436,0.8211709464968372,0.13580066610566924,0.8511991274429429,0.6838100316338621
29,0.7546739406218114,0.7423483396600375,0.7423483399566482,0.7789696366217918,0.7729592186179308,0.772959218931875,0.5979648091158524,0.4618662632741687,0.8460797562469239,0.7653033921620732,0.43323569571401466,0.6231692193379939,0.8488544627412975,0.45606690825826385,0.5772962468004726,0.8440211536047151,0.3792122123611495,0.7506225918596524,0.8501884360685222,0.3623689976857521,0.8404310743236252,0.15426075717597587,0.8411409620551568,0.2432884426464491,0.03896325185262427,0.5673023744554699,0.7382384880142611,0.2629221738703982,0.019192491564976096,0.562290756979912,0.04119179491802034,0.001902061778192007,-0.03414141191709573,0.71448956042125,0.8463745012963821,0.6124195643649285,0.749602357999332,0.47172741636750626,0.16081243162942555,0.7158339978267301,0.8491684876341796,0.028447355922163766,0.594056056128635,0.8472454203239401,0.7610172785000605,0.4660866251774417,0.8518856181652404,-0.021438212159597615,0.8466057441694078,0.27278233922956957,0.006262155484577047,0.8291387020738765,0.5594616576246699,0.7144474071413076,0.018313721213498058,0.7265377949991738,0.028151453106094352,-0.029742210602525916,0.8255330019051492,0.03262516147127999,0.7542444009554649,0.7087777158029225,0.5748371180373427,0.01898808515803981,0.29255835620850257,0.15038332558954573,0.5768648016981535,0.3668943684494541,0.8495298352417212,0.34267555497241764,0.5674982402184773,0.003115794834710839,0.15691035576945606,0.42520073707466394,0.8258439646562307,0.013801685932799549,0.3506252349993326,0.5498285897243447,-0.04738580135621634,0.8482888747853486,0.5695160948805077,0.4296792225547297,0.016972989860386867,0.7545491714621432,0.6160376978722577,0.8381824170938647,0.7695519448183449,0.7610194127200401,0.46671022916641675,0.8392366804340653,0.4556915965926769,0.5373890273239015,0.034748873741426774,0.37456289804037124,0.832379102989473,0.44717643994031575,0.8230075430488025,0.5518156808634352,0.010369606213928375,0.610611530226256,0.3119509925551556,0.5435549103120424,0.2443379532560924,0.25591430521208985,0.4554946161082138,0.8411140745411981,0.6018447678937141,0.5822123867671688,0.7139846019698852,0.0513377812468765,0.002314168093038437,0.05424236033897156,-0.0011971933137864645,-0.015121069536808635,0.9921329878403992,0.8195114978018042,0.11780280202956445,0.8469665881736319,0.6848702303471347
30,0.7544781581121587,0.751786569498953,0.7517865698216611,0.7838687555591585,0.7715950702814983,0.7715950699978733,0.609199183309076,0.47621082737108417,0.8462469293747469,0.7651838669058102,0.45012747257563196,0.6303708420923412,0.8478872501356994,0.4789517758738573,0.5879619742552719,0.8463181978310996,0.3591110286493895,0.7475341405404848,0.8482501848263665,0.3540303928599682,0.8413371031818515,0.16291184609731996,0.8424931008656634,0.25161448601897574,0.04361683298044684,0.5668541977992955,0.7347957668551157,0.24743817118962827,0.02656996601427167,0.5465287509273336,0.0464349019275258,0.015355940744402823,-0.013263364972509248,0.7068489564899816,0.8488490230849377,0.6192364347617956,0.7463839743499324,0.4883613478736477,0.1407594184299578,0.7173052795946846,0.8531953869304308,0.02804210877249305,0.5823942930886297,0.8464768695576318,0.7579206501767699,0.48569887765465064,0.8513705361347075,-0.027163495614487394,0.8475868217256173,0.27753924252682755,0.011744821975665691,0.8300904254193548,0.5490127878441399,0.7058828606565368,0.03973855512106413,0.7258546753249673,0.028174992409128116,-0.0291477651922613,0.827261975867944,0.024789351436028464,0.7471991392553847,0.6980527930567447,0.5836404463477146,0.015937803280383973,0.30251747452784833,0.14774458746450803,0.5846729120793658,0.3442167777730335,0.849831898597661,0.31286455776898986,0.5595068911133285,0.022645889331889893,0.14054400363387795,0.4398515267882943,0.8269326042368286,0.04252842199074276,0.34922769779232127,0.5696626468340699,-0.018941925337198715,0.8484985552358723,0.582616645636284,0.45231630186035376,0.012532412286979018,0.7494532785765142,0.6221378489575218,0.8408504994856933,0.7699907316574195,0.7574043472538344,0.4839977833236042,0.8388435404917284,0.46962982980944024,0.5652126169066899,0.03970640792383289,0.33467260119518394,0.832608186011853,0.45891109820631404,0.8240612065364736,0.5547582297420168,-0.01166224451531991,0.6175251892378161,0.3051581216161097,0.5585307915354782,0.24235557760443915,0.2597781949595825,0.4734480216516402,0.8398215598807078,0.6152993638938845,0.5720393304229233,0.7042757644753679,0.06501535990880934,-0.019644922214116754,0.043094682322720144,-0.00953305401948537,-0.020073619937713817,0.9923427640447413,0.8238815043770452,0.11221628217125415,0.8498361944763476,0.68593620792408
31,0.7602072217740516,0.7512719385144633,0.7512719390074821,0.7845996701701562,0.7692108302956223,0.7691404420619364,0.5980497931760237,0.4719538551886682,0.8404895582299997,0.7597944982165445,0.43257906472821256,0.6209243615268741,0.842282540768081,0.46078811356484484,0.5784717927920144,0.8460907342187381,0.3661963351894942,0.7419719615051378,0.8491857058055577,0.37106029945260266,0.8361847936216178,0.16964157351956935,0.8351279080081109,0.22030557943323473,0.04792642260105893,0.5589277394648461,0.7317585113104474,0.23450731362319754,0.030314417592433023,0.5544343290010989,0.050804372339548154,0.013183067617337303,-0.0152523218509134,0.7108032023699387,0.8453707118760964,0.6126975008069284,0.7430809905626541,0.47073896406386184,0.17043662647867747,0.7132226622449268,0.849619754919982,0.039418909790044025,0.5851764401362732,0.8451557855783,0.7525376938661211,0.4716647927611041,0.8478724529214798,0.0008891082023133835,0.8414075622665476,0.2691335271903891,-0.0014724675384770879,0.8260911343414397,0.5556123937315733,0.7115619831568385,0.01687678030279485,0.7272810734580915,0.025425396633466664,-0.005409754243840941,0.8218959874014693,0.035610613322613664,0.7535273591551421,0.7080975395633281,0.5786225265932601,4.479619796479973e-05,0.28250446163855,0.15521478003677364,0.5776705417336073,0.3565783137096106,0.8436608903359198,0.3346156100721361,0.5697621792268438,0.03297792031679387,0.15088531358120694,0.4364245661563839,0.821342673864418,0.03164681415202388,0.3489424447347806,0.5501399684412621,0.0022957487004760194,0.8491725574395012,0.5723017202600282,0.4395613672392247,0.044802250320259224,0.740524649534057,0.6090457896666069,0.832965087505031,0.76511755827518,0.7520325188028542,0.4760903370710504,0.8350571046227244,0.44212923645350743,0.5348050668403,0.033048558394357955,0.3667995314603762,0.8246297200569984,0.43591404173697307,0.8206573211267071,0.5609061264018027,0.011260264219876668,0.6073417100470487,0.2897749931496042,0.5583186519711251,0.2269518667111704,0.24334880818152413,0.46058639227873394,0.8316456360063793,0.6003128731664614,0.5820102686513184,0.7172807845418057,0.0777838234455278,0.0021355819875206374,0.04951781205427094,-0.023216406717627727,0.016046775209875023,0.9924230713580251,0.8206835550346471,0.12918409861225963,0.846316505720903,0.6809296998526349
32,0.7552034989663376,0.7453071849109462,0.7453071854442934,0.7814659518304433,0.7671347338937886,0.767134734157036,0.6034194916039322,0.4801284966667153,0.8491822929455296,0.7645132093457431,0.4360125629676977,0.6274394702635376,0.8468023455784371,0.47097047147044924,0.5908221190324127,0.8437434314354251,0.36571042226702344,0.7535234823800815,0.8500064250063178,0.3555160834231155,0.8364294612828908,0.1656347204284141,0.8433675154228681,0.23054175737184052,0.022152298421653577,0.56613692199242,0.7364942967850422,0.2535402894734244,0.018769358969087404,0.557654296432462,0.06255174421644667,0.022107505280776117,-0.04405875799368257,0.7144671255530698,0.8445558877902226,0.6148786918616503,0.7492790052059171,0.48982129560038834,0.15356247939381842,0.7164517573740227,0.8490700281159488,0.027338355364230908,0.5820855645855828,0.8477044853586561,0.7605319574395633,0.481259908244901,0.8520431007217688,-0.008773433618922431,0.848346253421786,0.28541704984796523,-0.00697168660041831,0.8296641743785396,0.5608152851973,0.7056661269170182,0.013966693079489768,0.7295752339056979,0.019008573568646277,-0.020836323469568967,0.8214753279233664,0.013423182613817893,0.7501903323101788,0.7072336300304074,0.5923324412461157,0.027729998883829043,0.31128217743710634,0.15599492761171332,0.5902026141059313,0.3686332347331988,0.8458939712307922,0.3241547136522306,0.5753838940326632,0.030106952397510257,0.14807497503165454,0.4478232153860239,0.8257466330322984,0.02147729970057403,0.35264993617144363,0.5651006053128115,-0.043096086216473733,0.846168469820126,0.5811219566400279,0.44882705678416984,0.0067768822947233374,0.7532088118637261,0.6204941712295773,0.8364562872907791,0.7683254835862093,0.7612992548047387,0.48728622173338515,0.8406456860182848,0.4542105152768406,0.5603829135857074,0.009622014965724145,0.36567921779449,0.8344052016634443,0.45032114982245275,0.8218759879755723,0.5654224467302698,-0.003891242098044097,0.6200231710607703,0.32593149468086496,0.5601473140281805,0.2457879962833557,0.26949649711256973,0.4723034100316329,0.8396058233388141,0.608439749623476,0.5861857174518981,0.7100608976067107,0.06959991643413893,-0.005685241557374286,0.05092182484789414,0.001478349529196269,-0.0077829417621161304,0.9925456957054731,0.8174302948452234,0.11963913223232955,0.8495732587432876,0.6799232421897009
