,"Age, BMI & VAT",Bone Density
AHI,0.004025131212618297,0.008394408609246578
ahi_4_percent,0.004790644108883275,0.007679700713200475
ahi_central,0.006851225534968334,0.013782441361386266
ahi_central_during_nrem,0.009835601266271553,0.011970936472490699
ahi_central_during_rem,0.009776233920781308,0.013075209313783366
ahi_during_left,0.00656992287989133,0.010805255165983033
ahi_during_non_supine,0.005353161999703759,0.008561249033892486
ahi_during_nrem,0.00519932458610717,0.007448876743040705
ahi_during_prone,0.008370713900156599,0.0127695496432093
ahi_during_rem,0.003941884142491902,0.006682697707945542
ahi_during_right,0.006723820344673394,0.010705797119547987
ahi_during_supine,0.003860963282317253,0.006560748303250515
ahi_obstructive,0.004198400059331269,0.00704923700715064
ahi_obstructive_during_nrem,0.005180505023897434,0.00815674673841221
ahi_obstructive_during_rem,0.003984302352127918,0.00711262300255493
desaturations_above_20,0.010394349236653527,0.013740839723123838
desaturations_mean_nadir,0.0052214338416484525,0.012288781117922708
desaturations_of_10_20,0.009742247400074382,0.012058983007956332
desaturations_of_4_9,0.004546449580687371,0.008604681077243609
number_of_4_percent_desaturation_apnea_hypopnea_events,0.005246179203848726,0.01019400881789996
number_of_all_respiratory_events,0.005898216951603024,0.010673556664250749
number_of_apnea_hypopnea_events,0.004453248614750861,0.007667739439796875
number_of_central_apnea_hypopnea_events,0.006298967107359941,0.013026729169932453
number_of_desaturation_events,0.005192444892895396,0.008570870130133443
number_of_obstructive_apnea_hypopnea_events,0.004104187245240796,0.0068700974288396525
number_of_transitions_nrem_to_rem,0.011518961453568096,0.012740275470408043
number_of_transitions_nrem_to_wake,0.0084550286012722,0.015477900058780945
number_of_transitions_rem_to_nrem,0.01070547005847727,0.011896590257770283
number_of_transitions_rem_to_wake,0.012912402375342424,0.013650687816705321
number_of_transitions_wake_to_nrem,0.008730565633928745,0.014080214301445564
number_of_transitions_wake_to_rem,0.008759444201063326,0.012203935030621917
number_of_wakes,0.01015624230421044,0.013089245110337528
odi,0.004884435114482291,0.010614804357280736
odi_during_left,0.006462677998515838,0.012421583053360264
odi_during_non_supine,0.005437359911023751,0.009578766845112966
odi_during_nrem,0.005470279272238987,0.008523324370943991
odi_during_prone,0.007369928198468839,0.012102754199205572
odi_during_rem,0.004309121816566759,0.007207544572910343
odi_during_right,0.006961656805047777,0.011123893142407183
odi_during_supine,0.004749747027849374,0.009701450945009979
percent_of_deep_sleep_time,0.009272077144037804,0.01178060369043155
percent_of_left_sleep,0.012365893732329318,0.012107187557335522
percent_of_light_sleep_time,0.009476959559372772,0.014293259405001221
percent_of_non_supine_sleep,0.009904237161284682,0.014508072208027547
percent_of_prone_sleep,0.014170923578419042,0.017328687317962853
percent_of_rem_sleep_time,0.010130011600014538,0.01216048171611782
percent_of_right_sleep,0.011318790987309039,0.012869640800488476
percent_of_sleep_time,0.009324501663362999,0.012559750186350596
percent_of_supine_sleep,0.009910748540278158,0.014508247223201199
percent_of_wake_time,0.00932635010152322,0.012578453130480904
rdi,0.005138240685593488,0.007958203743555312
rdi_during_left,0.008192541852758096,0.01259790302017981
rdi_during_non_supine,0.007156149534626514,0.008885547726895962
rdi_during_nrem,0.00541514166124762,0.009173989066355045
rdi_during_prone,0.010987159858600475,0.013210336698995484
rdi_during_rem,0.005200725961225882,0.00872984057538153
rdi_during_right,0.008700405970740297,0.011666838442307856
rdi_during_supine,0.004251993190389122,0.007088535881772203
rem_latency,0.01124097039587279,0.011342275031487563
saturation_below_80,0.014486568869635674,0.011619858008077842
saturation_below_85,0.00917568238743075,0.012539704336337594
saturation_below_90,0.02083239514022353,0.015561888979231988
saturation_below_or_equal_88,0.020818129438389867,0.015678945626731004
saturation_max_value,0.010819214990091348,0.012059008717261585
saturation_mean,0.004182283576323156,0.00825113851738701
saturation_min_value,0.005610919215273619,0.01017657224506583
sleep_efficiency,0.01266515003210818,0.012771256856441676
sleep_latency,0.0105587094660932,0.01436348990648106
snore_above_40db,0.010052406200245974,0.01411255327865489
snore_above_45db,0.009518950256564145,0.012127008363931286
snore_above_50db,0.008959245784408302,0.011833604841800835
snore_above_60db,0.011301656938042217,0.013967632900137602
snore_db_mean,0.008969718298849206,0.01263339614655154
time_to_transition_nrem_to_rem,0.012245707537603262,0.013373955764623108
time_to_transition_nrem_to_wake,0.013592963722976246,0.013162600082976586
time_to_transition_rem_to_nrem,0.009829119922544089,0.013269677382765632
time_to_transition_rem_to_wake,0.013288991843476643,0.011600162352853991
time_to_transition_wake_to_nrem,0.008188631300229647,0.010303487937186833
time_to_transition_wake_to_rem,0.012607035893943283,0.01470801237372518
total_arousal_sleep_time,0.013448016619189184,0.014353365407688943
total_deep_sleep_time,0.00857649822687935,0.014090581528956
total_left_sleep_time,0.011772129005215107,0.012855424478724009
total_light_sleep_time,0.010740349898677467,0.01392314149925949
total_non_supine_sleep_time,0.010092638434515513,0.014774840291263377
total_prone_sleep_time,0.014706605762471391,0.013919918318287237
total_rem_sleep_time,0.011285095164057918,0.010392029849653553
total_right_sleep_time,0.011726677381523162,0.013441471159353088
total_sleep_time,0.013306259832629251,0.01493953991261453
total_supine_sleep_time,0.010835319958465156,0.01240916717049932
total_time_in_bed,0.012082371043809832,0.010952294944748867
total_valid_apnea_central_sleep_time,0.012120000116131733,0.015220997003664128
total_valid_apnea_sleep_time,0.013192184239877655,0.013638861067102279
total_wake_time,0.012884832270165441,0.011388910833175439
total_wake_time_after_sleep_onset,0.010553800833379432,0.012045248811557847
variability_between_sleep_stage_percents,0.009341639284222667,0.012795455100047511
