,depressed_hopeless_fortnight,depressed_longest_period_weeks,depressed_whole_week,depressed_whole_week_periods,family_relationship_satisfaction,fed-up_often,feeling_lonley_often,fidgety_or_restless_fortnight,financial_situation_satisfaction,friendships_satisfaction,happiness_level,health_satisfaction,high_irritable_longest_period_duration,high_irritable_state,high_irritable_state_caused_problems,hyper_least_two_days,irritable_person,irritablilty_leading_to_argumens,little_interest_or_pleasure_fortnight,miserable_no_reason,mood_swings,nerves_anxiety_tension_depression_doctor,nerves_anxiety_tension_depression_psychiatrist,nervous_person,risks_taker,suffer_nerves,tense_or_highly_strung,tired_or_little_energy_fortnight,troubled_by_guilt,unenjoyment_uninterested_period_duration_weeks,unenjoyment_uninterested_periods_number,unenjoyment_uninterested_whole_week,work_satisfaction,worrier,worry_long_after_embarrassment,rds_score
0,-0.038094685418444796,-0.099133184486958,-0.022127904008149044,-0.07743663732312622,-0.05670881937325719,-0.018897121731216226,-0.02709913500195171,0.15748486208014914,0.06574834572380524,-0.010259043458820975,-0.05229225113756321,0.2362970797384716,-0.054854336172315166,-0.0815092115545985,-0.17811081333678266,-0.03935553685670299,-0.04414542308353968,-0.015424872156278174,0.07835371827183031,-0.026858327736713827,-0.03293700980800635,-0.05748629897767783,-0.044228795297819534,-0.021780795106500647,-0.01809373149244827,-0.08746384529719266,-0.04720455790822734,0.13095935638649395,-0.04617486550608141,-0.15437396722354468,-0.06607189487410034,-0.03911580967632696,0.1622506240547418,-0.027659865111725065,-0.053025327784991555,0.21873660862886812
1,-0.04021740307931415,-0.04682645448596903,-0.021861666537243623,-0.08065711288548572,-0.03428834107138581,-0.03296884602558162,-0.048228438355083475,0.1638211711393387,0.0681223966577212,-0.05133403809983328,-0.046789486936393565,0.23656287136239848,-0.10164045746896917,-0.0645898168793856,-0.08332758004109618,-0.02832907205241327,-0.05533612620767091,-0.05135385325785269,-0.02284439632208081,-0.053910190379131306,-0.040124111377454724,-0.03182778068990372,-0.053398449884283376,-0.03781917170873211,-0.04167844485591575,-0.07281999701610219,-0.027963858272358744,0.12684335337418884,-0.036459073543498616,-0.11853795651573812,-0.06696683474746484,-0.039957106131467406,0.15612119346574196,-0.03369747916275123,-0.05046714124195423,0.21902889580371904
2,-0.03767863638610868,-0.05525160362292524,-0.01575118523770713,-0.08932927401190233,-0.029527742222326625,-0.063330361858238,-0.03770138581929924,0.16919524340107983,0.083522644887616,-0.023841255315782222,-0.05058528196956168,0.23861328719616737,-0.08204864187959798,-0.0690955243509332,-0.11547302749398668,-0.03382316266416656,-0.024780905164568864,-0.04415477793112791,0.0022886936333546353,-0.03877272477516543,-0.039021216172104856,-0.07661238749747558,-0.021176091417855484,-0.02736380685119508,-0.03296145543273964,-0.03845405349702576,-0.028214706100237318,0.1322210303455205,-0.05317919989683869,-0.0997533981498947,-0.12154380010401802,-0.039957106131467614,0.15195116583773458,-0.027311043136349765,-0.040733493819917824,0.21411106697813753
3,-0.028338920767404095,-0.08896880804153462,-0.03337257871104903,-0.03234773430695952,-0.015422793430818925,-0.03878120303073754,-0.031480536642537416,0.15219005838752786,0.09901638122905912,-0.025942039292584363,-0.0215625866528801,0.2388405171371688,-0.10739344707447224,-0.06814790891825066,-0.06901481085380026,-0.03981775338591134,-0.04548103635445111,-0.04285803620462051,0.027312538416837003,-0.03634558853290255,-0.04555288727360049,-0.051758708739766124,-0.04173114812395785,-0.037701975357187646,-0.020999668913567672,-0.048019004193103454,-0.03288249677313462,0.14193736141237548,-0.04650086181875001,-0.13713269239188042,-0.12773850975475662,-0.04573623064921389,0.15950278046035052,-0.06380577424520574,-0.043341584386533204,0.21476531336878113
4,-0.036874155749938464,-0.032880406991936104,-0.0314842854067504,-0.0455120317225221,-0.06804120426742614,-0.03536884264904715,-0.02975988702491885,0.1741259827698898,0.09926066032589298,-0.05719254730026385,-0.023314179735073114,0.23310272838592572,-0.05644944393647458,-0.02489871140424383,-0.13872578751785963,-0.058609766709484735,-0.016879009656594203,-0.04943795854998709,0.03338539369779622,-0.022553872450607016,-0.012914747514370871,-0.02580714384124979,-0.05226613594863381,-0.026375615784015257,-0.04180215674823324,-0.04028635725555793,-0.043762712867496424,0.1427195773879126,-0.04472511112549815,-0.13357652059616487,-0.09102513720851044,-0.03384799909372968,0.15590406096085585,-0.04787334429008143,-0.046206244975548504,0.21492589633370915
5,-0.04300788787179508,-0.04920407414979154,-0.03264305720433564,-0.034206414571436805,-0.021917821323987556,-0.038772116990486,-0.04777337263592023,0.15833287582480401,0.1077424038548328,-0.03683660161954079,-0.018425805338752183,0.24168719986269435,-0.031389538061058674,-0.15136659212074902,-0.23484531884055096,-0.03500202013364223,-0.045150837154058925,-0.02502004143300983,0.048455305959789294,-0.031793617260244045,-0.02086208060536405,-0.03361347633031721,-0.04059541045381687,-0.055226684488041085,-0.025648869401993263,-0.038579960062179244,-0.04317463059110057,0.1190513566583112,-0.03394227241559659,-0.06750191058829885,-0.09733025305248785,-0.024164660462867894,0.1464631232170014,-0.04055293200463842,-0.046864104952125896,0.21753325466414197
6,-0.04389668171925714,-0.048324065603310006,-0.06407187022263101,-0.02296924930802022,-0.025993730316425503,-0.0530129282984917,-0.04881716748059829,0.1600648004692372,0.08043329696118504,-0.04415402120708433,-0.030521512919081728,0.2331157400936162,-0.07497701353733582,-0.032300033754430454,-0.19507828225747748,-0.03667787851012138,-0.05462854360175351,-0.03229050447617228,0.009319301817647608,-0.04179926509095062,-0.006944590674553467,-0.021198980339692405,-0.03620019391597685,-0.05036506836397331,-0.02196124466564712,-0.052147149753891966,-0.03588986128891447,0.1273245154319949,-0.009335104065033578,-0.05013956004049671,-0.08826238160336282,-0.029155203143737082,0.1606987327625856,-0.05546122818435165,-0.036201069132385105,0.2149006866899378
7,-0.029319335517083385,-0.04382780169361849,-0.02149951525118633,-0.05460216629651012,-0.03784615589529882,-0.022819990947979932,-0.022932176127614536,0.17214770550554376,0.10182489218549967,-0.05946929873816347,-0.04304754016755028,0.23477883918840686,-0.07103067178921624,-0.05149502852696988,-0.2512972490352774,-0.04501433114576123,-0.025728889914557688,-0.030042687509071363,0.050218771189541066,-0.029950046534262215,-0.02481037690112787,-0.04588471125579961,-0.03941568796779467,-0.02534893075816978,-0.04337831682252074,-0.01605647041512506,-0.02029923200220645,0.15467948294962058,-0.03663664210145937,-0.0612139615625562,-0.056883129459441864,-0.025358687855348457,0.1552153985973335,-0.026597689343085144,-0.0270828563433781,0.2097239946542627
8,-0.03470576283449801,-0.05667906912389571,-0.013762791715453207,-0.02625929073465399,-0.043211472291509,-0.03437878386928518,-0.031532811668422506,0.16543803726824036,0.08804042286360445,-0.05331689507300492,-0.04226336632033431,0.2373438500131553,-0.05276764826488565,-0.03989575060098729,-0.08769728137180828,-0.031429211518294316,-0.055981341863708234,-0.02081987132512085,0.045186426974383555,-0.056277743259655226,-0.040116446057850676,-0.05134403074242709,-0.0351899424202851,-0.010971368166639673,-0.037089469580181424,-0.02155366451407559,-0.03668000063570674,0.13419067831442405,-0.022731683706221775,-0.04902621373121706,-0.10402958738882716,-0.0433295331625334,0.1539091400532047,-0.0374528470197729,-0.03014736973251769,0.2144097914411379
9,-0.08310721415718143,-0.06353159118920486,-0.03945972359076272,-0.04964283326333356,-0.024479865377312716,-0.04985445393996054,-0.0410061915183984,0.1723393096703122,0.09511492880872595,-0.023596292429261676,-0.04275516046421268,0.23708818413683588,-0.08498189715520406,-0.06230188677367768,-0.08679717152563632,-0.03832358384563326,-0.02596047775177564,-0.02409090162722028,0.03315268934603715,-0.019932949713171465,-0.022340464724475106,-0.04735357235796128,-0.009857869474075385,-0.027038423023326204,-0.06001011841788842,-0.02710650388933209,-0.07216321349682485,0.11587454191390628,-0.05799792279913286,-0.06478983703564772,-0.10436769184750778,-0.027858761230148826,0.1562070891152396,-0.04659843172966134,-0.03426200175996079,0.21752235450383495
10,-0.019693718116390757,-0.10168542105173545,-0.04960710654923741,-0.05269264407155199,-0.03704820890971251,-0.03515776042080654,-0.025483997364469824,0.15326155954975923,0.09384131938879998,-0.04205509194778458,-0.01918181950768421,0.23661064655567357,-0.0763447511132007,-0.07849283234545722,-0.12773827238940677,-0.0430994429929668,-0.06225824946537152,-0.029021460284792813,0.03807526691814064,-0.04897591371849505,-0.034006191766826975,-0.042504719083566386,-0.033721019724334174,-0.02687425378848227,-0.03471634040334968,-0.010654776802648744,-0.06100743157151658,0.12549618114594072,-0.029956760384532745,-0.18394194321524238,-0.10495541978032348,-0.04855819033968396,0.15045649256095436,-0.04836861241733242,-0.024004058072247255,0.21675028770307786
11,-0.04234766061605266,-0.04200434287312934,-0.04340836586074424,-0.05105841959175531,-0.02039732659652571,-0.041472084275631045,-0.021743019723321936,0.15990653953377407,0.11050841575713423,-0.019557055939764624,-0.04356887945722441,0.23554352214911473,-0.09938198640778666,-0.04345981870521171,-0.15029187450166873,-0.0227387618860392,-0.01935667025795051,-0.041103154081717296,0.038989848137222,-0.03553823247019317,-0.045157376807093745,-0.023104135507428385,-0.04139443773581538,-0.01749965086395288,-0.03777918037385687,-0.023171599686019374,-0.027234651888320895,0.11169584998391557,-0.0390517780225282,-0.06505437948959902,-0.13726003144424925,-0.02705108872917974,0.15821071904333217,-0.04685823605155872,-0.05041057767488636,0.21264825349292316
12,-0.022394032388614826,-0.09930896018158279,-0.032093392901431324,-0.05042637942917852,-0.027291646082648013,-0.02045036927883296,-0.025147150126995553,0.13814956686416957,0.0635160684962549,-0.015320994100466884,-0.03095677928289222,0.23746220356141567,-0.07381812586990054,-0.04928046127033874,-0.1042946151564095,-0.004898528961469053,-0.019201441848010103,-0.030829602005087085,0.02893703843594145,-0.0155898185659728,-0.03152589927640144,-0.05607272261942072,-0.027163908871039085,-0.061375090342003266,-0.06094930096143558,-0.04153898466657833,-0.028064409185696103,0.13326560513491437,-0.043516728199858454,-0.13564424148143758,-0.07162970578529175,-0.030878913203938492,0.14937598921239173,-0.03767438694622952,-0.05287177020651455,0.21449866518006883
