,Age & BMI,"Sleep Quality
(average of nights)"
fBin__535,0.01116735572070461,0.01116735572070461
fBin__536,0.011582289324443967,0.011582289324443967
fBin__537,0.01115000854353666,0.01115000854353666
fBin__538,0.011588213284947505,0.011588213284947505
fBin__539,0.012918496909559578,0.012918496909559578
fBin__541,0.011456419482147987,0.011456419482147987
fBin__546,0.011817974926912172,0.011817974926912203
fBin__549,0.011095735930342231,0.011095735930342231
fBin__55,0.010243718533150453,0.010243718533150453
fBin__555,0.013419489883383623,0.013419489883383623
fBin__56,0.010278775750415073,0.01027877575041502
fBin__564,0.010963218395375486,0.010963218395375509
fBin__565,0.012905112700720232,0.012905112700720221
fBin__566,0.010916070510126498,0.010916070510126498
fBin__569,0.011889852197643247,0.011889852197643247
fBin__571,0.01321806882538293,0.0132180688253829
fBin__573,0.011642945852973138,0.011642945852973138
fBin__577,0.010309710354101985,0.010309710354101985
fBin__579,0.010981144451694333,0.010981144451694309
fBin__583,0.012530767172441438,0.012530767172441445
fBin__584,0.010920016771707414,0.01092001677170743
fBin__586,0.011620206862034611,0.011620206862034603
fBin__588,0.011560363346734331,0.01156036334673434
fBin__589,0.011035372946111564,0.011035372946111534
fBin__59,0.011410966631289021,0.011410966631289021
fBin__590,0.009749905542661051,0.009749905542661051
fBin__592,0.013607558203876633,0.013607558203876633
fBin__594,0.011965614855137372,0.011965614855137372
fBin__595,0.010382270480904086,0.010382270480904086
fBin__597,0.01480195767443966,0.01480195767443966
fBin__598,0.012813500778113426,0.012813500778113414
fBin__600,0.009898376145742472,0.009898376145742472
fBin__601,0.011636677275196511,0.011636677275196511
fBin__602,0.00997397007719349,0.009973970077193493
fBin__605,0.01034877938618148,0.010348779386181478
fBin__606,0.012765196229540726,0.012765196229540726
fBin__611,0.013597718016304279,0.013597718016304279
fBin__613,0.011565828077976835,0.011830841107188416
fBin__614,0.012475270471903667,0.012475270471903667
fBin__616,0.012069749817503314,0.012069749817503314
fBin__619,0.013463686558508239,0.013463686558508244
fBin__625,0.011250681267952683,0.011250681267952683
fBin__627,0.011038481436318841,0.011038481436318841
fBin__69,0.012405906623796955,0.012405906623796955
fBin__70,0.012614636584062233,0.012614636584062233
fBin__71,0.012239634369402709,0.012239634369402709
fBin__72,0.010924026001835509,0.010924026001835486
fBin__73,0.010925026764368101,0.01092502676436809
fBin__76,0.01320098876363464,0.01320098876363465
fBin__83,0.011527277241007276,0.011527277241007276
fBin__84,0.0123431718089343,0.012343171808934315
fBin__86,0.012987065862230984,0.012987065862230984
fBin__88,0.014697898387888165,0.014697898387888165
fBin__94,0.011543097769969486,0.011543097769969486
fBin__95,0.012835957016428506,0.012835957016428498
fBin__96,0.013087557933039099,0.013087557933039099
fBin__97,0.012302821422735932,0.012302821422735928
fBin__99,0.012314801980334317,0.012314801980334317
