,Age & BMI,"Sleep Quality
(average of nights)"
fBin__100,True,True
fBin__102,False,False
fBin__103,True,True
fBin__104,True,True
fBin__106,True,True
fBin__108,True,True
fBin__121,True,True
fBin__14,True,True
fBin__145,True,True
fBin__149,True,True
fBin__152,True,True
fBin__159,True,True
fBin__17,True,True
fBin__181,True,True
fBin__187,True,True
fBin__188,True,True
fBin__189,True,True
fBin__205,True,True
fBin__207,True,True
fBin__217,True,True
fBin__219,True,True
fBin__220,True,True
fBin__223,True,True
fBin__247,True,True
fBin__249,True,True
fBin__257,False,True
fBin__262,False,True
fBin__263,False,True
fBin__27,True,True
fBin__270,False,False
fBin__273,True,True
fBin__274,True,True
fBin__275,True,True
fBin__28,True,True
fBin__280,True,True
fBin__281,True,True
fBin__283,True,True
fBin__287,True,True
fBin__296,True,True
fBin__3,True,True
fBin__305,True,True
fBin__307,True,True
fBin__309,True,True
fBin__310,True,True
fBin__311,True,True
fBin__312,True,True
fBin__314,True,True
fBin__318,True,True
fBin__319,True,True
fBin__320,True,True
fBin__321,True,True
fBin__323,True,True
fBin__325,True,True
fBin__328,True,True
fBin__332,True,True
fBin__334,True,True
fBin__337,True,True
fBin__338,True,True
fBin__339,True,True
fBin__34,True,True
fBin__340,True,True
fBin__345,True,True
fBin__35,True,True
fBin__351,True,True
fBin__356,True,True
fBin__357,True,True
fBin__359,True,True
fBin__36,True,True
fBin__364,True,True
fBin__366,True,True
fBin__367,True,True
fBin__369,True,True
fBin__37,True,True
fBin__371,True,True
fBin__372,True,True
fBin__373,True,True
fBin__374,True,True
fBin__375,True,True
fBin__376,True,True
fBin__379,True,True
fBin__381,True,True
fBin__382,True,True
fBin__383,True,True
fBin__384,True,True
fBin__386,True,True
fBin__387,True,True
fBin__388,True,True
fBin__393,True,True
fBin__395,True,True
fBin__416,True,True
fBin__418,True,True
fBin__423,True,True
fBin__424,True,True
fBin__43,True,True
fBin__441,True,True
fBin__45,True,True
fBin__451,True,True
fBin__452,True,True
fBin__453,True,True
fBin__454,True,True
fBin__455,True,True
fBin__456,True,True
fBin__457,True,True
fBin__461,True,True
fBin__466,True,True
fBin__468,True,True
fBin__469,True,True
fBin__470,True,True
fBin__472,True,True
fBin__477,True,True
fBin__479,True,True
fBin__480,True,True
fBin__482,True,True
fBin__483,True,True
fBin__485,True,True
fBin__486,True,True
fBin__487,True,True
fBin__489,True,True
fBin__490,True,True
fBin__491,True,True
fBin__497,True,True
fBin__503,True,True
fBin__504,True,True
fBin__508,True,True
fBin__513,True,True
fBin__515,True,True
fBin__517,True,True
fBin__518,True,True
fBin__519,True,True
fBin__520,True,True
fBin__521,True,True
fBin__524,True,True
fBin__525,True,True
fBin__526,True,True
fBin__527,True,True
fBin__528,True,True
fBin__529,True,True
fBin__53,True,True
fBin__530,True,True
fBin__531,True,True
fBin__532,True,True
fBin__533,True,True
fBin__534,True,True
fBin__535,True,True
fBin__536,True,True
fBin__537,True,True
fBin__538,True,True
fBin__539,True,True
fBin__54,True,True
fBin__541,True,True
fBin__546,True,True
fBin__549,True,True
fBin__55,True,True
fBin__555,True,True
fBin__56,True,True
fBin__565,True,True
fBin__566,True,True
fBin__569,True,True
fBin__571,True,True
fBin__573,True,True
fBin__577,True,True
fBin__579,True,True
fBin__583,True,True
fBin__584,True,True
fBin__588,True,True
fBin__589,True,True
fBin__59,True,True
fBin__590,True,True
fBin__592,True,True
fBin__594,True,True
fBin__595,True,True
fBin__597,True,True
fBin__598,True,True
fBin__600,True,True
fBin__601,True,True
fBin__602,True,True
fBin__605,True,True
fBin__606,True,True
fBin__611,True,True
fBin__613,True,True
fBin__614,True,True
fBin__616,True,True
fBin__619,True,True
fBin__625,True,True
fBin__627,True,True
fBin__69,True,True
fBin__70,True,True
fBin__71,True,True
fBin__72,True,True
fBin__73,True,True
fBin__76,True,True
fBin__83,True,True
fBin__84,True,True
fBin__86,True,True
fBin__88,True,True
fBin__94,True,True
fBin__95,True,True
fBin__96,True,True
fBin__97,True,True
fBin__99,True,True
