,"Age, BMI & VAT",Medications
AHI,0.004025131212618297,0.004025131212618302
ahi_4_percent,0.004790644108883297,0.004790644108883297
ahi_central,0.006851225534968334,0.0068512255349683195
ahi_central_during_nrem,0.009835601266271553,0.009835601266271561
ahi_central_during_rem,0.009776233920781308,0.009776233920781308
ahi_during_left,0.00656992287989133,0.00656992287989133
ahi_during_non_supine,0.005353161999703792,0.005353161999703792
ahi_during_nrem,0.00519932458610717,0.00519932458610717
ahi_during_prone,0.008370713900156599,0.008370713900156599
ahi_during_rem,0.003941884142491902,0.003941884142491902
ahi_during_right,0.006723820344673394,0.006723820344673394
ahi_during_supine,0.0038609632823172384,0.003860963282317253
ahi_obstructive,0.004198400059331292,0.004198400059331269
ahi_obstructive_during_nrem,0.005180505023897428,0.005180505023897434
ahi_obstructive_during_rem,0.00398430235212794,0.003984302352127918
desaturations_above_20,0.010394349236653553,0.01039434923665354
desaturations_mean_nadir,0.00522143384164846,0.005221433841648444
desaturations_of_10_20,0.009742247400074403,0.009742247400074403
desaturations_of_4_9,0.004546449580687361,0.004546449580687361
number_of_4_percent_desaturation_apnea_hypopnea_events,0.005246179203848726,0.005246179203848726
number_of_all_respiratory_events,0.005898216951603024,0.005898216951603024
number_of_apnea_hypopnea_events,0.004453248614750864,0.004453248614750861
number_of_central_apnea_hypopnea_events,0.006298967107359939,0.006298967107359941
number_of_desaturation_events,0.00519244489289535,0.005192444892895362
number_of_obstructive_apnea_hypopnea_events,0.004104187245240763,0.004104187245240782
number_of_transitions_nrem_to_rem,0.011518961453568096,0.011518961453568089
number_of_transitions_nrem_to_wake,0.0084550286012722,0.008455028601272188
number_of_transitions_rem_to_nrem,0.01070547005847727,0.010705470058477266
number_of_transitions_rem_to_wake,0.012912402375342424,0.012912402375342419
number_of_transitions_wake_to_nrem,0.008730565633928739,0.008730565633928745
number_of_transitions_wake_to_rem,0.008759444201063326,0.008759444201063313
number_of_wakes,0.010156242304210437,0.01015624230421044
odi,0.004884435114482256,0.004884435114482291
odi_during_left,0.006462677998515838,0.006462677998515838
odi_during_non_supine,0.005437359911023745,0.005437359911023745
odi_during_nrem,0.0054702792722390045,0.0054702792722390045
odi_during_prone,0.007369928198468839,0.007369928198468863
odi_during_rem,0.004309121816566759,0.0043091218165667725
odi_during_right,0.0069616568050477915,0.006961656805047777
odi_during_supine,0.004749747027849342,0.004749747027849374
percent_of_deep_sleep_time,0.009272077144037804,0.009272077144037804
percent_of_left_sleep,0.012365893732329327,0.012365893732329318
percent_of_light_sleep_time,0.00947695955937276,0.009476959559372772
percent_of_non_supine_sleep,0.009904237161284682,0.009904237161284682
percent_of_prone_sleep,0.01417092357841905,0.014170923578419042
percent_of_rem_sleep_time,0.010130011600014538,0.010130011600014543
percent_of_right_sleep,0.011318790987309034,0.011318790987309034
percent_of_sleep_time,0.009324501663362999,0.009324501663362999
percent_of_supine_sleep,0.009910748540278173,0.009910748540278173
percent_of_wake_time,0.009326350101523218,0.009326350101523218
rdi,0.0051382406855934905,0.0051382406855934905
rdi_during_left,0.008192541852758087,0.008192541852758087
rdi_during_non_supine,0.007156149534626514,0.007156149534626514
rdi_during_nrem,0.00541514166124762,0.00541514166124762
rdi_during_prone,0.010987159858600475,0.010987159858600475
rdi_during_rem,0.0052007259612259086,0.005200725961225882
rdi_during_right,0.008700405970740297,0.008700405970740297
rdi_during_supine,0.004251993190389094,0.004251993190389122
rem_latency,0.0112409703958728,0.01124097039587279
saturation_below_80,0.014486568869635674,0.014486568869635674
saturation_below_85,0.009175682387430745,0.009175682387430745
saturation_below_90,0.020832395140223524,0.02083239514022354
saturation_below_or_equal_88,0.020818129438389867,0.020818129438389864
saturation_max_value,0.010819214990091374,0.010819214990091355
saturation_mean,0.004182283576323167,0.004182283576323167
saturation_min_value,0.005610919215273619,0.005610919215273621
sleep_efficiency,0.012665150032108174,0.012665150032108174
sleep_latency,0.010558709466093191,0.0105587094660932
snore_above_40db,0.010052406200245978,0.010052406200245974
snore_above_45db,0.009518950256564152,0.009518950256564145
snore_above_50db,0.008959245784408302,0.008959245784408291
snore_above_60db,0.011301656938042217,0.011301656938042224
snore_db_mean,0.008969718298849206,0.00896971829884921
time_to_transition_nrem_to_rem,0.012245707537603262,0.012245707537603262
time_to_transition_nrem_to_wake,0.013592963722976246,0.013592963722976246
time_to_transition_rem_to_nrem,0.009829119922544106,0.009829119922544089
time_to_transition_rem_to_wake,0.013288991843476643,0.013288991843476643
time_to_transition_wake_to_nrem,0.008188631300229633,0.008188631300229647
time_to_transition_wake_to_rem,0.012607035893943292,0.012607035893943283
total_arousal_sleep_time,0.013448016619189184,0.013448016619189184
total_deep_sleep_time,0.008576498226879342,0.00857649822687935
total_left_sleep_time,0.011772129005215107,0.011772129005215107
total_light_sleep_time,0.010740349898677469,0.010740349898677469
total_non_supine_sleep_time,0.010092638434515518,0.01009263843451552
total_prone_sleep_time,0.0147066057624714,0.014706605762471386
total_rem_sleep_time,0.011285095164057913,0.011285095164057924
total_right_sleep_time,0.011726677381523162,0.011726677381523151
total_sleep_time,0.013306259832629246,0.013306259832629246
total_supine_sleep_time,0.010835319958465147,0.010835319958465147
total_time_in_bed,0.012082371043809832,0.012082371043809829
total_valid_apnea_central_sleep_time,0.012120000116131749,0.012120000116131733
total_valid_apnea_sleep_time,0.013192184239877653,0.013192184239877653
total_wake_time,0.012884832270165441,0.012884832270165441
total_wake_time_after_sleep_onset,0.010553800833379432,0.010553800833379432
variability_between_sleep_stage_percents,0.009341639284222667,0.009341639284222667
