,"Age, BMI & VAT",Mental health
percent_of_deep_sleep_time,0.229521070028288,0.23999828391008976
total_deep_sleep_time,0.22172749682550175,0.22970775914738784
total_time_in_bed,0.057505507332927,0.06470987522325186
