,fBin__100,fBin__102,fBin__103,fBin__104,fBin__108,fBin__121,fBin__14,fBin__145,fBin__149,fBin__159,fBin__17,fBin__181,fBin__187,fBin__188,fBin__205,fBin__217,fBin__219,fBin__223,fBin__224,fBin__247,fBin__249,fBin__257,fBin__262,fBin__263,fBin__27,fBin__270,fBin__273,fBin__274,fBin__275,fBin__28,fBin__281,fBin__283,fBin__296,fBin__3,fBin__305,fBin__307,fBin__309,fBin__310,fBin__311,fBin__312,fBin__314,fBin__318,fBin__319,fBin__320,fBin__321,fBin__323,fBin__325,fBin__332,fBin__334,fBin__337,fBin__338,fBin__339,fBin__340,fBin__345,fBin__35,fBin__351,fBin__355,fBin__356,fBin__357,fBin__358,fBin__359,fBin__364,fBin__366,fBin__367,fBin__369,fBin__37,fBin__371,fBin__372,fBin__373,fBin__374,fBin__375,fBin__376,fBin__379,fBin__381,fBin__382,fBin__383,fBin__384,fBin__386,fBin__387,fBin__388,fBin__393,fBin__395,fBin__418,fBin__422,fBin__423,fBin__424,fBin__43,fBin__441,fBin__449,fBin__45,fBin__451,fBin__452,fBin__453,fBin__454,fBin__455,fBin__456,fBin__457,fBin__461,fBin__464,fBin__465,fBin__466,fBin__468,fBin__469,fBin__470,fBin__477,fBin__479,fBin__480,fBin__482,fBin__483,fBin__485,fBin__486,fBin__487,fBin__489,fBin__490,fBin__491,fBin__497,fBin__503,fBin__504,fBin__508,fBin__513,fBin__517,fBin__518,fBin__519,fBin__520,fBin__521,fBin__524,fBin__525,fBin__526,fBin__527,fBin__528,fBin__529,fBin__53,fBin__530,fBin__531,fBin__532,fBin__533,fBin__534,fBin__535,fBin__536,fBin__537,fBin__538,fBin__539,fBin__541,fBin__546,fBin__549,fBin__555,fBin__56,fBin__565,fBin__566,fBin__569,fBin__571,fBin__573,fBin__577,fBin__579,fBin__583,fBin__584,fBin__586,fBin__588,fBin__589,fBin__59,fBin__590,fBin__592,fBin__594,fBin__595,fBin__597,fBin__598,fBin__600,fBin__601,fBin__602,fBin__605,fBin__606,fBin__611,fBin__613,fBin__614,fBin__616,fBin__619,fBin__625,fBin__627,fBin__69,fBin__70,fBin__71,fBin__72,fBin__73,fBin__76,fBin__83,fBin__84,fBin__86,fBin__88,fBin__94,fBin__96,fBin__97,fBin__99
0,-0.04593579145065218,0.08761057005674508,-0.050968655391783524,0.016517134874811962,-0.04052541880482901,0.010233832883040467,-0.04296619551173358,-0.0380473667972745,-0.0265821716951237,-0.037483322269553414,-0.04679346273525966,-0.05364702963638557,-0.022431221180278186,-0.0244118015563324,-0.021354214393589293,-0.02346546251602457,-0.03729706323485866,-0.038884182864777864,-0.031397099208176016,-0.035949529048543885,-0.02736502285613141,0.19209220756736628,0.12642722072796778,0.1531221348023904,-0.016975464506419128,0.12658471259216658,-0.015267943086376466,0.13801247364175098,-0.02989632317673733,-0.03919190952033895,-0.028025487139915144,-0.04752594680152776,-0.03280874467031113,-0.014115178965950466,-0.042711845371579085,-0.04430204895241602,-0.030183936770932337,-0.05956538948555189,0.000584599565616586,-0.04648525197953896,-0.030650313921441553,-0.03606484076454147,-0.02569597492479291,-0.010313104494824218,-0.023443953041336965,-0.021801002638104045,-0.05780033035401271,-0.05028245768985057,-0.040779950927044416,-0.04633356564643937,-0.033928667163552424,-0.036158046459622666,-0.03303167283178085,-0.014777172910895905,-0.028276172452400567,-0.04732416572251505,-0.02744140855723834,-0.018329573726636635,-0.031148813311536027,-0.013494851569777297,-0.05124655084486644,-0.049807411058159966,-0.03558816937789193,-0.02466997804107891,-0.048729111953091424,-0.030656680092829222,-0.041404933384254695,-0.04296366837261182,-0.033961477228685415,-0.04984993847808511,-0.017950507496271414,-0.02404026844464877,-0.019956731567531832,-0.019840111343826915,-0.015524742479698385,-0.04810977054537153,-0.029128047277626325,-0.04855840465659676,-0.034914551208679846,-0.04835137480498251,-0.023934169490768636,-0.04693566862257562,-0.038979448818066885,-0.02447243234737677,-0.05717240825245648,-0.023892296820992247,-0.025974234127110966,-0.03345012796652009,-0.023703873355161297,-0.021451695389825783,-0.06386895408374511,-0.04268925353553524,-0.048305069573998764,0.02922322185720884,-0.04362937451717681,-0.05415611131263592,-0.0412060187323604,0.018440095580644,-0.01612312855037661,-0.029386032091131616,-0.03832355172953171,-0.03363608647434535,-0.026867742637788124,-0.038109279725430864,-0.022924547445145868,-0.045634040601436714,-0.045807770416227654,-0.012498749261299314,-0.04343961541174701,-0.04312104559809676,-0.03240074759914258,-0.03028152289816179,-0.020726748487662237,-0.03727215786962447,-0.04488521048488965,-0.02305821607910672,0.09210300921726947,0.17256435250799845,-0.0432327040962496,-0.045737748840431754,-0.02632106677158795,-0.037739105484495696,-0.030825642088077605,-0.04405239389832429,-0.03682013002051294,-0.04307441279813968,-0.045366246392930236,-0.03316177553618027,-0.011851959435774129,-0.05144555347343316,-0.036258095934518134,-0.036043414408597464,0.14677122687863428,0.0743644397598274,-0.05814605654998763,-0.025075918402542245,-0.02561735288041504,-0.04371000987801381,-0.02512962961776417,0.1147305196328377,-0.022499175249442588,-0.05168280893950821,-0.04015674592015827,-0.0335091688867682,-0.049851412632569196,-0.04807860969842772,-0.03685456405610811,-0.03870941869051801,-0.0560442287089026,-0.034446874237807026,-0.03971867480869566,-0.024481876964460213,-0.032311188621467805,-0.030219913641145426,-0.03443068444113884,-0.024447128205379254,-0.01659032736409982,-0.04814877276215318,-0.04850107212999618,-0.04026192425152459,-0.03640184896326198,-0.03396712189308369,-0.03437839832734684,-0.020196705424254655,-0.040681975081877,0.11895996315498095,-0.017888177547968467,-0.044053516595137975,-0.03393551699726781,-0.03878627991293799,-0.04178145104189049,-0.039773423148918775,-0.026946463671016246,-0.02658784431216749,-0.026995831290939642,-0.017102534577819743,-0.04229593840273949,-0.04845280645974238,-0.03952449160400957,-0.020387183262589884,-0.04467018440369713,-0.04344881231953945,-0.030726004233897798,-0.0351499757496519,-0.050120840134711686,-0.014596335068081024,-0.037111978731923095,-0.044053218756253475,-0.026841717818591432,-0.034827388914383604,-0.073541510027254,-0.049476757159726305
1,-0.04823622948001967,0.08180870097384449,-0.02580670035899953,0.05750681596736192,-0.020344305706117383,-0.016693080750530453,-0.04003158413649392,-0.05868433779720531,-0.0179643019108258,-0.0231531599766302,-0.046150875923538066,-0.044983911691366125,-0.054440806562616524,-0.0256665743994218,-0.04410162120000903,-0.050593197363910665,-0.033205697189734325,-0.04468292445677352,-0.05084401711294084,-0.02807293297657488,-0.026840509233265638,0.1957065417708849,0.13509158251134837,0.1594448495183025,-0.02498553006207128,0.13272183909168866,-0.035163886914662296,0.12477412207690135,-0.0595172134219687,-0.04576614852370068,-0.023243763111395147,-0.042769660171604,-0.020625473802527695,-0.03725752894673415,-0.026191687842286267,-0.0378809872935714,-0.02704459479993709,-0.052851028115498536,-0.0003605918066617719,-0.041122809341322855,-0.05900871184342856,-0.02788435000503858,-0.0278131834563339,-0.005065940112234421,-0.032374126624622065,-0.04800869674309174,-0.027142105944572767,-0.05863182319305621,-0.034849223001246946,-0.042478438168796984,-0.030480024363095545,-0.027936315460901428,-0.030946126326835556,-0.04395542010585255,-0.01879767430660774,-0.019825670926413515,-0.03699291441998014,-0.023099751005986883,-0.04016029286817695,-0.04123599548258063,-0.048906877087067556,-0.02122252355797042,-0.01698907320871462,-0.018488918148636537,-0.02916157058213073,-0.04822796853439555,-0.03570339041245267,-0.047683546939683394,-0.03479607460325578,-0.05186404303016229,-0.026205971236389135,-0.03782447790329044,-0.05350140476486995,-0.040825424150059686,-0.04552979419222624,-0.05224374451123927,-0.025374958254120568,-0.03549357614564617,-0.03358141037750479,-0.03299034811624747,-0.05237930201523451,-0.01783221860197434,-0.052029605895766454,-0.057590950518022765,-0.052709489780824154,-0.03296937243481056,-0.016503184705921096,-0.042690374395058364,-0.057494736778071466,-0.028794921994645534,-0.036645860097399514,-0.01987560056885165,-0.03383294458909199,0.03290523807360846,-0.027963896373790594,-0.0383519219513269,-0.037202919743888944,0.09872634212855115,-0.0197238325304504,-0.010231928194050995,-0.03581982534260738,-0.06167369725657834,-0.04045001145900329,-0.039337113270249975,-0.04220011599443074,-0.032752441801951436,-0.05441916744451188,-0.04928291015058229,-0.04000118499438626,-0.022937064247251858,-0.03403342494739246,-0.04773889804204915,-0.03297867092143796,-0.02995610614455982,-0.023535247359521793,-0.03221180742789549,0.07946706940772658,0.18545754785684143,-0.03734816249490776,-0.05406693174004311,-0.03245024154912381,-0.05831999608964703,-0.06854739510157921,-0.038502489070960655,-0.043561249383053495,-0.03287301073586542,-0.04615150586027197,-0.034616723944654336,-0.02348996820041525,-0.04781771201269902,-0.06187394213341677,-0.032112779214091704,0.1534645109513118,0.13774742586579586,-0.042524366156457306,-0.024565264855435913,-0.021248051265756126,-0.04644524912346889,-0.06823111460247057,0.11429499864970925,-0.04222212715851296,-0.03237193529834813,-0.04016164362378663,-0.04671150873264544,-0.047398709685200664,-0.044629422925783334,-0.03209798611212618,-0.022825252641750123,-0.05257246252473913,-0.048856927467213665,-0.03229113251883468,-0.040562062848965394,-0.034235202776895055,-0.05894492624946288,-0.03484582780823957,-0.05857468150930239,-0.04847719518769731,-0.055858317903691876,-0.0537051781918919,-0.03617212071601781,-0.05000314574783022,-0.06259581210367443,-0.03738715282605162,-0.03129466761496093,-0.029758436074394067,0.1263204967877725,-0.03496566079348156,-0.0372329713603337,-0.04698129985259969,-0.045303604370540845,-0.049143954148976515,-0.051726005563102063,-0.018283139645886112,-0.05212933749849422,-0.03603904933858967,-0.029476430340027025,-0.02229106928487634,-0.04013165028437725,-0.03647423191707515,-0.023510903890650716,-0.0157893621237749,-0.018784496364810013,-0.040166616932996536,-0.020175695174706368,-0.031136231162727224,-0.04520106247761839,-0.03856468048975224,-0.03675181875850414,-0.030544038296546464,-0.017675891062616585,-0.051230006505081783,-0.035774365890466335
2,-0.028557416051884353,0.11784175236903519,-0.05104808718657115,0.07553058343731002,-0.033376345665790855,-0.03780744145889947,-0.030244537946529752,-0.05420133197125071,-0.020349268991764063,-0.01811108141060593,-0.03367584417324251,-0.053848077373038934,-0.03512630928006745,-0.009972815683819788,-0.04625634426981055,-0.02137131777739132,-0.023548405231817095,-0.01758242354008253,-0.04813099745572273,-0.04885328461972631,-0.028201582270961645,0.18837911072976335,0.12938739863700494,0.15807793267394074,-0.014472932992483827,0.1550472469867214,-0.02816978085580573,0.1238263992361049,-0.020646226075538527,-0.03351157810957114,-0.049602882200035704,0.006392905936464248,-0.048053622442505606,-0.04785443116772765,-0.01820835728458778,-0.02095062307366659,-0.03386618241302759,-0.03313105380329564,-0.003242617523859925,-0.040380484916548005,-0.06029077712646131,-0.014191810321168783,-0.03220115393636566,-0.031926511458279586,-0.030737085173745352,-0.04947206958909824,-0.03469662422720943,-0.06010543112598132,-0.01739632378615871,-0.024336414775649885,-0.016494470062717464,-0.029235458573259303,-0.018597988227633012,-0.03429091768466584,-0.031253711309249615,-0.0626477964963029,-0.04538343918419465,-0.011935519031065829,-0.021095453088960905,-0.03703689654155655,-0.023852715459129724,-0.02010036034657773,-0.03331936544946456,-0.020153240677508667,-0.03347448158262662,-0.0457158830428329,-0.014957702671767197,-0.03980441027996644,-0.025515100139396386,-0.047050964180637145,-0.03634730809732411,-0.038322137988078854,-0.045069379310433554,-0.05840569699079323,-0.05548305020488752,-0.03400905724229925,-0.016353871986986308,-0.04214587492824913,-0.02861416399678676,-0.03431832408740232,-0.014277944273090154,-0.04322259516785083,-0.0328542228930821,-0.025272982688325486,-0.05102058838306988,-0.02468861611709621,-0.03194401714115586,-0.05929757448658245,-0.03296962926360062,-0.024268372290339946,-0.029539853260444154,-0.02715789103886247,-0.05756073622822026,0.0005611936082976322,-0.01533071637337772,-0.045301934488756516,-0.03916885947689981,0.04502523187783243,-0.02360274519420648,-0.034705816338619286,-0.02895083417058853,-0.01929793412783161,-0.04625670483891623,-0.04198792701821677,-0.03284482277603805,-0.029639546097235625,-0.05441516155148298,-0.06035738105936811,-0.02757036626694203,-0.03673581037988743,-0.07199698926114864,-0.059117926085666184,-0.04881327883829369,-0.02378321591786143,-0.04563014822002234,-0.021394331916933025,0.11148062176949489,0.1888854140395103,-0.029984765789923522,-0.04878980893462967,-0.022925552376875567,-0.060497307411039744,-0.03617511607803362,-0.03543215042576395,-0.023340209606228342,-0.04296475786594289,-0.02589397241288167,-0.0362152378201142,-0.03017227678002759,-0.034487647377639784,-0.053104268300859694,-0.029623736731644944,0.14434600836086714,0.16313560354526613,-0.01790309348160057,-0.03471380972399963,-0.014685328900147312,-0.05493383413427945,-0.02004419387466799,0.10540104738804738,-0.02637395617556437,-0.037556286361933935,-0.046912951317332176,-0.03939294779227799,-0.043542784030037,-0.04959634118838127,-0.025577709149780626,-0.02767025408005655,-0.0367798171201751,-0.028223255977759286,-0.026116717894102554,-0.04858368325296185,-0.022543990115018432,-0.036014878098368,-0.05243046416894081,-0.04470658710333789,-0.0555186949914545,-0.04173077679370616,-0.03917613131112354,-0.022682746444072196,-0.053085619332842254,-0.045848978834532435,-0.03723841965630474,-0.01501117843284757,-0.053689227187114295,0.09815223380411725,-0.02874923665276415,-0.06727082136953082,-0.01476914914357719,-0.03179520482265167,-0.03088733623945353,-0.007485899633853569,-0.009424620720545665,-0.041829996128000355,-0.056731114438827016,-0.036844609405137715,-0.011852335366879553,-0.01574263545385883,-0.03829105633343425,-0.05641518036701413,-0.02182707033049535,-0.015729477636759654,-0.031157216745676175,-0.01976910760897509,-0.023544086599557697,-0.0296412626328113,-0.02899321720994774,-0.03456245944505869,-0.04580088087309669,-0.032815793071773326,-0.04080576676727427,-0.027853781302840074
3,-0.011475061826668404,0.10524396158278382,-0.03880522762455689,0.09176945064423854,-0.0530155989468611,-0.020006262565548067,-0.036040725179163687,-0.038590408121113466,-0.034638726646598554,-0.034030351187952716,-0.053537115793200495,-0.03655373488098297,-0.021626856263097082,-0.027989747182960475,-0.03658871239989131,-0.042039754750680114,-0.01144118077498805,-0.027447651744592266,-0.02663652018332639,-0.024552255155994518,-0.05197298372560465,0.1919944470970987,0.14617425284303698,0.1534348724808636,-0.04289932705691297,0.1384212034630843,-0.03258508301592747,0.15288084300839105,-0.02576263731195297,-0.02286771035905463,-0.024585464617625945,-0.043169042963966925,-0.028276102482806684,-0.04869992347498404,-0.06784661498775547,-0.006529923082633453,-0.032602690710115456,-0.029651870203737125,-0.03139167576695038,-0.027058397304110554,-0.04727559362930164,-0.04049262270850533,-0.021132319776541023,-0.009547756297625077,-0.030534286237121528,-0.03518026311541997,-0.029685708085290877,-0.05723704138285311,-0.051686692022502485,-0.03680133724192112,-0.012820356423008982,-0.03247912655574644,-0.04163225349585938,-0.04467663163757893,-0.03964480758848594,-0.03851719601630649,-0.026943675937245185,-0.031841732172476996,-0.02127944767513226,-0.042533971499251325,-0.04977912647957249,-0.017756994250147987,-0.03695763432995183,-0.02554902497729534,-0.045263688220221136,-0.04124323626883774,-0.031176868050493654,-0.047235572283364884,-0.029383492929083533,-0.021159575691449304,-0.02104969691846058,-0.039504170197291924,-0.04577548825983206,-0.03388613121491964,-0.03642930507158331,-0.05261524636307535,-0.034300985035495724,-0.04408575292439033,-0.020032112879129257,-0.04529003532026689,-0.047129578923433044,-0.05246746535112918,-0.04335194365412403,-0.046350351289025586,-0.07888438529288327,-0.013678446396608234,-0.04645708857989053,-0.05284238638549294,-0.03542777107422205,-0.03561263643310138,-0.0387230809985464,-0.023751345663584167,-0.042398662552635344,0.0189325362920848,-0.0338221551038172,-0.02714343566634656,-0.04430984577202263,0.10154285783191158,-0.016340100597340902,-0.03410144675158735,-0.010165984119066421,-0.03800255217090225,-0.06865446600980239,-0.04211037103536265,-0.04272277477575094,-0.04201016040202216,-0.02678753426557946,-0.0484785583813435,-0.03472936304203321,-0.026816213310502508,-0.040777955668176886,-0.03648469763502422,-0.03634255472183353,-0.05218159600575514,-0.0562619991952182,-0.0252768066185194,0.10678760272239954,0.18950987890812984,-0.040435681611426584,-0.01784484207940065,-0.03476635016230643,-0.022477754749647926,-0.02513762690918581,-0.04836750364056014,-0.03503784210426682,-0.02048588477199091,-0.05058725443915441,-0.01484386497992443,-0.054428450868311266,-0.05258158811654535,-0.053955408749226684,-0.03884453429842183,0.16685887099771668,0.1475760937387207,-0.03447775459270712,-0.02872779179459093,-0.03454397872338472,-0.051332896298703724,-0.014218537050218829,0.11511952421865063,-0.028571991706129108,-0.054674734880458514,-0.027979493709998488,-0.0310347933581708,-0.021324678724451814,-0.06747328548197695,-0.03919903178770081,-0.042501376243654715,-0.023243882129992906,-0.0664973720936872,-0.026500705603702983,-0.03192607759831865,-0.023570078106242783,-0.03776774792845786,-0.043839361673062974,-0.0489628965778143,-0.039376426311913154,-0.03850670666039614,-0.023505960244797675,-0.031629901663672466,-0.03858415458458598,-0.032343468864512843,-0.03506665684994409,-0.04009550553114863,-0.013738761820299993,0.1157434874041119,-0.03352084144364233,-0.01931278309829169,-0.023481286633257107,-0.046395330870226285,-0.040398912890099184,-0.02117798801610569,-0.029419870190655818,-0.03272564549612133,-0.03474471248848499,-0.04427865297824178,-0.029438029313428114,-0.026987711558523444,-0.03279085704828459,-0.010131583644798275,-0.0278492512077919,-0.03147277131518489,-0.026604557313611197,-0.04263119401983656,-0.04430275976678534,-0.04419097394876743,-0.03040935420166472,-0.027884833523921758,-0.033893766477233925,-0.03326180385476211,-0.02722106107059394,-0.040039560378934
4,-0.04160736318607241,0.09910858666808789,-0.03456446142084132,0.07338268623368878,-0.02459241729405619,-0.024441251557554843,-0.03357236334289145,-0.05246093642009507,-0.02893060282618046,-0.0466372297965768,-0.05095802728060944,-0.05109125908884359,-0.060503852826211964,-0.021588454278235886,-0.048569807627467945,-0.03662563167164972,-0.03653412939789563,-0.04099974787333774,-0.037894417703629286,-0.038763634026720464,-0.034254639583416666,0.19494195245163576,0.1299508164517368,0.15786370464843114,-0.01866859327544164,0.15551483528555202,-0.03747302215028944,0.13251238373943158,-0.03601887841603598,-0.03533864537959268,-0.014575685679794653,-0.02274467312646627,-0.03349819001712962,-0.01725995565433566,-0.03489564884556636,-0.040197050088804115,-0.04973845337711317,-0.025974469540307226,0.0037901542192548703,-0.02181418217447168,-0.056485814945557385,-0.02879146727424258,-0.025167358230410768,-0.03421956179691655,-0.013700070740654243,-0.03090516499792933,-0.023098337887881806,-0.039240872143325646,-0.043018545405724196,-0.03129846533107528,-0.0290034868474202,-0.02626410523874021,-0.026010935047408274,-0.04390584038247184,-0.03278262651606584,-0.03677633186361897,-0.02648796986745651,-0.02380696675764721,-0.0189135739880186,-0.02768064915860218,-0.04308833593264358,-0.01819639138314577,-0.02196906384073939,-0.03309415286647598,-0.04448553200734505,-0.05969772584766435,-0.03126710329548527,-0.04705323830127707,-0.03752561741209244,-0.05606715877364333,-0.03921767414544197,-0.022935823656551887,-0.02838006231736079,-0.058311100165611855,-0.03636753934404364,-0.03490661913840792,-0.028601574051568424,-0.051990891698091464,-0.02995683857498914,-0.044276105065703696,-0.02496766242249591,-0.029547255286426835,-0.03261783805361841,-0.0470943448968635,-0.02664850580292966,-0.04296916637408667,-0.04051330757442384,-0.03386643592721817,-0.05339196956520198,-0.027635732346712922,-0.02650024509039901,-0.020683245531516493,-0.06176664800394626,0.04108579327511349,-0.052285342280487264,-0.04334878803855191,-0.01535832068333623,0.05168700174406989,-0.05135078976899019,-0.024418440590030142,-0.04175576946950697,-0.03996613734914088,-0.036001534891634754,-0.04888692934382557,-0.04691229062159244,-0.0484528717374776,-0.06092809822225111,-0.01272065661875596,-0.03567252775649774,-0.021296607905825722,-0.02677245732029493,-0.04136551386847109,-0.033758803839971006,-0.023901743753653695,-0.016482378136769445,-0.041018307736374625,0.08859823181725897,0.18461873916393196,-0.027610836037234274,-0.03441618732010758,-0.05871752367659168,-0.038650900646859096,-0.029526719497713957,-0.031014533893969957,-0.035670521401005184,-0.039887212270639474,-0.03848388737752389,-0.014868563805283579,-0.056042294093115404,-0.03089974373570923,-0.036211071904697675,-0.0185425457666992,0.14619288805268363,0.11818460517356177,-0.032631640325573044,-0.02463827070421657,-0.0175704276704496,-0.03950918496768936,-0.05224380359463708,0.10708801013664082,-0.028875189475684307,-0.03521396341519059,-0.026601128704863003,-0.015345059009292237,-0.04353273365754663,-0.053997864913900004,-0.030343944832198204,-0.017807295666710455,-0.02370201219678814,-0.06611949033169737,-0.030351807131221667,-0.02010209334587779,-0.009972252216386595,-0.04949384077421359,-0.021340717330304546,-0.025620331628268236,-0.0349475743115405,-0.07499105051617176,-0.0334779955206938,-0.04136373058007249,-0.032235747062504275,-0.038677030768468144,-0.0253472079367243,-0.03572519622386634,-0.042557570436804755,0.121342721766892,-0.03340567495245953,-0.05662693159301321,-0.03530119668354047,-0.02601622612549092,-0.03761139531159474,-0.02861843846775911,-0.016421586517026895,-0.04034489937943362,-0.036457869452576494,-0.03006632640022675,-0.007496381161566354,-0.03283320240620913,-0.035193273122369244,-0.04304350709277709,-0.02642417622099882,-0.051023366623971236,-0.02704724225141258,-0.03531023532447466,-0.03541614242455762,-0.011259017741502526,-0.020355480709300804,-0.04799255338709281,-0.029173291995103767,-0.07021014906181063,-0.02522755667122346,-0.022656494849449784
5,-0.02041482211847687,0.11559085481376959,-0.02191392454048107,0.0906326482207945,-0.009527914160567457,-0.018322359472010923,-0.0166271624510422,-0.03098449001618548,-0.046288485396139376,-0.015977033852658737,-0.03670962053804074,-0.03603942648600501,-0.036830021618621714,-0.06675002552089897,-0.025088163326528846,-0.02692360008453533,-0.034616323566001694,-0.03893852745268218,-0.044085538751706226,-0.0493343090558024,-0.024904652725082542,0.19540713745177346,0.148440397841812,0.16296388483917862,-0.05282746379713635,0.1479940159257387,-0.05388057023998256,0.1421631991490347,-0.0486298832414366,-0.054797784300446475,-0.05142917472636745,-0.04535462717866947,-0.03512265800991486,-0.053812782185861,-0.05350017540295952,-0.043544577277351955,-0.01129821585042452,-0.024831929248448136,-0.012617183132856438,-0.041427027747372225,-0.035305911446101165,-0.028409150658073822,-0.03905706466085327,-0.021827898878023527,-0.0248321053025136,-0.04458346423688229,-0.039724790050090594,-0.036358352300769156,-0.034190820355424895,-0.01663634677289582,-0.01667232179912816,-0.041529979526490075,-0.03615799843608037,-0.03782313393362115,-0.03557636250050965,-0.024625733440716065,-0.02426130454505664,-0.02564817900932934,-0.03487231391715637,-0.022302828800092545,-0.03470172464732225,-0.02285359115653531,-0.012995196056263385,-0.029095537344357818,-0.03674015844913656,-0.027063469465747052,-0.03632180006535545,-0.04311848610086809,-0.019442491222819252,-0.04329290498677014,-0.02548580399252209,-0.03799428198340357,-0.014330102663987128,-0.040787514610342024,-0.04197265722216712,-0.023687279969919546,-0.0524489600986012,-0.03706489723366756,-0.03470229863223662,-0.02582854421292904,-0.04256889932921102,-0.019106104680252495,-0.042111025333912554,-0.04392094007255883,-0.01531815526859389,-0.06182951751493185,-0.03750798708825616,-0.021168868155404266,-0.020110116762705212,-0.0008792264600753077,-0.02218077460643371,-0.037621427531737625,-0.033048985850411154,0.030717633983920405,-0.022780910804738794,-0.04064145381539084,-0.05272388474380271,0.07327573935214134,-0.05608668285816148,-0.038776046618743114,-0.03650224453969252,-0.048900329417875595,-0.02012216096225118,-0.03743744023853784,-0.029202146372646995,-0.025581189456211312,-0.04405064478349338,-0.047329746509149534,-0.03440192188907842,-0.029305447203634895,-0.04282652872417057,-0.041790018008325075,-0.055424991089005844,-0.021546423872110622,-0.030711564071611578,-0.03290255617570788,0.065606125501096,0.18403911620999513,-0.040182423710546325,-0.03263072281568427,-0.04860452448395231,-0.02098951226367237,-0.041841069220741336,-0.07003907848350527,-0.053655837586868343,-0.029316821214015232,-0.05760333109603462,-0.01650090940045658,-0.042126774954361505,-0.02045399391411573,-0.0357994753509053,-0.06152108919707293,0.15254897191567,0.12352684868192387,-0.03564409944323684,-0.03356241365085137,-0.05024506367210945,-0.06803620218096629,-0.02031634256995276,0.13945199967019833,-0.03720396633251682,-0.07451763153977545,-0.03674432692741289,-0.029014194700837288,-0.055746622790821466,-0.042878599762443945,-0.03785793754868037,-0.03602460101580878,-0.03816808867770958,-0.03491163680006929,-0.040546200438080784,-0.031868165909167565,-0.04012082214146599,-0.02478896085334219,-0.03952251915322981,-0.023759436820174513,-0.020464322847939396,-0.038780397500239504,-0.02831492433379451,-0.014489005489421626,-0.02470437650067461,-0.05017396391727364,-0.030839896271670095,-0.026095176465694175,-0.014372290741653412,0.1194132037295027,-0.03496108884372393,-0.03213280654944187,-0.01986120554497279,-0.024390769036634147,-0.02345272410937709,-0.0205830351929723,-0.038140221934461815,-0.04027085901718107,-0.040112753032600076,-0.045185705924485293,-0.025843999643170815,-0.03485057545701218,-0.025168099349111912,-0.019518673141234913,-0.04837516627892792,-0.026779171141018812,-0.021564599227402965,-0.03050044050548692,-0.02626517937528789,-0.027311031438080478,-0.01170560972642915,-0.03291100363449126,-0.022698396621547507,-0.03460018853880462,-0.018187865378741307,-0.04215677586662855
