,fBin__100,fBin__102,fBin__103,fBin__104,fBin__106,fBin__108,fBin__121,fBin__14,fBin__145,fBin__149,fBin__152,fBin__159,fBin__17,fBin__181,fBin__187,fBin__188,fBin__189,fBin__205,fBin__207,fBin__217,fBin__219,fBin__220,fBin__223,fBin__247,fBin__249,fBin__257,fBin__262,fBin__263,fBin__27,fBin__270,fBin__273,fBin__274,fBin__275,fBin__28,fBin__280,fBin__281,fBin__283,fBin__287,fBin__296,fBin__3,fBin__305,fBin__307,fBin__309,fBin__310,fBin__311,fBin__312,fBin__314,fBin__318,fBin__319,fBin__320,fBin__321,fBin__323,fBin__325,fBin__328,fBin__332,fBin__334,fBin__337,fBin__338,fBin__339,fBin__34,fBin__340,fBin__345,fBin__35,fBin__351,fBin__356,fBin__357,fBin__359,fBin__36,fBin__364,fBin__366,fBin__367,fBin__369,fBin__37,fBin__371,fBin__372,fBin__373,fBin__374,fBin__375,fBin__376,fBin__379,fBin__381,fBin__382,fBin__383,fBin__384,fBin__386,fBin__387,fBin__388,fBin__393,fBin__395,fBin__416,fBin__418,fBin__423,fBin__424,fBin__43,fBin__441,fBin__45,fBin__451,fBin__452,fBin__453,fBin__454,fBin__455,fBin__456,fBin__457,fBin__461,fBin__466,fBin__468,fBin__469,fBin__470,fBin__472,fBin__477,fBin__479,fBin__480,fBin__482,fBin__483,fBin__485,fBin__486,fBin__487,fBin__489,fBin__490,fBin__491,fBin__497,fBin__503,fBin__504,fBin__508,fBin__513,fBin__515,fBin__517,fBin__518,fBin__519,fBin__520,fBin__521,fBin__524,fBin__525,fBin__526,fBin__527,fBin__528,fBin__529,fBin__53,fBin__530,fBin__531,fBin__532,fBin__533,fBin__534,fBin__535,fBin__536,fBin__537,fBin__538,fBin__539,fBin__54,fBin__541,fBin__546,fBin__549,fBin__55,fBin__555,fBin__56,fBin__565,fBin__566,fBin__569,fBin__571,fBin__573,fBin__577,fBin__579,fBin__583,fBin__584,fBin__588,fBin__589,fBin__59,fBin__590,fBin__592,fBin__594,fBin__595,fBin__597,fBin__598,fBin__600,fBin__601,fBin__602,fBin__605,fBin__606,fBin__611,fBin__613,fBin__614,fBin__616,fBin__619,fBin__625,fBin__627,fBin__69,fBin__70,fBin__71,fBin__72,fBin__73,fBin__76,fBin__83,fBin__84,fBin__86,fBin__88,fBin__94,fBin__95,fBin__96,fBin__97,fBin__99
0,-0.027978641760382797,0.04720667893262965,-0.053318689500440775,-0.04315626833981209,-0.030463895896097045,-0.024094726410028213,-0.024705743092634975,-0.049209985072226556,-0.035182978984138226,-0.030102101874025122,-0.024873464529621123,-0.022682833460885267,-0.04379833343304596,-0.03612155079517564,-0.014240667192446545,-0.026915311461433,-0.021352134182180127,-0.008914572514334652,-0.046258712596405425,-0.02838050808190693,-0.029865211056014102,-0.04144157109010749,-0.04616929896374124,-0.026655793230973616,-0.014830367099355334,0.09004643789911863,0.04706971460429865,0.06697371217458788,-0.028551266274914316,0.10689029069563322,-0.03968448010679813,-0.015872476668992608,-0.013023113937887904,-0.031886671798315135,-0.010133246443941292,-0.02861127173446643,-0.035025787212890826,-0.023430113712198452,-0.0359583223134048,-0.04534238576265138,-0.03371698331060723,-0.03616346352317442,-0.05056759283320955,-0.03690363942709842,-0.028808050081211886,-0.010039571932960416,-0.023537551673464673,-0.019122099553338892,-0.050718063712300025,-0.03846086335373485,-0.05384045760298293,-0.014624379842914774,-0.04960578209214268,-0.03783018228670571,-0.04380708244630753,-0.02694546174986627,-0.04255783052145275,-0.042030525884942695,-0.04705123419157428,-0.02545438202494846,-0.02894042827109224,-0.0370648891613799,-0.04010273439815874,-0.03524071763168713,-0.010088841324218778,-0.04680213904847245,-0.02044173914210628,-0.02343889964639219,-0.012486189433175029,-0.03898921564326558,-0.021918365029163583,-0.013599788051574335,-0.04838423002873151,-0.04358585271187555,-0.025558709178000922,-0.023194483392514693,-0.022682786817982907,-0.03765469409725142,-0.047388327823360665,-0.049313046355041336,-0.024319754683254848,-0.021730167003583233,-0.03588101572572755,-0.05110253716257471,-0.03697082477719218,-0.021611603778915713,-0.03437724870265931,-0.02731567565442073,-0.03279898633517798,-0.022998118542771215,-0.03035347549749008,-0.0291070254454513,-0.03796849117451475,-0.035281549264645516,-0.021796151326475135,-0.03721529967416432,-0.021118815834078937,-0.022243190753951876,-0.03327266152332576,-0.03792431249935795,-0.018646181667657344,-0.0326903391058506,-0.031740267644868356,-0.06155264262970768,-0.03334847912539597,-0.033229824457540476,-0.02278423930384969,-0.026791550507143585,-0.015594703267585936,-0.020750236413587843,-0.036091655003704995,-0.017378491522761177,-0.041463322136766546,-0.03899992030236638,-0.02837191241153036,-0.02801782868464429,-0.030657326922340192,-0.011137582049111314,-0.03216110658988542,-0.03587781111729813,-0.037060213489936385,-0.028529936500324586,-0.012047290618646251,-0.052914803186771865,-0.01927936997995703,-0.04270153908147553,-0.02803750504535922,-0.04426117986804799,-0.025742982205444107,-0.049512609164378,-0.044271222290260814,-0.039382075353054546,-0.03861706518544371,-0.023857101141874944,-0.04568445574835154,-0.04080462079030803,-0.016414340552525657,-0.02347921196390319,-0.03258407017718105,-0.02138347189703439,-0.017996746090680693,-0.04624304374228764,-0.04107535871695683,-0.02115591428070323,-0.036630651581695324,-0.020484646758364707,-0.042447069731305624,-0.020420992164123738,-0.027859523323949066,-0.010751092308589373,-0.04164846152512261,-0.020262663307931424,-0.048393667886524466,-0.05270936765016444,-0.06270544182141635,-0.04813514207847415,-0.029899586874805477,-0.03901786044389986,-0.04476425269445944,-0.028581749267531854,-0.007959993534131488,-0.0214073580508748,-0.05000406263955145,-0.03962006098390012,-0.01764821177757732,-0.015699890923314103,-0.02842320559407997,-0.03073280339584815,-0.02491123140543379,-0.04170792468115089,-0.019111715029919128,-0.02066810556847196,-0.019890653000732318,-0.03665438091163726,-0.028478602344852957,-0.03326315751750573,-0.016189056030868208,-0.01721135696085219,0.008936762443621614,-0.026553049826717176,-0.03570818202949217,-0.04670553902480238,-0.016185315417618813,-0.03915777683457226,-0.02720027039470057,-0.014907849477333925,-0.04290750980812007,-0.027021457672441476,-0.03229602002446864,-0.03321207528757289,-0.043705233043970386,-0.03477435453140092,-0.020429059290801924,-0.019249100933183588,-0.02800812625699947,-0.017985687267684385,-0.05414885414956239,-0.043871206740791056,-0.010612684445348847,-0.02608231683939133
1,-0.05633853505048793,0.05734352359026444,-0.03429403616507599,-0.035899301477559625,-0.017389496334447262,-0.04624223196035106,-0.03694994791476453,-0.05342794532693298,-0.036352876570905523,-0.016155385217982498,-0.015608062375760378,-0.023075163717547757,-0.039628505843012134,-0.024136194720519963,-0.025774998829261053,-0.03223826178302862,-0.011477289744764967,-0.04987425613559701,-0.03234747079206497,-0.043073062577551266,-0.035148901949072886,-0.00810108588940895,-0.044748741814079514,-0.03605378228277678,-0.03699406431910075,0.0847898581903425,0.034342905384906766,0.09640354188559287,-0.028552919779427675,0.08070319344969266,-0.04095959303989479,-0.021713599069138282,-0.03523500742694004,-0.03579936036267597,-0.02754034613329642,-0.0405952289687488,-0.04312493814150439,-0.04917250706383912,-0.04358852992773507,-0.03300033638381406,-0.028462575734618224,-0.024359048567432234,-0.025978561014802268,-0.020132590311808574,-0.05196254786566011,-0.025081416727421323,-0.014364576476695345,-0.04865256864770219,-0.062017307111281075,-0.02469081022218998,-0.044535643250064615,-0.041685402604633305,-0.028506897373380004,-0.028808738509508772,-0.02461534222465186,-0.050579914461577696,-0.033543563436462864,-0.05594719668701762,-0.039453522658693695,-0.035155030043686884,-0.015292510397677171,-0.05799479019695621,-0.02152030290873056,-0.022554338608384558,-0.03689765691927633,-0.0442481368382794,-0.04451357267109499,-0.026654691010663423,-0.037777505151282295,-0.035274551266234876,-0.0663884853431113,-0.03544738447762567,-0.0278734597751474,-0.04070529090548938,-0.03666132483826771,-0.022965100051285717,-0.026971565964856017,-0.04640149861143148,-0.037397380491174644,-0.025157497532495902,-0.01994625417388273,-0.029136484868155853,-0.01702615589953892,-0.05378525983288735,-0.05956086544795654,-0.07216417826126253,-0.04395051203082982,-0.04396709035144729,-0.04501286419689471,-0.030933578885487544,-0.04377903067795433,-0.03257219650864292,-0.02681179148285647,-0.04451780160181983,-0.019861912052463095,-0.027648381215520483,-0.04781660809969015,-0.036703048795966475,-0.026354368174374313,-0.04243375093663671,-0.040699057247344114,-0.02998755598831426,-0.023771781162146937,-0.05357993186545338,-0.054900514208549696,-0.04476383057119156,-0.026203305225856996,-0.026824205693846623,-0.04347466376856984,-0.03521837859846713,-0.03407505184232552,-0.03277248861121398,-0.030581296227711517,-0.019570918919747902,-0.03604816015783472,-0.028423838752722617,-0.011813787458045913,-0.036178794383035,-0.017128329403684604,-0.03517349236099449,-0.05140026551172468,-0.010587032719711948,-0.026362414734532918,-0.0317976232647974,-0.043162346738036025,-0.06627123162439383,-0.020458031099461954,-0.03937904555579226,-0.02231047473017752,-0.03499212405513714,-0.02241665885515731,-0.02112569250110213,-0.04659316899034489,-0.04219150326444107,-0.0317161967454653,-0.021181804875596393,-0.04481941977197679,-0.03684512503279598,-0.026150416396134437,-0.04415962508287822,-0.028656669282324052,-0.02697728245405171,-0.03772037002968325,-0.027904390308064908,-0.04911114987639195,-0.026468946166891355,-0.012816584493145596,-0.028624890638877624,-0.023104107207994207,-0.01640922609622096,-0.06322269293119472,-0.02593707581816079,-0.03505942024651577,-0.04378970641104211,-0.029770860716814156,-0.0546313238717395,-0.03955928375576641,-0.04109488253365292,-0.016312702993853827,-0.04822297213148122,-0.03887206919819662,-0.04617197478376176,-0.042301609285305034,-0.01994601707711376,-0.021825248992657344,-0.03501901057716164,-0.026456052471330895,-0.04369893173972241,-0.029912090343951682,-0.02641689822845987,-0.030637907241457853,-0.02797486411891316,-0.021240411081942513,-0.0253986485331041,-0.029428237728705186,-0.04637251449976379,-0.027499744847489085,-0.05020689485724793,-0.012876480048093912,-0.016713510486631465,-0.01579497615523355,-0.028342554509069015,-0.0349644018362966,-0.023167586759457945,-0.04255038707063903,-0.02129477861381085,-0.053500193699514025,-0.02303428532525836,-0.01247099663392196,-0.012391758060621082,-0.02460928305666258,-0.020806787741253642,-0.04608759575679749,-0.011454814465076934,-0.03224190947204972,-0.04604453064327344,-0.019248369579535234,-0.03282180489256879,-0.05519274244235236,-0.027343016724405877
2,-0.03605669246621205,0.029673638146582738,-0.0234891218822872,-0.01754168716648237,-0.03440696238100437,-0.04141828067153636,-0.054837674880872427,-0.028275665360075357,-0.019797150502412795,-0.035722248029562295,-0.04293663360408305,-0.02322879815153727,-0.03441341460458755,-0.021386858396424433,-0.038112881827212015,-0.026801285415060258,-0.03184619446193104,-0.021394783470329477,-0.029459727446231956,-0.048067746098157484,-0.032155373252758336,-0.025418380733247696,-0.05184113963046243,-0.04005185969795652,-0.059664450239371725,0.08746643741287699,0.03994772826113324,0.0930186823132507,-0.03419043265203175,0.09670872076014154,-0.02321559248335171,-0.04312310381831545,-0.035180020265928855,-0.008578622620932628,-0.016955804599346154,-0.0701594825519071,-0.042745234528458,-0.03945761658210951,-0.038851404602339344,-0.030708398643584364,-0.03162394540484138,-0.04220466780187299,-0.04385570366285964,-0.021382045383830765,-0.027851424211508134,-0.024263475345488183,-0.027508479082329965,-0.039160181255562004,-0.028873471097269367,-0.030384089597788065,-0.021258715365728986,-0.03545965506521473,-0.020663968123034802,-0.027688733698518507,-0.03685214368938188,-0.05263144668123632,-0.04353907695740379,-0.041606005308329454,-0.011283960475537327,-0.029126305107729775,-0.030116677456830495,-0.023301282749087878,-0.047060020278766525,-0.018525608615860875,-0.013034653659087254,-0.04494473935300507,-0.026155686272250157,-0.02570125333887306,-0.06059174636237351,-0.02675521538423335,-0.05423848090464994,-0.038540621682773044,-0.03495107943411327,-0.06552879127552041,-0.03367823271840736,-0.0619700778997328,-0.011247792949490578,-0.03702066828347095,-0.04561717716809969,-0.028709696930905658,-0.021397063554535023,-0.035741424805967155,-0.03668514735116452,-0.025223438559066603,-0.024218653357614348,-0.016736664571372874,-0.026707914398762647,-0.0395342763178542,-0.03292550857034595,-0.03173673771604503,-0.044189336885403815,-0.01853050513403466,-0.03901690433091663,-0.03622517053645235,-0.028529042492613142,-0.03436466045032714,-0.011937975377942434,-0.03229422494876755,-0.059651187185319365,-0.031134828767639695,-0.04609335773013415,-0.0400081154508164,-0.027122145715055022,-0.04662125529090797,-0.044013386013803765,-0.03237210141758683,-0.05689455307743701,-0.03183982173588835,-0.03877828039888337,-0.02037599978233753,-0.03550862909167595,-0.029838137496955273,-0.036797022168245784,-0.02639578672163142,-0.048206479113288674,-0.035883549327321344,-0.024335170712917614,-0.04770879099669854,-0.045521395150871925,-0.04007103539418557,-0.035700346911684964,-0.05040256904841785,0.003134621616390079,-0.012476005998819345,-0.046729342727947855,-0.037619936722790404,-0.03024780427644846,-0.021920251575238137,-0.026297490289255904,-0.025319656553733277,-0.021619886578450154,-0.04588228551637634,-0.04715513147996264,-0.01742109135019444,-0.03795695724082494,-0.022360643767311665,-0.03332328691911279,-0.01593996945814017,-0.017328243229583058,-0.026767743705478762,-0.020503540434583512,-0.05446993290196782,-0.05668708100478025,-0.02341492414741676,-0.028695788191468164,-0.017731665301291014,-0.05476851652457228,-0.022574306546426573,-0.015360947550361166,-0.01627591159772869,-0.02488324638775147,-0.03506813536114705,-0.033721063652373415,-0.033322649517589766,-0.04019888559800905,-0.053465549921920055,-0.029108414124550223,-0.02932326290101979,-0.009609946230059186,-0.03950507977101243,-0.03271005822455914,-0.022754681795943078,-0.036467197412275505,-0.0461952270017052,-0.013118584443875739,-0.02546433250544046,-0.034966009633734856,-0.03949920666335804,-0.03781601827103294,-0.06134688583929643,-0.053085474147743894,-0.04057734988090094,-0.025774518383732403,-0.061207445822826556,-0.04897110608389992,-0.03777688477496626,-0.038990183143382075,-0.01881449882201134,-0.030609015690830105,-0.019378726726705,-0.0487103569764994,-0.018576727665792523,-0.013286964475834218,-0.034089239213808284,-0.015257676461829057,-0.03209131647460417,-0.03437365396230351,-0.027011920044119248,-0.01026697642393833,-0.0371549767364547,-0.02994730601110661,-0.04190450763174887,-0.046149505625065285,-0.044459614500507824,-0.04726326807457713,-0.03791192751150922,-0.051885688407262764,-0.0198948607837181,-0.013169335966017617,-0.03347121196569728
3,-0.03548802879143178,0.05011053233786915,-0.03563228549303612,-0.028953920739321223,-0.029052174029976854,-0.03303911150258914,-0.03645402678469738,-0.02145002252983565,-0.03649449600000659,-0.027973052653122683,-0.021385779531306593,-0.041791979640446834,-0.037102647912896344,-0.01611659378265663,-0.037833964521870746,-0.02489582108538376,-0.027945468604483204,-0.04439228880649557,-0.01389542974923933,-0.03938746660416326,-0.040664852253604306,-0.017268064257784474,-0.02376248933753952,-0.01095935026235059,-0.014539932359252595,0.0769589098210341,0.0319198584410688,0.06578995661638452,-0.02242060663194454,0.06859708776619293,-0.04243654521403408,-0.03740590805313967,-0.05532847318581476,-0.033528838230118804,-0.039436922936570994,-0.02652894960742091,-0.04015342989425301,-0.018605112240780014,-0.036710347583692085,-0.04999491163253123,-0.041367032589869956,-0.032612008933505784,-0.03915483055843083,-0.046906453096654414,-0.03794134766295087,-0.043840105016528394,-0.010431387874991137,-0.02141717766428162,-0.025326955659426813,-0.03987138544788151,-0.06705389776136374,-0.0471180221143586,-0.022213903116056016,-0.03536725257664815,-0.018192821833570107,-0.029830652753234106,-0.04204897410564054,-0.03974032892183907,-0.02206231526794954,-0.03363088851117946,-0.03436238581527304,-0.026451726029098465,-0.070967159099383,-0.029526859615876613,-0.05236246940451978,-0.031848582814311764,-0.051757688954733566,-0.025397688675560345,-0.02292025787433907,-0.06346593361553343,-0.030337361990440497,-0.020401871005910663,-0.01679694958946647,-0.03077327987081823,-0.03101717326543047,-0.03256734998718126,-0.033300025581831635,-0.02682568550320261,-0.0261796387707507,-0.04014908683215261,-0.02831383892841695,-0.04057562139140973,-0.04498473586971082,-0.025227620180177983,-0.012332876669874007,-0.026429280661333505,-0.0261077516573728,-0.05857198228862609,-0.049989681383320196,-0.032514618294809554,-0.017790178506244106,-0.02095336063046913,-0.03975130670761062,-0.0320139229269188,-0.02070591155566847,-0.025815811242773344,-0.04515620237824425,-0.025372943107702516,-0.016584970537975332,-0.046550783824944555,-0.02713583027098705,-0.02374162903296257,-0.023074063478653907,-0.026835427170251412,-0.04007926466298986,-0.037814380924348176,-0.035985934215457586,-0.045213143071175195,-0.04030871328264894,-0.024340783339863177,-0.015221324608641397,-0.04342388143162348,-0.02613346553894873,-0.03450236504699361,-0.01419794542810396,-0.045787094738699734,-0.013908076572928444,-0.04676856585575403,-0.024733646270637004,-0.031615714270066285,-0.017908075270452482,-0.03281481877590328,0.008183931646909809,-0.05364194903336845,-0.022650746578806787,-0.04587399283988905,-0.03874016193698505,-0.02703824961407018,-0.028964137448479362,-0.05565676036223856,-0.0348661435099014,-0.045442702599780775,-0.019086700200902664,-0.014086918203796369,-0.023142103569349308,-0.016988598783720606,-0.028301057204910766,-0.03700683301940605,-0.026558882435146605,-0.05170502629462102,-0.027797975946016733,-0.01734935090302748,-0.03098034617537021,-0.020503604295988125,-0.01569622571048998,-0.04184080933081613,-0.02363782554083272,-0.0189088592593486,-0.029321362113629075,-0.04753922508474628,-0.009565374336393335,-0.04731998088183454,-0.033707303121430734,-0.029441110900984974,-0.03489720939354311,-0.04762651899101686,-0.03367819932628711,-0.027252151057608594,-0.022937756200095326,-0.031920605131961564,-0.03690124655553719,-0.024725757321240244,-0.08460312764683217,-0.01711627520512142,-0.04785111107848191,-0.013639138934730574,-0.017231916124682847,-0.041702191728322666,-0.04411238965735462,-0.03375607134729248,-0.03887021047778059,-0.01748433472125294,-0.018605826287434988,-0.0473623933200572,-0.029041428956837617,-0.024135396217342946,-0.04482251920989547,-0.05775799689715955,0.01770965927551595,-0.03951582602811652,-0.018660432458918248,-0.023262842858617447,-0.016917500579727966,-0.04414245886794178,-0.024698572857184818,-0.025601180861274008,-0.019998620478924926,-0.030291261009780426,-0.026840948914281817,-0.052723686410240334,-0.028139633015045615,-0.056120052534095285,-0.026367776254177414,-0.03787828172532074,-0.0317179863428437,-0.03556321222880685,-0.029399770326418394,-0.036835653580383716,-0.02791839108214066,-0.03697959463540918
4,-0.03005474150842014,0.023342343888587393,-0.02398298793584757,-0.028195622728197534,-0.015266040849494244,-0.03241373050540942,-0.03980472682941869,-0.026034136294275156,-0.025896122922570836,-0.041589331807438255,-0.04823928547551836,-0.03885333999380571,-0.03173584324186922,-0.02784756695471124,-0.032655065531318715,-0.03432910825814441,-0.01268120670918213,-0.04378175993647954,-0.022871311014201555,-0.03999540136846577,-0.01949099469131256,-0.030795007985202436,-0.047417957534314596,-0.033416706036500904,-0.009630033871534053,0.08073155663619737,-0.004936767164207982,0.061144084261421865,-0.05088793694686644,0.07765649627369133,-0.037659296901964,-0.016696520178355302,-0.023109232752715037,-0.04021918972749089,-0.057793845226775706,-0.01904119850385789,-0.028719465406750095,-0.03211290095952913,-0.017619300436019027,-0.0319095236599453,-0.031391222793821304,-0.032258510262218903,-0.052781461559807105,-0.035103487017631774,-0.03771309435559597,-0.041741419357429706,-0.03547623076171479,-0.01742834740344277,-0.026792013937417397,-0.01947698114822772,-0.03270488162529166,-0.036775234293775376,-0.029287403542435194,-0.029863074080468448,-0.02739062348329905,-0.03118929318857902,-0.03856461560020778,-0.021805846311545554,-0.036327946743228486,-0.013649300473765618,-0.023313887228868766,-0.05948761507570423,-0.039989337300269774,-0.03005207727598572,-0.035730406075367364,-0.018480074566387984,-0.03561320280217234,-0.05041139925284454,-0.047880670030232116,-0.04464065004338912,-0.04435370364552732,-0.023273537729077816,-0.04275858050230246,-0.05255729001609469,-0.04485807098565573,-0.026402173044140352,-0.03700574762477831,-0.049999034713491174,-0.048390655823180605,-0.02276818908643979,-0.01943533762842721,-0.036883461809273176,-0.03235976083853745,-0.017766349956823486,-0.03669086296669018,-0.06737404321533709,-0.04358029088522213,-0.03179251712124788,-0.027607987286731608,-0.04390887514045623,-0.04328466361737162,-0.04967043298392449,-0.022402856987446013,-0.030441084870291714,-0.04206871803132711,-0.04278539372199618,-0.03614780689428528,-0.014394406609587648,-0.027395762757056984,-0.03124176670572508,-0.02944940728634037,-0.04808102386514468,-0.04184556982356247,-0.031841744682819625,-0.038288287071735184,-0.03216365215290308,-0.02623357128319436,-0.024476699322581553,-0.02904140619991407,-0.05546586431977414,-0.0597034846645028,-0.0282575068171958,-0.04345199980069758,-0.043964815569226524,-0.03275196383853982,-0.009475168110446125,-0.04105132118728384,-0.03833211438260271,-0.013849508576479269,-0.027340674833670534,-0.025673785484179625,-0.03691106415622666,-0.03242504279810882,-0.032308013690870274,-0.04248457310188315,-0.024623630085391604,-0.02729970829495796,-0.03756013139582052,-0.0459668124908134,-0.040871126309578336,-0.018409114710204823,-0.04834387394890399,-0.014915637928442733,-0.02610200457609639,-0.03312734206240167,-0.033162182302913075,-0.05490100698137662,-0.04161085140418621,-0.05868302530569344,-0.04726058619175889,-0.028676341154789925,-0.04734518315546511,-0.02900695793280274,-0.0574770372649614,-0.036909581094173353,-0.018434023888036808,-0.04056136610152727,-0.012652118780602115,-0.030086627006950382,-0.04135055079034646,-0.030657267273587946,-0.02249864060231304,-0.0194497568789432,-0.04675120541707706,-0.02456513636745804,-0.05649978033037044,-0.027823822309035125,-0.020721737716443644,-0.036226119118171446,-0.02018284506324616,-0.038774683658651964,-0.0567478727483675,-0.03099161932583415,-0.06975975588406573,-0.01741298769446399,-0.04173622397836444,-0.022339467876566942,-0.022156434485531628,-0.024932173410105875,-0.04201466994442693,-0.039072381750172185,-0.03836478704060298,-0.02098499442429817,-0.046727722156747774,-0.01759441561480156,-0.026074169811151026,-0.01724231037777067,-0.029573464861505003,0.005852795255151773,-0.04285901997344102,-0.030536189528219,-0.045236949351641284,-0.021047859210934477,-0.03352138693736329,-0.048988632599429906,-0.03223776148457867,-0.050167250553648256,-0.04077201888911237,-0.04830032558188611,-0.03744645919717081,-0.0306434244710188,-0.017159637022965024,-0.03847021049547879,-0.06681769754760988,-0.02675233270735506,-0.027009440823230854,-0.027172412446293228,-0.0344036466345716,-0.020077839738423996,-0.03853400575979615
5,-0.029380386278675577,0.018626481913209158,-0.02799643958752398,-0.04508220916781831,-0.025098078114254817,-0.035470995949541125,-0.026947416759228765,-0.01831208958080554,-0.040694962144152816,-0.027202056284751853,-0.03336336770646436,-0.027651777853363427,-0.026772340544533074,-0.023209429025175424,-0.039857021861065524,-0.055002511722876686,-0.0347146256948031,-0.04509556203235563,-0.023708825761417543,-0.03373903486332327,-0.03764717648358419,-0.035885151868595234,-0.0384280880823322,-0.022515842186226813,-0.03190939410242822,0.0944103911667194,0.03697468413004716,0.10079691360153098,-0.02686440795289886,0.10515470177480264,-0.05033956096028721,-0.03472611082567025,-0.03400984357501504,-0.01967039679018511,-0.02287998716282655,-0.03708697649233344,-0.055110422769145954,-0.014458673438738136,-0.04198235101116449,-0.030442136372301642,-0.03787911511101381,-0.018232655203495856,-0.02755034407689742,-0.03223488725832457,-0.029991994325884404,-0.04112989852924914,-0.04486693063691237,-0.033243623205793715,-0.027419010392205463,-0.016856320282227867,-0.012605725421060449,-0.02937349958382947,-0.02225629680073148,-0.038023151233013947,-0.0391227930097523,-0.017323564837130632,-0.027413299428464613,-0.04338358861430571,-0.01213515895582531,-0.0430685894628119,-0.01975883088100301,-0.01856263686953256,-0.025254700587547196,-0.015495295623694498,-0.04298761119962373,-0.028815298418286884,-0.02526835626069491,-0.015169440949893098,-0.01847659277309975,-0.024114374136017365,-0.023776219545143275,-0.03467436737550842,-0.059419781940307066,-0.03000776746033826,-0.03479380658826187,-0.03476981009975564,-0.028157770967312513,-0.020330404851223966,-0.05459088614061588,-0.04899162436162305,-0.02041623907259766,-0.03749114167885303,-0.03258332153087263,-0.03989799772414638,-0.028031569120925148,-0.02891153517214441,-0.02264118412839589,-0.04901784080476934,-0.023504422169586408,-0.025868278287600188,-0.03195373996505997,-0.02707668576048029,-0.05625905808991086,-0.025731533865735283,-0.04987198377068561,-0.04315758290951729,-0.014273895553984997,-0.03376518110360614,-0.0312581161322287,-0.03905142299625724,-0.022335848093502877,-0.05494178402887225,-0.03447556655538404,-0.015391197325235735,-0.015894364334812075,-0.024205732419328146,-0.01448146036131661,-0.02400419628542608,-0.028988664772768957,-0.020233135021290895,-0.024591507327973168,-0.012172364219062265,-0.032692409593626216,-0.026862456267601448,-0.018665382786316968,-0.04872133095862675,-0.02576526552136953,-0.03411110630373139,-0.02638244663587501,-0.0357236917457739,-0.034883588270843285,-0.05277938791537938,-0.017687307253990463,-0.031210010553540786,-0.028948386101843377,-0.016161058593230155,-0.042120568497960795,-0.03588022555650081,-0.047014219403167475,-0.04642782659508463,-0.023668120876385573,-0.030974458386148013,-0.0385187308858179,-0.05606199355196383,-0.027532904341503836,-0.022345252982919703,-0.019022673870386086,-0.047769553989245074,-0.007161728182538783,-0.0362246011721786,-0.03606773259474739,-0.025268091927356455,-0.03838443432374017,-0.021168825891376537,-0.05242478779365632,-0.01653224407116448,-0.04053758979119863,-0.026097401238076533,-0.010305117228828957,-0.03625293159730132,-0.03017766748536513,-0.021037924004920435,-0.015958157244492552,-0.045301772350657195,-0.04247565886815912,-0.022727167284401887,-0.03329709558165345,-0.012729712578121593,-0.033662173677264755,-0.02438912594619961,-0.03472204627628146,-0.029283298083365328,-0.03853108643133747,-0.03877129957681347,-0.032083687103129185,-0.025594917312377938,-0.027831830141570757,-0.04571040484011578,-0.023579101606625876,-0.03128494031459041,-0.05012813195585516,-0.018727768089257704,-0.024300344083723103,-0.01480598531334607,-0.012428291003387461,-0.028054430991123844,-0.018078465633455918,-0.02859995733270904,-0.016065799491379724,-0.03773641011623606,-0.033298708053874394,-0.027049007758944095,-0.010628725572732542,-0.014789411269584241,-0.04212351906118347,-0.05590760749941126,-0.03957398331977556,-0.03315813379219718,-0.04262748311039966,-0.03348207017883516,-0.025406958654730225,-0.03521275824674091,-0.03593882163701631,-0.031238754211728094,-0.02265340463609526,-0.054199165424634266,-0.05347095268531783,-0.05669771301202558,-0.03794933730180257,-0.03867835245586361
