,"Age, BMI & VAT",Liver health
AHI,0.003993177701875147,0.004795752183872648
ahi_4_percent,0.005715223995123,0.005992128162742813
ahi_central,0.007736918328426433,0.010513967553684674
ahi_central_during_nrem,0.010665978514567293,0.010881727726361387
ahi_central_during_rem,0.008175146347161707,0.009973153752974542
ahi_during_left,0.005597548301178386,0.008977355335561828
ahi_during_non_supine,0.004463824952566845,0.007367781384864566
ahi_during_nrem,0.004499472593588929,0.0074912078435889545
ahi_during_prone,0.0074226741288534945,0.009259210491278617
ahi_during_rem,0.0037866808121728318,0.005104746238810529
ahi_during_right,0.006719887333950735,0.008043889774097968
ahi_during_supine,0.004300956847598447,0.005994550402521146
ahi_obstructive,0.003398614496541607,0.005226983766676438
ahi_obstructive_during_nrem,0.004636310114298906,0.006186286817518417
ahi_obstructive_during_rem,0.004213712084893632,0.004990522178156786
desaturations_above_20,0.007798393142809135,0.007850261990174747
desaturations_mean_nadir,0.008489782402580201,0.010171767519522146
desaturations_of_10_20,0.012398411947337368,0.010903378137286809
desaturations_of_4_9,0.004854769787950505,0.005405939027303242
number_of_4_percent_desaturation_apnea_hypopnea_events,0.006363508006311945,0.006649878694924081
number_of_all_respiratory_events,0.006672446264740537,0.006061872341790439
number_of_apnea_hypopnea_events,0.00401459230901355,0.004530199671526396
number_of_central_apnea_hypopnea_events,0.00873835387448288,0.011648933728672359
number_of_desaturation_events,0.005992425689617194,0.005984030988057614
number_of_obstructive_apnea_hypopnea_events,0.0037099919822824725,0.005538184406497065
number_of_transitions_nrem_to_rem,0.01239278129882193,0.01402925083700187
number_of_transitions_nrem_to_wake,0.010335701006162152,0.011245044951437983
number_of_transitions_rem_to_nrem,0.013677865414940033,0.014863273313329735
number_of_transitions_rem_to_wake,0.011733867400671763,0.011922434275285707
number_of_transitions_wake_to_nrem,0.010971672898466683,0.011020631849019158
number_of_transitions_wake_to_rem,0.014262470048353907,0.012298795887666908
number_of_wakes,0.009868476821719914,0.010692949432274931
odi,0.005537467988571802,0.005314295164930875
odi_during_left,0.0066239088919940224,0.009290687666018805
odi_during_non_supine,0.006851499646457808,0.00999544172071248
odi_during_nrem,0.00771662229020442,0.009042420018403266
odi_during_prone,0.008942461376803804,0.011804585764567362
odi_during_rem,0.005037456439632869,0.009204029618714993
odi_during_right,0.008715602730631912,0.00965061492756077
odi_during_supine,0.005313150822349756,0.0059308972280619566
percent_of_deep_sleep_time,0.007319288918772736,0.01180705221586301
percent_of_left_sleep,0.01245795204831673,0.011063019464844679
percent_of_light_sleep_time,0.008585575842791442,0.010733125394836633
percent_of_non_supine_sleep,0.011696932332162771,0.012810740143044872
percent_of_prone_sleep,0.016087935512725304,0.013782142925976223
percent_of_rem_sleep_time,0.010116475924965939,0.010815961822323798
percent_of_right_sleep,0.012430386738908642,0.012653347255996145
percent_of_sleep_time,0.010208729047401843,0.013336582967956171
percent_of_supine_sleep,0.01169969283169363,0.012810740069140656
percent_of_wake_time,0.01019256608912119,0.01330535274086443
rdi,0.0056148301557130695,0.0060024545957522565
rdi_during_left,0.008381085246646413,0.009736241157907347
rdi_during_non_supine,0.00670894891499966,0.00829883495164095
rdi_during_nrem,0.006476346999908052,0.00981717356110485
rdi_during_prone,0.008964296596580839,0.010562486913827508
rdi_during_rem,0.005020130077644105,0.0070675242645241694
rdi_during_right,0.008807043547288194,0.010375027381736847
rdi_during_supine,0.005867122154308596,0.006927378456632806
rem_latency,0.012392950977475354,0.011284029921080567
saturation_below_80,0.011742432953142971,0.010715616703520826
saturation_below_85,0.01149788510669316,0.009951451913373393
saturation_below_90,0.01369173562937525,0.01072825322646942
saturation_below_or_equal_88,0.012729520975334117,0.011604936709006147
saturation_max_value,0.008507023425141308,0.008489081829400365
saturation_mean,0.0033509678896008403,0.005101570316195719
saturation_min_value,0.004690162810450185,0.0065722956683876245
sleep_efficiency,0.011061019141346188,0.012044927702898035
sleep_latency,0.011667634259864924,0.013535286173676704
snore_above_40db,0.00815408025600755,0.009588322495906219
snore_above_45db,0.006874395589723809,0.008363594759037557
snore_above_50db,0.009527279579630121,0.008730016038998794
snore_above_60db,0.013547439317692787,0.01482786740396341
snore_db_mean,0.007550964085484901,0.00938037803230643
time_to_transition_nrem_to_rem,0.012044948729269695,0.011065544468355445
time_to_transition_nrem_to_wake,0.010878152887423694,0.013296989214524631
time_to_transition_rem_to_nrem,0.012772159979494472,0.012846973737515687
time_to_transition_rem_to_wake,0.01216877050512139,0.013587324534767617
time_to_transition_wake_to_nrem,0.012993123744790367,0.014054696615194208
time_to_transition_wake_to_rem,0.016910214486278767,0.014517178564020737
total_arousal_sleep_time,0.013108293943389103,0.014010477043575815
total_deep_sleep_time,0.009445795471458058,0.010522869245385463
total_left_sleep_time,0.010653205844776959,0.010951224076854877
total_light_sleep_time,0.00906718885928916,0.009215140997856497
total_non_supine_sleep_time,0.01146259601772124,0.012511949833144931
total_prone_sleep_time,0.01614703666040587,0.01329425793911259
total_rem_sleep_time,0.010703425694545592,0.012459585950894442
total_right_sleep_time,0.01264981348100911,0.011850731921837396
total_sleep_time,0.013073339725273324,0.014065106389710577
total_supine_sleep_time,0.011169036316404363,0.012002007737369633
total_time_in_bed,0.01075475550191403,0.011759571907367004
total_valid_apnea_central_sleep_time,0.013652557905446972,0.010770712000897098
total_valid_apnea_sleep_time,0.01198192862578702,0.01316479624347639
total_wake_time,0.012429813323985617,0.01384050793529233
total_wake_time_after_sleep_onset,0.009570683632011981,0.012741905077538654
variability_between_sleep_stage_percents,0.008523106613193002,0.010596411041300317
