,"Age, BMI & VAT",Liver health
AHI,0.004317348248490561,0.006615587536671233
ahi_4_percent,0.00587233654715226,0.007752621045619573
ahi_central,0.00997185086925607,0.013568640378892506
ahi_central_during_nrem,0.010742440679862108,0.013254549049951067
ahi_central_during_rem,0.009048303693934607,0.011374971847598236
ahi_during_left,0.006415267938636248,0.008283118982114203
ahi_during_non_supine,0.005571289113367384,0.007341299750230748
ahi_during_nrem,0.004986133772408303,0.007818216991152644
ahi_during_prone,0.010175444634073614,0.01178541608369481
ahi_during_rem,0.004816525142908529,0.006488046270631056
ahi_during_right,0.007882000813119216,0.009599253355501755
ahi_during_supine,0.004781508646218623,0.005922518012278902
ahi_obstructive,0.004196013185686409,0.004612367847190836
ahi_obstructive_during_nrem,0.005167829997834647,0.006238468930452124
ahi_obstructive_during_rem,0.004115177110232331,0.005860160855306616
desaturations_above_20,0.014436855268911001,0.01526086064940977
desaturations_mean_nadir,0.005950898690215608,0.009226468316861735
desaturations_of_10_20,0.009863950721364766,0.017010451725104882
desaturations_of_4_9,0.005898938564383637,0.006374596299213022
number_of_4_percent_desaturation_apnea_hypopnea_events,0.005748397033671077,0.0070519066360634364
number_of_all_respiratory_events,0.006136269192255571,0.009880174891914763
number_of_apnea_hypopnea_events,0.004910150259188134,0.006738350575332123
number_of_central_apnea_hypopnea_events,0.010079957177599793,0.010574067203656529
number_of_desaturation_events,0.005930613690346321,0.007432019477495527
number_of_obstructive_apnea_hypopnea_events,0.004524812875422249,0.004933557510403181
number_of_transitions_nrem_to_rem,0.013065808526138829,0.012938616954263
number_of_transitions_nrem_to_wake,0.00896295220548346,0.012128427046079799
number_of_transitions_rem_to_nrem,0.011356830054014258,0.013976856482813552
number_of_transitions_rem_to_wake,0.016144836601639696,0.01419020359404286
number_of_transitions_wake_to_nrem,0.009862950732486673,0.012226025909418878
number_of_transitions_wake_to_rem,0.010823615740914923,0.012251856949835712
number_of_wakes,0.010900721227210808,0.011992727272716488
odi,0.006252805294989038,0.00907713745603451
odi_during_left,0.006875524754601794,0.006799245963673816
odi_during_non_supine,0.006831468872431398,0.009526382410587472
odi_during_nrem,0.005172542087909964,0.007048033902684061
odi_during_prone,0.008393243941877442,0.011166867838966454
odi_during_rem,0.0049207044548627175,0.006689777929806488
odi_during_right,0.007929324077368013,0.010617182219226183
odi_during_supine,0.005831575070275865,0.006899937971596168
percent_of_deep_sleep_time,0.009820296639398705,0.01007538132359736
percent_of_left_sleep,0.010980565098607752,0.013429707879509456
percent_of_light_sleep_time,0.008444707850625791,0.012144707165068516
percent_of_non_supine_sleep,0.010196983228802987,0.010407678691150944
percent_of_prone_sleep,0.011301304922824896,0.01433939239440535
percent_of_rem_sleep_time,0.011499359970491821,0.011818107752987625
percent_of_right_sleep,0.011160495362557324,0.010529341437672883
percent_of_sleep_time,0.012538840430697322,0.015211269757453343
percent_of_supine_sleep,0.010196983204204577,0.010407678483050254
percent_of_wake_time,0.012535005741994334,0.015216626825420338
rdi,0.0049956482545437525,0.007798026383141017
rdi_during_left,0.008849740219388188,0.011076061746082765
rdi_during_non_supine,0.007671011358239309,0.01016361515603312
rdi_during_nrem,0.006060011013241193,0.006725827872631167
rdi_during_prone,0.011840885033930524,0.012465355251707864
rdi_during_rem,0.005328558585218508,0.007737113708868115
rdi_during_right,0.00991331489634119,0.01150937671206158
rdi_during_supine,0.005548229903782063,0.007121107985328412
rem_latency,0.013223642638478932,0.012894216774121118
saturation_below_80,0.0186109508762948,0.02232373799673639
saturation_below_85,0.014193552276869876,0.014215405661698169
saturation_below_90,0.02633413797969921,0.013291473652019197
saturation_below_or_equal_88,0.02535497121708502,0.012868917140721471
saturation_max_value,0.011765810070623,0.011448198064872928
saturation_mean,0.005233080355051022,0.006276700472591352
saturation_min_value,0.00710663964257458,0.008092113173735973
sleep_efficiency,0.012818098508712194,0.012982991290454013
sleep_latency,0.012937955009465733,0.014436130811241574
snore_above_40db,0.010453164820923195,0.012335010101117842
snore_above_45db,0.007027453502202916,0.010801419261559277
snore_above_50db,0.01012852023727547,0.011433702816200268
snore_above_60db,0.018813897941384106,0.013275579463045938
snore_db_mean,0.008065135378335673,0.00944457300997099
time_to_transition_nrem_to_rem,0.014143443335867412,0.012890580790599146
time_to_transition_nrem_to_wake,0.014086214112812082,0.011888025633348056
time_to_transition_rem_to_nrem,0.009859293032317057,0.014588074176889801
time_to_transition_rem_to_wake,0.012014703782003469,0.010721504373460979
time_to_transition_wake_to_nrem,0.010270379182091073,0.010131257904961256
time_to_transition_wake_to_rem,0.014488700741890322,0.013476977546392857
total_arousal_sleep_time,0.0132966195424816,0.014050557605295791
total_deep_sleep_time,0.009335324734205815,0.011162692541129804
total_left_sleep_time,0.011259333136797575,0.013800503679134228
total_light_sleep_time,0.0102815143780828,0.010771759881594307
total_non_supine_sleep_time,0.011400988671089171,0.011287971843037784
total_prone_sleep_time,0.011448428019116623,0.014529545926268353
total_rem_sleep_time,0.012895617710554188,0.01373286835397133
total_right_sleep_time,0.011550032269842718,0.011306378399335132
total_sleep_time,0.013404591777682181,0.014150544115162002
total_supine_sleep_time,0.009879061186455205,0.01146733620227006
total_time_in_bed,0.014076575706845564,0.013015107181393771
total_valid_apnea_central_sleep_time,0.011491432211118056,0.011300281481155248
total_valid_apnea_sleep_time,0.012702134629303632,0.01545628075645095
total_wake_time,0.012344920831636172,0.011629060604455869
total_wake_time_after_sleep_onset,0.010610977058572972,0.015203384044561421
variability_between_sleep_stage_percents,0.008340679565595059,0.012454152754188338
