,"Age, BMI & VAT",Gut MB families
AHI,0.0009109942766460309,0.0021291262020563077
ahi_4_percent,0.0012970172602657093,0.002137079660765001
ahi_central,0.00509368950682962,0.005093689365261884
ahi_central_during_nrem,0.005372419825169377,0.005372419670068641
ahi_central_during_rem,0.005361937473034634,0.005396295173696184
ahi_during_left,0.0014673411858343592,0.004151029944660866
ahi_during_non_supine,0.0013907375480118475,0.0030110420488890623
ahi_during_nrem,0.0012781779060242453,0.0029545858472506455
ahi_during_prone,0.0022173224825228865,0.003358660793681383
ahi_during_rem,0.0006967404932675516,0.0026914582027616116
ahi_during_right,0.0016866537160183568,0.005480993908594236
ahi_during_supine,0.0008057033911193688,0.0010468460342488353
ahi_obstructive,0.0009580393054674737,0.0025221058133997037
ahi_obstructive_during_nrem,0.0012023521313827338,0.003115933362124201
ahi_obstructive_during_rem,0.0006167816201151678,0.0030637136438857295
desaturations_above_20,0.007079910497347485,0.007079910497347485
desaturations_mean_nadir,0.003345591447853933,0.0033898727867350555
desaturations_of_10_20,0.0045990689059971146,0.005398837992985326
desaturations_of_4_9,0.001329541030294903,0.0014662169397001476
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0013813592307721583,0.0015937101504961558
number_of_all_respiratory_events,0.0014161002148253,0.0032852454875569384
number_of_apnea_hypopnea_events,0.0010398900247539863,0.0017297131730654594
number_of_central_apnea_hypopnea_events,0.003256250951305021,0.006962649425350141
number_of_desaturation_events,0.0014048068307103904,0.0015948316832276048
number_of_obstructive_apnea_hypopnea_events,0.0009873909520517236,0.0018026789284635411
number_of_transitions_nrem_to_rem,0.012335406655199107,0.012335406655199083
number_of_transitions_nrem_to_wake,0.0033907691257901193,0.003953284118934351
number_of_transitions_rem_to_nrem,0.014942996214820842,0.014942996214820842
number_of_transitions_rem_to_wake,0.011621491806178271,0.011621491806178285
number_of_transitions_wake_to_nrem,0.003815385858621843,0.004248195999810623
number_of_transitions_wake_to_rem,0.013740365226291967,0.013740365226291967
number_of_wakes,0.002684542034039511,0.0062059261710100235
odi,0.0013873152303002765,0.0020782256257445564
odi_during_left,0.002703501744032324,0.0033063279380774672
odi_during_non_supine,0.0018029450496614308,0.002224649813570627
odi_during_nrem,0.00173714990758601,0.002447096110691191
odi_during_prone,0.002878111642011866,0.005610456282652839
odi_during_rem,0.0011379034408487128,0.0021940295325557557
odi_during_right,0.0023984028861446616,0.004040998823974801
odi_during_supine,0.0012373163854582983,0.0032658953779614
percent_of_deep_sleep_time,0.0023169843703300377,0.006873111181321386
percent_of_left_sleep,0.004619367475638049,0.011707794445216687
percent_of_light_sleep_time,0.002571602793957421,0.009758278051837212
percent_of_non_supine_sleep,0.004039902920658639,0.008626547983715878
percent_of_prone_sleep,0.01407736816437947,0.01608945066890554
percent_of_rem_sleep_time,0.003960681022547187,0.009541739658144381
percent_of_right_sleep,0.004180540339018668,0.014275319817732607
percent_of_sleep_time,0.005613854681990836,0.010512948054895969
percent_of_supine_sleep,0.00403990292065862,0.008626547983715873
percent_of_wake_time,0.0056138546819907665,0.010512948054895952
rdi,0.0011953173032737995,0.003701580141410996
rdi_during_left,0.002388229394334827,0.004022081314947444
rdi_during_non_supine,0.0016465380947225123,0.00455302298089211
rdi_during_nrem,0.0016518527449499668,0.004975982047371415
rdi_during_prone,0.0027985610261032755,0.004756821033184162
rdi_during_rem,0.0009884891956691724,0.0031511684686507673
rdi_during_right,0.002053485868355164,0.0071721693413932825
rdi_during_supine,0.0010070967244957842,0.004827673703597561
rem_latency,0.006224132826459665,0.01338527755155795
saturation_below_80,0.011025121075897882,0.011025121075897955
saturation_below_85,0.01779389440517629,0.017540475091878182
saturation_below_90,0.004739031043516007,0.004764271144533474
saturation_below_or_equal_88,0.006971839074674878,0.006962021995336621
saturation_max_value,0.00729745190424949,0.007297451904249413
saturation_mean,0.001027204029625055,0.0010290962129253383
saturation_min_value,0.0014810878231068833,0.002846344281769504
sleep_efficiency,0.005197010253050259,0.011213633628809125
sleep_latency,0.013414927562585222,0.013414927562585222
snore_above_40db,0.0024174029328176633,0.007300780788186776
snore_above_45db,0.0022025933396952677,0.0032347778733870414
snore_above_50db,0.003350890544461971,0.004119252686107998
snore_above_60db,0.0065409952389415705,0.008971854150110568
snore_db_mean,0.00288192495117056,0.002880667529634168
time_to_transition_nrem_to_rem,0.009384881833093201,0.017770299542925413
time_to_transition_nrem_to_wake,0.0035800531779646002,0.006205142799326638
time_to_transition_rem_to_nrem,0.0036142957879853944,0.007139171636816925
time_to_transition_rem_to_wake,0.005966345702536636,0.014440098249523413
time_to_transition_wake_to_nrem,0.012959983666938912,0.012657950969617124
time_to_transition_wake_to_rem,0.011371248474412008,0.016544694968587282
total_arousal_sleep_time,0.008122102677335053,0.012238198199461555
total_deep_sleep_time,0.003160812981567462,0.005180030348324501
total_left_sleep_time,0.00459423260578524,0.011394816256466843
total_light_sleep_time,0.002774112105783204,0.008104981637250378
total_non_supine_sleep_time,0.0042933937073102255,0.00987394381862345
total_prone_sleep_time,0.01379361094290026,0.01295616790981155
total_rem_sleep_time,0.0051568020435685605,0.008239442703532057
total_right_sleep_time,0.003974243485586318,0.009641442154619036
total_sleep_time,0.008042578994613553,0.012187209377832693
total_supine_sleep_time,0.004177578856932694,0.01101503586253954
total_time_in_bed,0.004833815251097613,0.01378074099429891
total_valid_apnea_central_sleep_time,0.01049137558361349,0.01333895621360546
total_valid_apnea_sleep_time,0.011342347102147201,0.013240828382861778
total_wake_time,0.003127122670485051,0.007068785535216173
total_wake_time_after_sleep_onset,0.004422440443845838,0.007640190313690999
variability_between_sleep_stage_percents,0.0025189917411815037,0.0086263562766741
