,fortified_wine__glasses_week,hours_outdoors_winter,hours_driving,liqueurs_measures_week,other_alcoholic_glasses_week,physical_activity_maderate_days_a_week,vigorous_activity_minutes,sleep_hours_in_24H,work_hours,work_days_a_week,hours_using_computer_not_work,work_hours_day,hours_watching_tv,hours_outdoors_summer,white_wine_glasses_week,walking_minutes_day,walking_10min_days_a_week,beer_cider_pints_week,moderate_activity_minutes,drink_alcohol_with_meals_partial,drink_alcohol_with_meals_yes,mobile_phone_side_of_head_Left,mobile_phone_side_of_head_Right,drive_faster_often_Neverorrarely,drive_faster_often_Sometimes,pet_present_no,pet_present_yes,mobile_phone_use_duration_per_week_13hours,mobile_phone_use_duration_per_week_3059minutes,mobile_phone_use_duration_per_week_46hours,mobile_phone_use_duration_per_week_529minutes,mobile_phone_use_duration_per_week_Morethan6hours,why_stop_drinking_Otherreasons,why_stop_drinking_dontknow,visit_friends_family_times_24timesaweek,visit_friends_family_times_Onceaweek,high_exercise_times_a_month_Fourtofivetimesaweek,high_exercise_times_a_month_Onceaweek,high_exercise_times_a_month_Twoorthreetimesaweek,high_exercise_times_a_month_Twoorthreetimesinthelastmonth,easy_getting_up_Doesnotwakeupeasily,easy_getting_up_Wakesupprettyeasily,easy_getting_up_Wakesupveryeasily,manual_physical_work_Sometimes,manual_physical_work_no,alcohol_drink_12timesaweek,alcohol_drink_13timesamonth,alcohol_drink_Inspecialcasesonly,alcohol_drink_Never,high_exercise_duration_Betweenaquarterofanhourandhalfanhour,high_exercise_duration_Betweenanhourandanhourandahalf,high_exercise_duration_Betweenhalfanhourandanhour,falling_asleep_during_daytime_Fromtimetotime,falling_asleep_during_daytime_Notorrarely,tobacco_past_how_often_Ineversmoked,tobacco_past_how_often_Ionlytriedonceortwice,tobacco_past_how_often_Ismokedmostoralldays,tobacco_past_how_often_Ismokedsometimes,smoke_tobacco_now_no,years_using_mobile_phone_Over8years,nap_during_day_Fromtimetotime,nap_during_day_Notorrarely,consider_yourself_morning_evening_Immoreofamorningmanthananevening,consider_yourself_morning_evening_Immoreofaneveningmanthanamorning,consider_yourself_morning_evening_Imtotallyamorningman,usual_walking_pace_Average,usual_walking_pace_Fast,usual_walking_pace_Moderate,shift_work_Sometimes,shift_work_no,snoring_dontknow,snoring_no,snoring_yes,pet_past_no,pet_past_yes,smoke_houshold_no,trouble_falling_a_sleep_Fromtimetotime,trouble_falling_a_sleep_Notorrarely,trouble_falling_a_sleep_Usuallyyes,climb_staires_tymes_a_day_15,climb_staires_tymes_a_day_610,climb_staires_tymes_a_day_Morethan20times,climb_staires_tymes_a_day_Zero
0,-0.05248750037889436,-0.03321557320678879,-0.021379897110022368,-0.04432794831690684,-0.05291929407839614,0.23500860408976443,0.16832880899953137,-0.027042705534640173,0.2307829243881814,0.1323041557731526,0.11252471353267705,0.26801216788613325,0.15416448655790904,-0.02721689336464445,-0.012772230424307227,0.10129990752047899,0.19246891541318809,-0.037828217754390346,0.14470562570739984,-0.03532129012381626,-0.03439818072355863,-0.026295875745729683,-0.033425610429622575,-0.032958063698505465,-0.024352237900613506,-0.01133257302487177,-0.017327166615743152,-0.02149651291653918,-0.043984346822454924,-0.0639640459213639,-0.042742172507959225,-0.03218827104911216,-0.0406433692528986,-0.052546709613330064,-0.05845590722528411,-0.03189510527235764,-0.04367246719712621,-0.015188906486816051,-0.03325611244479694,-0.03337072490917691,-0.053110834745117096,-0.0520954353321005,-0.03116775778637407,-0.016138103528022776,-0.027601065712692562,-0.023845481751590177,-0.028735565845166205,-0.05157478073513237,-0.06250705021753913,-0.02381405876151341,-0.0607908027643161,-0.030573031386125923,-0.07192070832086327,-0.06925949215234917,-0.04117940829252816,-0.0317052831659997,-0.05959308531531273,-0.0424612870558072,-0.032973687844723105,-0.04711497756361111,-0.03412035990615211,-0.04508846316070823,-0.02671270455430555,-0.02948575695841854,-0.026519794597968847,-0.03954619742746522,0.2153767625801838,-0.03422567772955874,-0.048314778887963865,-0.023479262480987924,-0.05435455554178268,0.23445553346200176,-0.034525764616684634,-0.03522541446572747,-0.016122414159794374,-0.08981234352793571,-0.044357565420678945,-0.04199727060563073,-0.06241565405365756,-0.02712160560884681,-0.049264485443668495,-0.01992968416780865,-0.07072290323452723
1,-0.039061639072482654,-0.004090242728802398,-0.0519213872503905,-0.058851410919670374,-0.06928762023939376,0.23890240989120043,0.16831821879833847,-0.011106478486224597,0.23048856505276719,0.12716079304004613,0.1115858871517268,0.2821108450358792,0.1575139447275566,-0.01694919079930017,-0.007646339850682767,0.10636555279393893,0.1935997009390243,-0.0514802442072956,0.1520351887439638,-0.030859811874788815,-0.05287786596367794,-0.05160237771901457,-0.08806667044164125,-0.0182054830560078,-0.008835613037248797,-0.04001028125888502,-0.04636196823176623,-0.022629136663731408,-0.05736668173177761,-0.04951369634928959,-0.033716518679481805,-0.01574361896793284,-0.020828104839711772,-0.04093310548525563,-0.024380229115051194,-0.0359931582758922,-0.04731653277897746,-0.051115157390840625,-0.03825836694077903,-0.044160508646482854,-0.05320353400453842,-0.03633059795431394,-0.0417569912158498,-0.05016864930204295,-0.049332585906473075,-0.04886844667493804,-0.0339066956898526,-0.050388579201089724,-0.024734076039360998,-0.05297169265671451,-0.04360951600816607,-0.05279777941791306,-0.04292287599994153,-0.06866310725966146,-0.04243742182376815,-0.01109288390811977,-0.04090925907482135,-0.04175362035027519,-0.030969109704516187,-0.029897475571488565,-0.03642062867134253,-0.03696760442386608,-0.04878932288703106,-0.03246086585759474,-0.04782453066438527,-0.04726824872131259,0.19510008321144126,-0.02858674841796062,-0.02196664925570161,-0.042495226467347436,-0.032352931652002696,0.23737048761079368,-0.03336724968960354,-0.017154922509520883,-0.04231804242619379,-0.020169874840743337,-0.03286011721067173,-0.02565711519559081,-0.02870526897751961,-0.049105962192651745,-0.03838871629482627,-0.02277485246436931,-0.02747720677968407
2,-0.04739550415051519,-0.025342201232675776,-0.009811269235951494,-0.02454579583671382,-0.061805913657663636,0.2432654858032933,0.17327137838522574,-0.04196552107886155,0.23369165344232387,0.12689159753308707,0.1124043346516984,0.2819130944502757,0.15792136949778643,-0.03274685927462734,-9.366983034670716e-05,0.08969453310212198,0.1914575554315038,-0.0947587985400793,0.1535926119572826,-0.030053550301936394,-0.05434330468272108,-0.03420445075916982,-0.027171818070290295,-0.04091111837098472,-0.03597739737606543,-0.026241017795852226,-0.028558238069687616,-0.057566593647076864,-0.04062132662564903,-0.028997316620302523,-0.055625394582149386,-0.024946738315935763,-0.03164592326042721,-0.035823315816894824,-0.05961560558420877,-0.07042943972129444,-0.027190139493009892,-0.018533763017342005,-0.012205252383693944,-0.02360632079484984,-0.04603401801230118,-0.04838846582310052,-0.06016677080716712,-0.04944657109478462,-0.06724076905696483,-0.07109388691998555,-0.07041153266699074,-0.046781117733496067,-0.04545482387824292,-0.048298808579630655,-0.03679398953731184,-0.02852417856986683,-0.04908796502158195,-0.07419764879676914,-0.031215170975737675,-0.04472069205639265,-0.040194647462672074,-0.05207494314799249,-0.05268624669302769,-0.029258329285630557,-0.05875386920874212,-0.059115729380480854,-0.06923199497348544,-0.05024628170904068,-0.052297239356504585,-0.04499411229674954,0.2167520615593442,-0.03803620093118718,-0.044712722499882604,-0.04190588766852033,-0.04958967277173788,0.23814214638387218,-0.030868641369224074,-0.06644787536377784,-0.06137175590560531,-0.036299863138551526,-0.04461858426718798,-0.05230631683726781,-0.024042172879572294,-0.024337709285460783,-0.044896847368084414,-0.04294301843062757,-0.03926750333976678
3,-0.0362476669969165,-0.017737618012800653,-0.04774094806947572,-0.0654274490586853,-0.07300610877215191,0.23833572790761642,0.1795845915448496,-0.020908421325800203,0.23102584601257217,0.1269687121885997,0.11171851277941981,0.2870688824801877,0.14995784894906014,-0.018344542060082177,-0.0008493179420823587,0.10318261318039207,0.17788086278217805,-0.027597815890800088,0.14573382211441993,-0.03751932966308788,-0.06652253404451153,-0.03984637912770195,-0.0444590277244868,-0.04736789660127719,-0.011952663954477022,-0.02802921225120431,-0.032936751994534094,-0.03240674552640054,-0.05809738023328463,-0.04303902566252181,-0.026354931638367884,-0.06841710880740581,-0.061251661324505095,-0.014829580845618012,-0.01462321100901701,-0.040847742416862426,-0.0498458830840385,-0.03587183964749673,-0.046234700735945225,-0.04990037287267925,-0.027098092363929044,-0.046075622157847294,-0.04541866336426206,-0.04241659519320412,-0.02761863281020486,-0.015694501658901384,-0.033351698689417585,-0.024457252860997033,-0.04081654856102232,-0.027843802288844848,-0.04840922340926611,-0.05185043085777901,-0.055382280754316456,-0.03389991132655031,-0.023233554133768163,-0.02407261124442585,-0.028421103060018084,-0.047406351017026956,-0.03615770016053911,-0.029214171784745738,-0.0646696751712087,-0.0351823695471882,-0.09023028641820012,-0.05459807414431257,-0.03748505023509459,-0.03373132144827255,0.22063988178473923,-0.043052894046195174,-0.07093991119779985,-0.05206416992714739,-0.02798589633260471,0.23632660611334888,-0.03675923093846859,-0.03990604257256232,-0.047927820036867456,-0.018454746361562465,-0.022959406033622017,-0.04785142120365704,-0.04293909743970312,-0.025680420245788003,-0.028310659483784847,-0.03109205658935192,-0.011545980640076307
4,-0.1043676186061178,-0.008920309119984846,-0.0501485931669793,-0.026242984048381227,-0.04325817332720352,0.24123020393799738,0.1722845294185925,-0.03216229716548404,0.23057972642353733,0.1281683646027538,0.09456904053538372,0.286342811018691,0.14759269386704277,-0.03302763199721383,-0.0504529521053031,0.10481619129662409,0.18646914306124107,-0.056046040467864364,0.1473264511294433,-0.04262125910546156,-0.04414717286233341,-0.01526756825623359,-0.05489115317874627,-0.03487568034077051,-0.056704069745126304,-0.017581520764213036,-0.038554535832736,-0.06086008618087147,-0.03312759510351395,-0.04773851484908988,-0.03250957283915275,-0.06641345384899805,-0.06312106333913034,-0.03307532744035159,-0.08792061311938916,-0.07143549895406866,-0.028257775462454938,-0.039262021370355414,-0.043179947004557274,-0.03979459046867137,-0.037321734050145564,-0.012851440004650811,-0.04316362315707441,-0.03877670648242643,-0.03594375431138701,-0.03936837137495469,-0.032484301857948726,-0.02095955445789797,-0.05098153834577199,-0.05695260380182354,-0.03505683009303108,-0.0458464164863513,-0.057308300681384754,-0.020282525513041345,-0.04000967222534818,-0.04887664586294139,-0.0526914238974938,-0.02637692827751678,-0.047127125358928094,-0.06502352585485266,-0.0395206704583984,-0.04704321175549312,-0.02939476401298571,-0.02607690294110859,-0.04033054395315767,-0.03320221188962616,0.20639969234409708,-0.04775825381595653,-0.06814533548207928,-0.062232898235620435,-0.037162742140335533,0.19929228197964752,0.011313883797926702,-0.03721488944919791,-0.040612174787900475,-0.0332495932956972,-0.02480220132753547,-0.03634403459495969,-0.05688469148432629,-0.03447218108001966,-0.04441739596862575,-0.029984822479006877,-0.05135304064154895
5,-0.0753618605097864,0.007161796462984722,-0.024943807425944514,-0.03827506149868819,-0.06128168100273035,0.23811447289979826,0.1738485554616029,-0.039129886131591476,0.22919409001764066,0.13563839752219933,0.09966268816014245,0.2852617292065266,0.15798555643516948,-0.03307729763729582,-0.001256228650251502,0.09457168310207553,0.1912415395892049,-0.06324403389739164,0.15212102145891526,-0.046604819806288444,-0.04089016811462928,-0.034248034196254225,-0.03649246261549382,-0.03127597237879512,-0.032589616768409164,-0.06519863982457709,-0.07376830099870058,-0.03179943639511247,-0.03055110158512337,-0.051035591179352725,-0.01850907029532388,-0.02032018341267955,-0.02544380716770745,-0.03030163925827144,-0.03753507539955256,-0.03406671187938302,-0.03757846108034166,-0.036440574646537445,-0.03760266386822578,-0.054316243903429845,-0.05190649821149493,-0.04622901318208791,-0.028008266071085707,-0.01832651591648823,-0.024816017919989004,-0.015116396441947141,-0.09377318728124244,-0.05939030480303056,-0.046471669144279984,-0.055644894421507315,-0.06897356341476112,-0.03991092058638954,-0.024060745629256114,-0.03708376932957078,-0.03318106674966536,-0.044077036057321196,-0.029233371249288088,-0.06021530991576377,-0.037530685412955594,-0.025656008821586106,-0.05482074573425574,-0.05646164406985428,-0.03318080032556912,-0.04371419071667476,-0.03692752396323739,-0.022369679056996643,0.21417563588618344,-0.040856035732410804,-0.02337055453258512,-0.03041752363126635,-0.024899869961408975,0.2336197353431659,-0.0421679137642035,-0.048115461531443214,-0.047842592237210775,-0.04902999776011277,-0.06643120476573808,-0.028695079313798007,-0.05093699272915462,-0.039679990268535616,-0.07748378769397338,-0.03082632621143607,-0.05741507532848372
6,-0.08463355132371286,-0.02338487308172086,-0.032493252911001934,-0.06984745584388347,-0.04142952898495015,0.23844110480534242,0.1781436227633582,-0.06684434944286927,0.23220741034158796,0.1336892210695129,0.10218783748146983,0.28657766261610373,0.16193613987233796,-0.03610842587505778,-0.02933772185967757,0.10872046524031846,0.18883158481584836,-0.046902358960910884,0.14718371205821001,-0.02846281773985248,-0.056549946263927495,-0.040847472747633,-0.052601075796980847,-0.04357827305979295,-0.033242288573060726,-0.033266916831386176,-0.043241567316079185,-0.03058471895339771,-0.03349428039134041,-0.02671484847695177,-0.0317985662814608,-0.05677873602886572,-0.037128648152610126,-0.04070209665558383,-0.06315192846725724,-0.026691336026688422,-0.04692645683707512,-0.06106478000598471,-0.029728208802745695,-0.06718381601436856,-0.046122295796914396,-0.061523292617534454,-0.03013812465413281,-0.017531369208246533,-0.018549435616346158,-0.054997497199974515,-0.04271870647884531,-0.039170876632013296,-0.06345660244569029,-0.044526163683049125,-0.05767682116898877,-0.0557173909468634,-0.05603336455537499,-0.06125503476871929,-0.04502405993569251,-0.02958133972610932,-0.02487134815790852,-0.043509701504431834,-0.0641371418756274,-0.057976762235529264,-0.029423807386094673,-0.06162468280776176,-0.02703320654630382,-0.023998326544752795,-0.06409611105575201,-0.02673122775320143,0.19794166692100562,-0.0318029714895023,-0.032178237680414244,-0.03157464155289872,-0.042698622986236515,0.24138687415381718,-0.024795870131036762,-0.036704232239023485,-0.04625887664037922,-0.01450047949656166,-0.03563137206931983,-0.061561136252309585,-0.04180903340757957,-0.03442019804490717,-0.023045273934623738,-0.051906533067980244,-0.07399935117303985
7,-0.04784054212217283,-0.05267097490754455,-0.06931214761336,-0.053118201182005644,-0.020636742503404002,0.2389453888778384,0.17554988337406383,-0.04203914280116518,0.2285007855974947,0.11976495399381416,0.09469646955382362,0.28694680328187766,0.1623137984074035,-0.043899946678377516,-0.02382944454594121,0.10030866021982612,0.1780487009512001,-0.038939717073150866,0.1563612333533872,-0.03542504108873684,-0.013002510671680305,-0.0337099566757172,-0.01676735621881678,-0.05662924507173925,-0.05734131965488659,-0.027191241117913476,-0.0320801045814284,-0.019237957758401956,-0.0182199912621348,-0.026763495266409577,-0.026438964472559848,-0.02737429729229522,-0.0502374545273492,-0.03715152853363964,-0.03488247829639757,-0.019187595117718132,-0.06178071300194843,-0.04267286376966058,-0.044942256628212225,-0.03199852284562223,-0.04986591223389903,-0.03910441306725772,-0.04203262501041872,-0.06819116470323248,-0.05259979364020636,-0.026513792193699582,-0.02585906412222934,-0.028176503789581562,-0.037966295576716574,-0.0630920335816497,-0.030149665737907422,-0.034999358578843495,-0.052559985600900284,-0.0418331104686989,-0.004563092718093573,-0.05146138674475137,-0.03702298768213798,-0.016830350661144158,-0.033213358938448026,-0.01151996016458282,-0.03437566205918622,-0.04745674002495276,-0.031731043134760425,-0.04444142610081144,-0.027613723842324134,-0.08424481639768248,0.17493671131582209,-0.04216227157778399,-0.04313308717360003,-0.020958216068400554,-0.03658028903689881,0.23691735781406167,-0.03904119094767122,-0.07675589409619911,-0.0705462450287616,-0.02568361712467442,-0.03623710325181576,-0.022900448844970493,-0.0315990011337473,-0.054743255484790955,-0.0428995403206184,-0.04384377011461044,-0.026054823870368466
8,-0.05485653686841641,-0.018591431018830117,-0.03217913509031885,-0.05803687544057885,-0.04572373326661005,0.23897787212879418,0.17310730913265843,-0.013114188047132859,0.2313831245032512,0.13808566470861855,0.1043226811757128,0.2865139542306452,0.16493951818047006,-0.05711579118025227,0.03134849284738214,0.08883685429291607,0.19185087304790757,-0.04847670157434286,0.152597091873903,-0.05974108433127869,-0.04312250189613558,-0.05222291300340835,-0.048944772376525794,-0.054322267048477514,-0.031719840529985194,-0.03595171259469929,-0.03991742687112954,-0.030173199045037236,-0.050014139569279394,-0.0638860925311442,-0.05187791602783886,-0.029293896490256384,-0.029506841555257637,-0.038255818902665016,-0.018878526110200876,-0.030008963673585354,-0.06442395911545587,-0.021914325201340148,-0.038174243679358594,-0.015602087334705432,-0.020702656735847202,-0.03678775065897427,-0.058185208896444504,-0.03027168332895848,-0.026679571253469814,-0.03692779456256448,-0.02967058186824064,-0.039307306828463374,-0.050728093797582835,-0.042402071374874735,-0.07563805100734698,-0.02549091006426412,-0.024522340769636934,-0.04185566483422584,-0.036940859699655555,-0.026079946329776404,-0.03927006632995187,-0.059365481395946273,-0.02958680746472474,-0.038254130574328665,-0.033056458996306035,-0.013690004375014208,-0.06126051477911723,-0.0537932083530476,-0.054790209164791874,-0.037160487451007626,0.2190185735523172,-0.04352932941075047,-0.05834595933879531,-0.03194188201947766,-0.06035182586045908,0.22180517324295435,-0.05904563498206299,-0.043021896238661504,-0.0288270763521202,-0.036024560869474746,-0.015935267816660405,-0.021299092276313242,-0.03178615667004241,-0.0411905794807453,-0.05204429080028475,-0.04228742121254614,-0.03495081550677615
9,-0.049580763386529614,-0.025944875438370162,-0.06754898839274051,-0.04663389627703745,-0.08478358432120012,0.2407456520446235,0.17505792169363843,-0.03510510194042919,0.2326259425980584,0.12403838939006487,0.11960727033678517,0.2863956075105215,0.15525426500197104,-0.05564175100790686,-0.0011351616145164308,0.100142992298339,0.19207319873515089,-0.049796406533815576,0.15259130336310806,-0.04872012265247679,-0.04507897302023559,-0.0425345687027655,-0.04163036585408771,-0.06046768161257879,-0.033305679820521523,-0.05521176179912867,-0.03975529178566234,-0.033036265596012436,-0.020373866566607023,-0.03008636415058319,-0.0591212078468388,-0.06590703675704576,-0.025677771661992473,-0.017654046023745377,-0.058052258601910656,-0.048410274153547324,-0.05539440445881977,-0.03451918226941052,-0.004124408361320267,-0.010945194898910285,-0.03634865807820911,-0.06117547203718137,-0.04904483079449198,-0.02961939366438899,-0.029491326459581746,-0.03994924472364838,-0.05340122971767431,-0.04166669155394599,-0.036040092194262116,-0.04985091690062159,-0.04441922489689382,-0.03912188090107776,-0.050931947097618085,-0.05207828854830936,-0.04237378762023476,-0.022559203491900798,-0.04284235846947296,-0.0354474939824674,-0.040549715650565324,-0.022015589353306365,-0.04913419249857347,-0.028643166578366037,-0.029708345862432737,-0.03153388739882707,-0.03889268746367473,-0.03141998120806109,0.18742872287647597,-0.041156444643182126,-0.031054800067223085,-0.035201396218275394,-0.04065857374886128,0.23846037423507183,0.0029079334243488817,-0.05468392948839791,-0.05179268741921971,-0.0370300747730148,-0.03763838171324953,-0.06875948669723775,-0.049040551700898785,-0.018979467878169603,-0.04112087213867453,-0.051499880362826746,-0.039577956955239024
