,AHI,snore_db_mean,saturation_mean,desaturations_mean_nadir,percent_of_supine_sleep,total_sleep_time,sleep_efficiency,variability_between_sleep_stage_percents,hrv_time_rmssd_during_night,hrv_time_rmssd_during_wake
body_comp_leg_left_fat_free_mass,0.2957259877332621,0.2075012693651492,-0.2066839865399592,-0.0741595603460458,0.0669535372806548,-0.13548032728614,-0.0799538125226233,0.0286190924274547,0.2413634073796761,0.1256553220162466
body_comp_legs_fat_free_mass,0.2972345846345371,0.2090106731664606,-0.2084994508869023,-0.0750642469301605,0.0674570722383442,-0.1370668409599991,-0.0797578242903906,0.0302547197850346,0.241578174360668,0.1252891865788022
body_comp_leg_right_fat_free_mass,0.2972554227719272,0.2094709134380688,-0.2091507249626017,-0.0754655157362229,0.0672159385610462,-0.1376812784215301,-0.0786062915503514,0.0320053480070984,0.2398850081062625,0.1238271471693916
body_comp_leg_left_lean_mass,0.3008478385520249,0.2107352307875251,-0.2118672951157486,-0.0777962337946862,0.066780284674852,-0.13469958134029,-0.0800428505818032,0.0274218432808337,0.2377673350727695,0.1234566788447524
body_comp_leg_right_lean_mass,0.302358194405723,0.212620838394872,-0.2144092841125699,-0.0791480168331275,0.0671697557761564,-0.136860756398534,-0.0786207753948792,0.0310977622609823,0.2362854576707384,0.1213988272704587
body_comp_legs_lean_mass,0.3025313891848212,0.2122109223908602,-0.2138371822300261,-0.0787703957421237,0.0674814034598309,-0.1362733891361825,-0.0798072720197985,0.0292619939630629,0.2381322671790988,0.1229828662372291
body_comp_gynoid_lean_mass,0.2554738388712648,0.1875836778194514,-0.1626839363091868,-0.0406215319915419,0.0719928543168735,-0.1301549879448083,-0.0768527631092675,0.0314799316297109,0.2641088092857167,0.1342216402310649
body_comp_gynoid_fat_free_mass,0.2542774973516628,0.1868397996943178,-0.1616231131763715,-0.0402233427503785,0.0721072912980731,-0.1304263212151921,-0.0770288434567844,0.031507979224094,0.2647550428470658,0.1350429978260107
body_comp_trunk_left_lean_mass,0.2542614977298065,0.1885782440875488,-0.1736868441061909,-0.0473534344619666,0.055954008666012,-0.1273656102064533,-0.0874945948967951,0.041739979807205,0.2668570415453442,0.1467224228375463
body_comp_trunk_left_fat_free_mass,0.2547874682967677,0.1887816057246349,-0.1734741032865153,-0.0475921686270237,0.0566620565146284,-0.1277036555529848,-0.0874252413029529,0.0409789101762272,0.2667106541128656,0.1461309513879601
body_comp_trunk_fat_free_mass,0.2598228448443325,0.188961753321225,-0.1771792114106457,-0.0485464686520009,0.0583119808882888,-0.1301627402704842,-0.0893558704228982,0.0405062138802894,0.2704958570312011,0.1462555243855629
body_comp_trunk_lean_mass,0.2591478647375644,0.1887808889753335,-0.1772328698538482,-0.0483911951583951,0.0576200190816334,-0.1298641525096424,-0.0895994540834008,0.0413981427108417,0.2707971203579604,0.1470014961222568
body_comp_trunk_right_fat_free_mass,0.2599800110342985,0.18529233091306,-0.1767607347291893,-0.0482364099397931,0.0592845819327699,-0.1303690743070204,-0.0891328914660075,0.0396058641710315,0.2690729050595433,0.1433318232565236
