,liver_sound_speed,gender,bt__alt_gpt,liver_attenuation,bt__alkaline_phosphatase,bt__protein_total,bt__platelets,liver_viscosity,bt__ast_got,bt__albumin,liver_elasticity,bt__bilirubin_total
AHI,-0.21397339927583947,0.21521661967038327,0.24712106436713685,0.18915047702120102,0.18143824034439532,0.06935419868915635,0.050265249465474796,0.10844641129771826,0.13177428111589692,0.04140370097960286,0.024766126220891835,0.0
snore_db_mean,-0.13058857873755988,0.15185691816742425,0.17223343176828612,0.11845895079771047,0.06350909714063989,0.03895472092505794,0.0,0.06170659788676488,0.05661918295314841,0.0,0.048741467306696845,0.0
hrv_time_rmssd_during_night,0.1281651511281352,0.27179198073377125,0.07170749866701501,-0.04520820027073869,-0.0554471385188407,0.0,-0.10023741591028763,0.052699579894760706,0.09132850955909914,0.09125244246061379,0.1371162908791972,0.10278213658689989
variability_between_sleep_stage_percents,0.03714662860446941,0.10461643891867667,0.0,0.0,0.0,-0.04135239930669716,-0.03899447305794609,0.0,0.061489381391663996,0.0,0.046693483738259586,0.04744884489180688
hrv_time_rmssd_during_wake,0.08317962240841063,0.13277454905741962,0.0,-0.05210494066172994,0.0,-0.05184277414623598,-0.0905444522349405,0.03710585374382982,0.0,0.0,0.1084550068664313,0.07416216595992686
saturation_mean,0.20048242772394742,-0.10314854346883168,-0.18972827849722,-0.12092727811660263,-0.1567757427849571,0.0,-0.02801058009578399,-0.06333357493233634,-0.08804643418032015,0.0,0.0,0.0
desaturations_mean_nadir,0.1416551971533818,0.0,-0.0733687446956416,-0.0655823114148258,-0.062375693124625924,0.0,-0.03034313071690857,-0.026150676019232166,0.0,0.04479683150949734,0.0,0.0
total_sleep_time,0.0,-0.12924191723558276,-0.09148422244512869,0.0,0.0,-0.05211788345028908,0.0,0.0,-0.06991323272943753,0.0,-0.03157044334693903,-0.05548454651603475
percent_of_supine_sleep,0.0,0.0,0.0,0.0,-0.040223955322443945,0.0,-0.029868330444510933,0.0,0.0,0.0478250161732926,0.0,0.04219085214777028
sleep_efficiency,0.0,-0.07360506083307629,-0.06673963381560713,-0.029794864790556642,-0.05634548468464944,0.0,-0.04833830830734288,0.0,-0.03415892555249473,0.0,0.0,0.0
