,adrr,below_54,igc,grade_hypo,lbgi,hypo_index,below_70,gender,grade_eugly,in_range_63_140,SdHHMM,cv,CV_Measures_Mean,SdWSH,GVP,SD.Roc,iqr,MAD,above_200,grade,m_value,mage,sd,SdW,above_250,range,CV_Measures_SD,SdDM,bt__hba1c,bt__glucose,Min.,COGI,in_range_70_180,j_index,1st Qu.,AUC,Mean,ea1c,gmi,Median,3rd Qu.,above_180,Max.,hbgi,hyper_index,grade_hyper,above_140,MAG,MODD,SdB,Conga,SdBDM
saturation_mean,0.1566726303558104,0.14268114126779358,0.17365376757418985,0.21754733863258607,0.22733102213263034,0.2086939405545586,0.19705677847197983,-0.133481424340062,-0.07537460596373775,0.036235429643525566,0.0756804083642048,0.09475189221023811,0.09101500736884599,0.0,0.0,0.0,0.0,0.0,-0.06665806361227122,-0.05694542818925615,-0.07189958066067234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2574966393319064,-0.21818388326095964,-0.18357006527234884,-0.17911592068008114,-0.16286883475912364,-0.19968856165944981,-0.23300592005164802,-0.2217850390918369,-0.22242131970360954,-0.22242131970360954,-0.22242131970360954,-0.22715530950602048,-0.20775314368244083,-0.10915863870305514,-0.11244790602370341,-0.16423726309353148,-0.138598311572859,-0.14645301086837395,-0.1535913822378899,-0.04985524794396525,-0.08371234568034695,-0.07069070961886921,-0.07587360256238229,-0.08234750745106616
desaturations_mean_nadir,0.11804999352813926,0.07811528703304825,0.13292922140895336,0.17015076982633684,0.18047971722030726,0.15695743184430047,0.14765005450538773,0.0,-0.05935546435770362,0.0,0.0,0.06652248506268026,0.065225876109988,0.0,0.0,0.0,0.0,0.0,-0.07231971375917713,-0.045892185517325323,-0.056255689339721714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18201512775398118,-0.13526881882763758,-0.12430081475642045,-0.13539784165253793,-0.12241234099352909,-0.15961762269288537,-0.18524051660179022,-0.17683573365245345,-0.17703239939450036,-0.17703239939450036,-0.17703239939450036,-0.1822625728799323,-0.16698730753280502,-0.09102092586233641,-0.09507114066828999,-0.1295080336817443,-0.10854458877587518,-0.11065651477605894,-0.11632007698337257,-0.042141924730475754,-0.04220907120325904,-0.04147669710401408,-0.04060843323013472,-0.05051630453296181
AHI,-0.03338408658715995,-0.07639861817683692,-0.05298818886177229,-0.07850658300086462,-0.0745163357535714,-0.07700659189419864,-0.07987401566133258,0.25382674697911006,0.0,0.0,-0.047481006054350496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05138758854612812,0.0,0.0,0.06414872945094788,0.056696895335888835,0.060143523251201064,0.0,0.0,0.03746299877985295,0.0,0.25909588296784797,0.2085135035546679,0.08360838557872793,0.06405479808682732,0.054569502837640366,0.08848915350623819,0.07503636538979828,0.0826134129855228,0.0823396576990537,0.0823396576990537,0.0823396576990537,0.07924861633069634,0.0805113119736117,0.0614366348358682,0.058745371546826027,0.08754120094561382,0.08109492459323832,0.09295256010973642,0.08542890333846742,0.0781414829377764,0.12266420724955805,0.09732684529856682,0.12032929285890062,0.12029347270320524
snore_db_mean,-0.07274371091741515,-0.07889724130149554,-0.09791831229613965,-0.14227049389976035,-0.14102830744495615,-0.1317900453801375,-0.12882820466612313,0.1762861312326133,0.0,-0.057918013195917856,0.0,0.0,0.0,0.0659262328788625,0.04947503878558284,0.04785929907403072,0.06572090960144902,0.062143185481204975,0.07868215044380708,0.06081957166176411,0.0740838584093844,0.0674287530595035,0.07006898408576993,0.0687559721034125,0.0,0.04758813644039345,0.0,0.038608108537424364,0.14620373999495645,0.15357603815340037,0.12976158549898462,0.10808295870233017,0.09220878998915202,0.14784522875847805,0.14163188285842498,0.1489149727054058,0.14906519455392092,0.14906519455392092,0.14906519455392092,0.1459788654508212,0.14859817832983144,0.09977368548587634,0.1084934588338121,0.13579232638230435,0.12111348091513478,0.1261399916185353,0.12967327601678266,0.08681573076140583,0.11269263925143318,0.10204569489010934,0.10695330180344971,0.1114364590477848
hrv_time_rmssd_during_night,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26445074221129017,0.0,0.0,0.0,0.0,0.0,0.05915469705580348,0.06483359616397909,0.06446461876711278,0.033906902714965305,0.04205367805045451,0.0,0.0,0.0,0.0,0.0,0.0,0.03361421696757986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036185891062855885,0.0,0.0,0.0
variability_between_sleep_stage_percents,0.041604539355838174,0.03672075318992298,0.0,0.0,0.0,0.0,0.0,0.09857169566190917,-0.03746681342564547,-0.03162418068367775,0.0,0.03776482222948836,0.032780805188542254,0.03623831757298055,0.03813105641913933,0.03774365717146396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04559474635133426,0.0,0.0,0.0,0.0
hrv_time_rmssd_during_wake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10884404263420361,0.0,0.0,0.04317736802412435,0.0,0.0,0.0327626878389555,0.03806994594716082,0.038353692041254606,0.03797112700993706,0.03396746761046012,0.03723353655513419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05739004237253924,-0.06254203361816972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sleep_efficiency,0.0,0.03133234860624227,0.051805587584527954,0.07426987040853808,0.07349532102512421,0.06761780956124795,0.07155399909159978,-0.07745309437920148,0.0,0.03632526982473262,0.0,0.0,0.0,-0.09014193590903107,-0.08431187575715196,-0.08251969188999475,-0.06635737582384672,-0.06238948536373333,0.0,-0.03613165196448616,-0.04887391574660397,-0.043167438884832036,-0.05364916452817186,-0.05152117728442913,-0.04105480157107112,0.0,0.0,0.0,-0.06037138633986446,-0.0558857284978929,-0.053724281032081565,-0.06131286502209139,-0.05696177098024639,-0.08688991941937431,-0.07264153611713893,-0.08005705585324972,-0.08065107602003496,-0.08065107602003496,-0.08065107602003496,-0.0781525471072405,-0.08823985313731138,-0.04354015772746921,-0.05908354033797021,-0.07816473366208464,-0.06855526437291509,-0.07002878774902865,-0.07246338972618789,-0.08457184091516885,-0.08799555607742943,-0.07107888746165421,-0.0824604179666281,-0.07807388178643633
total_sleep_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13073277413409592,0.0,0.0,0.05544215365961452,0.0,0.0,-0.06081186602004071,-0.057580798838435324,-0.05515943137185636,0.0,-0.033139407813519206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034733233428251166,-0.03146245754419168,0.0,0.0,0.0,0.0,0.0,0.0,-0.037478887298190204,-0.057537257847627116,-0.03714225804231532,-0.04053890015573291,-0.042102315568444564
percent_of_supine_sleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04962763628040012,0.07047432529897722,-0.0802188990326888,-0.056620979269715224,-0.06363872333845702,-0.03770633018588238,-0.03638581441235883,-0.03896084297021294,-0.04520290405089516,0.0,-0.0316076814649177,-0.05099094250768924,-0.059606232000523576,-0.0749343527201257,-0.06948324294070142,-0.07518376362593227,0.0,-0.06445498267218033,-0.03479926297139637,0.0,-0.049316125058650136,0.0,0.0,0.0,0.0,-0.04278850699532605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04478984654781127,-0.06709375995179585,-0.06425760805250005,-0.07355237221907535,-0.07107548232617993,-0.07338685572602636,-0.06344933409346928,-0.044244268062924905,-0.04747308446696448,-0.05302268117311379,-0.05002011823028563
