,bt__rdw,bt__mchc,bt__mcv,bt__mch,gender,bt__ferritin,bt__rbc,bt__hct,bt__hemoglobin
saturation_mean,4.9702862040849604e-14,4.964660762030179e-10,0.9778821329716026,0.009247324822144066,1.0560513724411266e-18,5.149118578821199e-30,1.706474989842998e-53,7.984453819988643e-76,5.670459929929301e-79
AHI,0.009893095606906368,0.028296780244391806,1.9161356911575963e-11,1.9841528765175877e-06,2.0965708517957408e-69,5.978410353262284e-36,1.1820018466243969e-110,4.217057986087412e-114,3.675344365906718e-103
total_sleep_time,0.698021834928828,0.0010762236811215325,0.0009359846334631277,0.29756895508739556,1.6322182842686589e-25,0.003109079118259849,8.512458800284222e-10,1.193626838465768e-07,4.931045776793568e-10
sleep_efficiency,0.07618463259145758,0.3278611020618418,0.07581312111027125,0.2752059550293699,1.0091274013097886e-09,0.03936625725493015,2.6724171528642385e-07,5.733589572498169e-07,7.945152794336327e-07
desaturations_mean_nadir,2.5891291650428044e-13,0.08746048959398074,0.0919024642092796,0.03658244322682036,0.13045493649628523,0.0056806213843144234,0.009440481022146294,7.211025820521265e-05,2.1535918835199288e-05
percent_of_supine_sleep,0.0281765199907027,0.9153177134864561,0.018772754962680802,0.0915948441534106,0.016585187099952076,0.040308593110502625,0.15386641016862834,0.36196817473217247,0.2870170405920256
variability_between_sleep_stage_percents,0.03412897458437931,0.18165138308620912,0.6926874352962088,0.9902350555927142,8.807136546668678e-14,0.06264007431067721,3.1208049159591344e-06,1.2848965592062484e-07,7.66329657104251e-06
hrv_time_rmssd_during_wake,0.006448033349552334,0.7867442918824747,0.012724742576286602,0.013026430527603572,2.749388045890307e-25,0.9796251415906654,4.885976062843846e-05,8.264629523391222e-08,7.045121893873362e-08
snore_db_mean,0.002073403807684635,0.013274552715687957,2.211633623083968e-09,8.770598982076648e-05,2.866809378466324e-32,1.303327379162612e-11,1.2948766468797548e-41,5.4826060157552035e-33,2.247372713150718e-31
hrv_time_rmssd_during_night,8.35709365102492e-08,1.7431072685609778e-07,0.32492923853135314,2.3059288280530478e-06,2.128137622100711e-104,1.3233101404788966e-05,1.9821998187396906e-22,1.863490175273563e-33,2.229476768076662e-40
