,height,hand_grip_left,hand_grip_right,body_comp_leg_right_lean_mass,body_comp_leg_left_lean_mass,gender,body_comp_arm_right_lean_mass,body_comp_arm_left_lean_mass
hrv_time_rmssd_during_night,0.23271686595314794,0.2539104322576738,0.2474599058040837,0.23722808887747032,0.23870194442818568,0.2727213831823971,0.2618002845829019,0.2635826079779268
AHI,0.11756607564880227,0.11775150236410552,0.12218333833821184,0.3020940861742299,0.3005887723600367,0.2144664006552833,0.25179630542660164,0.2570037663594698
snore_db_mean,0.09266370596849617,0.09996230146673785,0.10115388546005563,0.21279972651121581,0.2109395427713518,0.15608398116586034,0.18207639404956927,0.18485135075080666
hrv_time_rmssd_during_wake,0.11938327218034829,0.14009413201437682,0.13127713722734746,0.12277060461679053,0.12482934468808629,0.13541249813936507,0.1427905301914371,0.14741761880599624
saturation_mean,-0.0497472526693326,0.0,-0.022604640355553724,-0.21390733479554885,-0.21134635010765454,-0.10976152955568513,-0.14971194805786311,-0.14812570655215795
total_sleep_time,-0.10429903602045927,-0.09954208738935749,-0.09613737002442449,-0.1378372512339399,-0.13567715249970605,-0.12706726553794334,-0.12645271924855617,-0.12203720757664524
sleep_efficiency,-0.05178116408282009,-0.03667597383142311,-0.038888588551061525,-0.07852257101258896,-0.07990200790642818,-0.0795413438333797,-0.09575523795941104,-0.09356732460555202
desaturations_mean_nadir,0.032295530127132155,0.06926369188703102,0.06932907702885943,-0.07904574650776056,-0.07767782322135822,0.0,0.0,0.0
percent_of_supine_sleep,0.0,0.05660498021940487,0.04253936635762955,0.0672321794773307,0.06687233174072281,0.0,0.05839531665728901,0.06682805399627278
variability_between_sleep_stage_percents,0.059152570063137754,0.043918819247612324,0.04822620318174706,0.031225250380948158,0.02754673886041713,0.09865919327311261,0.04525774649418102,0.03939542534557429
