,liver_sound_speed,gender,bt__alt_gpt,liver_attenuation,bt__alkaline_phosphatase,bt__protein_total,bt__platelets,liver_viscosity,bt__ast_got,bt__albumin,liver_elasticity,bt__bilirubin_total
AHI,2.874911687506339e-61,3.7457658135272675e-62,3.097202648495432e-53,5.342706782123514e-48,2.118027633447162e-25,0.00041223212186186517,0.0006803486245265224,1.0836080016718158e-16,7.469680135325772e-14,0.03289964371018687,0.0588563215768667,0.2115381390303766
snore_db_mean,4.604159897951541e-23,8.745679887422304e-31,6.949190993461086e-26,3.2092342927621927e-19,0.00033455026567371624,0.04932858842841406,0.4267978090930574,3.2173060959021687e-06,0.0015010294790712363,0.2912609983082177,0.00023592018260312804,0.21857310589529746
hrv_time_rmssd_during_night,1.9731722126372618e-22,6.085367877265557e-98,1.310992910214e-05,0.000619072131635394,0.0017254399015737007,0.4106005495562053,1.608668721003069e-11,6.567356713961743e-05,2.890984962556941e-07,2.942403268425316e-06,1.8455469334621237e-25,1.0367472963202596e-06
variability_between_sleep_stage_percents,0.004617977687664631,1.1640071327359058e-15,0.1327131875630495,0.43876833357567746,0.21457461234054317,0.03548631197837112,0.008480054867153714,0.06937730344904176,0.0005132154129879466,0.6358748469643247,0.00036955330158988485,0.02347067870379705
hrv_time_rmssd_during_wake,3.6468665152744176e-10,9.3666678207475e-24,0.7972592069114706,8.801366348597552e-05,0.07682923753393577,0.009049635311444532,1.447355025665123e-09,0.00523549988704216,0.07535234556711677,0.38786999021325486,2.764517533476786e-16,0.0004525526213633173
saturation_mean,7.42230081285221e-54,2.7596324009323194e-15,1.0689306335357907e-31,2.1257498117770022e-20,2.7051519729756373e-19,0.21094297075063193,0.05844013145573661,1.3311112635312859e-06,6.187172462793146e-07,0.7969154508698041,0.6092510960344625,0.6531102336863225
desaturations_mean_nadir,2.7983534766923482e-27,0.18447031109204143,7.569381511861383e-06,6.110753956448662e-07,0.0004002263046187883,0.5446464588801327,0.041046375570022914,0.04692053352968342,0.4208143583091608,0.021521310265185774,0.07148737213518788,0.2744786047599466
total_sleep_time,0.5655289372423999,3.571726940984559e-23,2.0332327429017712e-08,0.8023087016130108,0.557784737038636,0.007980158405714708,0.1258359795462266,0.9199045710843621,7.630712395688406e-05,0.26571207515451534,0.01601567402393798,0.00796788600080837
percent_of_supine_sleep,0.20798696457531143,0.06829548259271119,0.967809022684854,0.38129571523251526,0.023179960132185196,0.3231914227775975,0.04616099907873294,0.37750282031116567,0.5648396831379779,0.014525896336244747,0.10345990125823956,0.04548124283074819
sleep_efficiency,0.37189789305576904,1.7933005815941595e-08,4.351722285175775e-05,0.023047654267279866,0.0013271698992577156,0.12000368099243239,0.0010870033163950285,0.7382725128358034,0.0534928716986211,0.8815450367647655,0.8420102981192926,0.4551513231005293
