,adrr,below_54,igc,grade_hypo,lbgi,hypo_index,below_70,gender,grade_eugly,in_range_63_140,SdHHMM,cv,CV_Measures_Mean,SdWSH,GVP,SD.Roc,iqr,MAD,above_200,grade,m_value,mage,sd,SdW,above_250,range,CV_Measures_SD,SdDM,bt__hba1c,bt__glucose,Min.,COGI,in_range_70_180,j_index,1st Qu.,AUC,Mean,ea1c,gmi,Median,3rd Qu.,above_180,Max.,hbgi,hyper_index,grade_hyper,above_140,MAG,MODD,SdB,Conga,SdBDM
saturation_mean,2.0653255439751182e-23,1.1921108874604996e-19,1.827566642708267e-28,4.4568401167953028e-44,4.4939721601766424e-48,1.2609396331456099e-40,2.5282408758167948e-36,2.26069451443664e-17,1.8095962393012708e-06,0.021886069823949514,1.6428527853258874e-06,1.9041786928477977e-09,8.026115776591233e-09,0.9265959700087318,0.14365931067801074,0.10768259998311717,0.8081002203634529,0.5518788844357294,2.4402420622369665e-05,0.0003130618918798991,5.290193465351037e-06,0.10055706080997266,0.25067033078356504,0.2452281030625653,0.3896655505171638,0.1732944330003733,0.248409945438919,0.24442892890489137,3.4226348836171685e-29,1.2710564240422254e-37,1.147645848120735e-31,3.320523252307435e-30,3.416909980521782e-25,2.8381756837453888e-37,1.7619479722432847e-50,8.742483648090554e-46,4.810234880135361e-46,4.810234880135361e-46,4.810234880135361e-46,5.322364840807279e-48,2.873189652405442e-40,4.388621894884099e-12,9.747820344491105e-13,1.3507646341272787e-25,1.2772001360286179e-18,1.252434819132684e-20,1.4938056076206337e-22,0.0016055998160085774,1.1365723744360317e-07,7.59854489493356e-06,1.5452300235336689e-06,1.821884616053016e-07
desaturations_mean_nadir,8.410791304929106e-14,8.26067452048345e-07,4.016200799098941e-17,3.4794574375368964e-27,1.9728722725969455e-30,2.504811406107634e-23,8.451553118280862e-21,0.7906518109990048,0.00018188697237818128,0.11186699537065105,0.19336553976448645,2.718758739109033e-05,3.8908044024217635e-05,0.3737162432871316,0.9493235075064468,0.947224143589352,0.6110139754887531,0.19809924740464957,5.057128760255354e-06,0.003816858392118762,0.0003894364939687114,0.15348013389695644,0.2004502652766386,0.1702788461225497,0.7762743615689206,0.055388678483143515,0.477224271792798,0.1591538885359318,4.900025532392462e-15,3.983755171582816e-15,3.7819481520156084e-15,1.0340218758929739e-17,9.817870837835493e-15,4.435691122314327e-24,5.383253777790927e-32,2.9060369177122095e-29,2.5170509453240315e-29,2.5170509453240315e-29,2.5170509453240315e-29,5.1809617288942585e-31,3.132122461809648e-26,9.104983139696992e-09,1.9315521975072245e-09,2.52582763742589e-16,6.933781758811826e-12,2.685233803305366e-12,1.9293843703603818e-13,0.007900599611505207,0.00780190207916535,0.008940487248423478,0.010480832800780633,0.0014487360018800588
AHI,0.0346991727093502,1.307282400681249e-06,0.0007982129134833232,6.607527648087799e-07,2.368973156190115e-06,1.0756776619035966e-06,4.2047752321431064e-07,7.066410456176951e-60,0.8133770102399572,0.12921319665848044,0.0026604459000748094,0.4292496233107731,0.20819958700684518,0.1542763574416947,0.8824934602226991,0.8433075671469843,0.07393801065217585,0.13907997235211503,0.0011460331581194041,0.6843446835664896,0.08851957985375589,4.8852234837851706e-05,0.00033260001680177206,0.00014065188145351805,0.9953221784500685,0.17603818922013995,0.017785586640547142,0.75104312441286,1.5106993798830764e-29,1.9376438766113677e-34,1.1784713473036813e-07,5.011445583225015e-05,0.0005530831983320512,2.0562879438582015e-08,2.0129469056677305e-06,1.6628301566196642e-07,1.826796621648966e-07,1.826796621648966e-07,1.826796621648966e-07,5.175079708616196e-07,3.3975285771820527e-07,0.00010064775831223851,0.00020051826546699976,2.9078419273555665e-08,2.791069332907924e-07,3.833397795028055e-09,6.213098898313401e-08,7.44573719852872e-07,6.8671948398892725e-15,6.839496986535191e-10,2.2133956886560994e-14,2.2531011393957086e-14
snore_db_mean,4.794402073285936e-06,6.99002925753919e-07,7.136150889359077e-10,2.737960004660128e-19,5.605621659420024e-19,9.467292298519971e-17,4.551539871202767e-16,6.666177941428197e-29,0.2129189539075213,0.0002729678809837618,0.5992831517222807,0.7978592807121111,0.9242727641703453,3.413406221636907e-05,0.0018809810996731524,0.002640339817363459,3.6112827812965375e-05,9.395142527066154e-05,7.495225498995767e-07,0.00013218115289646837,3.191758434385679e-06,2.248872936809493e-05,1.057842459555665e-05,1.544412304137482e-05,0.7133423256469608,0.0027923233418291086,0.9938012621051502,0.015304954672691771,3.9853304907215586e-10,4.957623023449179e-19,2.785741089433776e-16,1.0006902584078819e-11,6.54925318647232e-09,1.0152495251205767e-20,3.9605978863536307e-19,5.31594156054685e-21,4.8523821171036525e-21,4.8523821171036525e-21,4.8523821171036525e-21,3.103536048504456e-20,6.441833514320721e-21,3.3770545917446243e-10,8.350135397671879e-12,1.0712981935169712e-17,2.2980561122519874e-14,1.8348554545362244e-15,2.9186371645436077e-16,4.7235391942813396e-08,1.261026389320421e-12,1.3260272010646818e-10,1.640976795151052e-11,2.2363636001912145e-12
hrv_time_rmssd_during_night,0.268844002691828,0.3969420377877211,0.5760524849331338,0.9152496110033224,0.9854882706024893,0.7491171020750838,0.6853832766287119,3.743876103748539e-64,0.9967564255279107,0.9678480933637497,0.6299994713981156,0.33390772543423164,0.4345663300828755,0.00020042339800218424,4.578171675919221e-05,5.0579558022043766e-05,0.03315971610737606,0.008233028658472058,0.17889127716557662,0.8704101608331422,0.9308054559791012,0.39962111386589927,0.17126622772980918,0.24813128269278126,0.03470822448631627,0.2227470813138419,0.592696464380776,0.20694153090090162,0.12896545092901796,0.5013787971478796,0.5745961594904001,0.5376900545024372,0.5012042607322658,0.412587755937428,0.9271455171130816,0.7834749916819344,0.7448168848606557,0.7448168848606557,0.7448168848606557,0.6196453290413546,0.508782035634165,0.5183916913366966,0.3621620573765403,0.6030684202064915,0.5783760126215807,0.8494984966083398,0.7877430603390893,0.0608129429491755,0.023001567181659674,0.10617163593419753,0.07444555526280491,0.1252452620254774
variability_between_sleep_stage_percents,0.008530901301486581,0.020269608147021684,0.09043908176292269,0.18177994689350452,0.18307181873257475,0.12489064467620287,0.1171905253758049,4.2552317953121704e-10,0.017859664535841254,0.045612355358421626,0.20746714823294488,0.01696953009357185,0.03825501394684612,0.021974873812266555,0.01592909327266088,0.01703143992502179,0.08166861118818673,0.13880049223529056,0.9233707490530314,0.4822809970732197,0.3345038060239123,0.07039618164301172,0.09590564523440898,0.18531079928990618,0.184122286965091,0.34263126936723054,0.43013583012109646,0.44501371958369074,0.4141897005699775,0.06999875559752183,0.09485962429496506,0.08981572183028401,0.07165603808678048,0.4473789791171915,0.15062818299702177,0.2598802364983412,0.22762245067746878,0.22762245067746878,0.22762245067746878,0.2820077878809047,0.4903190176705021,0.7679114251006123,0.9825930523145467,0.8748785869731934,0.7934366175939149,0.7695284710337223,0.7147586270063786,0.003941322896830207,0.30596303381199164,0.20664926273764356,0.2709364360327543,0.3970388388516679
hrv_time_rmssd_during_wake,0.4067700454406975,0.6901706032685215,0.4057759782604211,0.8662736482207724,0.9955595221126338,0.8987974503932785,0.9923364854902401,8.739444208665251e-12,0.6106570399033594,0.4553302064004501,0.006913810535595279,0.18755543437833974,0.18648529475780537,0.04045529987938714,0.017255196271862557,0.01644057113956027,0.017547098110750673,0.033631470228944936,0.019865879019844525,0.46771361040621895,0.47541450136603514,0.2696763605366635,0.07324671941114758,0.07355298708207568,0.06174148774776871,0.22583834868579475,0.5662445960512306,0.29259628459639503,0.014773798809828627,0.0003272145033791533,0.9127326316001567,0.7085097178179611,0.561567060180053,0.3488059698455044,0.9375696560495306,0.6571187165886767,0.6137063491396514,0.6137063491396514,0.6137063491396514,0.8191791728696772,0.5054748587209569,0.4890664409540725,0.2054208741841304,0.40085639516936833,0.27178734407215943,0.6490151500299706,0.5455110778084533,0.25477424609842236,0.45909971284340767,0.5016683651419795,0.4848231882635661,0.7443525449698543
sleep_efficiency,0.2766214930071054,0.04747986057652594,0.0010437155088713877,2.558116194099632e-06,3.251512722999762e-06,1.8592271577707504e-05,5.8705728424677525e-06,9.312892533588529e-07,0.5349253718489091,0.021560276063622662,0.4626311205829895,0.33588957459144464,0.359876998724621,1.1142518652255674e-08,9.216511836011971e-08,1.7172950310508676e-07,2.655303411192277e-05,7.83281480318549e-05,0.09327730244151972,0.02226772851023264,0.0019833595153149813,0.006309439569736662,0.0006855237397195322,0.0011123671841006154,0.009391430095494192,0.0701719950967809,0.0663603121950446,0.18591791490372953,0.009669593737522138,0.0011680954439607333,0.0006736982685025785,0.0001039528352619767,0.0003118155186978532,3.681801740850707e-08,4.2239994800511315e-06,3.9557055975594636e-07,3.2416528079872407e-07,3.2416528079872407e-07,3.2416528079872407e-07,7.418894601942496e-07,2.2532580665646952e-08,0.005871803743477451,0.00018416318507781193,7.389436858825033e-07,1.4206066782516228e-05,9.242473091033266e-06,4.459424179442022e-06,8.412050268975964e-08,2.4639748562639905e-08,6.768674455803729e-06,1.7526271368016234e-07,7.611786015494821e-07
total_sleep_time,0.4458035882813849,0.5697919287852815,0.310316219892114,0.25241756592014614,0.10469383668404734,0.23974809957088727,0.1318966549582658,1.0116704770249664e-16,0.06613090862804893,0.3040322523029614,0.000449880333853188,0.1974564014469132,0.12068037030296339,0.00011840629876594002,0.00026788529923393634,0.00048116482298328207,0.13323751161757946,0.03604982886570541,0.9856726910192817,0.7083906947352125,0.6814940095023581,0.2916509303764758,0.936483021450874,0.7851676882966881,0.08011056770398561,0.12390623798103653,0.8261754817757168,0.3014627601856985,0.9416703136065245,0.9649789142998255,0.45227701870207615,0.18036770862439624,0.14248004746409734,0.11039280725493875,0.09480043114569639,0.09312490266243989,0.0838124392428583,0.0838124392428583,0.0838124392428583,0.028002724376866878,0.046565731879800516,0.5524360408735354,0.41384659194376383,0.5859624087509174,0.741908142764909,0.767719746342834,0.9796107739631388,0.01773725644448454,0.00027077488216289524,0.018786196282022157,0.010323552857079258,0.00772637316545276
percent_of_supine_sleep,0.17639526046606394,0.9477112185876563,0.9454934642846724,0.08362994628250014,0.2486487948600108,0.31402108656636646,0.5251002799706046,0.18098014738139068,0.0018207828283297001,9.399521458050176e-06,4.5346753540278603e-07,0.00037362128612747537,6.337260523510618e-05,0.017865333567235353,0.0222895209710896,0.01439492021157137,0.004515433976358767,0.07921929521252954,0.04713099741610199,0.0013564018482862246,0.0001797007924184459,2.456551184982383e-06,1.2534010752058002e-05,2.2737947801713944e-06,0.7598344727996068,5.0934258144751205e-05,0.028838704196031135,0.1969265696671864,0.035757235648824416,0.6059490699224254,0.7131896695211837,0.9471978574949047,0.8144005261081776,0.007190450245839279,0.2692340220826452,0.07542071593036095,0.07674161507619917,0.07674161507619917,0.07674161507619917,0.2640980895870621,0.05294797037762827,0.0048969347511554785,2.469984502350268e-05,5.3710127647784465e-05,3.753782664275393e-06,7.879441343633164e-06,3.947377662989809e-06,6.664397529845005e-05,0.005445455615283774,0.002859189050211856,0.0008634757312559636,0.0016739903544654498
