,health_satisfaction,high_irritable_state,tired_or_little_energy_fortnight,nerves_anxiety_tension_depression_doctor,nerves_anxiety_tension_depression_psychiatrist,unenjoyment_uninterested_period_duration_weeks,miserable_no_reason,depressed_hopeless_fortnight,mood_swings,financial_situation_satisfaction,depressed_whole_week,fed-up_often,little_interest_or_pleasure_fortnight,troubled_by_guilt,fidgety_or_restless_fortnight,rds_score,depressed_longest_period_weeks,family_relationship_satisfaction,happiness_level,friendships_satisfaction,irritablilty_leading_to_argumens,feeling_lonley_often,risks_taker
AHI,3.88701484950739e-26,0.00296183142082839,0.00030963480762479206,0.2160371124120792,0.0862137894787257,0.03221967484585843,0.0033944254489798893,0.0035858602040763593,0.013524023201717774,0.01671858543889854,0.4634350777988644,0.051427772623399,9.03362751324024e-07,0.0007835304745511591,1.0786648230352944e-08,1.4123346195602988e-09,0.03456254039781099,0.8245942785925696,0.37904098838722633,0.36640215633172923,0.07539896019658048,0.28342723973507894,7.959384522492343e-05
snore_db_mean,2.34946295965083e-10,0.6857492227273478,0.2088680017350026,0.17672377830329972,0.029506997191185453,0.5729973818274726,0.6477872431940404,0.06245849839662417,0.5283072085013317,0.5034182362221971,0.9806362517755787,0.09025659949949572,0.0533423608530304,0.1607700860726971,0.0005902205339029718,0.0011617047145373641,0.008597268772208018,0.3117153524786232,0.22075909451141784,0.8641769237603121,0.248263306861704,0.0034091856768132503,0.004772734045731294
total_sleep_time,0.962271798723306,0.01170648699079189,4.108083244502137e-05,2.4302480617510378e-05,0.0002629412737567704,0.004054240646504451,0.003983140507139035,0.0018680462884160243,0.004107402515336509,0.0025117564531103977,0.0006118554146394372,4.320595929971725e-05,0.6373176597471768,0.8446159579822214,0.08274675566843841,0.0028455188793282005,0.02159082919928385,0.007706962418147936,0.0074237304158730495,0.05412392415961799,0.017752556301424846,0.4206283389123642,0.2695371283115159
saturation_mean,2.269084685367648e-18,0.5144824156559215,0.01404256799944467,0.8756772516986403,0.1483119780548763,0.8633307956427893,0.10981655342612272,0.03557426804515248,0.05004989773841433,0.47195995936492385,0.4794809164259337,0.1440316462752792,0.0036081041240210274,0.014181187841881954,0.0011169877538721971,3.884865911958806e-05,0.24387095614147178,0.9596517477858801,0.9648415144045643,0.7379023228819306,0.007536329988129253,0.002287967573559283,0.05086732625395982
hrv_time_rmssd_during_night,1.4927650858545982e-08,0.053266729558035804,0.0002855381337768714,0.2950940194562977,0.27653852538563645,0.6954809517095714,0.0014270538787732108,0.023262898323712075,0.34888909447316063,0.4310010874293263,0.01581891790114421,0.0048576667491137555,0.1451579607825854,0.502042502315968,0.2728304796130598,0.07932934409393234,0.7617350087037685,0.8286862416749106,0.0009363943888888213,0.004473377074353337,0.5907364413113657,0.40347946754192077,0.00043844145838086937
variability_between_sleep_stage_percents,0.05657919328616222,0.3598993579694282,0.23207891046330004,2.827051442437927e-07,1.0405805043687772e-05,0.3271816621719742,0.4535553456308299,0.42799062087024187,0.7804364845738183,0.06056842996611687,0.9705141409342526,0.05115538601182749,0.42165602357612086,0.9815386533863293,0.15683304514276933,0.12121606000571016,0.4873789714093406,0.43048671706422625,0.2032175175826511,0.46755781491865966,0.18877986989954956,0.20206545873895293,0.9813844738434022
sleep_efficiency,0.01164972531615999,0.025533658549486003,0.561274680333236,0.24010142310617133,0.27858274192333615,0.9666796103210641,0.2967759921965192,0.4411088071339019,0.306245257177646,0.01064719721491847,0.12897963687783234,0.012731893751835473,0.10383105406095597,0.6835442289470355,0.31396161912306414,0.3035411471931221,0.669609273559397,0.8035063022016982,0.9462071055544187,0.6590561229964591,0.652607115485867,0.728716848430538,0.006437385239229612
desaturations_mean_nadir,8.1659937378474e-11,0.8994741697967792,0.1764875320675837,0.4480266966658143,0.9151747607775114,0.9747022956838891,0.8225890573912558,0.21236900261154024,0.8734709072727259,0.892614166007156,0.4538825814803913,0.07328722688589853,0.14277106967337017,0.9617449227869803,0.37658018848406183,0.027594428943218254,0.41404125647476175,0.38424743517114235,0.8525608973222951,0.28876235170818204,0.27696247988957096,0.010825887690373837,0.9532288325477363
hrv_time_rmssd_during_wake,0.0001897164242987128,0.4110932605585752,0.0005658032787168237,0.03255095883756551,0.021608954228252094,0.9853690954587618,0.0801798629621542,0.14666022520903238,0.38771860233055777,0.8859599697378442,0.3919420859838607,0.04466488627772149,0.18588924500830672,0.9607988757862416,0.2065324640650575,0.2028663773360269,0.4448735965641041,0.7225879899581531,0.09196438353500397,0.9770549079358153,0.8561483617514494,0.014119656878848981,0.0944145407297659
