,gender,age,bmi
AHI,1.9912562861160727e-75,1.2646717564973866e-172,0.0
snore_db_mean,6.443283616796525e-36,3.542494267038207e-26,1.0496005050339822e-112
saturation_mean,5.015571569759982e-19,2.9335432906539613e-187,5.410404744506069e-290
desaturations_mean_nadir,0.0619845637613189,3.6981672962507465e-75,4.618903380077767e-102
percent_of_supine_sleep,0.046158454833024526,4.706970877099925e-17,2.2456713860317886e-08
total_sleep_time,9.537978724173035e-28,0.026537442979939655,6.609861397795497e-08
sleep_efficiency,9.04817239434018e-11,4.935431220416959e-18,5.973934620306692e-09
variability_between_sleep_stage_percents,2.2565483161816306e-16,1.9118588659675738e-44,3.574101719992921e-06
hrv_time_rmssd_during_night,3.1089376583805442e-118,4.949430352449231e-14,0.0009318597109599704
hrv_time_rmssd_during_wake,8.433103623637835e-28,0.06598267977043175,0.0024364293686901474
